   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44
          10 1.3369e-008 2.0876e-008 7.6756e-008 1.1348e-005 1.6750e-005 6.2995e-003 1.4712e-001 3.8173e-001 2.5195e-002 8.8495e-002 2.0333e-002 7.6219e-003 4.3521e-002 4.1863e-002 1.5289e-002 3.4222e-004 5.5257e-003 1.9546e-002 3.1060e-002 3.5458e-002 3.3576e-002 2.8206e-002 2.1787e-002 1.5810e-002 1.0950e-002 7.3307e-003 4.7856e-003 3.0624e-003 1.9282e-003 1.1996e-003 7.4090e-004 4.5620e-004 2.8068e-004 1.7261e-004 1.0610e-004 6.5227e-005 4.0203e-005 2.4925e-005 1.5584e-005 9.8275e-006 6.2213e-006 3.9023e-006 2.3410e-006 1.1971e-006 4.0059e-007
          11 1.0620e-009 2.2213e-008 3.6754e-010 8.0677e-011 2.5054e-005 2.9290e-004 2.7184e-003 1.4115e-001 4.2383e-001 3.7245e-002 7.0553e-002 2.4016e-002 3.4861e-003 3.3611e-002 3.9735e-002 1.9290e-002 2.2675e-003 1.6366e-003 1.1769e-002 2.2904e-002 2.9381e-002 3.0341e-002 2.7334e-002 2.2413e-002 1.7184e-002 1.2542e-002 8.8162e-003 6.0179e-003 4.0180e-003 2.6402e-003 1.7151e-003 1.1045e-003 7.0666e-004 4.5034e-004 2.8669e-004 1.8279e-004 1.1692e-004 7.5060e-005 4.8344e-005 3.1191e-005 2.0079e-005 1.2755e-005 7.7298e-006 3.9839e-006 1.3388e-006
          12 7.4865e-009 1.1154e-010 1.8114e-008 2.0468e-009 9.2038e-007 2.2355e-005 1.0611e-003 1.1440e-005 1.1152e-001 4.7028e-001 7.2839e-002 4.8125e-002 2.5168e-002 2.2146e-003 2.6313e-002 3.5654e-002 2.0482e-002 4.1858e-003 2.5858e-004 6.8458e-003 1.6441e-002 2.3495e-002 2.6188e-002 2.5068e-002 2.1665e-002 1.7438e-002 1.3315e-002 9.7588e-003 6.9318e-003 4.8130e-003 3.2865e-003 2.2148e-003 1.4768e-003 9.7747e-004 6.4462e-004 4.2484e-004 2.8026e-004 1.8507e-004 1.2228e-004 8.0732e-005 5.3067e-005 3.4344e-005 2.1143e-005 1.1022e-005 3.7252e-006
          13 9.7070e-010 8.9656e-009 9.0907e-010 4.1598e-008 6.9684e-010 6.5416e-006 2.8416e-009 1.9027e-003 4.1827e-003 5.9093e-002 4.9300e-001 1.5071e-001 2.1489e-002 2.6945e-002 2.8746e-003 2.0963e-002 3.1333e-002 1.9353e-002 5.1439e-003 1.0283e-006 4.0714e-003 1.1817e-002 1.8503e-002 2.1945e-002 2.2043e-002 1.9906e-002 1.6696e-002 1.3231e-002 1.0040e-002 7.3847e-003 5.3096e-003 3.7470e-003 2.6032e-003 1.7884e-003 1.2212e-003 8.3148e-004 5.6508e-004 3.8315e-004 2.5914e-004 1.7477e-004 1.1718e-004 7.7231e-005 4.8287e-005 2.5451e-005 8.6500e-006
          14 2.0057e-009 4.6695e-012 5.1138e-009 1.1353e-010 6.5361e-008 2.9641e-007 1.4406e-005 1.2162e-004 1.4564e-003 1.9059e-002 7.9313e-003 4.3687e-001 2.8200e-001 1.0522e-003 3.4972e-002 7.3270e-003 1.5675e-002 2.8134e-002 1.6354e-002 5.0593e-003 2.7966e-005 2.6520e-003 8.7895e-003 1.4653e-002 1.8041e-002 1.8800e-002 1.7578e-002 1.5174e-002 1.2372e-002 9.6850e-003 7.3391e-003 5.4155e-003 3.9200e-003 2.8012e-003 1.9822e-003 1.3906e-003 9.6893e-004 6.7250e-004 4.6594e-004 3.2203e-004 2.2083e-004 1.4820e-004 9.3854e-005 4.9858e-005 1.7005e-005
          15 2.6505e-009 3.4788e-009 9.9088e-011 7.7197e-009 6.6889e-009 3.4823e-008 3.3443e-006 2.6695e-006 6.3752e-004 4.4586e-006 3.3091e-002 1.5041e-002 2.5614e-001 4.1798e-001 1.5475e-002 6.0075e-002 2.4862e-002 7.7546e-003 2.8456e-002 1.1330e-002 4.4009e-003 1.1865e-005 2.0149e-003 6.9779e-003 1.1776e-002 1.4707e-002 1.5697e-002 1.4928e-002 1.3140e-002 1.0979e-002 8.7793e-003 6.7801e-003 5.1183e-003 3.7989e-003 2.7750e-003 2.0006e-003 1.4315e-003 1.0203e-003 7.2422e-004 5.1033e-004 3.5512e-004 2.4115e-004 1.5427e-004 8.2596e-005 2.8289e-005
          16 3.2035e-010 1.7524e-009 2.3352e-009 5.9994e-010 1.6008e-009 3.5028e-008 2.0410e-007 9.0725e-006 5.3591e-005 8.5907e-004 4.3531e-003 1.9460e-002 1.1001e-001 3.8622e-002 4.0237e-001 7.6448e-002 1.1331e-001 8.1229e-002 2.7513e-005 3.9771e-002 3.6987e-003 4.5633e-003 1.0043e-004 1.6043e-003 6.1782e-003 9.4920e-003 1.2002e-002 1.2776e-002 1.2160e-002 1.0904e-002 9.1877e-003 7.4230e-003 5.8528e-003 4.4944e-003 3.3734e-003 2.5033e-003 1.8444e-003 1.3448e-003 9.6953e-004 6.9289e-004 4.9017e-004 3.3871e-004 2.1987e-004 1.1884e-004 4.0875e-005
          17 1.5633e-010 6.3255e-012 9.3578e-010 1.3509e-009 9.3100e-010 3.4226e-009 8.9926e-011 3.3833e-006 5.1088e-008 4.1544e-004 2.5335e-009 1.5857e-002 8.9285e-004 1.5541e-001 4.2175e-002 1.5231e-001 8.8042e-002 1.4841e-001 1.9180e-001 2.0205e-002 8.4222e-002 1.7685e-003 1.0745e-002 2.8134e-003 4.9010e-004 7.3119e-003 6.7342e-003 1.0287e-002 9.6334e-003 9.7020e-003 8.4024e-003 7.2138e-003 5.8530e-003 4.6405e-003 3.6025e-003 2.7359e-003 2.0567e-003 1.5295e-003 1.1235e-003 8.1745e-004 5.8701e-004 4.0983e-004 2.6782e-004 1.4541e-004 5.0134e-005
          18 6.3857e-010 4.5641e-010 8.5149e-012 2.1380e-009 3.3843e-011 2.2315e-011 8.7904e-009 7.4436e-007 3.8520e-006 1.0094e-004 3.0916e-004 4.3007e-003 6.8406e-003 6.0270e-002 2.5889e-002 1.9158e-001 2.9739e-004 4.5269e-003 4.7837e-002 2.0740e-001 7.2291e-002 1.7319e-001 4.9290e-002 4.8131e-002 2.9269e-002 3.0022e-003 1.8792e-002 1.2259e-003 1.2862e-002 4.7047e-003 8.7192e-003 5.1838e-003 5.6122e-003 3.9658e-003 3.3939e-003 2.5770e-003 1.9529e-003 1.5108e-003 1.1126e-003 8.1391e-004 5.9807e-004 4.2387e-004 2.7760e-004 1.5060e-004 5.1928e-005
          19 6.1306e-010 6.9805e-010 1.3963e-010 9.6643e-010 4.4973e-010 1.9553e-014 7.0377e-009 1.4035e-007 3.1516e-006 1.8032e-005 2.8131e-004 7.1325e-004 7.8486e-003 1.0594e-002 5.6925e-002 5.1453e-002 4.7481e-002 3.5513e-002 3.9739e-002 2.8754e-002 1.9348e-002 1.3749e-002 1.1721e-001 9.7611e-002 1.1249e-001 1.2058e-001 5.2197e-002 8.5021e-002 1.3722e-002 4.5581e-002 1.5235e-003 2.1231e-002 1.6868e-005 9.2998e-003 5.1630e-004 4.0282e-003 7.5424e-004 1.7748e-003 6.5925e-004 7.9276e-004 4.6266e-004 3.4102e-004 2.4189e-004 1.3039e-004 4.4286e-005
          20 3.1841e-010 4.2152e-010 1.7541e-010 2.4488e-010 3.5577e-010 1.0128e-011 3.2823e-009 2.6560e-008 1.3961e-006 2.7569e-006 1.3000e-004 8.5220e-005 3.8539e-003 1.0541e-003 3.3060e-002 6.1264e-003 4.9495e-002 1.2834e-002 4.0252e-003 2.3616e-004 4.5974e-002 1.8170e-002 4.3584e-002 5.3917e-003 2.1412e-005 5.6386e-003 4.2300e-002 3.8971e-002 1.0700e-001 6.3649e-002 1.2623e-001 6.1977e-002 1.0411e-001 4.4952e-002 6.8856e-002 2.6459e-002 3.8643e-002 1.2894e-002 1.8541e-002 4.9144e-003 7.1174e-003 1.0833e-003 1.5493e-003 2.5875e-006 1.4636e-005
          21 8.8772e-011 1.2306e-010 6.2265e-011 4.5312e-011 1.0874e-010 7.4055e-012 8.9097e-010 4.8301e-009 3.6493e-007 4.1574e-007 3.4431e-005 9.9569e-006 1.0354e-003 9.1351e-005 9.2962e-003 5.6314e-004 1.6216e-002 2.3592e-003 1.8810e-004 1.0379e-003 1.5447e-002 3.8212e-003 6.8230e-003 4.0707e-005 2.0912e-003 7.1549e-003 1.8582e-002 1.1717e-002 2.1099e-002 4.9574e-003 7.7506e-003 4.0032e-005 7.3394e-006 9.2888e-003 1.0062e-002 3.3406e-002 3.6057e-002 6.6531e-002 7.0873e-002 1.0315e-001 1.0911e-001 1.3850e-001 1.3738e-001 1.2337e-001 3.0596e-002
