   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27
          13 1.7402e-009 4.6615e-008 3.6483e-006 7.2305e-006 9.6390e-007 7.4563e-005 1.1920e-005 4.8193e-004 2.3589e-005 4.5042e-003 6.1812e-003 2.9735e-001 3.3016e-001 1.4996e-002 2.0608e-002 7.1765e-002 8.9690e-002 7.3969e-002 4.7123e-002 2.4756e-002 1.1149e-002 4.4191e-003 1.5436e-003 4.6495e-004 1.1168e-004 1.7268e-005 6.4677e-007 2.5083e-007
          14 4.8037e-010 1.1457e-007 1.1178e-006 4.8824e-009 1.2003e-005 1.5340e-005 4.4854e-005 1.2054e-004 3.3320e-004 3.2727e-004 4.3643e-003 3.5643e-003 3.1013e-001 3.3359e-001 2.2073e-002 1.1395e-002 5.2337e-002 7.3338e-002 6.8110e-002 5.0328e-002 3.1756e-002 1.8045e-002 9.5781e-003 4.8847e-003 2.4244e-003 1.1774e-003 5.5239e-004 2.2963e-004
          15 6.0756e-010 1.6645e-008 1.9493e-009 1.7634e-006 5.7352e-006 1.1015e-006 4.4241e-005 2.1180e-006 2.4353e-004 1.2249e-004 8.2278e-004 3.7086e-003 2.0622e-003 3.2504e-001 3.3097e-001 3.1570e-002 4.8174e-003 3.5670e-002 5.6230e-002 5.8046e-002 4.8313e-002 3.5124e-002 2.3434e-002 1.4900e-002 9.1778e-003 5.4813e-003 3.0883e-003 1.4698e-003
          16 2.1643e-009 3.2932e-009 3.7339e-007 1.7618e-006 1.4790e-007 9.4129e-006 7.4550e-006 3.9956e-005 2.1897e-005 2.7657e-004 4.3114e-006 1.3133e-003 2.8063e-003 1.3158e-003 3.4381e-001 3.2021e-001 4.3925e-002 9.2280e-004 2.1824e-002 3.9903e-002 4.5353e-002 4.1575e-002 3.3586e-002 2.5143e-002 1.7827e-002 1.1996e-002 7.4297e-003 3.7695e-003
          17 8.4104e-010 1.1586e-008 4.2771e-007 3.5987e-007 1.0658e-006 6.1990e-006 8.4393e-007 3.1180e-005 8.3195e-006 1.0049e-004 1.9997e-004 5.5416e-005 1.6426e-003 1.8525e-003 1.0665e-003 3.6804e-001 2.9949e-001 5.9179e-002 1.1914e-004 1.0966e-002 2.5337e-002 3.1925e-002 3.1781e-002 2.7819e-002 2.2293e-002 1.6520e-002 1.1002e-002 5.8525e-003
          18 1.3747e-011 6.9586e-009 1.4790e-007 2.3121e-008 1.9323e-006 8.1546e-007 6.8872e-006 5.9332e-006 3.2564e-005 4.6520e-006 1.6497e-004 7.8369e-005 2.5688e-004 1.7246e-003 1.0312e-003 1.2553e-003 3.9789e-001 2.6617e-001 7.7975e-002 3.0910e-003 3.5912e-003 1.3439e-002 1.9456e-002 2.1077e-002 1.9529e-002 1.6041e-002 1.1471e-002 6.3750e-003
          19 6.1142e-010 2.4453e-009 9.9377e-010 3.0490e-007 9.4890e-007 1.9068e-007 5.9707e-006 2.7937e-007 2.3616e-005 1.0124e-005 4.8874e-005 1.6037e-004 3.8141e-006 5.2518e-004 1.5791e-003 4.4079e-004 2.1786e-003 4.3500e-001 2.1665e-001 9.9121e-002 1.1321e-002 1.2608e-004 4.9689e-003 9.5105e-003 1.1389e-002 1.0884e-002 8.5611e-003 5.0282e-003
          20 6.3391e-010 5.4591e-010 5.2270e-008 3.3218e-007 1.0281e-007 1.1672e-006 1.8217e-006 4.2271e-006 5.7210e-006 2.4966e-005 1.0111e-006 1.0493e-004 9.5223e-005 2.8191e-005 7.4861e-004 1.2958e-003 7.6119e-005 4.8955e-003 4.8053e-001 1.5371e-001 1.1581e-001 2.5772e-002 1.8356e-003 4.4028e-004 2.7269e-003 4.1436e-003 4.0295e-003 2.6285e-003
          21 1.4781e-010 1.5411e-012 1.0680e-007 1.5306e-007 3.5298e-008 1.2841e-006 6.1913e-008 5.1294e-006 2.0535e-008 1.8825e-005 7.4647e-006 2.9257e-005 1.2121e-004 2.1921e-005 1.5060e-004 8.5069e-004 9.7261e-004 1.8443e-005 1.1076e-002 5.2742e-001 8.4624e-002 1.2032e-001 4.5062e-002 1.0325e-002 1.1158e-003 1.0683e-005 3.7804e-004 4.5788e-004
          22 1.0466e-011 3.6348e-010 8.4366e-008 2.6325e-008 1.9517e-007 7.3658e-007 2.3242e-007 3.1183e-006 1.4653e-006 7.4837e-006 1.6607e-005 1.1196e-006 7.1355e-005 8.3176e-005 2.0668e-006 3.0743e-004 8.3702e-004 6.0838e-004 3.0954e-004 2.4247e-002 5.6781e-001 2.6037e-002 1.0231e-001 6.1489e-002 2.4624e-002 8.0493e-003 2.2904e-003 5.7521e-004
          23 1.8523e-010 1.1718e-009 3.5695e-008 3.0581e-010 2.4216e-007 2.3483e-007 6.8261e-007 1.1300e-006 3.0866e-006 1.3203e-006 1.5421e-005 2.7382e-006 2.4138e-005 8.5856e-005 2.6370e-005 5.9372e-005 4.2431e-004 7.3048e-004 3.1987e-004 1.0622e-003 4.9426e-002 5.8297e-001 1.0318e-004 6.1467e-002 6.1698e-002 3.6376e-002 1.7529e-002 7.1244e-003
          24 2.9118e-010 1.6710e-009 6.5301e-009 1.5620e-008 1.8343e-007 2.1121e-008 7.9817e-007 1.7105e-007 3.1595e-006 4.3995e-009 9.5514e-006 8.5884e-006 3.6696e-006 5.3805e-005 5.7341e-005 7.3459e-008 1.5859e-004 4.7450e-004 5.4170e-004 1.1701e-004 2.5558e-003 9.3415e-002 5.5574e-001 2.0522e-002 1.7002e-002 3.7400e-002 3.0464e-002 1.6194e-002
          25 2.3346e-010 1.5330e-009 3.1265e-012 2.9521e-008 1.0452e-007 9.9502e-009 6.4454e-007 5.3649e-009 2.3145e-006 6.9644e-007 4.3130e-006 1.0631e-005 2.8150e-008 2.5628e-005 5.6851e-005 1.4786e-005 3.3138e-005 2.5497e-004 4.4041e-004 3.3927e-004 1.5874e-005 5.1505e-003 1.5995e-001 4.7798e-001 7.2917e-002 1.7927e-004 6.7275e-003 8.1917e-003
          26 1.1991e-010 1.0159e-009 2.6444e-009 3.1939e-008 4.7557e-008 5.9170e-008 4.1313e-007 1.4248e-007 1.3438e-006 1.4614e-006 1.3467e-006 9.2302e-006 1.9865e-006 9.5936e-006 4.2510e-005 2.9861e-005 1.4339e-006 1.0295e-004 2.9530e-004 3.4523e-004 1.7773e-004 1.3731e-005 9.1527e-003 2.4834e-001 3.6277e-001 1.1704e-001 2.0031e-002 2.0027e-003
          27 3.9570e-011 5.0892e-010 5.3919e-009 2.6685e-008 1.7175e-008 9.1670e-008 2.2186e-007 2.7261e-007 6.4125e-007 1.6702e-006 2.1919e-007 6.4884e-006 3.9219e-006 2.5548e-006 2.7244e-005 3.2316e-005 1.8689e-006 3.3383e-005 1.6190e-004 2.6683e-004 2.1553e-004 6.2842e-005 1.9572e-004 1.3667e-002 3.5478e-001 2.3793e-001 1.1560e-001 3.8332e-002
          28 6.6913e-012 1.9606e-010 5.8496e-009 1.8986e-008 4.6610e-009 9.1819e-008 1.0323e-007 2.9936e-007 2.5700e-007 1.4231e-006 8.0876e-010 3.9423e-006 4.2917e-006 3.4698e-007 1.5587e-005 2.6749e-005 6.5150e-006 8.8883e-006 8.0931e-005 1.7259e-004 1.8360e-004 9.8757e-005 4.3839e-006 7.7488e-004 1.6321e-002 4.7611e-001 1.2969e-001 6.7050e-002
          29 9.1108e-014 5.8435e-011 4.5814e-009 1.1725e-008 8.4065e-010 6.9860e-008 4.2605e-008 2.3935e-007 8.8365e-008 9.7917e-007 3.4998e-008 2.1191e-006 3.4007e-006 6.1282e-010 8.0229e-006 1.8168e-005 7.7251e-006 1.8023e-006 3.8284e-005 9.9089e-005 1.2328e-004 8.8215e-005 2.2244e-005 4.1843e-005 1.9701e-003 1.4153e-002 6.1444e-001 5.2763e-002
          30 3.3366e-013 1.2897e-011 2.3766e-009 5.3476e-009 7.8823e-011 3.5841e-008 1.4151e-008 1.2601e-007 2.4453e-008 4.7391e-007 4.6278e-008 8.7503e-007 1.7775e-006 2.9096e-008 3.2173e-006 8.7450e-006 4.8417e-006 2.4229e-007 1.4683e-005 4.3275e-005 5.8802e-005 4.7546e-005 1.9599e-005 1.3791e-006 2.8939e-004 2.7723e-003 6.1514e-003 7.7153e-001
