   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29
           0 8.8100e-001 1.1560e-001 3.3744e-003 2.2519e-005 1.9019e-008 2.1311e-008 3.8769e-011 5.7646e-009 1.0797e-008 2.2492e-010 1.8539e-009 1.2719e-010 7.1257e-010 7.9001e-011 6.6708e-010 6.5588e-011 2.0838e-010 3.9955e-010 1.1110e-010 4.3127e-012 9.9084e-011 1.4240e-010 1.0641e-010 5.7291e-011 2.6015e-011 1.3441e-011 1.0342e-011 7.5816e-012 5.1566e-012 3.2697e-012
           1 1.0572e-001 6.6679e-001 2.1688e-001 1.0514e-002 9.4181e-005 7.6528e-008 2.9136e-009 1.5490e-011 3.9260e-008 2.5491e-008 3.0078e-010 1.9887e-009 2.9838e-009 2.1995e-009 1.1892e-009 3.2643e-009 2.5711e-010 6.4924e-010 1.1543e-009 3.5807e-010 4.1487e-013 1.0125e-010 1.6207e-010 1.1955e-010 6.2894e-011 3.4832e-011 2.8068e-011 2.1338e-011 1.4903e-011 9.6201e-012
           2 1.1654e-002 1.8042e-001 4.8467e-001 3.0147e-001 2.1521e-002 2.7053e-004 9.2512e-007 2.2745e-008 1.1164e-009 5.7959e-008 2.2585e-008 2.2293e-010 3.4679e-010 6.6574e-009 1.2680e-009 1.5445e-009 1.1008e-009 1.2024e-010 8.8493e-010 2.7377e-010 2.6551e-011 3.3930e-010 4.3992e-010 3.0466e-010 1.5611e-010 8.5418e-011 6.8282e-011 5.1586e-011 3.5865e-011 2.3080e-011
           3 1.4037e-003 3.1029e-002 2.2565e-001 3.3351e-001 3.7038e-001 3.7326e-002 6.7985e-004 4.8984e-006 6.4918e-008 5.3768e-008 6.8151e-008 2.2338e-009 2.9538e-009 3.1771e-009 1.7402e-008 3.3243e-010 4.5405e-009 1.5805e-009 3.0690e-010 1.5090e-009 7.3635e-010 6.5044e-011 1.5060e-011 5.6863e-011 4.6339e-011 3.0482e-011 2.7274e-011 2.2408e-011 1.6523e-011 1.1051e-011
           4 1.8892e-004 5.0794e-003 5.4690e-002 2.4679e-001 2.1021e-001 4.2260e-001 5.8904e-002 1.5185e-003 1.3319e-005 1.4438e-008 1.7007e-007 8.9178e-010 9.1556e-010 3.2909e-008 2.5469e-010 1.5401e-008 4.0667e-009 2.4710e-010 2.1852e-010 2.0759e-010 6.3504e-013 1.7510e-010 3.5882e-010 3.0281e-010 1.7039e-010 9.7439e-011 8.0202e-011 6.1994e-011 4.3825e-011 2.8520e-011
           5 2.9967e-005 8.6841e-004 1.1595e-002 7.9554e-002 2.4828e-001 1.1501e-001 4.5569e-001 8.6076e-002 2.8769e-003 2.0611e-005 3.1895e-007 6.5713e-008 4.3677e-008 4.0379e-009 1.2288e-008 1.9005e-009 1.3646e-011 5.4518e-010 2.6658e-009 3.9613e-009 2.3826e-009 7.0285e-010 1.0256e-010 4.7894e-012 1.6021e-013 9.2340e-013 1.5548e-012 1.8096e-012 1.6364e-012 1.2337e-012
           6 4.7500e-006 1.6681e-004 2.4333e-003 2.1014e-002 1.0294e-001 2.3281e-001 4.9753e-002 4.6859e-001 1.1739e-001 4.8501e-003 3.0864e-005 9.2908e-007 3.4708e-008 4.2414e-008 5.8642e-008 1.1598e-008 3.2089e-009 1.4282e-011 7.9066e-010 4.4941e-010 5.7920e-010 3.0019e-009 3.3166e-009 2.0865e-009 1.0100e-009 5.3633e-010 4.1982e-010 3.1178e-010 2.1400e-010 1.3651e-010
           7 7.6250e-007 3.3027e-005 5.3892e-004 5.2650e-003 3.2789e-002 1.2205e-001 2.0189e-001 1.2836e-002 4.6367e-001 1.5324e-001 7.6600e-003 4.0358e-005 2.0560e-006 1.1708e-011 1.3935e-008 1.4845e-007 1.3973e-009 5.2761e-010 2.0005e-009 7.1272e-010 5.9321e-009 3.4817e-009 5.1152e-010 5.5131e-013 3.5204e-011 4.4829e-011 5.4270e-011 5.4022e-011 4.4972e-011 3.2398e-011
           8 1.6867e-007 6.8873e-006 1.2542e-004 1.3506e-003 9.6745e-003 4.6128e-002 1.3526e-001 1.6199e-001 1.1678e-004 4.4201e-001 1.9194e-001 1.1347e-002 4.9197e-005 3.5638e-006 8.0882e-008 2.4227e-008 7.9436e-008 1.5926e-008 7.1610e-009 4.2583e-010 1.3682e-009 2.4283e-009 1.3834e-009 5.4255e-010 1.9686e-010 8.9570e-011 6.2818e-011 4.2609e-011 2.7304e-011 1.6609e-011
           9 4.2705e-008 1.6881e-006 3.1555e-005 3.5734e-004 2.8506e-003 1.5742e-002 6.0120e-002 1.3963e-001 1.1822e-001 6.7352e-003 4.0698e-001 2.3319e-001 1.6073e-002 5.2855e-005 5.8385e-006 2.3557e-007 1.0085e-008 1.3704e-007 1.0338e-008 9.5302e-009 2.0151e-008 7.5445e-009 4.2252e-010 1.0165e-010 2.4456e-010 2.0448e-010 2.0521e-010 1.8115e-010 1.3959e-010 9.5825e-011
