   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
          10 4.2170e-008 6.7924e-008 2.2837e-007 4.3158e-007 7.5069e-005 8.4960e-004 8.0548e-002 3.9434e-001 1.1383e-001 7.5099e-002 1.6462e-003 2.9066e-002 5.1665e-002 2.8615e-002 3.8762e-003 1.8894e-003 1.4997e-002 2.8749e-002 3.5653e-002 3.5216e-002 3.0213e-002 2.3546e-002 1.7099e-002 1.1776e-002 7.8050e-003 5.0361e-003 3.1887e-003 1.9923e-003 1.2344e-003 7.6206e-004 4.7034e-004 2.9056e-004 1.7946e-004 1.1060e-004 6.7947e-005 4.1623e-005 2.5461e-005 1.5558e-005 9.4595e-006 5.6275e-006 3.0826e-006 1.2437e-006 3.6347e-007
          11 3.2869e-010 3.9960e-007 2.0139e-006 1.1296e-006 2.9404e-006 2.9429e-004 1.1300e-006 6.5054e-002 4.2208e-001 1.4790e-001 5.6543e-002 3.4589e-003 2.1428e-002 4.4783e-002 3.0272e-002 7.0615e-003 1.7924e-004 8.4410e-003 2.0723e-002 2.9059e-002 3.1243e-002 2.8755e-002 2.3847e-002 1.8318e-002 1.3298e-002 9.2708e-003 6.2742e-003 4.1499e-003 2.6984e-003 1.7364e-003 1.1127e-003 7.1273e-004 4.5666e-004 2.9244e-004 1.8714e-004 1.1977e-004 7.6741e-005 4.9172e-005 3.1299e-005 1.9394e-005 1.0968e-005 4.5115e-006 1.3279e-006
          12 2.9769e-008 2.4059e-007 4.9455e-007 8.4104e-010 3.2321e-010 1.1033e-007 5.9609e-004 1.9018e-003 3.7322e-002 4.3115e-001 2.1779e-001 3.0786e-002 4.9286e-003 1.8331e-002 3.7765e-002 2.9074e-002 8.7682e-003 4.1687e-005 4.6731e-003 1.4685e-002 2.2911e-002 2.6551e-002 2.5919e-002 2.2615e-002 1.8244e-002 1.3888e-002 1.0117e-002 7.1308e-003 4.9052e-003 3.3144e-003 2.2114e-003 1.4640e-003 9.6570e-004 6.3657e-004 4.2002e-004 2.7753e-004 1.8356e-004 1.2123e-004 7.9346e-005 5.0407e-005 2.9095e-005 1.2125e-005 3.5867e-006
          13 1.1393e-008 6.2095e-009 1.2674e-008 3.6824e-007 8.1830e-008 1.2043e-006 2.7947e-005 5.2256e-004 8.6453e-003 7.3436e-003 3.9046e-001 3.3205e-001 5.7558e-003 7.5009e-003 1.9985e-002 3.0539e-002 2.6314e-002 8.8017e-003 2.8557e-004 2.6819e-003 1.0553e-002 1.7876e-002 2.1976e-002 2.2500e-002 2.0449e-002 1.7164e-002 1.3584e-002 1.0263e-002 7.4886e-003 5.3327e-003 3.7283e-003 2.5684e-003 1.7507e-003 1.1870e-003 8.0408e-004 5.4497e-004 3.6917e-004 2.4911e-004 1.6614e-004 1.0726e-004 6.2720e-005 2.6358e-005 7.8217e-006
          14 3.3720e-010 2.0194e-008 2.9609e-007 5.9946e-007 1.3831e-008 6.3296e-010 7.6652e-007 1.5808e-004 2.3344e-005 1.6766e-002 4.5508e-003 2.6651e-001 4.6524e-001 4.5257e-003 1.5715e-002 3.0043e-002 2.1603e-002 2.3975e-002 7.2674e-003 4.1119e-004 1.8331e-003 7.9706e-003 1.4225e-002 1.8145e-002 1.9113e-002 1.7939e-002 1.5513e-002 1.2610e-002 9.8097e-003 7.3854e-003 5.4115e-003 3.8831e-003 2.7485e-003 1.9284e-003 1.3439e-003 9.3123e-004 6.4240e-004 4.4094e-004 2.9912e-004 1.9617e-004 1.1615e-004 4.9180e-005 1.4634e-005
          15 6.1409e-009 3.7796e-008 3.4182e-007 2.7995e-007 8.2199e-008 3.1924e-007 1.0235e-006 7.0411e-006 2.9300e-004 1.1190e-003 1.4631e-002 5.6864e-002 8.6532e-002 5.1950e-001 5.7218e-002 4.0646e-002 6.0574e-002 8.8453e-003 2.4896e-002 4.0608e-003 4.0913e-004 1.7029e-003 6.3744e-003 1.1621e-002 1.4883e-002 1.5880e-002 1.5212e-002 1.3359e-002 1.1084e-002 8.8323e-003 6.7874e-003 5.0773e-003 3.7348e-003 2.7101e-003 1.9411e-003 1.3766e-003 9.7047e-004 6.7966e-004 4.6884e-004 3.1127e-004 1.8578e-004 7.9001e-005 2.3544e-005
          16 5.0855e-009 2.9431e-008 1.5968e-007 1.8826e-008 2.6474e-007 1.7640e-007 5.4429e-008 5.2195e-007 8.9589e-005 4.8981e-005 6.4021e-003 9.7776e-004 1.2363e-001 1.7473e-003 3.5795e-001 1.3789e-001 9.1053e-002 1.3646e-001 1.3381e-004 3.7459e-002 1.8231e-004 8.3067e-004 2.6658e-003 4.8897e-003 1.0043e-002 1.1866e-002 1.2943e-002 1.2334e-002 1.0905e-002 9.2174e-003 7.3992e-003 5.7697e-003 4.4119e-003 3.2951e-003 2.4198e-003 1.7632e-003 1.2742e-003 9.0781e-004 6.3309e-004 4.2403e-004 2.5515e-004 1.0913e-004 3.2597e-005
          17 1.5803e-009 1.5341e-008 3.1485e-008 2.0987e-008 2.1691e-007 2.2435e-009 2.4164e-008 9.8008e-007 1.1274e-005 1.6401e-004 7.8297e-004 7.6777e-003 1.8416e-002 7.9519e-002 1.4136e-001 6.5808e-002 1.0839e-001 1.0909e-001 2.4574e-001 3.1589e-002 8.5332e-002 9.9390e-003 6.2585e-003 9.0453e-003 1.7977e-003 1.1048e-002 7.9686e-003 1.0916e-002 9.0718e-003 8.5860e-003 7.0280e-003 5.7318e-003 4.5407e-003 3.4567e-003 2.6244e-003 1.9612e-003 1.4325e-003 1.0350e-003 7.3656e-004 5.0162e-004 3.0447e-004 1.3064e-004 3.9057e-005
          18 1.6468e-010 5.7294e-009 4.2271e-010 6.6378e-008 9.3216e-008 3.5674e-008 4.8433e-008 3.0356e-007 4.9575e-007 8.7782e-005 1.2094e-005 4.4943e-003 3.7450e-005 6.4595e-002 8.3262e-004 1.9224e-001 2.2377e-002 1.8640e-003 1.4284e-002 1.9537e-001 8.2791e-002 1.6703e-001 8.0600e-002 4.6276e-002 4.8952e-002 3.0525e-003 2.6405e-002 8.8151e-004 1.4371e-002 3.6143e-003 8.0420e-003 3.8901e-003 4.5383e-003 2.8737e-003 2.5265e-003 1.7962e-003 1.3657e-003 1.0153e-003 7.1478e-004 4.8997e-004 3.0240e-004 1.3101e-004 3.9281e-005
          19 1.5526e-012 1.5546e-009 2.6730e-009 6.2719e-008 2.7260e-008 6.0899e-008 2.8869e-008 4.7897e-008 1.1120e-008 3.1655e-005 1.4655e-005 1.6050e-003 1.1142e-003 2.4139e-002 1.1887e-002 9.8239e-002 7.4156e-003 3.8931e-002 3.1085e-002 5.9713e-002 3.3824e-003 5.4554e-003 7.2644e-002 1.0222e-001 9.7906e-002 1.4548e-001 6.0163e-002 1.0781e-001 2.2560e-002 5.7845e-002 5.2231e-003 2.5801e-002 4.9616e-004 1.0318e-002 1.9062e-005 3.8833e-003 2.4476e-004 1.4113e-003 3.2799e-004 4.7336e-004 2.2880e-004 9.4172e-005 2.8550e-005
          20 1.8841e-011 2.9199e-010 2.9030e-009 2.8039e-008 5.6419e-009 3.2350e-008 9.4398e-009 4.6853e-009 3.9532e-008 8.3483e-006 1.4204e-005 4.0797e-004 8.3686e-004 5.8996e-003 9.8321e-003 2.5589e-002 1.4787e-002 1.9162e-002 5.8789e-003 4.1055e-003 1.9994e-002 1.3908e-002 3.5903e-002 1.8059e-002 3.0077e-003 2.7269e-004 1.6354e-002 1.5211e-002 6.9435e-002 4.8086e-002 1.0671e-001 6.7081e-002 1.0923e-001 6.5241e-002 8.9222e-002 5.1583e-002 6.3051e-002 3.5583e-002 3.9684e-002 2.1177e-002 1.8869e-002 4.5321e-003 8.6060e-005
