   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 2.9022e-002 1.3085e-001 2.5366e-001 2.7848e-001 1.9145e-001 8.5840e-002 2.5276e-002 4.7839e-003 5.4871e-004 3.3386e-005 7.3156e-007 7.2921e-010 1.4995e-008 1.5760e-008 4.0548e-009 9.0257e-010 2.8469e-009 6.3597e-010 6.3741e-010 1.2290e-009 3.3502e-010 3.3360e-012 2.3906e-011 5.3326e-012
           1 7.6862e-002 1.8091e-001 1.0665e-001 1.7732e-004 9.9535e-002 2.2867e-001 1.9466e-001 8.7153e-002 2.2120e-002 3.1021e-003 2.1018e-004 4.4018e-006 3.2811e-009 2.1356e-008 1.8636e-008 1.0469e-008 1.7214e-011 4.7855e-009 9.8316e-011 1.5629e-009 1.3724e-009 2.6917e-010 6.9922e-012 9.3322e-014
           2 1.1720e-001 1.2385e-001 1.3613e-003 8.8000e-002 1.0075e-001 3.2602e-004 1.0817e-001 2.2930e-001 1.6445e-001 5.6361e-002 9.5574e-003 6.9524e-004 1.1744e-005 7.7652e-008 2.2406e-008 3.7849e-009 6.3588e-009 5.7096e-010 2.0610e-009 4.4101e-011 8.8557e-010 4.8004e-010 9.2851e-011 4.8491e-012
           3 1.3592e-001 4.7189e-002 3.1525e-002 9.0266e-002 7.0340e-005 9.3766e-002 6.5134e-002 1.0465e-002 1.7485e-001 2.2314e-001 1.0479e-001 2.1231e-002 1.5862e-003 1.6056e-005 8.8800e-007 4.7843e-008 6.6184e-009 1.6783e-008 1.8770e-011 6.2542e-009 1.2613e-009 1.5456e-010 5.8852e-010 8.5664e-011
           4 1.3382e-001 5.6743e-003 7.4053e-002 2.0901e-002 4.7845e-002 5.6218e-002 1.3264e-002 1.0796e-001 1.2025e-002 8.5813e-002 2.4220e-001 1.5942e-001 3.7991e-002 2.7338e-003 7.2964e-006 3.9963e-006 1.8012e-012 2.0086e-009 1.5732e-008 2.0023e-010 2.0607e-009 9.1271e-010 7.2689e-011 8.7719e-013
           5 1.1847e-001 2.0346e-003 7.2450e-002 1.0432e-003 7.0356e-002 1.1047e-004 7.5403e-002 9.6312e-003 6.9489e-002 6.4454e-002 2.0182e-002 2.2302e-001 2.1178e-001 5.7964e-002 3.6165e-003 3.3632e-006 9.9879e-006 3.2455e-007 2.7671e-009 3.5504e-008 1.4200e-008 1.6269e-010 4.5767e-010 8.8414e-011
           6 9.7555e-002 1.7941e-002 4.3390e-002 2.5279e-002 3.3850e-002 2.8244e-002 3.7250e-002 2.6128e-002 5.5130e-002 1.5210e-002 9.9231e-002 4.4904e-006 1.8217e-001 2.5730e-001 7.7794e-002 3.4754e-003 1.0723e-004 1.0125e-005 2.6913e-006 3.1569e-007 1.3425e-009 3.0351e-008 1.4984e-008 1.3219e-009
           7 7.6426e-002 3.6731e-002 1.5379e-002 4.7706e-002 3.1248e-003 5.3046e-002 3.4676e-004 5.9010e-002 5.1802e-005 7.0323e-002 8.7632e-004 9.2458e-002 1.4153e-002 1.3849e-001 2.9663e-001 9.2844e-002 1.9098e-003 4.7304e-004 4.9070e-008 6.1433e-006 2.2190e-006 4.0144e-007 5.7477e-008 3.3017e-009
           8 5.7856e-002 4.9934e-002 1.5317e-003 4.9043e-002 3.8053e-003 3.8289e-002 1.6040e-002 2.8071e-002 2.9540e-002 2.2234e-002 4.3184e-002 2.3085e-002 6.0149e-002 3.9881e-002 1.0494e-001 3.3418e-001 9.7083e-002 9.1533e-005 9.7072e-004 7.5636e-005 2.3544e-008 2.4209e-006 1.6473e-006 1.7171e-007
           9 4.2789e-002 5.5607e-002 1.1695e-003 3.5209e-002 2.0320e-002 1.2234e-002 3.8116e-002 9.9952e-004 4.6522e-002 1.5855e-003 4.8640e-002 1.0545e-002 5.0303e-002 2.7239e-002 5.9873e-002 8.7615e-002 3.7469e-001 8.3283e-002 2.0711e-003 7.2967e-004 3.7930e-004 7.3529e-005 1.0299e-005 5.6305e-007
