   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68
           0 9.9093e-001 8.9200e-003 1.4383e-004 4.6818e-006 2.1375e-037 3.1102e-036 1.0173e-034 5.5144e-033 1.5028e-030 4.3834e-019 1.8799e-029 9.8886e-029 1.7349e-027 5.9256e-026 1.0140e-023 2.1147e-011 3.9110e-023 7.1429e-023 3.3688e-022 2.5211e-021 5.3177e-020 6.0755e-010 2.0993e-020 3.7043e-020 8.6086e-019 1.3677e-017 4.5444e-016 4.7569e-009 9.1797e-015 2.9213e-015 5.1724e-015 1.6151e-014 9.9048e-014 3.9249e-010 6.8214e-010 2.0133e-013 3.4457e-014 6.0225e-015 6.2812e-013 2.4875e-011 5.2228e-010 7.2687e-011 3.5064e-011 4.4082e-011 8.2309e-011 1.9894e-010 4.7282e-010 5.9585e-010 3.9355e-010 2.4662e-010 1.8202e-010 1.5401e-010 1.4105e-010 1.3144e-010 1.1647e-010 9.2198e-011 6.2673e-011 3.5862e-011 1.6672e-011 5.5104e-012 6.4079e-013 3.8250e-013 3.8287e-012 1.0463e-011 2.0000e-011 3.1749e-011 4.4943e-011 5.8125e-011 6.9336e-011
           1 9.0636e-003 9.6912e-001 2.1218e-002 5.7448e-004 2.8990e-035 5.5707e-034 2.4731e-032 1.7034e-030 4.8472e-028 1.3323e-016 4.8140e-027 1.6217e-026 1.6937e-025 3.5783e-024 4.1970e-022 7.8765e-010 1.2634e-021 2.0869e-021 1.0570e-020 1.0713e-019 4.6310e-018 9.8598e-008 1.5257e-017 1.0351e-017 2.4483e-017 1.1121e-016 1.4844e-015 9.4059e-009 1.4466e-014 2.5359e-015 2.8089e-015 6.3840e-015 3.4961e-014 1.6480e-010 2.8902e-010 1.5722e-013 1.2517e-013 2.4490e-013 9.5314e-013 1.2925e-011 1.9018e-010 1.9123e-011 6.0160e-012 5.3484e-012 7.3593e-012 1.3334e-011 2.4030e-011 2.2870e-011 1.0521e-011 3.9217e-012 1.2844e-012 2.0379e-013 4.8312e-014 9.1283e-013 3.0774e-012 6.4407e-012 1.0269e-011 1.3727e-011 1.6464e-011 1.8638e-011 2.0684e-011 2.2871e-011 2.5035e-011 2.7143e-011 2.9140e-011 3.0516e-011 3.1220e-011 3.0896e-011 2.9369e-011
           2 3.7004e-006 2.1936e-002 9.3782e-001 3.8560e-002 1.8818e-033 3.3742e-032 1.4326e-030 9.7517e-029 2.8235e-026 7.8567e-015 2.8994e-025 1.0097e-024 1.0740e-023 2.2575e-022 2.5715e-020 4.7521e-008 7.3878e-020 1.1596e-019 5.6425e-019 5.6424e-018 2.5017e-016 5.4698e-006 8.8560e-016 6.7795e-016 1.8959e-015 1.0608e-014 1.8010e-013 1.3560e-006 2.2779e-012 5.2030e-013 7.3627e-013 2.0288e-012 1.2267e-011 5.5800e-008 9.7575e-008 4.3583e-011 2.4229e-011 2.9030e-011 6.3284e-011 4.6351e-010 4.9325e-009 3.4248e-010 5.9483e-011 3.2018e-011 3.2127e-011 5.4747e-011 1.1778e-010 1.5771e-010 1.2485e-010 1.0384e-010 1.0760e-010 1.3062e-010 1.7257e-010 2.3226e-010 2.9891e-010 3.5000e-010 3.6661e-010 3.4938e-010 3.1286e-010 2.7172e-010 2.3474e-010 2.0278e-010 1.7264e-010 1.4393e-010 1.1633e-010 8.8765e-011 6.3057e-011 4.0227e-011 2.1975e-011
           3 2.6890e-008 2.9308e-005 4.0662e-002 8.9143e-001 5.0550e-032 1.1546e-030 5.6076e-029 4.0236e-027 1.1604e-024 3.1925e-013 1.1517e-023 3.8486e-023 3.9651e-022 8.2112e-021 9.3732e-019 1.7390e-006 2.7288e-018 4.3487e-018 2.1325e-017 2.1169e-016 9.1449e-015 1.9640e-004 3.0989e-014 2.2440e-014 5.9172e-014 3.1445e-013 5.1578e-012 3.8473e-005 6.4642e-011 1.5094e-011 2.2606e-011 6.8374e-011 4.7083e-010 2.5263e-006 4.4381e-006 2.4219e-009 1.7105e-009 2.6973e-009 7.9965e-009 8.1321e-008 1.0320e-006 8.7904e-008 2.1278e-008 1.5026e-008 1.7230e-008 2.7638e-008 4.7255e-008 4.5616e-008 2.3332e-008 1.1506e-008 6.9665e-009 5.1141e-009 4.3356e-009 4.0151e-009 3.8158e-009 3.5237e-009 3.0896e-009 2.6045e-009 2.1739e-009 1.8485e-009 1.6354e-009 1.5083e-009 1.4261e-009 1.3721e-009 1.3334e-009 1.2824e-009 1.2174e-009 1.1256e-009 1.0042e-009
           4 5.6763e-011 3.9284e-007 1.5269e-004 6.8766e-002 6.8013e-034 1.1110e-030 1.8484e-028 2.7352e-026 1.2862e-023 4.1108e-012 1.7920e-022 7.5679e-022 9.0863e-021 2.0647e-019 2.4769e-017 4.6434e-005 7.3707e-017 1.1821e-016 5.7926e-016 5.7336e-015 2.4681e-013 5.2902e-003 8.3214e-013 5.9726e-013 1.5514e-012 8.0546e-012 1.2796e-010 9.3031e-004 1.5415e-009 3.4429e-010 4.9269e-010 1.4287e-009 9.5063e-009 4.9864e-005 8.7562e-005 4.7391e-008 3.3719e-008 5.4465e-008 1.6808e-007 1.8042e-006 2.3665e-005 2.1025e-006 5.5145e-007 4.2637e-007 5.3847e-007 9.5179e-007 1.7793e-006 1.8605e-006 1.0343e-006 5.5482e-007 3.6184e-007 2.8113e-007 2.4658e-007 2.3032e-007 2.1512e-007 1.9044e-007 1.5640e-007 1.2092e-007 9.0977e-008 6.8919e-008 5.4007e-008 4.4075e-008 3.7016e-008 3.1897e-008 2.8055e-008 2.4732e-008 2.1828e-008 1.9045e-008 1.6290e-008
           5 5.7227e-009 8.4656e-010 2.9082e-006 6.4972e-004 9.8078e-032 1.4363e-029 1.0395e-027 5.9003e-026 5.7421e-024 5.5807e-013 8.4185e-025 4.3487e-022 1.7683e-020 8.0738e-019 1.5428e-016 3.3020e-004 6.4000e-016 1.3085e-015 7.6752e-015 8.6836e-014 4.1292e-012 9.1791e-002 1.4998e-011 1.1379e-011 3.0792e-011 1.6456e-010 2.6623e-009 1.9481e-002 3.2329e-008 7.2055e-009 1.0189e-008 2.8924e-008 1.8684e-007 9.4554e-004 1.6588e-003 8.6252e-007 5.8807e-007 9.1077e-007 2.7034e-006 2.8069e-005 3.6277e-004 3.1758e-005 8.1719e-006 6.2468e-006 7.8624e-006 1.3951e-005 2.6321e-005 2.7871e-005 1.5772e-005 8.6650e-006 5.8152e-006 4.6637e-006 4.2294e-006 4.0856e-006 3.9437e-006 3.6032e-006 3.0488e-006 2.4233e-006 1.8692e-006 1.4465e-006 1.1533e-006 9.5354e-007 8.0787e-007 6.9933e-007 6.1560e-007 5.4135e-007 4.7535e-007 4.1178e-007 3.4925e-007
           6 4.4098e-009 1.7879e-008 8.1157e-009 1.4887e-005 2.5541e-030 2.8373e-028 1.4862e-026 5.2471e-025 1.4754e-023 1.1825e-014 2.5413e-022 4.8368e-021 8.2147e-020 1.5268e-018 7.8853e-017 8.0228e-005 8.8283e-018 2.4077e-016 6.5965e-015 1.6448e-013 1.3017e-011 3.4575e-001 6.7859e-011 6.7403e-011 2.2458e-010 1.4162e-009 2.6213e-008 2.0710e-001 3.5598e-007 8.7180e-008 1.3350e-007 4.0522e-007 2.7656e-006 1.4610e-002 2.5655e-002 1.3762e-005 9.5742e-006 1.4963e-005 4.4354e-005 4.5579e-004 5.8416e-003 5.0534e-004 1.2685e-004 9.4145e-005 1.1477e-004 1.9726e-004 3.6155e-004 3.7321e-004 2.0571e-004 1.1004e-004 7.2046e-005 5.6556e-005 5.0387e-005 4.7992e-005 4.5825e-005 4.1534e-005 3.4943e-005 2.7670e-005 2.1297e-005 1.6468e-005 1.3132e-005 1.0867e-005 9.2196e-006 7.9943e-006 7.0505e-006 6.2127e-006 5.4672e-006 4.7475e-006 4.0375e-006
           7 8.9300e-010 1.1530e-008 2.7127e-008 1.1463e-008 2.8502e-028 2.5209e-026 1.0380e-024 2.8118e-023 5.5599e-022 2.9952e-016 8.4903e-021 1.0824e-019 1.1754e-018 1.1496e-017 1.1943e-016 3.3732e-006 6.1796e-016 5.3415e-015 4.3819e-014 4.3000e-013 1.1331e-011 1.5442e-001 9.5925e-012 6.6213e-013 5.8874e-011 1.0811e-009 3.7190e-008 3.9509e-001 7.6977e-007 2.5724e-007 5.0136e-007 1.8484e-006 1.4831e-005 8.9831e-002 1.5824e-001 9.5479e-005 7.3798e-005 1.2659e-004 4.0744e-004 4.4954e-003 5.9556e-002 5.3371e-003 1.4126e-003 1.0967e-003 1.3863e-003 2.4486e-003 4.5722e-003 4.7763e-003 2.6538e-003 1.4240e-003 9.3010e-004 7.2455e-004 6.3780e-004 5.9819e-004 5.6106e-004 4.9860e-004 4.1069e-004 3.1803e-004 2.3921e-004 1.8073e-004 1.4087e-004 1.1402e-004 9.4691e-005 8.0469e-005 6.9636e-005 6.0285e-005 5.2188e-005 4.4635e-005 3.7436e-005
           8 9.9727e-010 4.2943e-009 5.4261e-009 3.5564e-008 4.4901e-026 3.4110e-024 1.2004e-022 2.7578e-021 4.5717e-020 5.1413e-019 5.8336e-019 6.0820e-018 5.2979e-017 4.0023e-016 2.6795e-015 8.9079e-008 1.5809e-014 8.7440e-014 4.5064e-013 2.2790e-012 1.3922e-011 1.1343e-002 2.5593e-011 1.5903e-010 8.2745e-010 5.1246e-009 6.6752e-008 3.3774e-001 4.2458e-007 1.8825e-008 7.0356e-009 3.6644e-007 7.7538e-006 8.2686e-002 1.4732e-001 1.3030e-004 1.3453e-004 2.8974e-004 1.1232e-003 1.4462e-002 2.0578e-001 1.9910e-002 5.9324e-003 5.1292e-003 7.1392e-003 1.3723e-002 2.7496e-002 3.0477e-002 1.7971e-002 1.0240e-002 7.0745e-003 5.7971e-003 5.3356e-003 5.2013e-003 5.0427e-003 4.6099e-003 3.8900e-003 3.0747e-003 2.3522e-003 1.8013e-003 1.4184e-003 1.1563e-003 9.6461e-004 8.2126e-004 7.1039e-004 6.1343e-004 5.2869e-004 4.4941e-004 3.7408e-004
           9 3.6725e-010 2.8960e-009 8.5712e-009 2.2949e-009 1.9398e-023 1.2494e-021 3.7249e-020 7.2299e-019 1.0087e-017 4.4259e-017 1.0801e-016 9.4014e-016 6.8022e-015 4.2345e-014 2.3035e-013 4.5291e-010 1.1143e-012 4.8859e-012 1.9506e-011 7.2590e-011 2.5439e-010 2.8746e-004 8.1249e-010 2.5967e-009 8.0450e-009 2.5434e-008 9.9029e-008 3.8694e-002 2.5904e-008 3.6347e-007 1.3737e-006 5.6760e-006 3.7955e-005 1.4952e-001 2.5966e-001 7.3903e-005 1.3359e-005 2.5547e-007 1.0650e-004 4.1042e-003 8.2666e-002 1.0905e-002 4.7986e-003 5.5416e-003 9.6410e-003 2.2101e-002 5.0786e-002 6.2860e-002 4.1312e-002 2.6237e-002 2.0086e-002 1.8099e-002 1.8174e-002 1.9185e-002 2.0005e-002 1.9559e-002 1.7573e-002 1.4735e-002 1.1916e-002 9.6098e-003 7.9374e-003 6.7621e-003 5.8734e-003 5.1876e-003 4.6395e-003 4.1292e-003 3.6570e-003 3.1856e-003 2.7098e-003
          10 6.9542e-010 1.0203e-009 1.1372e-009 2.1956e-009 9.3147e-021 5.1335e-019 1.3110e-017 2.1785e-016 2.5994e-015 8.3907e-015 2.3805e-014 1.7700e-013 1.0934e-012 5.8017e-012 2.6863e-011 3.2658e-010 1.1028e-010 4.0911e-010 1.3752e-009 4.2774e-009 1.2317e-008 5.5095e-006 3.3269e-008 8.5064e-008 2.0631e-007 4.8143e-007 1.0978e-006 8.4292e-004 2.2389e-006 5.0009e-006 1.0889e-005 2.4558e-005 6.6212e-005 2.6837e-002 4.1064e-002 6.5010e-005 2.4791e-004 7.6259e-004 2.9948e-003 3.1822e-002 3.8340e-001 2.8896e-002 4.7542e-003 1.5977e-003 3.4731e-004 1.3049e-004 3.8738e-003 1.1594e-002 1.3515e-002 1.3061e-002 1.3613e-002 1.5485e-002 1.8656e-002 2.2819e-002 2.6915e-002 2.9282e-002 2.8966e-002 2.6552e-002 2.3351e-002 2.0383e-002 1.8148e-002 1.6609e-002 1.5445e-002 1.4555e-002 1.3843e-002 1.3061e-002 1.2222e-002 1.1213e-002 1.0009e-002
          11 5.7468e-012 1.4292e-009 1.6257e-009 1.5481e-011 1.7122e-017 7.2024e-016 1.4109e-014 1.8032e-013 1.6590e-012 4.8691e-012 1.1776e-011 6.8116e-011 3.2930e-010 1.3741e-009 5.0356e-009 8.5731e-009 1.6454e-008 4.8900e-008 1.3248e-007 3.3403e-007 7.8424e-007 1.1842e-006 1.7332e-006 3.6417e-006 7.2690e-006 1.3936e-005 2.5768e-005 3.8528e-005 4.6160e-005 8.0144e-005 1.3635e-004 2.2758e-004 3.7870e-004 1.6958e-003 1.9571e-004 9.3332e-004 1.5712e-003 2.7531e-003 5.5689e-003 2.1204e-002 9.7223e-002 2.6488e-004 3.1648e-003 9.8453e-003 2.3623e-002 5.7258e-002 1.2086e-001 1.2661e-001 6.3291e-002 2.6264e-002 1.0770e-002 3.7372e-003 6.0110e-004 1.1135e-004 1.9927e-003 5.6305e-003 9.6593e-003 1.2809e-002 1.4686e-002 1.5616e-002 1.6168e-002 1.6664e-002 1.7059e-002 1.7406e-002 1.7724e-002 1.7764e-002 1.7564e-002 1.6968e-002 1.5908e-002
          12 2.7545e-010 3.3576e-012 5.0374e-010 2.1845e-011 9.7639e-015 3.3329e-013 5.3091e-012 5.5204e-011 4.1336e-010 1.1185e-009 2.3946e-009 1.1325e-008 4.4933e-008 1.5439e-007 4.6810e-007 8.5609e-007 1.2714e-006 3.1581e-006 7.1910e-006 1.5325e-005 3.0587e-005 1.6750e-005 5.7759e-005 1.0419e-004 1.7928e-004 2.9713e-004 4.7606e-004 4.3405e-007 7.3615e-004 1.1068e-003 1.6217e-003 2.3113e-003 3.2180e-003 2.5291e-003 1.8937e-003 5.9234e-003 7.8185e-003 1.0251e-002 1.3521e-002 1.8767e-002 3.1117e-003 1.4206e-002 2.2693e-002 3.0433e-002 4.0316e-002 5.1734e-002 4.8619e-002 1.3621e-002 1.7208e-004 8.8818e-003 2.0848e-002 3.2685e-002 4.3691e-002 5.1994e-002 5.4172e-002 4.7830e-002 3.5098e-002 2.1343e-002 1.0636e-002 4.0520e-003 8.6014e-004 3.0698e-007 7.1687e-004 2.4687e-003 4.8619e-003 7.4883e-003 1.0019e-002 1.2086e-002 1.3367e-002
          13 3.8981e-010 8.2605e-010 2.9568e-010 2.7060e-010 7.0562e-012 1.8342e-010 2.2304e-009 1.7716e-008 1.0144e-007 2.4701e-007 4.5152e-007 1.6477e-006 5.0821e-006 1.3680e-005 3.2828e-005 5.5023e-005 7.1317e-005 1.4337e-004 2.6736e-004 4.7199e-004 7.8892e-004 4.9893e-004 1.2592e-003 1.9352e-003 2.8544e-003 4.0729e-003 5.6340e-003 4.5468e-007 7.5318e-003 9.7873e-003 1.2379e-002 1.5196e-002 1.8168e-002 1.4888e-002 6.3569e-003 2.3975e-002 2.6524e-002 2.8604e-002 2.9921e-002 2.8083e-002 9.7658e-005 2.8656e-002 2.8860e-002 2.5685e-002 1.9440e-002 8.7893e-003 1.0425e-005 1.4712e-002 2.9370e-002 2.9057e-002 2.3334e-002 1.5936e-002 8.2870e-003 2.1433e-003 3.9827e-005 3.6469e-003 1.1441e-002 1.9578e-002 2.5114e-002 2.7391e-002 2.7238e-002 2.5444e-002 2.2301e-002 1.8358e-002 1.4081e-002 9.7631e-003 5.9504e-003 2.9598e-003 1.0240e-003
          14 1.8574e-010 9.6996e-010 1.0480e-009 2.4240e-010 1.4049e-008 2.1138e-007 1.5130e-006 7.2048e-006 2.5351e-005 5.1355e-005 7.1901e-005 1.7381e-004 3.7142e-004 7.2269e-004 1.3051e-003 1.9911e-003 2.2046e-003 3.5368e-003 5.3600e-003 7.7822e-003 1.0778e-002 6.1482e-003 1.4305e-002 1.8316e-002 2.2514e-002 2.6748e-002 3.0763e-002 2.9192e-006 3.4111e-002 3.6624e-002 3.8087e-002 3.8175e-002 3.6906e-002 2.2083e-002 1.2290e-002 3.0693e-002 2.6057e-002 2.0838e-002 1.5242e-002 8.3425e-003 1.4387e-003 7.3482e-003 3.1373e-003 5.7048e-004 1.8178e-004 3.4856e-003 1.0583e-002 9.2934e-003 1.7642e-003 9.2057e-005 2.5362e-003 7.0461e-003 1.2357e-002 1.6808e-002 1.8171e-002 1.5143e-002 9.2024e-003 3.5771e-003 4.7412e-004 1.8348e-004 1.9898e-003 5.1256e-003 8.8853e-003 1.2648e-002 1.5935e-002 1.8122e-002 1.8982e-002 1.8328e-002 1.6306e-002
