   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28
           0 9.0575e-001 9.2402e-002 1.8361e-003 1.1314e-005 4.9351e-008 7.9418e-009 1.2007e-008 2.0235e-008 4.5942e-009 1.5842e-009 4.0556e-009 4.4934e-010 1.7400e-009 7.5711e-010 3.0945e-010 1.0820e-009 2.0565e-010 1.2615e-010 5.8378e-010 4.9220e-010 1.5686e-010 6.3402e-012 1.7519e-011 4.9977e-011 5.0788e-011 3.3073e-011 1.7777e-011 8.9945e-012 4.2495e-012
           1 8.5149e-002 7.2698e-001 1.8142e-001 6.3830e-003 6.6394e-005 5.1545e-007 3.3746e-009 8.5171e-009 3.0961e-008 1.2138e-008 7.4385e-011 6.3140e-009 6.2686e-010 3.4671e-009 4.5974e-012 1.8820e-009 6.9259e-010 1.1135e-010 8.9666e-010 6.7563e-010 1.2186e-010 8.1818e-012 1.1513e-010 1.6605e-010 1.3253e-010 7.6910e-011 3.9116e-011 1.9272e-011 8.9908e-012
           2 8.0415e-003 1.5364e-001 5.5823e-001 2.6498e-001 1.4865e-002 2.4764e-004 2.9181e-006 6.2390e-010 9.9840e-010 2.3025e-008 1.3182e-008 3.5982e-009 2.5673e-009 3.1649e-009 9.6221e-010 1.1875e-009 1.3066e-009 7.8793e-012 8.1952e-010 6.8075e-010 8.8000e-011 3.3956e-011 1.8236e-010 2.1562e-010 1.5371e-010 8.3416e-011 4.0934e-011 1.9807e-011 9.1594e-012
           3 9.1202e-004 2.2713e-002 2.0500e-001 4.0171e-001 3.3988e-001 2.9006e-002 7.4533e-004 1.2650e-005 5.6590e-008 1.8066e-009 1.1993e-008 6.9056e-009 7.5712e-009 1.3045e-010 2.4908e-009 5.5680e-011 1.4672e-009 8.1976e-011 4.9643e-010 6.1907e-010 9.2916e-011 2.8621e-011 1.5976e-010 1.7883e-010 1.1984e-010 6.2058e-011 2.9623e-011 1.4125e-011 6.4846e-012
           4 1.2347e-004 3.5016e-003 4.2694e-002 2.3819e-001 2.6110e-001 4.0126e-001 5.1101e-002 1.9915e-003 4.8469e-005 5.1694e-007 1.1179e-008 2.4925e-008 1.7450e-008 1.8822e-008 2.2628e-010 5.4544e-009 1.7844e-010 3.5491e-009 3.3163e-010 8.2439e-010 1.4495e-009 4.9050e-010 1.2262e-011 5.4570e-011 1.0970e-010 8.5591e-011 4.8931e-011 2.5371e-011 1.2113e-011
           5 2.0956e-005 6.0220e-004 8.4404e-003 6.6456e-002 2.5132e-001 1.4208e-001 4.4189e-001 8.4037e-002 4.9502e-003 1.7673e-004 3.5944e-006 1.0346e-007 2.1785e-008 1.8759e-008 3.1641e-008 1.7907e-010 5.4589e-009 1.6040e-009 4.6119e-009 9.2015e-011 1.3222e-009 1.6117e-009 5.2477e-010 4.0308e-011 5.3207e-012 2.1331e-011 1.7952e-011 1.0788e-011 5.4881e-012
           6 3.8275e-006 1.2274e-004 1.7936e-003 1.6389e-002 9.2128e-002 2.4200e-001 5.3005e-002 4.5130e-001 1.3088e-001 1.1753e-002 6.2834e-004 2.1686e-005 7.9350e-007 4.1748e-009 1.5516e-008 5.0794e-008 3.5038e-009 4.3190e-009 5.4215e-009 5.4131e-009 5.6028e-013 1.8440e-009 1.7300e-009 6.0751e-010 1.1547e-010 1.4077e-011 1.3082e-012 8.2356e-014 8.5178e-016
           7 7.7359e-007 2.7277e-005 4.2402e-004 4.1493e-003 2.7824e-002 1.1657e-001 2.0779e-001 4.9856e-003 4.1591e-001 1.9292e-001 2.7023e-002 2.2232e-003 1.2590e-004 6.5473e-006 9.4125e-008 9.5524e-010 5.6383e-008 1.0601e-008 1.4021e-010 7.9569e-009 1.5328e-009 4.8944e-010 1.2273e-009 5.0100e-010 8.4259e-011 6.0046e-012 2.1544e-014 1.9295e-013 2.2634e-013
           8 2.1228e-007 6.6935e-006 1.1202e-004 1.1592e-003 8.3584e-003 4.2935e-002 1.3440e-001 1.4848e-001 9.7434e-003 3.2229e-001 2.6355e-001 6.0190e-002 7.9458e-003 7.4313e-004 5.7210e-005 2.2659e-006 2.8904e-008 2.9996e-008 1.1614e-008 1.2818e-008 1.0372e-008 4.0654e-010 4.4381e-009 2.7108e-009 7.7279e-010 1.6592e-010 3.8579e-011 1.1194e-011 3.8255e-012
           9 6.9622e-008 2.0012e-006 3.3158e-005 3.5321e-004 2.6887e-003 1.5132e-002 6.0458e-002 1.3613e-001 7.2054e-002 6.9693e-002 1.7170e-001 3.1214e-001 1.2621e-001 2.8396e-002 4.4874e-003 5.3901e-004 4.2168e-005 2.8873e-006 1.0159e-007 2.3431e-008 4.6121e-008 4.8220e-009 3.0768e-010 3.0428e-011 2.0477e-010 3.5354e-010 2.5357e-010 1.4315e-010 7.0824e-011
          10 2.0558e-008 6.9331e-007 1.0902e-005 1.1727e-004 9.3309e-004 5.5517e-003 2.4795e-002 7.5066e-002 1.0753e-001 8.6138e-003 1.4638e-001 2.4824e-002 2.5948e-001 2.2015e-001 9.2811e-002 2.6681e-002 5.8379e-003 9.9013e-004 1.4220e-004 1.3539e-005 4.0057e-007 1.3923e-007 8.1692e-008 3.6399e-008 1.0797e-009 5.6617e-010 9.5818e-010 6.6717e-010 3.5593e-010
