   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79
          10 3.0096e-010 2.9206e-009 4.3495e-010 1.4635e-008 1.4678e-028 1.2432e-026 3.4978e-025 4.8651e-025 1.2361e-023 2.2967e-022 3.2447e-021 3.7589e-020 6.4788e-019 3.5890e-019 2.9638e-018 2.1161e-017 1.3497e-016 7.6994e-016 2.7807e-013 4.0073e-015 1.9198e-014 8.5260e-014 3.5774e-013 1.4319e-012 1.1317e-004 4.8812e-012 1.9092e-011 6.9770e-011 2.6252e-010 1.1802e-009 5.7602e-002 4.7826e-008 3.6416e-009 2.0744e-008 1.0503e-007 7.4671e-007 3.7141e-005 4.1970e-001 8.0243e-006 2.2702e-006 7.8686e-007 2.1190e-007 6.0052e-005 5.2063e-002 1.7748e-003 4.6356e-004 6.4523e-004 1.5417e-003 6.3001e-003 5.2253e-002 1.0115e-001 2.7467e-002 1.3716e-002 1.2100e-002 1.4614e-002 2.0904e-002 2.9379e-002 3.2082e-002 2.5840e-002 1.8445e-002 1.3714e-002 1.1140e-002 9.8101e-003 9.1406e-003 8.7466e-003 8.3078e-003 7.5920e-003 6.5790e-003 5.4658e-003 4.4675e-003 3.6552e-003 3.0072e-003 2.5135e-003 2.1462e-003 1.8533e-003 1.6191e-003 1.4213e-003 1.2394e-003 1.0705e-003 9.0166e-004
          11 3.7594e-010 2.2679e-010 5.0684e-009 2.3384e-010 6.3586e-026 4.7310e-024 1.2132e-022 1.6268e-022 3.6294e-021 5.9098e-020 7.3127e-019 7.4058e-018 4.0139e-017 6.1733e-017 4.4405e-016 2.7555e-015 1.5228e-014 7.5006e-014 3.1699e-012 3.3554e-013 1.3739e-012 5.1754e-012 1.8224e-011 5.9871e-011 3.5133e-008 1.8613e-010 5.5022e-010 1.5522e-009 4.2423e-009 1.1392e-008 2.4103e-003 1.2966e-008 6.9190e-008 1.8087e-007 4.8817e-007 1.5500e-006 1.7536e-005 9.5113e-002 4.4511e-007 6.4724e-006 2.6901e-005 1.2521e-004 1.2733e-003 4.2706e-001 1.0142e-002 9.5426e-004 4.6627e-004 2.9995e-004 1.1759e-004 3.3716e-004 3.8107e-003 3.1916e-003 3.3837e-003 4.8540e-003 8.2615e-003 1.5274e-002 2.6202e-002 3.3682e-002 3.1353e-002 2.5584e-002 2.1517e-002 1.9564e-002 1.9092e-002 1.9540e-002 2.0380e-002 2.0959e-002 2.0619e-002 1.9138e-002 1.6949e-002 1.4705e-002 1.2723e-002 1.1028e-002 9.6744e-003 8.6410e-003 7.7798e-003 7.0643e-003 6.4271e-003 5.7928e-003 5.1583e-003 4.4668e-003
          12 7.3584e-010 1.3699e-009 3.3807e-011 1.8713e-009 4.5765e-023 2.9267e-021 6.6925e-020 8.6626e-020 1.6643e-018 2.3319e-017 2.4853e-016 2.1673e-015 1.0940e-014 1.5567e-014 9.6476e-014 5.1605e-013 2.4576e-012 1.0434e-011 2.8797e-011 4.0205e-011 1.4175e-010 4.5924e-010 1.3887e-009 3.9096e-009 2.1678e-007 1.0379e-008 2.6096e-008 6.2202e-008 1.4216e-007 3.1180e-007 9.0073e-006 6.6421e-007 1.3542e-006 2.7110e-006 5.3232e-006 1.0462e-005 2.4371e-005 3.9752e-003 3.2603e-005 6.6861e-005 1.3875e-004 3.2653e-004 1.2968e-003 1.4159e-001 1.3426e-003 1.4444e-004 9.7017e-004 3.5246e-003 1.5648e-002 1.2053e-001 2.1208e-001 4.7178e-002 1.6716e-002 9.1683e-003 5.8167e-003 3.3316e-003 9.9623e-004 7.6448e-006 1.1370e-003 2.9986e-003 4.8151e-003 6.6891e-003 8.8431e-003 1.1403e-002 1.4302e-002 1.7147e-002 1.9249e-002 2.0078e-002 1.9755e-002 1.8881e-002 1.7880e-002 1.6871e-002 1.6030e-002 1.5439e-002 1.4928e-002 1.4497e-002 1.4053e-002 1.3445e-002 1.2658e-002 1.1539e-002
          13 1.2963e-010 1.3715e-009 2.8771e-009 6.0237e-010 5.5019e-020 2.8918e-018 5.7031e-017 7.0524e-017 1.1177e-015 1.2915e-014 1.1377e-013 8.2079e-013 3.6658e-012 4.8880e-012 2.5157e-011 1.1203e-010 4.4507e-010 1.5809e-009 4.5158e-009 5.1086e-009 1.5151e-008 4.1401e-008 1.0589e-007 2.5292e-007 3.5199e-007 5.7098e-007 1.2242e-006 2.4932e-006 4.8761e-006 9.1625e-006 2.4590e-006 1.6586e-005 2.9102e-005 4.9608e-005 8.2204e-005 1.3332e-004 2.1087e-004 3.9726e-005 3.3335e-004 5.1472e-004 7.9351e-004 1.2362e-003 2.1030e-003 7.9573e-003 1.3984e-003 3.5248e-003 6.0673e-003 1.1133e-002 2.5609e-002 9.2882e-002 8.4929e-002 3.1130e-003 1.2014e-003 8.1218e-003 2.1214e-002 4.4229e-002 7.3937e-002 8.4795e-002 6.5266e-002 4.0506e-002 2.3601e-002 1.3307e-002 6.9181e-003 2.9177e-003 6.7646e-004 1.7034e-006 7.1981e-004 2.3645e-003 4.2974e-003 6.1025e-003 7.6451e-003 8.8831e-003 9.9085e-003 1.0847e-002 1.1656e-002 1.2379e-002 1.2979e-002 1.3324e-002 1.3383e-002 1.2954e-002
          14 3.4244e-011 5.6772e-011 1.8162e-009 1.8694e-009 4.9050e-017 2.1006e-015 3.5480e-014 4.1823e-014 5.4159e-013 5.1103e-012 3.6839e-011 2.1767e-010 8.5486e-010 1.0642e-009 4.5060e-009 1.6561e-008 5.4461e-008 1.6078e-007 4.0809e-007 4.3351e-007 1.0779e-006 2.4815e-006 5.3750e-006 1.0931e-005 2.2205e-005 2.1125e-005 3.8985e-005 6.8696e-005 1.1679e-004 1.9163e-004 5.4184e-008 3.0371e-004 4.6868e-004 7.0344e-004 1.0271e-003 1.4673e-003 2.0522e-003 9.8961e-007 2.8020e-003 3.7579e-003 4.9586e-003 6.4308e-003 8.2122e-003 2.2068e-004 9.9756e-003 1.2891e-002 1.6108e-002 2.0191e-002 2.5781e-002 2.7110e-002 1.7980e-004 1.5764e-002 2.7480e-002 3.6223e-002 4.4118e-002 4.8074e-002 3.9166e-002 1.6407e-002 1.2485e-003 1.7602e-003 9.4067e-003 1.8734e-002 2.7900e-002 3.5894e-002 4.1433e-002 4.2848e-002 3.9076e-002 3.1126e-002 2.1816e-002 1.3613e-002 7.4431e-003 3.3325e-003 1.0158e-003 7.4425e-005 1.5099e-004 9.5647e-004 2.2447e-003 3.7598e-003 5.2625e-003 6.4472e-003
          15 1.8308e-010 2.7124e-010 9.4774e-012 1.9150e-010 4.3959e-014 1.4792e-012 2.0809e-011 2.3179e-011 2.3635e-010 1.7540e-009 9.9693e-009 4.6497e-008 1.5686e-007 1.8008e-007 6.0601e-007 1.7796e-006 4.7018e-006 1.1233e-005 2.5009e-005 2.4693e-005 5.0499e-005 9.6468e-005 1.7501e-004 3.0089e-004 5.3373e-004 4.9582e-004 7.8665e-004 1.2002e-003 1.7773e-003 2.5522e-003 1.0845e-005 3.5528e-003 4.8248e-003 6.3809e-003 8.2092e-003 1.0323e-002 1.2685e-002 9.2711e-006 1.5173e-002 1.7760e-002 2.0355e-002 2.2793e-002 2.4979e-002 9.8183e-004 2.5142e-002 2.7272e-002 2.7588e-002 2.6561e-002 2.2694e-002 6.9444e-003 9.7014e-003 2.4910e-002 2.1636e-002 1.5776e-002 8.4192e-003 1.4290e-003 1.5872e-003 1.4064e-002 2.6278e-002 2.8491e-002 2.4381e-002 1.7963e-002 1.1094e-002 4.9799e-003 9.1115e-004 1.9567e-004 3.3341e-003 9.1312e-003 1.5321e-002 2.0254e-002 2.3301e-002 2.4309e-002 2.3691e-002 2.1951e-002 1.9249e-002 1.6006e-002 1.2496e-002 8.9844e-003 5.8401e-003 3.2922e-003
          16 1.5821e-010 5.6185e-010 5.7293e-010 2.1758e-010 1.7215e-010 3.4470e-009 3.2881e-008 3.2517e-008 2.0200e-007 9.2486e-007 3.3204e-006 1.0029e-005 2.5945e-005 2.5981e-005 6.0493e-005 1.2754e-004 2.5059e-004 4.6054e-004 8.8077e-004 8.0141e-004 1.3296e-003 2.0996e-003 3.1931e-003 4.6481e-003 7.3301e-003 6.5258e-003 8.8564e-003 1.1580e-002 1.4703e-002 1.8098e-002 5.7146e-005 2.1566e-002 2.5020e-002 2.8198e-002 3.0806e-002 3.2748e-002 3.3816e-002 1.9255e-006 3.3796e-002 3.2715e-002 3.0638e-002 2.7575e-002 2.3629e-002 8.8872e-005 1.9204e-002 1.4894e-002 1.0279e-002 5.8850e-003 1.9225e-003 4.3307e-004 6.3358e-003 1.7625e-003 1.2495e-005 9.6230e-004 4.3023e-003 9.5826e-003 1.3253e-002 9.5806e-003 2.6182e-003 2.6993e-007 1.7766e-003 5.8562e-003 1.0761e-002 1.5286e-002 1.8143e-002 1.8100e-002 1.4787e-002 9.4803e-003 4.4081e-003 1.1192e-003 1.8286e-006 8.0064e-004 2.9827e-003 6.0236e-003 9.3859e-003 1.2617e-002 1.5299e-002 1.6974e-002 1.7455e-002 1.6531e-002
          17 6.3313e-011 3.8086e-010 9.1603e-010 5.7644e-010 1.6036e-007 1.9267e-006 1.2585e-005 1.1093e-005 4.3063e-005 1.2703e-004 3.0739e-004 6.5529e-004 1.3861e-003 1.2550e-003 2.2418e-003 3.7266e-003 5.8653e-003 8.7123e-003 1.4577e-002 1.2297e-002 1.6583e-002 2.1305e-002 2.6389e-002 3.1300e-002 4.2427e-002 3.5775e-002 3.9444e-002 4.1724e-002 4.2581e-002 4.1763e-002 1.1164e-004 3.9177e-002 3.5214e-002 3.0101e-002 2.4220e-002 1.8189e-002 1.2475e-002 3.1068e-006 7.5074e-003 3.6662e-003 1.1677e-003 6.5810e-005 2.9918e-004 5.0212e-004 1.3027e-003 3.5001e-003 5.9924e-003 8.5175e-003 1.0551e-002 7.8592e-003 4.8346e-004 8.6106e-003 1.0114e-002 8.8182e-003 5.7313e-003 1.7471e-003 1.0198e-004 4.1727e-003 9.0620e-003 9.7023e-003 7.3930e-003 4.2276e-003 1.4818e-003 6.1544e-005 6.3599e-004 3.3281e-003 7.2418e-003 1.0654e-002 1.2234e-002 1.1846e-002 1.0014e-002 7.3903e-003 4.6800e-003 2.3676e-003 7.4740e-004 2.9361e-005 2.6813e-004 1.3672e-003 3.0586e-003 4.8789e-003
          18 1.2015e-011 1.4440e-010 6.0993e-010 4.0889e-010 1.3533e-004 6.1290e-004 2.1646e-003 1.6156e-003 3.4822e-003 6.5655e-003 1.1050e-002 1.7026e-002 2.9487e-002 2.4034e-002 3.1947e-002 3.9762e-002 4.6940e-002 5.2336e-002 7.2855e-002 5.5318e-002 5.5626e-002 5.2779e-002 4.7519e-002 3.9995e-002 4.1173e-002 3.1290e-002 2.2406e-002 1.4169e-002 7.4893e-003 2.8367e-003 1.4246e-006 4.1351e-004 1.2024e-004 1.5677e-003 4.1684e-003 7.2638e-003 1.0212e-002 1.8243e-008 1.2454e-002 1.3672e-002 1.3739e-002 1.2668e-002 1.0626e-002 2.4534e-006 8.2620e-003 5.6017e-003 3.0835e-003 1.0972e-003 2.8641e-005 1.5132e-003 2.6624e-003 1.8189e-005 6.7613e-004 2.3174e-003 4.2160e-003 5.2887e-003 3.8743e-003 7.9513e-004 2.0027e-004 2.1825e-003 4.4251e-003 5.8052e-003 5.9980e-003 5.0087e-003 3.1609e-003 1.1827e-003 5.7064e-005 4.0651e-004 1.9911e-003 4.0589e-003 5.9271e-003 7.1286e-003 7.5245e-003 7.1857e-003 6.1890e-003 4.7795e-003 3.2052e-003 1.7370e-003 6.4361e-004 7.8859e-005
          19 4.7923e-013 3.5228e-011 2.6396e-010 1.6857e-010 2.7133e-002 3.3325e-002 7.4680e-002 5.3929e-002 6.5491e-002 7.7970e-002 8.1193e-002 8.0319e-002 1.0401e-001 7.2086e-002 5.9997e-002 4.5327e-002 3.0438e-002 1.7431e-002 1.4413e-002 7.6920e-003 1.9086e-003 3.9895e-006 1.2574e-003 4.5380e-003 9.2066e-003 8.5949e-003 1.2275e-002 1.4682e-002 1.5477e-002 1.4596e-002 3.5110e-005 1.2310e-002 9.2446e-003 6.0008e-003 3.1440e-003 1.1120e-003 1.0928e-004 9.9525e-007 1.3129e-004 9.8670e-004 2.3650e-003 3.9044e-003 5.2652e-003 1.4532e-004 5.9308e-003 6.4395e-003 6.0955e-003 5.0747e-003 3.3108e-003 3.4559e-004 2.3522e-003 2.6283e-003 1.0778e-003 1.5553e-004 9.8372e-005 1.1041e-003 2.6031e-003 2.6314e-003 1.0784e-003 6.8553e-005 1.9938e-004 1.0563e-003 2.1641e-003 3.0916e-003 3.4510e-003 3.0109e-003 1.9175e-003 7.3845e-004 6.6130e-005 1.1197e-004 7.5184e-004 1.7168e-003 2.7326e-003 3.6047e-003 4.1583e-003 4.3209e-003 4.0730e-003 3.4511e-003 2.6027e-003 1.6906e-003
          20 4.7123e-014 5.0588e-012 6.3993e-011 3.8213e-011 5.7482e-001 6.3206e-003 3.5149e-002 1.6483e-001 2.0052e-005 4.2751e-002 6.4914e-003 4.6883e-003 9.8169e-005 1.9713e-002 3.8955e-004 2.6721e-002 3.4268e-003 2.3154e-002 2.0052e-002 3.4730e-003 1.3215e-002 1.1075e-003 4.1815e-003 9.2686e-006 7.2485e-005 2.0863e-004 1.4403e-003 6.7661e-004 3.8778e-003 2.5402e-003 9.8498e-006 5.0933e-003 3.2696e-003 4.2965e-003 2.3802e-003 2.2832e-003 8.9001e-004 4.9168e-007 5.4158e-004 3.8290e-005 5.1229e-006 2.6927e-004 5.7911e-004 6.8222e-005 1.0513e-003 1.4507e-003 1.8118e-003 1.8772e-003 1.6622e-003 5.6665e-004 5.0201e-004 1.3401e-003 9.5546e-004 4.6307e-004 8.2834e-005 3.8619e-005 4.8890e-004 9.5443e-004 7.6416e-004 3.0009e-004 2.8936e-005 3.8121e-005 2.7425e-004 6.3094e-004 9.6476e-004 1.1160e-003 9.8528e-004 6.3801e-004 2.6974e-004 4.2417e-005 1.1540e-005 1.5818e-004 4.2251e-004 7.3840e-004 1.0358e-003 1.2612e-003 1.3740e-003 1.3459e-003 1.1901e-003 9.3576e-004
