   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 9.3464e-001 6.1708e-002 3.4343e-003 2.0803e-004 1.2816e-005 1.1727e-006 1.2472e-007 6.0142e-009 4.2827e-011 2.1985e-012 5.3330e-013 2.3561e-012 2.9475e-012
           1 6.3724e-002 7.9318e-001 1.2911e-001 1.2656e-002 1.1887e-003 1.2187e-004 1.5430e-005 2.3659e-006 2.6732e-007 1.1881e-007 6.7660e-008 4.0182e-008 2.5258e-008
           2 1.6150e-003 1.3832e-001 6.2712e-001 1.9687e-001 3.0914e-002 4.3455e-003 6.5000e-004 1.1547e-004 1.4842e-005 6.8098e-006 3.9924e-006 2.4221e-006 1.5450e-006
           3 1.9892e-005 6.6428e-003 2.2134e-001 4.4074e-001 2.5339e-001 6.1296e-002 1.2525e-002 2.6363e-003 3.6596e-004 1.7060e-004 1.0145e-004 6.2185e-005 3.9951e-005
           4 2.5457e-007 1.5060e-004 1.8242e-002 3.0434e-001 2.4732e-001 2.7774e-001 1.0289e-001 2.9353e-002 4.6499e-003 2.2224e-003 1.3498e-003 8.3969e-004 5.4482e-004
           5 3.7141e-009 2.7968e-006 7.1767e-004 4.2202e-002 3.6850e-001 7.9075e-002 2.3461e-001 1.3091e-001 2.6828e-002 1.3438e-002 8.4902e-003 5.4273e-003 3.5858e-003
           6 2.9892e-008 3.2907e-008 2.3073e-005 2.8306e-003 8.7599e-002 3.7504e-001 1.5822e-004 9.8278e-002 4.2173e-002 2.3754e-002 1.6510e-002 1.1255e-002 7.7562e-003
           7 1.3548e-008 1.2809e-008 6.7321e-007 1.5176e-004 1.0094e-002 1.6320e-001 2.6575e-001 6.6010e-002 3.4613e-004 2.0495e-005 2.7432e-004 4.3790e-004 4.5640e-004
           8 7.8008e-009 2.4553e-008 1.4466e-009 7.1977e-006 9.0077e-004 3.3376e-002 2.5056e-001 5.2867e-002 4.5936e-002 2.6006e-002 1.7691e-002 1.1710e-002 7.8567e-003
           9 4.3267e-009 2.2980e-008 1.4700e-008 2.1035e-007 6.8788e-005 5.0867e-003 9.8102e-002 2.1818e-001 2.3090e-002 7.2208e-003 2.4354e-003 7.8806e-004 2.6180e-004
          10 4.7666e-009 1.1171e-012 2.6964e-008 9.5236e-010 4.1550e-006 6.4609e-004 2.7137e-002 2.0146e-001 1.2671e-003 4.1975e-003 6.0424e-003 5.8014e-003 4.7872e-003
          11 3.0444e-009 7.5382e-009 6.4197e-009 2.7090e-008 1.5188e-007 6.8974e-005 6.1225e-003 1.1627e-001 3.8377e-002 2.8700e-002 2.2082e-002 1.5167e-002 1.0216e-002
          12 3.8039e-010 1.5274e-010 1.4367e-009 2.2342e-008 3.2917e-009 6.3365e-006 1.1816e-003 5.2841e-002 8.6835e-002 4.3942e-002 2.3912e-002 1.2454e-002 6.7690e-003
          13 1.0767e-009 2.4071e-009 4.6764e-009 9.9897e-010 3.2578e-008 4.5628e-007 2.0146e-004 2.0645e-002 1.1659e-001 3.9055e-002 1.2655e-002 3.6395e-003 1.0056e-003
          14 1.6785e-011 6.8828e-011 2.8013e-010 6.3530e-009 1.8769e-008 9.8339e-009 3.0237e-005 7.2440e-003 1.2531e-001 2.2124e-002 1.6117e-003 1.3177e-004 1.0209e-003
          15 1.0402e-009 2.7256e-009 2.8754e-009 1.2960e-009 2.7770e-010 8.3712e-009 3.9063e-006 2.3138e-003 1.2008e-001 5.5115e-003 2.2477e-003 7.5671e-003 8.5039e-003
          16 7.9442e-010 1.5506e-009 2.0635e-009 3.8862e-009 7.4887e-009 1.1472e-008 4.0576e-007 6.6998e-004 1.0731e-001 3.7735e-004 1.8767e-002 2.2548e-002 1.7812e-002
          17 2.7652e-011 6.1733e-013 2.1542e-013 1.5591e-011 1.0088e-010 7.6822e-010 2.8524e-008 1.7123e-004 9.0407e-002 1.6213e-002 4.5182e-002 3.3292e-002 1.9401e-002
