   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99         100         101
           0 9.9843e-001 1.5501e-003 2.0415e-005 1.4108e-008 5.8790e-008 3.9825e-009 6.0258e-009 2.0557e-009 9.0128e-010 1.0382e-040 4.1473e-042 3.4158e-040 4.0432e-038 1.9167e-026 1.5146e-035 8.9938e-035 1.4418e-032 3.3327e-030 5.4983e-018 6.5052e-027 4.2530e-027 6.6535e-026 3.1338e-024 2.5816e-012 5.6111e-022 9.6414e-023 5.3914e-024 8.2916e-020 3.0712e-010 1.9094e-017 4.1558e-017 6.9302e-016 7.3204e-014 1.8530e-009 4.2622e-013 1.0738e-012 1.7408e-011 1.4859e-009 4.1922e-010 1.8511e-010 3.5315e-010 5.2630e-010 4.6096e-010 3.7428e-010 3.2327e-010 2.7641e-010 2.2531e-010 1.7527e-010 1.3050e-010 9.2418e-011 6.1521e-011 3.7893e-011 2.1032e-011 9.9655e-012 3.5452e-012 6.0330e-013 2.3371e-014 8.1680e-013 2.1905e-012 3.5693e-012 4.5894e-012 5.0646e-012 4.9703e-012 4.3976e-012 3.4969e-012 2.4551e-012 1.4509e-012 6.3946e-013 1.3496e-013 5.8702e-015 2.6945e-013 8.9913e-013 1.8335e-012 2.9843e-012 4.2502e-012 5.5270e-012 6.7112e-012 7.7134e-012 8.4680e-012 8.9285e-012 9.0675e-012 8.8923e-012 8.4201e-012 7.6865e-012 6.7519e-012 5.6740e-012 4.5247e-012 3.3767e-012 2.3032e-012 1.3716e-012 6.4429e-013 1.7310e-013 2.2809e-016 1.5711e-013 6.6396e-013 1.5295e-012 2.7525e-012 4.3180e-012 6.1978e-012 8.3338e-012 1.0594e-011 1.2660e-011
           1 1.5285e-003 9.9578e-001 2.5722e-003 1.1673e-004 9.3617e-011 1.5053e-007 4.9963e-008 1.3752e-008 2.0464e-009 2.3754e-040 2.0528e-041 3.4303e-039 1.1323e-036 6.2472e-024 8.8976e-033 3.5505e-033 6.4621e-032 3.0099e-030 1.1697e-018 1.0774e-027 5.2780e-029 1.1368e-028 1.5511e-026 3.4153e-015 4.5578e-024 7.7712e-023 4.0363e-021 5.3897e-019 1.1958e-009 6.4972e-017 1.0900e-016 1.5866e-015 1.5398e-013 3.7936e-009 8.4277e-013 2.0157e-012 3.1125e-011 2.5649e-009 7.1040e-010 2.9820e-010 5.3958e-010 7.6215e-010 6.2591e-010 4.6837e-010 3.6577e-010 2.7591e-010 1.9147e-010 1.2014e-010 6.6038e-011 2.9295e-011 8.3043e-012 3.5168e-013 1.9880e-012 9.6072e-012 1.9871e-011 2.9965e-011 3.7820e-011 4.2279e-011 4.2954e-011 4.0080e-011 3.4384e-011 2.6861e-011 1.8724e-011 1.1134e-011 5.0525e-012 1.2030e-012 7.0238e-015 1.5977e-012 5.8343e-012 1.2337e-011 2.0573e-011 2.9905e-011 3.9671e-011 4.9199e-011 5.7914e-011 6.5337e-011 7.1058e-011 7.4826e-011 7.6565e-011 7.6292e-011 7.4093e-011 7.0239e-011 6.4975e-011 5.8592e-011 5.1481e-011 4.3940e-011 3.6307e-011 2.8885e-011 2.1951e-011 1.5727e-011 1.0404e-011 6.1107e-012 2.9302e-012 9.0626e-013 3.9278e-014 2.9606e-013 1.6131e-012 3.8991e-012 7.0357e-012 1.0856e-011 1.5076e-011 1.9099e-011
           2 4.1468e-005 2.4940e-003 9.9476e-001 2.1355e-003 5.6701e-004 3.1733e-007 1.5408e-007 3.1509e-007 1.4562e-007 1.6626e-038 2.0989e-040 2.2786e-039 8.0472e-037 3.0570e-023 4.8825e-032 5.7317e-032 2.5587e-030 3.0728e-028 3.3672e-016 3.7678e-025 1.6869e-025 1.8981e-024 6.6734e-023 4.4910e-011 9.3825e-021 1.4931e-021 4.4935e-022 1.9680e-019 7.3074e-010 4.2384e-017 6.5596e-017 6.8697e-016 3.9724e-014 7.4335e-010 1.0107e-013 6.6274e-014 8.8126e-015 2.6226e-011 1.8548e-011 3.0770e-011 1.2360e-010 3.0268e-010 4.0535e-010 4.8661e-010 5.9945e-010 7.1287e-010 7.9881e-010 8.5378e-010 8.8175e-010 8.8401e-010 8.6239e-010 8.2174e-010 7.6819e-010 7.0617e-010 6.3906e-010 5.6996e-010 5.0180e-010 4.3752e-010 3.7850e-010 3.2513e-010 2.7746e-010 2.3492e-010 1.9741e-010 1.6465e-010 1.3601e-010 1.1109e-010 8.9359e-011 7.0455e-011 5.3971e-011 3.9790e-011 2.7808e-011 1.7950e-011 1.0203e-011 4.5947e-012 1.1760e-012 3.1670e-016 1.1126e-012 4.5306e-012 1.0235e-011 1.8165e-011 2.8196e-011 4.0185e-011 5.3915e-011 6.9104e-011 8.5518e-011 1.0279e-010 1.2058e-010 1.3851e-010 1.5626e-010 1.7344e-010 1.8981e-010 2.0508e-010 2.1893e-010 2.3127e-010 2.4185e-010 2.5048e-010 2.5722e-010 2.6178e-010 2.6406e-010 2.6354e-010 2.5894e-010 2.4727e-010
           3 8.4056e-007 1.7030e-004 2.0564e-003 9.9591e-001 8.3280e-005 1.7392e-003 2.9641e-005 6.6440e-006 1.8890e-007 2.1169e-038 1.5689e-040 2.1837e-037 1.4428e-034 1.1913e-021 1.7541e-030 1.0168e-030 2.7484e-029 2.1005e-027 1.5119e-015 1.5750e-024 3.6362e-025 1.1597e-024 2.6980e-024 1.0479e-010 3.6460e-020 6.5300e-020 1.2803e-018 8.7200e-017 1.3294e-007 6.1988e-015 6.7054e-015 6.6983e-014 4.6733e-012 1.0171e-007 1.9058e-011 3.4918e-011 4.2239e-010 2.9491e-008 7.5193e-009 2.5493e-009 3.7483e-009 4.3274e-009 2.7931e-009 1.5174e-009 7.5508e-010 2.7264e-010 3.2712e-011 2.0811e-011 1.9911e-010 5.1936e-010 9.2844e-010 1.3739e-009 1.8098e-009 2.1963e-009 2.5001e-009 2.6972e-009 2.7766e-009 2.7433e-009 2.6083e-009 2.3875e-009 2.1018e-009 1.7723e-009 1.4258e-009 1.0870e-009 7.7503e-010 5.0625e-010 2.9087e-010 1.3476e-010 3.9000e-011 1.1297e-012 1.4941e-011 7.1887e-011 1.6206e-010 2.7480e-010 3.9978e-010 5.2746e-010 6.4916e-010 7.5775e-010 8.4833e-010 9.1744e-010 9.6277e-010 9.8476e-010 9.8389e-010 9.6162e-010 9.2142e-010 8.6564e-010 7.9777e-010 7.2119e-010 6.3935e-010 5.5525e-010 4.7195e-010 3.9182e-010 3.1669e-010 2.4828e-010 1.8757e-010 1.3526e-010 9.1820e-011 5.7202e-011 3.1235e-011 1.3494e-011 3.3847e-012 1.9411e-014
           4 5.2198e-008 1.8847e-006 5.8670e-004 1.0458e-004 9.9321e-001 3.4237e-003 2.3532e-003 3.0512e-004 1.4028e-006 1.6581e-037 3.3885e-038 6.3849e-036 2.0858e-033 1.1041e-020 1.5656e-029 5.9129e-030 1.0090e-028 4.1818e-027 1.1687e-015 9.6094e-025 2.6830e-026 1.3446e-023 2.2222e-021 4.3450e-009 1.1719e-018 9.2637e-019 1.1484e-017 5.6186e-016 7.0501e-007 3.0238e-014 2.5142e-014 1.9086e-013 9.7366e-012 1.8295e-007 2.6912e-011 2.8964e-011 1.5270e-010 3.6537e-009 3.4295e-010 9.4623e-011 1.6441e-009 6.1886e-009 1.0491e-008 1.4680e-008 2.0043e-008 2.5626e-008 3.0265e-008 3.3590e-008 3.5565e-008 3.6110e-008 3.5219e-008 3.3079e-008 2.9988e-008 2.6225e-008 2.2064e-008 1.7786e-008 1.3666e-008 9.9436e-009 6.7659e-009 4.2085e-009 2.2938e-009 9.9733e-010 2.6292e-010 4.0001e-012 1.1934e-010 5.0475e-010 1.0616e-009 1.7029e-009 2.3530e-009 2.9544e-009 3.4689e-009 3.8715e-009 4.1514e-009 4.3065e-009 4.3454e-009 4.2819e-009 4.1293e-009 3.9061e-009 3.6321e-009 3.3245e-009 2.9971e-009 2.6657e-009 2.3395e-009 2.0260e-009 1.7331e-009 1.4632e-009 1.2191e-009 1.0017e-009 8.1113e-010 6.4634e-010 5.0615e-010 3.8859e-010 2.9139e-010 2.1249e-010 1.4958e-010 1.0055e-010 6.3504e-011 3.6557e-011 1.8116e-011 6.7361e-012 1.1420e-012 8.6919e-014
           5 4.8783e-008 7.2751e-007 1.2766e-006 1.7258e-003 2.8658e-003 9.7953e-001 1.3538e-002 1.5445e-003 7.4989e-004 8.5840e-035 1.8686e-036 1.1535e-034 1.5535e-032 3.4846e-020 4.5070e-029 3.6772e-030 6.2439e-030 1.5197e-026 3.6626e-014 4.4747e-023 3.4328e-023 6.0963e-022 3.4933e-020 3.8619e-008 9.2734e-018 4.1730e-018 3.0224e-017 8.2380e-016 6.3785e-007 2.1147e-014 5.3641e-015 5.0072e-016 1.9508e-012 8.8693e-008 3.4481e-011 1.4517e-010 3.1849e-009 3.1630e-007 9.5094e-008 4.8034e-008 1.0103e-007 1.6157e-007 1.5029e-007 1.2849e-007 1.1545e-007 1.0134e-007 8.3566e-008 6.4583e-008 4.6628e-008 3.0895e-008 1.8152e-008 8.8412e-009 2.9986e-009 3.1423e-010 2.6970e-010 2.2204e-009 5.4668e-009 9.3501e-009 1.3311e-008 1.6907e-008 1.9835e-008 2.1885e-008 2.3004e-008 2.3252e-008 2.2715e-008 2.1556e-008 1.9927e-008 1.7991e-008 1.5865e-008 1.3691e-008 1.1579e-008 9.5986e-009 7.7990e-009 6.2062e-009 4.8323e-009 3.6749e-009 2.7187e-009 1.9479e-009 1.3426e-009 8.8016e-010 5.3857e-010 2.9782e-010 1.3903e-010 4.5993e-011 4.8497e-012 3.9252e-012 3.3624e-011 8.6100e-011 1.5501e-010 2.3528e-010 3.2289e-010 4.1473e-010 5.0813e-010 6.0128e-010 6.9240e-010 7.7992e-010 8.6318e-010 9.4031e-010 1.0100e-009 1.0690e-009 1.1101e-009 1.1164e-009
           6 5.0715e-009 1.3002e-007 8.5671e-007 8.6557e-007 3.2312e-003 1.1245e-002 9.5573e-001 2.7971e-002 5.4973e-004 6.3693e-035 4.4635e-036 6.5146e-034 2.0381e-031 1.1520e-018 1.6507e-027 7.4634e-028 1.7402e-026 1.2518e-024 9.3026e-013 9.8298e-022 2.8773e-022 2.0436e-021 3.8448e-020 9.6831e-009 1.3186e-018 3.4417e-019 3.2936e-017 3.5027e-015 6.1986e-006 3.0272e-013 3.5992e-013 3.7435e-012 2.6226e-010 5.6679e-006 1.0427e-009 1.8106e-009 2.0152e-008 1.2979e-006 3.1506e-007 9.1073e-008 1.0854e-007 9.5431e-008 3.9208e-008 7.8253e-009 4.3225e-011 8.8153e-009 2.9545e-008 5.6901e-008 8.6092e-008 1.1306e-007 1.3468e-007 1.4921e-007 1.5625e-007 1.5609e-007 1.4949e-007 1.3771e-007 1.2232e-007 1.0508e-007 8.7374e-008 7.0253e-008 5.4494e-008 4.0554e-008 2.8781e-008 1.9287e-008 1.1972e-008 6.6609e-009 3.0947e-009 9.9703e-010 8.9734e-011 1.1298e-010 8.2822e-010 2.0290e-009 3.5428e-009 5.2258e-009 6.9652e-009 8.6741e-009 1.0280e-008 1.1730e-008 1.2994e-008 1.4050e-008 1.4879e-008 1.5488e-008 1.5874e-008 1.6039e-008 1.6008e-008 1.5786e-008 1.5393e-008 1.4847e-008 1.4171e-008 1.3386e-008 1.2520e-008 1.1594e-008 1.0627e-008 9.6433e-009 8.6581e-009 7.6858e-009 6.7465e-009 5.8457e-009 4.9945e-009 4.1952e-009 3.4447e-009 2.7322e-009
           7 6.7862e-010 1.4694e-010 1.0172e-006 7.4311e-007 2.9769e-005 3.9215e-003 2.3527e-002 9.2482e-001 4.6175e-002 5.2611e-033 6.1715e-035 1.8438e-033 7.4718e-032 2.1680e-021 1.4985e-029 3.1129e-028 2.3427e-026 3.6865e-024 4.8930e-012 5.6382e-021 3.1954e-021 4.8092e-020 2.5090e-018 2.6633e-006 6.3601e-016 2.8505e-016 2.1627e-015 6.6763e-014 6.0993e-005 2.2583e-012 1.1276e-012 4.5506e-012 8.8272e-011 8.6236e-007 1.7111e-011 1.6410e-010 1.1144e-008 1.5527e-006 5.2489e-007 3.2802e-007 7.8729e-007 1.3750e-006 1.3776e-006 1.2603e-006 1.2055e-006 1.1254e-006 9.9085e-007 8.2596e-007 6.5512e-007 4.9217e-007 3.4679e-007 2.2605e-007 1.3310e-007 6.7361e-008 2.6041e-008 5.1614e-009 6.2701e-011 5.9834e-009 1.8622e-008 3.4432e-008 5.0717e-008 6.5502e-008 7.7610e-008 8.6562e-008 9.2185e-008 9.4753e-008 9.4603e-008 9.2217e-008 8.7922e-008 8.2250e-008 7.5670e-008 6.8525e-008 6.1111e-008 5.3655e-008 4.6362e-008 3.9386e-008 3.2811e-008 2.6737e-008 2.1243e-008 1.6371e-008 1.2142e-008 8.5779e-009 5.6692e-009 3.3988e-009 1.7421e-009 6.5882e-010 1.0332e-010 2.2069e-011 3.5548e-010 1.0400e-009 2.0100e-009 3.2007e-009 4.5471e-009 5.9907e-009 7.4744e-009 8.9448e-009 1.0363e-008 1.1680e-008 1.2858e-008 1.3840e-008 1.4520e-008 1.4674e-008
           8 9.0370e-009 2.4670e-010 4.1630e-009 1.8308e-006 8.8929e-006 1.3254e-004 4.5328e-003 3.9817e-002 8.8354e-001 1.0122e-031 2.3618e-033 1.5493e-031 2.4176e-029 7.5858e-017 1.0304e-025 2.5185e-026 3.1331e-025 1.0808e-023 3.1458e-012 2.7128e-021 4.7815e-024 9.8711e-021 1.9085e-018 3.7923e-006 1.0226e-015 8.0002e-016 9.7908e-015 4.7649e-013 6.0085e-004 2.5910e-011 2.2309e-011 1.8191e-010 1.0529e-008 2.1298e-004 3.5974e-008 5.5481e-008 5.6550e-007 3.4829e-005 8.3150e-006 2.3527e-006 2.8523e-006 2.6777e-006 1.3073e-006 4.5152e-007 8.5871e-008 1.4429e-009 1.0566e-007 3.1788e-007 5.7003e-007 8.1130e-007 1.0070e-006 1.1397e-006 1.2061e-006 1.2105e-006 1.1615e-006 1.0710e-006 9.5257e-007 8.2067e-007 6.8605e-007 5.5639e-007 4.3716e-007 3.3135e-007 2.4125e-007 1.6758e-007 1.0955e-007 6.5987e-008 3.5122e-008 1.5097e-008 4.0118e-009 8.1769e-011 1.6019e-009 7.0418e-009 1.5069e-008 2.4534e-008 3.4495e-008 4.4200e-008 5.3039e-008 6.0572e-008 6.6545e-008 7.0812e-008 7.3301e-008 7.4127e-008 7.3386e-008 7.1227e-008 6.7923e-008 6.3651e-008 5.8657e-008 5.3168e-008 4.7407e-008 4.1562e-008 3.5822e-008 3.0324e-008 2.5169e-008 2.0453e-008 1.6222e-008 1.2506e-008 9.3263e-009 6.6666e-009 4.5109e-009 2.8276e-009 1.5813e-009 7.3496e-010
           9 3.3486e-011 3.0513e-010 1.7036e-008 8.2154e-007 2.1980e-007 4.1441e-006 2.7495e-004 5.1127e-003 6.2266e-002 6.7555e-033 1.0383e-033 3.9708e-031 1.5766e-028 8.9983e-016 1.2834e-024 5.2864e-025 1.0872e-023 6.9717e-022 4.8567e-010 5.1032e-019 1.5067e-019 1.2292e-018 3.4442e-017 2.0817e-005 4.2928e-015 7.2266e-016 7.2207e-016 2.0748e-014 1.3531e-004 8.8051e-012 1.7980e-011 2.5339e-010 2.2128e-008 5.1819e-004 1.0675e-007 2.2544e-007 3.1149e-006 2.3959e-004 6.4304e-005 2.5175e-005 4.3332e-005 5.9298e-005 4.7780e-005 3.5664e-005 2.8410e-005 2.2485e-005 1.7002e-005 1.2277e-005 8.4742e-006 5.5380e-006 3.3675e-006 1.8545e-006 8.7817e-007 3.1504e-007 5.4368e-008 2.3608e-009 8.1693e-008 2.3187e-007 4.0880e-007 5.8222e-007 7.3305e-007 8.4952e-007 9.2748e-007 9.6822e-007 9.7426e-007 9.5135e-007 9.0473e-007 8.4038e-007 7.6249e-007 6.7691e-007 5.8853e-007 5.0097e-007 4.1717e-007 3.3930e-007 2.6903e-007 2.0734e-007 1.5448e-007 1.1055e-007 7.5274e-008 4.7988e-008 2.7866e-008 1.3998e-008 5.3799e-009 1.0336e-009 2.7339e-011 1.5066e-009 4.7156e-009 9.0041e-009 1.3833e-008 1.8772e-008 2.3495e-008 2.7771e-008 3.1433e-008 3.4406e-008 3.6642e-008 3.8133e-008 3.8940e-008 3.9079e-008 3.8609e-008 3.7536e-008 3.5771e-008 3.3033e-008
