   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
          12 4.2857e-011 1.9168e-008 5.4615e-007 8.0298e-006 2.4219e-005 1.0626e-005 4.7963e-004 4.3124e-004 3.2950e-002 1.2483e-001 1.4247e-001 4.0182e-002 1.8977e-002 2.8094e-001 3.4561e-001 8.5224e-003 2.7902e-003 1.3096e-003 1.1476e-004 3.0716e-005 1.2473e-004 1.1441e-004 5.0466e-005 1.0643e-005 1.9157e-007 1.6553e-006 4.5781e-006 5.5337e-006 4.6198e-006 2.8182e-006 5.2798e-007
          13 6.9386e-010 2.6865e-008 4.2892e-007 1.4555e-006 7.5831e-007 7.1386e-005 6.3428e-005 3.5334e-004 3.5550e-003 4.9486e-002 1.2523e-001 1.1501e-001 2.4781e-002 2.7466e-002 2.7423e-001 3.6751e-001 8.0990e-003 1.9714e-003 1.4878e-003 3.0706e-004 6.6787e-007 5.3703e-005 1.0150e-004 7.8475e-005 3.8283e-005 1.3741e-005 3.2335e-006 2.6648e-007 4.0372e-008 2.0010e-007 6.1259e-008
          14 3.4876e-010 2.9902e-009 1.9847e-008 2.9660e-007 1.0074e-005 2.6441e-005 1.8440e-005 3.1662e-004 5.5076e-006 1.0528e-002 6.4208e-002 1.1831e-001 8.9212e-002 1.3368e-002 3.8062e-002 2.6023e-001 3.9331e-001 8.8909e-003 1.1717e-003 1.4924e-003 5.1204e-004 5.1697e-005 5.3058e-006 5.3020e-005 6.8890e-005 5.4277e-005 3.4104e-005 1.8590e-005 8.9782e-006 3.7666e-006 5.8744e-007
          15 1.2290e-010 1.1130e-009 6.4445e-008 1.4063e-006 5.8011e-006 1.0278e-007 5.9725e-005 2.9641e-005 3.7176e-004 6.5773e-004 2.0769e-002 7.4396e-002 1.0573e-001 6.5960e-002 5.4631e-003 5.1203e-002 2.3692e-001 4.2403e-001 1.1428e-002 5.2278e-004 1.3419e-003 6.6520e-004 1.6055e-004 9.9832e-006 9.1762e-006 3.2740e-005 3.9249e-005 3.3479e-005 2.3264e-005 1.2845e-005 2.3064e-006
          16 1.1342e-009 3.0223e-009 1.2783e-007 7.9988e-007 4.4910e-007 5.6915e-006 2.9521e-005 1.3671e-005 2.1558e-004 8.7204e-005 3.7482e-003 3.2655e-002 7.9052e-002 8.9645e-002 4.5729e-002 9.7551e-004 6.6897e-002 2.0304e-001 4.5881e-001 1.6582e-002 1.0680e-004 1.0957e-003 7.2235e-004 2.7906e-004 6.8278e-005 3.6547e-006 2.8340e-006 1.0459e-005 1.2578e-005 9.1670e-006 1.8476e-006
          17 1.3305e-009 1.3084e-009 6.4576e-008 8.1656e-008 4.1054e-007 7.6086e-006 2.9926e-006 4.6343e-005 2.6459e-005 3.0418e-004 1.5357e-004 9.9970e-003 4.3741e-002 7.7562e-002 7.1533e-002 2.8685e-002 1.7941e-004 8.4143e-002 1.5926e-001 4.9601e-001 2.6043e-002 1.6386e-005 8.1667e-004 6.9050e-004 3.5427e-004 1.5174e-004 4.2634e-005 7.6294e-006 5.3084e-007 2.1313e-008 3.7010e-008
          18 5.7460e-010 1.0474e-010 7.7005e-009 4.0640e-008 1.3428e-006 3.5427e-006 1.0317e-006 3.4639e-005 4.0230e-006 1.8143e-004 9.0059e-005 1.8857e-003 1.8754e-002 5.1383e-002 7.0169e-002 5.2926e-002 1.5113e-002 3.7283e-003 1.0067e-001 1.0773e-001 5.3199e-001 4.2853e-002 4.3962e-004 5.4224e-004 5.7974e-004 3.7664e-004 2.1198e-004 9.6221e-005 3.9452e-005 1.4919e-005 2.2214e-006
          19 4.5700e-011 5.1933e-011 2.0541e-009 1.8617e-007 1.1878e-006 5.6603e-007 5.1459e-006 1.1981e-005 2.8243e-005 4.3787e-005 2.2963e-004 1.0660e-004 6.3048e-003 2.8056e-002 5.3909e-002 5.8354e-002 3.5452e-002 5.4757e-003 1.2476e-002 1.1232e-001 5.5009e-002 5.5780e-001 7.0875e-002 1.7052e-003 3.0602e-004 4.3906e-004 3.2764e-004 2.1239e-004 1.1932e-004 5.7263e-005 9.6452e-006
          20 5.3084e-011 2.2175e-010 1.3207e-008 2.0488e-007 5.6888e-007 1.6579e-008 5.7001e-006 1.2477e-006 3.3080e-005 8.8091e-007 1.7413e-004 3.3643e-005 1.5786e-003 1.3168e-002 3.5223e-002 5.0624e-002 4.3911e-002 2.0291e-002 4.5321e-004 2.6634e-002 1.1197e-001 1.3935e-002 5.6045e-001 1.1555e-001 4.3907e-003 9.1547e-005 3.0645e-004 2.5163e-004 1.6462e-004 8.6569e-005 1.5243e-005
          21 2.3369e-010 2.7387e-010 1.7217e-008 1.3314e-007 1.4787e-007 4.0741e-007 3.7062e-006 2.6474e-007 2.2348e-005 6.3119e-006 7.9153e-005 1.3495e-004 2.3465e-004 5.4785e-003 2.0696e-002 3.8035e-002 4.2310e-002 2.9105e-002 8.6125e-003 1.2450e-003 4.4323e-002 9.3311e-002 2.8437e-004 5.2649e-001 1.7993e-001 8.3519e-003 2.7506e-006 1.3385e-004 1.4240e-004 9.2052e-005 1.7361e-005
          22 3.2095e-010 2.4251e-010 1.3623e-008 6.0899e-008 8.0474e-009 7.0850e-007 1.6886e-006 1.9466e-006 1.0771e-005 1.6437e-005 2.2980e-005 1.4695e-004 2.9961e-006 2.0389e-003 1.1350e-002 2.6108e-002 3.5395e-002 3.0888e-002 1.5897e-002 1.5178e-003 8.9075e-003 5.9033e-002 5.6879e-002 2.3690e-002 4.5335e-001 2.6007e-001 1.3290e-002 2.8522e-004 1.5923e-005 3.4876e-005 8.5957e-006
          23 2.9328e-010 1.9038e-010 8.1996e-009 1.9786e-008 1.0870e-008 7.2587e-007 5.4168e-007 2.9628e-006 3.8688e-006 1.9069e-005 3.0665e-006 1.0860e-004 2.4572e-005 6.7445e-004 5.9821e-003 1.7025e-002 2.7184e-002 2.8162e-002 1.8959e-002 5.9359e-003 3.5165e-004 2.2396e-002 6.0564e-002 1.7232e-002 7.1480e-002 3.5133e-001 3.5414e-001 1.5711e-002 1.6537e-003 1.2638e-004 6.2733e-006
          24 2.1510e-010 1.4125e-010 4.0707e-009 3.7334e-009 4.4120e-008 5.8017e-007 9.8476e-008 2.9199e-006 9.4515e-007 1.6200e-005 3.3804e-008 6.6077e-005 5.7717e-005 1.9039e-004 3.0716e-003 1.0725e-002 1.9663e-002 2.3222e-002 1.8510e-002 8.7238e-003 5.6663e-004 6.0666e-003 3.5294e-002 4.1099e-002 4.5691e-006 1.1381e-001 2.4987e-001 4.5312e-001 9.5990e-003 3.4144e-003 3.6866e-004
          25 1.3659e-010 9.9550e-011 1.7243e-009 8.8857e-011 6.2093e-008 3.9741e-007 1.6672e-009 2.2998e-006 9.9782e-008 1.1546e-005 1.4822e-006 3.5619e-005 6.3672e-005 4.1917e-005 1.5443e-003 6.5337e-003 1.3448e-002 1.7563e-002 1.5718e-002 9.1431e-003 1.9633e-003 1.0464e-003 1.6338e-002 3.5241e-002 1.2160e-002 1.4489e-002 1.1866e-001 1.7808e-001 5.4907e-001 6.3560e-005 4.6705e-004
          26 7.6642e-011 6.4160e-011 6.3305e-010 3.1539e-010 5.7274e-008 2.3821e-007 1.0252e-008 1.5237e-006 2.1874e-009 7.1314e-006 2.4659e-006 1.7403e-005 5.0377e-005 5.8828e-006 7.4860e-004 3.7413e-003 8.4365e-003 1.1864e-002 1.1486e-002 7.5501e-003 2.4453e-003 5.1543e-005 6.7292e-003 2.1553e-002 1.6979e-002 5.4544e-005 3.8290e-002 8.5107e-002 1.5276e-001 6.0299e-001 1.0682e-002
          27 3.5438e-011 3.3434e-011 1.9923e-010 6.0272e-010 3.5905e-008 1.1568e-007 1.8187e-008 7.9046e-007 2.9545e-008 3.5382e-006 1.9405e-006 7.2718e-006 2.8794e-005 3.1061e-007 3.1922e-004 1.8006e-003 4.3175e-003 6.3658e-003 6.4655e-003 4.5487e-003 1.7668e-003 1.0445e-005 2.4405e-003 1.0187e-002 1.1309e-002 9.1530e-004 9.7791e-003 3.5334e-002 4.0104e-002 1.9781e-001 2.9621e-001
