   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71
           0 9.7732e-001 2.0781e-002 1.5263e-003 3.2772e-004 1.2522e-005 1.6525e-005 1.4789e-030 9.6246e-028 1.3407e-014 7.4015e-025 1.5310e-024 2.0045e-023 1.8554e-022 2.4739e-010 8.8832e-020 9.7056e-019 3.6456e-017 4.0902e-015 1.1395e-006 2.4450e-013 4.0672e-013 4.7864e-012 3.6646e-010 9.6213e-007 1.4382e-009 2.5038e-009 2.3436e-008 2.0480e-007 8.9397e-008 4.2145e-008 3.5277e-008 2.6009e-008 1.4019e-008 5.3538e-009 9.3737e-010 8.6669e-011 2.1541e-009 6.4157e-009 1.2092e-008 1.8457e-008 2.4842e-008 3.0691e-008 3.5634e-008 3.9430e-008 4.1962e-008 4.3224e-008 4.3278e-008 4.2265e-008 4.0323e-008 3.7667e-008 3.4478e-008 3.1018e-008 2.7398e-008 2.3772e-008 2.0270e-008 1.6965e-008 1.3916e-008 1.1178e-008 8.7705e-009 6.6985e-009 4.9610e-009 3.5357e-009 2.4001e-009 1.5258e-009 8.8236e-010 4.3772e-010 1.6223e-010 2.6438e-011 3.4680e-012 6.8424e-011 1.9731e-010 3.6325e-010
           1 2.1808e-002 7.6388e-001 1.7846e-001 3.4122e-002 2.1602e-004 1.2585e-003 4.5883e-029 1.7234e-026 1.2168e-013 4.8615e-024 1.5232e-027 6.5844e-022 3.0166e-019 7.6313e-007 9.5080e-017 2.4557e-016 4.8514e-015 3.5619e-013 7.9570e-005 1.5205e-011 1.8734e-011 1.6480e-010 9.3262e-009 2.1505e-005 2.6170e-008 3.0600e-008 1.7416e-007 9.7865e-007 2.4043e-007 1.8292e-008 1.2226e-008 1.3654e-007 3.5827e-007 6.2220e-007 9.0847e-007 1.1926e-006 1.4436e-006 1.6399e-006 1.7739e-006 1.8459e-006 1.8570e-006 1.8129e-006 1.7247e-006 1.6025e-006 1.4568e-006 1.2970e-006 1.1312e-006 9.6655e-007 8.0791e-007 6.6013e-007 5.2598e-007 4.0837e-007 3.0710e-007 2.2236e-007 1.5360e-007 9.9594e-008 5.8999e-008 3.0358e-008 1.2046e-008 2.4577e-009 3.9073e-011 3.3354e-009 1.1029e-008 2.1941e-008 3.5059e-008 4.9467e-008 6.4481e-008 7.9423e-008 9.3771e-008 1.0705e-007 1.1841e-007 1.2650e-007
           2 8.2481e-004 2.0637e-001 5.1669e-001 2.5765e-001 1.4800e-002 2.6849e-003 3.8361e-030 7.3821e-027 5.8661e-013 4.7487e-023 3.8892e-022 2.2021e-020 3.5018e-018 5.6943e-006 6.1110e-016 1.0213e-015 1.3847e-014 7.0377e-013 1.2255e-004 2.0105e-011 1.5114e-011 6.5267e-011 9.3955e-010 6.2862e-007 1.6384e-010 1.2455e-008 3.9734e-007 6.0723e-006 4.1263e-006 3.5968e-006 5.4099e-006 7.2797e-006 7.9858e-006 8.0555e-006 7.9630e-006 7.7080e-006 7.2418e-006 6.5948e-006 5.8372e-006 5.0321e-006 4.2192e-006 3.4356e-006 2.7138e-006 2.0724e-006 1.5217e-006 1.0656e-006 7.0186e-007 4.2491e-007 2.2625e-007 9.6365e-008 2.4621e-008 2.4621e-010 1.2844e-008 5.2939e-008 1.1215e-007 1.8324e-007 2.5992e-007 3.3741e-007 4.1176e-007 4.7995e-007 5.4046e-007 5.9162e-007 6.3302e-007 6.6441e-007 6.8623e-007 6.9828e-007 7.0213e-007 6.9775e-007 6.8604e-007 6.6762e-007 6.4099e-007 6.0340e-007
           3 1.7819e-005 8.8761e-003 2.6166e-001 4.8323e-001 2.3821e-001 2.8833e-003 9.2348e-028 7.3299e-025 1.1776e-011 6.8304e-022 1.8574e-021 4.1517e-020 2.4431e-018 1.5932e-006 1.0410e-016 1.0695e-018 1.7382e-015 4.4684e-013 1.5956e-004 3.7870e-011 7.6531e-011 1.0213e-009 8.5625e-008 2.3189e-004 3.6167e-007 6.7311e-007 6.7293e-006 6.1660e-005 2.8281e-005 1.4632e-005 1.3855e-005 1.2114e-005 8.5220e-006 5.2699e-006 2.9479e-006 1.3897e-006 4.5608e-007 4.4475e-008 4.3819e-008 3.4029e-007 8.2910e-007 1.4186e-006 2.0357e-006 2.6254e-006 3.1484e-006 3.5799e-006 3.9055e-006 4.1221e-006 4.2291e-006 4.2366e-006 4.1542e-006 4.0045e-006 3.7956e-006 3.5428e-006 3.2615e-006 2.9615e-006 2.6521e-006 2.3446e-006 2.0456e-006 1.7608e-006 1.4960e-006 1.2527e-006 1.0332e-006 8.3815e-007 6.6763e-007 5.2030e-007 3.9580e-007 2.9207e-007 2.0757e-007 1.4050e-007 8.8817e-008 5.0857e-008
           4 1.8346e-005 1.4680e-006 4.0499e-002 1.6799e-001 5.4565e-001 2.3920e-001 4.1102e-027 7.4532e-025 1.2356e-012 1.0227e-023 9.6455e-022 1.2023e-019 2.5296e-017 4.5749e-005 5.0773e-015 9.3276e-015 1.3799e-013 7.7613e-012 1.4663e-003 2.5429e-010 2.3569e-010 1.4810e-009 5.3489e-008 9.6848e-005 7.2834e-008 1.4653e-008 1.0466e-007 5.5772e-006 6.1775e-006 8.0221e-006 1.5101e-005 2.3470e-005 2.8621e-005 3.1376e-005 3.3198e-005 3.4048e-005 3.3678e-005 3.2172e-005 2.9826e-005 2.6937e-005 2.3706e-005 2.0334e-005 1.7015e-005 1.3877e-005 1.1012e-005 8.4799e-006 6.3053e-006 4.4962e-006 3.0387e-006 1.9129e-006 1.0867e-006 5.2427e-007 1.8322e-007 2.4129e-008 8.8154e-009 1.0235e-007 2.7338e-007 4.9497e-007 7.4431e-007 1.0025e-006 1.2561e-006 1.4933e-006 1.7071e-006 1.8921e-006 2.0462e-006 2.1662e-006 2.2551e-006 2.3115e-006 2.3373e-006 2.3337e-006 2.2947e-006 2.2086e-006
           5 6.2558e-006 3.3466e-009 8.5732e-004 5.0677e-002 1.3582e-001 5.9144e-001 2.0400e-026 2.9782e-023 5.6430e-010 3.3588e-020 9.4341e-020 2.0570e-018 1.2121e-016 8.7555e-005 6.3803e-015 1.4948e-015 3.4422e-015 3.2605e-012 1.3414e-003 3.2948e-010 6.8204e-010 8.9202e-009 7.2139e-007 1.9214e-003 2.9204e-006 5.1964e-006 4.9695e-005 4.4210e-004 1.9718e-004 9.7531e-005 8.8062e-005 7.3179e-005 4.8529e-005 2.7874e-005 1.4089e-005 5.6277e-006 1.2489e-006 2.4860e-011 9.7983e-007 3.3825e-006 6.5390e-006 9.9193e-006 1.3146e-005 1.5966e-005 1.8228e-005 1.9863e-005 2.0855e-005 2.1243e-005 2.1073e-005 2.0435e-005 1.9411e-005 1.8133e-005 1.6656e-005 1.5065e-005 1.3434e-005 1.1809e-005 1.0229e-005 8.7383e-006 7.3572e-006 6.1005e-006 4.9819e-006 3.9985e-006 3.1490e-006 2.4271e-006 1.8247e-006 1.3298e-006 9.3343e-007 6.2320e-007 3.8846e-007 2.1881e-007 1.0424e-007 3.5952e-008
           6 5.6665e-008 4.4752e-005 1.4286e-004 5.7147e-003 5.4276e-002 9.4468e-002 6.2093e-025 2.6168e-022 1.7732e-009 6.9903e-020 1.7359e-021 2.9783e-018 9.7841e-016 1.8036e-003 1.9560e-013 3.0644e-013 3.5853e-012 1.5286e-010 2.3801e-002 3.6753e-009 2.3888e-009 9.4776e-009 1.5381e-007 1.4567e-004 2.3987e-009 5.6918e-007 2.0547e-005 3.1215e-004 2.0707e-004 1.7109e-004 2.4158e-004 3.0399e-004 3.1029e-004 2.8978e-004 2.6422e-004 2.3523e-004 2.0272e-004 1.6887e-004 1.3629e-004 1.0669e-004 8.0779e-005 5.8921e-005 4.1193e-005 2.7328e-005 1.6921e-005 9.4972e-006 4.5551e-006 1.6174e-006 2.4322e-007 4.1064e-008 6.6876e-007 1.8399e-006 3.3213e-006 4.9280e-006 6.5241e-006 8.0066e-006 9.3012e-006 1.0373e-005 1.1202e-005 1.1781e-005 1.2133e-005 1.2269e-005 1.2216e-005 1.2000e-005 1.1654e-005 1.1191e-005 1.0652e-005 1.0046e-005 9.3940e-006 8.7111e-006 7.9838e-006 7.1881e-006
           7 3.1796e-007 2.9261e-005 2.8333e-005 3.8049e-005 1.0069e-002 5.0691e-002 8.6784e-024 9.3200e-022 1.6300e-010 1.3360e-019 3.9321e-018 1.6237e-016 1.1574e-014 8.0615e-003 5.5406e-013 6.3983e-014 1.1112e-012 3.3923e-010 1.0432e-001 2.2195e-008 3.1884e-008 2.9578e-007 1.7193e-005 4.0193e-002 5.0458e-005 6.5350e-005 4.5706e-004 3.2756e-003 1.1767e-003 3.9531e-004 2.1672e-004 8.6940e-005 1.2751e-005 1.8779e-006 2.8647e-005 7.2433e-005 1.1929e-004 1.6021e-004 1.9082e-004 2.0997e-004 2.1793e-004 2.1614e-004 2.0683e-004 1.9210e-004 1.7387e-004 1.5379e-004 1.3313e-004 1.1291e-004 9.3770e-005 7.6268e-005 6.0674e-005 4.7238e-005 3.5848e-005 2.6434e-005 1.8851e-005 1.2891e-005 8.3460e-006 5.0166e-006 2.6977e-006 1.2019e-006 3.6016e-007 2.2986e-008 6.3338e-008 3.7473e-007 8.6997e-007 1.4777e-006 2.1438e-006 2.8230e-006 3.4815e-006 4.0917e-006 4.6150e-006 4.9945e-006
           8 1.1475e-007 2.9582e-006 1.8249e-005 1.0434e-004 7.3886e-004 1.4349e-002 9.1005e-022 7.7929e-020 1.2758e-010 2.8680e-018 8.3620e-017 1.7017e-015 2.6146e-014 3.3675e-004 7.8130e-013 8.8064e-012 1.5599e-010 6.3174e-009 7.9606e-001 1.0163e-007 2.4793e-008 7.1138e-011 8.9369e-006 3.7915e-002 8.7724e-005 2.2755e-004 2.6402e-003 2.5559e-002 1.2140e-002 6.5269e-003 6.3856e-003 5.7987e-003 4.3150e-003 2.9258e-003 1.9147e-003 1.1962e-003 6.9473e-004 3.6359e-004 1.6236e-004 5.3993e-005 7.9098e-006 8.8203e-007 1.5908e-005 4.1231e-005 6.9161e-005 9.5013e-005 1.1621e-004 1.3168e-004 1.4114e-004 1.4507e-004 1.4417e-004 1.3966e-004 1.3222e-004 1.2277e-004 1.1212e-004 1.0084e-004 8.9385e-005 7.8224e-005 6.7616e-005 5.7741e-005 4.8766e-005 4.0700e-005 3.3567e-005 2.7338e-005 2.1972e-005 1.7386e-005 1.3536e-005 1.0330e-005 7.7008e-006 5.5788e-006 3.8898e-006 2.5758e-006
           9 1.5262e-009 4.6195e-007 5.2449e-005 5.0734e-005 3.2601e-006 2.6022e-003 3.9085e-019 2.3587e-017 4.6367e-011 6.9319e-016 1.3085e-014 1.8291e-013 2.0732e-012 4.5773e-004 1.7200e-011 1.5255e-010 1.1668e-009 8.0803e-009 6.3484e-003 8.9483e-008 6.7216e-007 8.1789e-006 4.1343e-004 8.4512e-001 8.0462e-004 5.0857e-004 9.6776e-004 7.6894e-004 3.1989e-004 2.3382e-003 5.9462e-003 9.5518e-003 1.0884e-002 1.0563e-002 9.5884e-003 8.2777e-003 6.8061e-003 5.3546e-003 4.0560e-003 2.9690e-003 2.0975e-003 1.4261e-003 9.2910e-004 5.7451e-004 3.3181e-004 1.7395e-004 7.8136e-005 2.6143e-005 3.8104e-006 4.8653e-007 8.3471e-006 2.1893e-005 3.7415e-005 5.2529e-005 6.5876e-005 7.6713e-005 8.4726e-005 9.0015e-005 9.2779e-005 9.3308e-005 9.2054e-005 8.9300e-005 8.5420e-005 8.0707e-005 7.5455e-005 6.9811e-005 6.4056e-005 5.8260e-005 5.2551e-005 4.7009e-005 4.1563e-005 3.6106e-005
