   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68
           0 9.9601e-001 3.9336e-003 5.5901e-005 1.3463e-006 5.2824e-038 4.7949e-037 7.9011e-036 2.1232e-034 6.5552e-032 2.6668e-020 2.0305e-030 2.2811e-029 6.0597e-028 2.4579e-026 4.2521e-024 8.6219e-012 1.4549e-023 2.0084e-023 5.1630e-023 4.6426e-023 1.1651e-020 7.9693e-010 3.1741e-019 7.1369e-019 4.0494e-018 3.7129e-017 8.9114e-016 7.9248e-009 1.4226e-014 3.7209e-015 5.4794e-015 1.4061e-014 6.7606e-014 1.8458e-010 3.1674e-010 3.8194e-014 4.2849e-015 1.7661e-013 1.9155e-012 4.4946e-011 8.0514e-010 9.7178e-011 3.8874e-011 4.1923e-011 6.8414e-011 1.4617e-010 3.1070e-010 3.5265e-010 2.0644e-010 1.1171e-010 6.9198e-011 4.7302e-011 3.3039e-011 2.1328e-011 1.0871e-011 3.0705e-012 1.4044e-014 2.0191e-012 7.6135e-012 1.5146e-011 2.3882e-011 3.3789e-011 4.4532e-011 5.5900e-011 6.7703e-011 7.8531e-011 8.7788e-011 9.3964e-011 9.5778e-011
           1 3.9876e-003 9.8710e-001 8.6789e-003 2.2166e-004 1.1322e-035 2.1644e-034 9.0908e-033 5.6389e-031 1.3877e-028 3.5747e-017 1.1678e-027 3.3579e-027 3.1217e-026 6.2767e-025 7.5122e-023 1.4392e-010 2.4191e-022 4.3272e-022 2.3228e-021 2.3767e-020 9.6461e-019 1.9344e-008 2.6952e-018 1.3323e-018 1.7556e-018 2.2777e-018 5.3630e-019 2.0922e-010 7.0525e-016 5.3438e-016 1.4461e-015 5.8617e-015 4.3671e-014 2.0922e-010 3.6556e-010 1.4308e-013 5.1909e-014 1.9500e-014 2.9632e-015 1.3877e-012 3.7076e-011 5.8124e-012 2.8588e-012 3.2103e-012 4.8481e-012 8.6186e-012 1.3743e-011 1.0264e-011 2.7031e-012 1.1788e-013 4.8006e-013 2.9249e-012 8.1378e-012 1.7335e-011 3.0872e-011 4.6562e-011 6.0377e-011 6.9693e-011 7.4713e-011 7.7262e-011 7.9461e-011 8.2179e-011 8.4659e-011 8.6754e-011 8.8242e-011 8.7654e-011 8.5082e-011 7.9828e-011 7.1870e-011
           2 2.6173e-006 8.9481e-003 9.7653e-001 1.3892e-002 6.5377e-034 1.1453e-032 5.0253e-031 3.5966e-029 1.0764e-026 3.0054e-015 1.1011e-025 3.6638e-025 3.5922e-024 6.7923e-023 6.9054e-021 1.2266e-008 1.7882e-020 2.5989e-020 1.2154e-019 1.2118e-018 5.4937e-017 1.2175e-006 2.0021e-016 1.5592e-016 4.3193e-016 2.3091e-015 3.5918e-014 2.4874e-007 3.9755e-013 7.5537e-014 8.3885e-014 1.6874e-013 6.7441e-013 1.7498e-009 3.0089e-009 5.7938e-013 6.4332e-014 5.2127e-015 3.7152e-013 8.0465e-012 1.1780e-010 1.0218e-011 1.7620e-012 3.8403e-013 2.3649e-014 2.2853e-012 1.4781e-011 3.1713e-011 3.0826e-011 2.5778e-011 2.3167e-011 2.2075e-011 2.1242e-011 1.9418e-011 1.5586e-011 9.9586e-012 4.3782e-012 8.3978e-013 5.2715e-014 1.6308e-012 4.9792e-012 9.7805e-012 1.5747e-011 2.2608e-011 3.0120e-011 3.7449e-011 4.4045e-011 4.8913e-011 5.1154e-011
           3 2.5721e-009 1.4166e-005 1.4670e-002 9.6545e-001 4.6914e-032 7.5923e-031 2.6649e-029 1.4539e-027 3.4871e-025 9.2001e-014 3.2240e-024 1.1091e-023 1.2453e-022 2.8345e-021 3.4567e-019 6.4956e-007 1.0253e-018 1.5785e-018 7.1166e-018 6.2425e-017 2.3262e-015 4.6590e-005 6.7703e-015 4.2916e-015 1.0319e-014 5.2794e-014 8.8040e-013 6.8022e-006 1.1692e-011 2.9553e-012 4.7969e-012 1.5500e-011 1.1131e-010 6.0481e-007 1.0624e-006 5.6907e-010 3.8240e-010 5.5688e-010 1.4830e-009 1.3246e-008 1.5586e-007 1.2090e-008 2.4626e-009 1.4420e-009 1.3683e-009 1.8428e-009 2.7396e-009 2.3930e-009 1.1441e-009 5.5650e-010 3.5644e-010 2.9433e-010 2.9098e-010 3.1601e-010 3.4527e-010 3.5315e-010 3.2655e-010 2.7356e-010 2.1155e-010 1.5362e-010 1.0527e-010 6.6056e-011 3.4866e-011 1.2804e-011 1.2755e-012 2.0334e-012 1.6098e-011 4.2556e-011 7.7278e-011
           4 4.5095e-010 4.6041e-008 6.6396e-005 2.0087e-002 6.8260e-032 1.1626e-029 9.6661e-028 7.6866e-026 1.9307e-023 4.7992e-012 1.4335e-022 3.3200e-022 2.4263e-021 4.0413e-020 4.4444e-018 8.4667e-006 1.4433e-017 2.7411e-017 1.5982e-016 1.8109e-015 8.4383e-014 1.8389e-003 2.9057e-013 2.0201e-013 4.8635e-013 2.2640e-012 3.1575e-011 2.0927e-004 3.3097e-010 6.4499e-011 8.1598e-011 2.1342e-010 1.3109e-009 6.4988e-006 1.1399e-005 5.9508e-009 4.1468e-009 6.6394e-009 2.0493e-008 2.2153e-007 2.9232e-006 2.6202e-007 7.0094e-008 5.5640e-008 7.2586e-008 1.3318e-007 2.5882e-007 2.8135e-007 1.6370e-007 9.2615e-008 6.3945e-008 5.2615e-008 4.8754e-008 4.7877e-008 4.6701e-008 4.2838e-008 3.6124e-008 2.8378e-008 2.1425e-008 1.6059e-008 1.2259e-008 9.5861e-009 7.5808e-009 6.0435e-009 4.8295e-009 3.7976e-009 2.9351e-009 2.2006e-009 1.5892e-009
           5 1.1036e-008 4.1162e-009 3.0623e-007 3.4184e-004 8.8856e-030 8.8245e-028 4.1504e-026 1.3278e-024 3.6236e-023 1.0545e-013 4.6656e-022 8.7729e-021 1.4997e-019 3.2071e-018 2.7994e-016 4.4497e-004 4.9965e-016 4.2095e-016 1.0605e-015 6.4956e-015 2.5547e-013 5.9825e-003 1.1245e-012 1.2180e-012 4.6978e-012 3.3391e-011 6.5939e-010 5.2619e-003 9.0026e-009 2.0978e-009 2.9157e-009 7.7342e-009 4.4870e-008 1.9845e-004 3.4688e-004 1.5505e-007 9.0038e-008 1.1908e-007 3.0506e-007 2.7834e-006 3.3881e-005 2.7841e-006 6.5240e-007 4.6119e-007 5.4517e-007 9.2198e-007 1.6819e-006 1.7415e-006 9.7072e-007 5.3076e-007 3.5948e-007 2.9545e-007 2.7878e-007 2.8408e-007 2.9264e-007 2.8811e-007 2.6480e-007 2.3009e-007 1.9476e-007 1.6546e-007 1.4442e-007 1.3006e-007 1.1915e-007 1.1047e-007 1.0307e-007 9.4963e-008 8.6294e-008 7.6387e-008 6.5352e-008
           6 4.2416e-010 2.6006e-008 4.7977e-009 8.5568e-007 3.8756e-027 3.1105e-025 1.1576e-023 2.8180e-022 4.9510e-021 8.4360e-015 6.8125e-020 7.6303e-019 7.2366e-018 6.0981e-017 5.1164e-016 5.6095e-006 2.7086e-015 1.9476e-014 1.3983e-013 1.2752e-012 3.6684e-011 5.9545e-001 6.1879e-011 1.6292e-011 1.0747e-011 1.0284e-011 6.4586e-011 8.1742e-004 2.1167e-009 1.6949e-009 6.1683e-009 3.3746e-008 3.4095e-007 2.3109e-003 4.0773e-003 2.5261e-006 1.8847e-006 2.9819e-006 8.5755e-006 8.3030e-005 1.0231e-003 8.4106e-005 1.9152e-005 1.2743e-005 1.3826e-005 2.1080e-005 3.4409e-005 3.1750e-005 1.5355e-005 7.0209e-006 3.8456e-006 2.4779e-006 1.7820e-006 1.3517e-006 1.0183e-006 7.2445e-007 4.7859e-007 3.0076e-007 1.8898e-007 1.2553e-007 9.2327e-008 7.6569e-008 7.0720e-008 7.1556e-008 7.7412e-008 8.6180e-008 9.6950e-008 1.0756e-007 1.1556e-007
           7 1.4596e-010 4.0332e-010 7.3911e-009 3.8842e-007 2.8908e-024 1.9487e-022 6.0767e-021 1.2333e-019 1.7994e-018 1.5397e-017 2.0142e-017 1.8332e-016 1.3871e-015 9.0330e-015 5.1144e-014 2.2607e-006 2.6456e-013 1.2208e-012 5.1789e-012 2.0735e-011 8.0799e-011 8.4243e-004 2.7186e-010 1.0323e-009 4.0808e-009 1.9836e-008 2.1084e-007 9.8528e-001 1.2368e-006 9.0339e-008 2.0515e-008 2.2812e-011 6.9966e-008 3.5089e-004 6.0190e-004 1.4517e-008 2.3236e-007 2.0379e-006 1.4756e-005 2.6132e-004 4.1018e-003 4.2751e-004 1.3480e-004 1.1600e-004 1.5442e-004 2.7764e-004 5.1714e-004 5.3335e-004 2.8996e-004 1.5090e-004 9.4967e-005 7.0906e-005 5.9504e-005 5.2873e-005 4.6621e-005 3.8566e-005 2.9194e-005 2.0444e-005 1.3645e-005 8.9591e-006 5.9339e-006 3.9807e-006 2.6683e-006 1.7812e-006 1.1756e-006 7.5236e-007 4.6628e-007 2.7609e-007 1.5561e-007
           8 1.0581e-009 1.8907e-009 8.3639e-011 1.4910e-008 2.6642e-021 1.5144e-019 3.9854e-018 6.8198e-017 8.3745e-016 2.2612e-015 7.8861e-015 6.0250e-014 3.8213e-013 2.0803e-012 9.8763e-012 1.2860e-007 4.1529e-011 1.5778e-010 5.4288e-010 1.7273e-009 5.0538e-009 4.0108e-003 1.4362e-008 3.7536e-008 9.3905e-008 2.2708e-007 5.3077e-007 7.8016e-004 1.3708e-006 3.1653e-006 8.1173e-006 2.4615e-005 1.2223e-004 3.6003e-001 6.2080e-001 1.3666e-004 2.3445e-005 1.8848e-006 7.8618e-006 2.7942e-004 4.0737e-003 3.2322e-004 3.8962e-005 1.9076e-006 1.4014e-005 1.4040e-004 5.8635e-004 9.8957e-004 7.9267e-004 5.6297e-004 4.4746e-004 3.9626e-004 3.7671e-004 3.6767e-004 3.4974e-004 3.0986e-004 2.5170e-004 1.9102e-004 1.4045e-004 1.0379e-004 7.9301e-005 6.3102e-005 5.1656e-005 4.3330e-005 3.6995e-005 3.1518e-005 2.6722e-005 2.2228e-005 1.7977e-005
           9 1.3572e-009 9.3770e-010 2.1409e-010 3.6194e-008 1.6615e-017 6.8505e-016 1.3146e-014 1.6446e-013 1.4798e-012 4.3120e-012 1.0268e-011 5.8016e-011 2.7386e-010 1.1153e-009 3.9886e-009 5.0758e-009 1.2718e-008 3.6893e-008 9.7614e-008 2.4058e-007 5.5296e-007 8.3139e-004 1.1962e-006 2.4685e-006 4.8483e-006 9.1632e-006 1.6664e-005 4.4033e-003 3.0897e-005 5.2613e-005 8.9663e-005 1.5035e-004 2.4574e-004 5.8837e-004 4.5542e-003 8.7659e-004 1.5974e-003 3.4066e-003 9.9038e-003 7.9150e-002 8.2062e-001 5.1677e-002 6.1072e-003 1.3781e-003 1.5676e-004 1.3029e-004 1.5233e-003 2.7465e-003 1.8020e-003 8.2333e-004 3.0704e-004 6.4976e-005 4.5152e-007 8.1467e-005 2.7620e-004 5.0651e-004 6.7105e-004 7.2075e-004 6.7732e-004 5.8967e-004 4.9648e-004 4.1195e-004 3.3597e-004 2.7082e-004 2.1632e-004 1.6943e-004 1.3103e-004 9.9593e-005 7.4471e-005
