   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82
           0 9.9766e-001 2.2729e-003 6.2664e-005 4.4465e-008 8.9581e-008 2.1826e-008 3.7812e-009 1.3409e-038 1.1077e-036 1.3259e-032 1.0079e-022 1.6672e-031 1.3065e-029 2.0579e-027 6.2193e-023 8.9349e-015 4.0431e-024 4.5365e-023 1.4625e-021 4.7793e-010 2.5853e-017 6.9199e-020 2.5019e-021 1.3992e-017 2.5311e-010 1.2853e-014 8.3870e-015 9.3891e-014 6.7480e-012 8.4903e-010 2.3758e-011 3.6254e-011 1.4877e-010 2.5684e-010 1.6716e-010 1.1739e-010 8.9924e-011 6.0955e-011 3.2912e-011 1.2155e-011 1.3894e-012 1.2715e-012 1.1394e-011 3.0363e-011 5.6114e-011 8.6192e-011 1.1782e-010 1.4841e-010 1.7580e-010 1.9839e-010 2.1520e-010 2.2556e-010 2.2936e-010 2.2706e-010 2.1907e-010 2.0658e-010 1.9052e-010 1.7209e-010 1.5239e-010 1.3234e-010 1.1254e-010 9.3784e-011 7.6454e-011 6.0914e-011 4.7302e-011 3.5756e-011 2.6182e-011 1.8469e-011 1.2458e-011 7.9216e-012 4.6561e-012 2.4336e-012 1.0454e-012 2.9735e-013 1.6289e-014 5.3831e-014 2.8703e-013 6.1771e-013 9.7145e-013 1.2937e-012 1.5479e-012 1.7065e-012 1.7486e-012
           1 2.2289e-003 9.9467e-001 2.5800e-003 5.2188e-004 2.1013e-009 4.3946e-007 2.2384e-007 6.5788e-036 4.3788e-033 7.2949e-029 3.7592e-019 7.2987e-029 1.4901e-027 7.4049e-026 5.8165e-022 7.8453e-014 2.4134e-024 8.7637e-023 2.2689e-020 2.9202e-008 1.6269e-015 2.2366e-017 2.2012e-016 7.6340e-015 3.8937e-008 1.6314e-012 4.3587e-013 2.4109e-012 9.1715e-011 8.9494e-009 1.6888e-010 1.2868e-010 2.4512e-010 1.7771e-010 1.6206e-011 1.0648e-011 9.1403e-011 2.2421e-010 3.6336e-010 4.7639e-010 5.4787e-010 5.6945e-010 5.4150e-010 4.7330e-010 3.7948e-010 2.7544e-010 1.7544e-010 9.1855e-011 3.3181e-011 3.6211e-012 3.5216e-012 3.0092e-011 7.8255e-011 1.4167e-010 2.1328e-010 2.8666e-010 3.5591e-010 4.1649e-010 4.6545e-010 5.0106e-010 5.2186e-010 5.2878e-010 5.2254e-010 5.0505e-010 4.7790e-010 4.4409e-010 4.0531e-010 3.6363e-010 3.2116e-010 2.7886e-010 2.3842e-010 2.0046e-010 1.6569e-010 1.3460e-010 1.0728e-010 8.3754e-011 6.3950e-011 4.7574e-011 3.4352e-011 2.3910e-011 1.5898e-011 9.9326e-012 5.6894e-012
           2 1.0541e-004 2.5175e-003 9.9503e-001 4.8197e-005 2.2294e-003 6.0107e-005 8.6637e-006 1.2084e-034 4.9446e-032 4.3439e-028 2.0810e-018 1.5204e-028 7.1737e-029 1.9190e-025 1.7566e-020 2.5922e-012 2.0065e-021 3.4771e-020 1.7591e-018 1.0328e-006 5.6756e-014 4.4338e-016 2.7013e-015 5.8914e-014 1.9868e-007 7.5744e-012 1.0614e-012 2.0958e-012 3.4593e-012 2.3679e-010 1.1000e-010 6.8147e-010 5.4476e-009 1.4066e-008 1.3707e-008 1.4705e-008 1.7515e-008 1.9652e-008 2.0292e-008 1.9913e-008 1.8959e-008 1.7572e-008 1.5866e-008 1.3986e-008 1.2075e-008 1.0222e-008 8.4753e-009 6.8834e-009 5.4757e-009 4.2616e-009 3.2396e-009 2.3951e-009 1.7120e-009 1.1733e-009 7.5918e-010 4.5356e-010 2.3926e-010 1.0132e-010 2.5785e-011 2.3474e-013 1.3897e-011 5.7317e-011 1.2223e-010 2.0154e-010 2.8883e-010 3.7932e-010 4.6842e-010 5.5257e-010 6.2953e-010 6.9618e-010 7.5204e-010 7.9542e-010 8.2589e-010 8.4390e-010 8.4933e-010 8.4284e-010 8.2599e-010 7.9931e-010 7.6448e-010 7.2220e-010 6.7371e-010 6.1808e-010 5.5364e-010
           3 1.1114e-006 5.3830e-004 9.8183e-005 9.8660e-001 9.0461e-003 2.9703e-003 7.1355e-004 2.4355e-033 4.5471e-031 9.7501e-028 3.6634e-018 2.4422e-028 8.1225e-026 1.6017e-023 5.0085e-019 7.1955e-011 3.2347e-020 3.6667e-019 1.2739e-017 5.1635e-006 2.8138e-013 1.4235e-015 4.8204e-015 3.7070e-014 7.5357e-009 1.1829e-014 1.6714e-012 4.2025e-011 4.3272e-009 6.0195e-007 1.9135e-008 3.4706e-008 1.6434e-007 3.1970e-007 2.4264e-007 2.0893e-007 2.0731e-007 1.9839e-007 1.7675e-007 1.5019e-007 1.2341e-007 9.7681e-008 7.3878e-008 5.2894e-008 3.5355e-008 2.1483e-008 1.1255e-008 4.5108e-009 9.1653e-010 1.7811e-011 1.2999e-009 4.2293e-009 8.2816e-009 1.2977e-008 1.7869e-008 2.2610e-008 2.6906e-008 3.0553e-008 3.3435e-008 3.5496e-008 3.6667e-008 3.7027e-008 3.6611e-008 3.5529e-008 3.3858e-008 3.1770e-008 2.9349e-008 2.6708e-008 2.3971e-008 2.1188e-008 1.8467e-008 1.5850e-008 1.3389e-008 1.1125e-008 9.0749e-009 7.2532e-009 5.6688e-009 4.3132e-009 3.1797e-009 2.2520e-009 1.5147e-009 9.4721e-010 5.3250e-010
           4 3.5075e-007 9.1652e-008 2.2239e-003 7.0772e-003 9.5118e-001 3.6819e-002 8.7621e-004 3.0754e-032 1.9822e-029 3.2416e-025 1.6707e-015 3.3288e-025 7.5549e-024 4.8378e-022 6.8749e-018 9.6118e-010 2.2224e-019 1.2070e-018 1.5442e-017 6.9907e-007 3.4596e-014 5.3375e-016 2.3754e-014 1.5511e-012 1.1173e-005 4.9850e-010 1.8562e-010 1.4104e-009 7.5404e-008 8.5676e-006 2.0863e-007 2.6297e-007 9.3479e-007 1.4583e-006 8.5476e-007 5.4284e-007 3.8342e-007 2.4626e-007 1.3198e-007 5.4312e-008 1.2415e-008 2.4038e-014 1.0116e-008 3.5692e-008 7.0166e-008 1.0790e-007 1.4414e-007 1.7540e-007 1.9955e-007 2.1557e-007 2.2343e-007 2.2349e-007 2.1669e-007 2.0438e-007 1.8769e-007 1.6827e-007 1.4729e-007 1.2597e-007 1.0529e-007 8.5928e-008 6.8244e-008 5.2664e-008 3.9285e-008 2.8152e-008 1.9172e-008 1.2224e-008 7.0867e-009 3.5331e-009 1.3267e-009 2.2896e-010 1.9558e-011 4.9571e-010 1.4767e-009 2.8071e-009 4.3530e-009 6.0045e-009 7.6778e-009 9.2996e-009 1.0823e-008 1.2199e-008 1.3394e-008 1.4324e-008 1.4848e-008
           5 1.1442e-007 1.0272e-006 1.2269e-006 5.7153e-003 2.9344e-002 8.9130e-001 7.1266e-002 1.6200e-031 2.3647e-029 2.5629e-026 7.8411e-017 4.4623e-026 7.0373e-024 1.2396e-021 3.8600e-017 5.5516e-009 2.6310e-018 3.3070e-017 1.3455e-015 6.8290e-004 3.7433e-011 2.6684e-013 1.5669e-012 3.5067e-011 1.2874e-004 5.0456e-009 9.1979e-010 3.3940e-009 7.9075e-008 5.9892e-006 6.7768e-008 7.7588e-009 2.7603e-008 3.0373e-007 5.6724e-007 8.8710e-007 1.3292e-006 1.7410e-006 2.0113e-006 2.1474e-006 2.1789e-006 2.1166e-006 1.9743e-006 1.7738e-006 1.5399e-006 1.2924e-006 1.0461e-006 8.1495e-007 6.0902e-007 4.3392e-007 2.9190e-007 1.8209e-007 1.0209e-007 4.8292e-008 1.6396e-008 2.0210e-009 8.6360e-010 9.0160e-009 2.3111e-008 4.0418e-008 5.8708e-008 7.6411e-008 9.2346e-008 1.0583e-007 1.1637e-007 1.2404e-007 1.2878e-007 1.3082e-007 1.3056e-007 1.2812e-007 1.2406e-007 1.1857e-007 1.1201e-007 1.0473e-007 9.6936e-008 8.8866e-008 8.0776e-008 7.2764e-008 6.5001e-008 5.7529e-008 5.0425e-008 4.3590e-008 3.6904e-008
           6 9.5837e-009 1.1995e-006 8.3265e-007 8.3417e-006 8.0605e-003 5.8144e-002 8.1606e-001 6.2069e-030 2.3547e-027 2.4453e-023 1.2116e-013 1.6685e-023 2.5669e-022 1.0949e-020 9.4376e-017 1.2896e-008 1.3445e-018 3.9889e-019 1.9247e-016 4.4173e-004 2.4757e-011 4.0707e-013 4.4053e-012 1.6581e-010 9.1440e-004 3.9031e-008 1.1856e-008 7.8124e-008 3.7738e-006 4.1530e-004 9.7184e-006 1.1717e-005 4.0777e-005 6.3302e-005 3.7450e-005 2.4595e-005 1.8572e-005 1.3395e-005 8.7755e-006 5.2494e-006 2.8200e-006 1.2731e-006 4.0682e-007 4.3380e-008 2.5998e-008 2.2402e-007 5.3371e-007 8.7651e-007 1.1981e-006 1.4648e-006 1.6602e-006 1.7781e-006 1.8215e-006 1.8000e-006 1.7234e-006 1.6069e-006 1.4624e-006 1.3023e-006 1.1369e-006 9.7410e-007 8.1812e-007 6.7435e-007 5.4468e-007 4.3074e-007 3.3256e-007 2.5027e-007 1.8259e-007 1.2828e-007 8.5964e-008 5.3953e-008 3.0844e-008 1.5154e-008 5.5746e-009 9.1328e-010 1.0761e-010 2.2341e-009 6.5030e-009 1.2243e-008 1.8903e-008 2.6006e-008 3.3148e-008 3.9823e-008 4.5295e-008
           7 5.4793e-013 1.1942e-009 2.9604e-006 1.9610e-005 1.1695e-004 1.0421e-002 9.7144e-002 7.0692e-030 7.4517e-027 1.4872e-022 7.7524e-013 1.6721e-022 4.0226e-021 2.7661e-019 4.4331e-015 6.2356e-007 1.7685e-016 1.3927e-015 3.6622e-014 1.2097e-002 6.5674e-010 2.8857e-012 9.2747e-012 8.3889e-011 6.8158e-005 1.4671e-009 4.9362e-010 2.2205e-008 2.5405e-006 3.5858e-004 1.1510e-005 2.0893e-005 9.8482e-005 1.9082e-004 1.4433e-004 1.2419e-004 1.2373e-004 1.1962e-004 1.0853e-004 9.4883e-005 8.1280e-005 6.8227e-005 5.5994e-005 4.4906e-005 3.5206e-005 2.6939e-005 2.0037e-005 1.4438e-005 1.0031e-005 6.6696e-006 4.1965e-006 2.4482e-006 1.2779e-006 5.5431e-007 1.6357e-007 1.1705e-008 2.1672e-008 1.3292e-007 2.9953e-007 4.8831e-007 6.7506e-007 8.4485e-007 9.8782e-007 1.0997e-006 1.1780e-006 1.2258e-006 1.2445e-006 1.2377e-006 1.2103e-006 1.1646e-006 1.1060e-006 1.0370e-006 9.6108e-007 8.8145e-007 8.0007e-007 7.1894e-007 6.4021e-007 5.6460e-007 4.9339e-007 4.2679e-007 3.6525e-007 3.0795e-007 2.5404e-007
           8 7.0407e-009 6.5658e-009 1.1566e-006 3.1325e-007 1.1379e-005 2.6171e-004 1.3539e-002 4.0653e-029 1.3523e-026 4.0658e-023 1.5878e-013 6.4529e-024 2.8141e-021 5.4783e-019 1.6354e-014 2.3453e-006 1.0157e-015 1.1447e-014 4.1859e-013 1.9384e-001 1.0606e-008 7.0254e-011 3.9285e-010 8.6179e-009 3.1951e-002 1.2593e-006 2.4454e-007 1.0338e-006 3.1412e-005 2.8303e-003 4.7885e-005 3.1455e-005 5.3862e-005 3.6441e-005 3.1626e-006 1.8145e-006 1.5304e-005 3.6838e-005 5.9647e-005 7.9876e-005 9.6247e-005 1.0792e-004 1.1459e-004 1.1661e-004 1.1480e-004 1.0996e-004 1.0270e-004 9.3803e-005 8.4013e-005 7.3924e-005 6.4027e-005 5.4600e-005 4.5860e-005 3.7962e-005 3.0929e-005 2.4821e-005 1.9594e-005 1.5207e-005 1.1591e-005 8.6571e-006 6.3058e-006 4.4648e-006 3.0495e-006 1.9897e-006 1.2196e-006 6.8426e-007 3.3306e-007 1.2437e-007 2.3206e-008 6.5505e-010 3.3378e-008 1.0268e-007 1.9382e-007 2.9557e-007 3.9926e-007 4.9862e-007 5.8968e-007 6.6926e-007 7.3604e-007 7.8863e-007 8.2654e-007 8.4646e-007 8.4247e-007
           9 1.9759e-010 6.9614e-010 5.9953e-008 2.4173e-006 9.7469e-006 5.1913e-008 3.4376e-004 4.4171e-028 7.8050e-026 1.9878e-023 2.0824e-014 2.9242e-022 1.6672e-020 1.0370e-018 6.2782e-015 8.2619e-007 3.1082e-019 3.7419e-015 4.6502e-013 4.1587e-001 2.3014e-008 2.3814e-010 1.8590e-009 5.3722e-008 2.4521e-001 1.0087e-005 2.5130e-006 1.3884e-005 5.7283e-004 5.9410e-002 1.2766e-003 1.3555e-003 4.2488e-003 6.0869e-003 3.2884e-003 1.9553e-003 1.3380e-003 8.7494e-004 5.1844e-004 2.7863e-004 1.3236e-004 5.0637e-005 1.1766e-005 1.3683e-007 4.5835e-006 1.7435e-005 3.3569e-005 4.9701e-005 6.3911e-005 7.5226e-005 8.3327e-005 8.8201e-005 9.0101e-005 8.9478e-005 8.6688e-005 8.2326e-005 7.6799e-005 7.0555e-005 6.3979e-005 5.7349e-005 5.0795e-005 4.4552e-005 3.8687e-005 3.3292e-005 2.8376e-005 2.3998e-005 2.0120e-005 1.6721e-005 1.3783e-005 1.1246e-005 9.0883e-006 7.2609e-006 5.7277e-006 4.4561e-006 3.4099e-006 2.5587e-006 1.8769e-006 1.3377e-006 9.1966e-007 6.0245e-007 3.6928e-007 2.0475e-007 9.6644e-008
