   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44
           0 3.2622e-001 3.2300e-001 1.9490e-001 9.3313e-002 3.9068e-002 1.5050e-002 5.5011e-003 1.9431e-003 6.7058e-004 2.2802e-004 7.7102e-005 2.6160e-005 8.9406e-006 3.0649e-006 1.0449e-006 3.5370e-007 1.2093e-007 4.3398e-008 1.6956e-008 7.1612e-009 3.0389e-009 1.1456e-009 3.2322e-010 4.8367e-011 3.7016e-013 2.8041e-012 1.1024e-012 1.1580e-012 1.1671e-011 2.5653e-011 3.1271e-011 2.4932e-011 1.2624e-011 2.8497e-012 3.5427e-014 3.0800e-012 7.9740e-012 1.1149e-011 1.1237e-011 8.9057e-012 5.7035e-012 2.9472e-012 1.2067e-012 3.7960e-013 8.8552e-014
           1 3.8933e-001 6.2521e-003 8.7058e-002 1.7445e-001 1.5400e-001 9.7007e-002 5.0792e-002 2.3754e-002 1.0320e-002 4.2613e-003 1.6990e-003 6.6296e-004 2.5585e-004 9.8193e-005 3.7477e-005 1.4201e-005 5.3606e-006 2.0417e-006 7.9967e-007 3.2594e-007 1.3679e-007 5.6958e-008 2.2353e-008 7.8980e-009 2.4840e-009 7.5989e-010 3.0130e-010 2.1081e-010 2.2247e-010 2.4143e-010 2.1724e-010 1.4633e-010 6.4680e-011 1.1693e-011 8.0240e-013 1.8002e-011 3.9478e-011 4.8904e-011 4.3431e-011 2.9471e-011 1.5232e-011 5.6317e-012 1.2605e-012 1.1196e-013 1.5455e-015
           2 2.0916e-001 1.6934e-001 1.3127e-001 4.2689e-004 5.7501e-002 1.2120e-001 1.2072e-001 8.6650e-002 5.1708e-002 2.7444e-002 1.3449e-002 6.2361e-003 2.7863e-003 1.2153e-003 5.2136e-004 2.2069e-004 9.2424e-005 3.8522e-005 1.6137e-005 6.8581e-006 2.9631e-006 1.2893e-006 5.5516e-007 2.3290e-007 9.5213e-008 3.9064e-008 1.7124e-008 8.6018e-009 5.0419e-009 3.2336e-009 2.0341e-009 1.1225e-009 4.8030e-010 1.2562e-010 5.9317e-012 1.3575e-011 4.8627e-011 6.0153e-011 4.4786e-011 2.0918e-011 4.6176e-012 2.9956e-016 1.9742e-012 3.4190e-012 1.7786e-012
           3 6.3185e-002 2.9597e-001 1.3052e-002 1.5058e-001 5.4201e-002 9.2948e-004 4.9451e-002 9.4237e-002 9.7097e-002 7.4804e-002 4.8516e-002 2.8115e-002 1.5088e-002 7.6768e-003 3.7611e-003 1.7921e-003 8.3667e-004 3.8543e-004 1.7644e-004 8.0691e-005 3.6943e-005 1.6907e-005 7.7167e-006 3.5150e-006 1.6083e-006 7.4812e-007 3.5808e-007 1.7712e-007 8.9710e-008 4.5523e-008 2.2517e-008 1.0597e-008 4.6892e-009 1.9730e-009 8.3112e-010 3.8880e-010 2.2755e-010 1.7196e-010 1.5275e-010 1.4024e-010 1.2178e-010 9.5362e-011 6.4909e-011 3.4957e-011 1.1843e-011
           4 1.1030e-002 1.6106e-001 2.3830e-001 1.6065e-002 7.7087e-002 1.0076e-001 1.8827e-002 5.1422e-003 4.6203e-002 7.7520e-002 7.9793e-002 6.3894e-002 4.3827e-002 2.7126e-002 1.5641e-002 8.5722e-003 4.5236e-003 2.3205e-003 1.1673e-003 5.8030e-004 2.8678e-004 1.4122e-004 6.9267e-005 3.3830e-005 1.6490e-005 8.0738e-006 4.0061e-006 2.0281e-006 1.0476e-006 5.4745e-007 2.8524e-007 1.4602e-007 7.2841e-008 3.5559e-008 1.7356e-008 8.8081e-009 4.8698e-009 3.0222e-009 2.0876e-009 1.5373e-009 1.1429e-009 8.1661e-010 5.3283e-010 2.8377e-010 9.6199e-011
           5 1.0231e-003 3.9855e-002 2.4264e-001 1.3384e-001 7.4943e-002 1.5548e-002 9.2328e-002 5.5537e-002 3.7783e-003 1.0631e-002 4.4095e-002 6.5696e-002 6.6440e-002 5.4286e-002 3.8770e-002 2.5268e-002 1.5422e-002 8.9676e-003 5.0330e-003 2.7550e-003 1.4823e-003 7.8767e-004 4.1453e-004 2.1659e-004 1.1276e-004 5.8770e-005 3.0807e-005 1.6280e-005 8.6653e-006 4.6289e-006 2.4722e-006 1.3186e-006 7.0477e-007 3.8075e-007 2.1031e-007 1.1994e-007 7.0902e-008 4.3232e-008 2.6866e-008 1.6754e-008 1.0324e-008 6.1877e-009 3.5045e-009 1.6984e-009 5.5090e-010
           6 3.7912e-005 4.3960e-003 8.2407e-002 2.8550e-001 5.3496e-002 1.1329e-001 2.2846e-004 5.5400e-002 7.2293e-002 2.4238e-002 3.6708e-006 1.5924e-002 4.2089e-002 5.6365e-002 5.5649e-002 4.6002e-002 3.3834e-002 2.2925e-002 1.4640e-002 8.9549e-003 5.3078e-003 3.0725e-003 1.7468e-003 9.8017e-004 5.4538e-004 3.0225e-004 1.6737e-004 9.2756e-005 5.1456e-005 2.8580e-005 1.5911e-005 8.9036e-006 5.0271e-006 2.8746e-006 1.6681e-006 9.8186e-007 5.8451e-007 3.5054e-007 2.1102e-007 1.2718e-007 7.6545e-008 4.5660e-008 2.6236e-008 1.3019e-008 4.2940e-009
           7 9.5025e-008 1.4808e-004 1.0139e-002 1.2920e-001 2.9740e-001 1.3548e-002 1.1691e-001 1.3971e-002 2.2227e-002 6.5456e-002 4.3035e-002 7.1172e-003 1.9770e-003 2.0243e-002 3.9652e-002 4.8525e-002 4.6739e-002 3.8811e-002 2.9131e-002 2.0355e-002 1.3507e-002 8.6261e-003 5.3500e-003 3.2443e-003 1.9352e-003 1.1419e-003 6.6959e-004 3.9122e-004 2.2805e-004 1.3272e-004 7.7233e-005 4.5049e-005 2.6431e-005 1.5649e-005 9.3682e-006 5.6691e-006 3.4616e-006 2.1275e-006 1.3133e-006 8.1291e-007 5.0322e-007 3.0876e-007 1.8200e-007 9.2053e-008 3.0660e-008
           8 6.2921e-008 2.3309e-009 2.5082e-004 1.6381e-002 1.7221e-001 2.9795e-001 1.3184e-003 1.0027e-001 3.3039e-002 4.8016e-003 4.7576e-002 5.0347e-002 1.9358e-002 5.5989e-004 6.3490e-003 2.3139e-002 3.6740e-002 4.1710e-002 3.9144e-002 3.2469e-002 2.4739e-002 1.7737e-002 1.2149e-002 8.0340e-003 5.1734e-003 3.2684e-003 2.0381e-003 1.2592e-003 7.7261e-004 4.7155e-004 2.8690e-004 1.7454e-004 1.0653e-004 6.5409e-005 4.0454e-005 2.5193e-005 1.5778e-005 9.9258e-006 6.2694e-006 3.9742e-006 2.5218e-006 1.5857e-006 9.5534e-007 4.9110e-007 1.6492e-007
           9 3.8791e-008 2.4241e-007 3.3423e-006 1.8482e-004 2.0000e-002 2.0628e-001 3.0597e-001 9.9226e-006 7.8680e-002 4.5434e-002 6.5652e-005 3.0020e-002 4.7718e-002 2.8371e-002 5.3503e-003 6.5781e-004 1.1007e-002 2.4602e-002 3.3413e-002 3.5495e-002 3.2487e-002 2.6889e-002 2.0709e-002 1.5125e-002 1.0620e-002 7.2406e-003 4.8262e-003 3.1617e-003 2.0451e-003 1.3115e-003 8.3671e-004 5.3237e-004 3.3837e-004 2.1513e-004 1.3701e-004 8.7545e-005 5.6221e-005 3.6330e-005 2.3629e-005 1.5442e-005 1.0089e-005 6.5042e-006 3.9928e-006 2.0769e-006 7.0116e-007
          10 1.9169e-008 2.0009e-008 5.4931e-007 2.8732e-005 5.2937e-006 1.7915e-002 2.2620e-001 3.3564e-001 2.2605e-006 5.9313e-002 4.9586e-002 9.6067e-004 1.7728e-002 4.0318e-002 3.1837e-002 1.0821e-002 2.3437e-004 4.0624e-003 1.4838e-002 2.4609e-002 2.9634e-002 2.9788e-002 2.6612e-002 2.1895e-002 1.6975e-002 1.2593e-002 9.0328e-003 6.3122e-003 4.3253e-003 2.9223e-003 1.9548e-003 1.2984e-003 8.5807e-004 5.6544e-004 3.7236e-004 2.4557e-004 1.6247e-004 1.0791e-004 7.1931e-005 4.8027e-005 3.1953e-005 2.0915e-005 1.2996e-005 6.8184e-006 2.3118e-006
          11 3.8471e-011 2.2108e-008 4.6422e-009 2.7403e-007 8.9565e-005 3.7367e-004 9.4098e-003 2.2172e-001 3.9527e-001 3.1760e-003 4.1990e-002 4.8833e-002 2.3005e-003 1.0687e-002 3.2485e-002 3.0865e-002 1.4144e-002 1.7802e-003 1.0334e-003 8.3120e-003 1.7139e-002 2.3312e-002 2.5531e-002 2.4416e-002 2.1309e-002 1.7424e-002 1.3566e-002 1.0171e-002 7.4120e-003 5.2900e-003 3.7171e-003 2.5802e-003 1.7744e-003 1.2125e-003 8.2589e-004 5.6213e-004 3.8289e-004 2.6108e-004 1.7811e-004 1.2135e-004 8.2177e-005 5.4626e-005 3.4382e-005 1.8206e-005 6.2016e-006
          12 8.4891e-009 9.6302e-010 1.5582e-008 1.1342e-007 1.4492e-006 1.1172e-004 2.2756e-003 5.2294e-004 1.7546e-001 4.7670e-001 2.8983e-002 2.2824e-002 4.8495e-002 1.7419e-003 7.0981e-003 2.6414e-002 2.7322e-002 1.4744e-002 3.1268e-003 1.3252e-004 4.5678e-003 1.1710e-002 1.7736e-002 2.0843e-002 2.1094e-002 1.9359e-002 1.6547e-002 1.3400e-002 1.0430e-002 7.8880e-003 5.8336e-003 4.2354e-003 3.0310e-003 2.1480e-003 1.5138e-003 1.0634e-003 7.4500e-004 5.2057e-004 3.6278e-004 2.5196e-004 1.7369e-004 1.1735e-004 7.4883e-005 4.0046e-005 1.3709e-005
          13 4.4333e-010 9.2730e-009 1.6488e-009 6.7488e-008 1.9028e-007 2.3040e-005 5.0301e-006 4.7320e-003 7.7058e-003 8.0427e-002 5.2163e-001 1.1748e-001 3.0957e-003 5.7489e-002 9.9368e-006 4.6224e-003 2.3347e-002 2.2076e-002 1.3302e-002 3.3210e-003 1.7505e-006 2.7136e-003 8.2454e-003 1.3334e-002 1.6470e-002 1.7420e-002 1.6544e-002 1.4581e-002 1.2202e-002 9.8077e-003 7.6262e-003 5.7855e-003 4.3158e-003 3.1792e-003 2.3162e-003 1.6719e-003 1.1993e-003 8.5765e-004 6.1204e-004 4.3495e-004 3.0588e-004 2.0988e-004 1.3539e-004 7.2882e-005 2.5025e-005
          14 2.0328e-009 8.2413e-011 6.3736e-009 1.0913e-009 2.4053e-007 7.3321e-007 5.8577e-005 4.1868e-004 2.7519e-003 4.0481e-002 1.0129e-003 3.9545e-001 2.7459e-001 1.0383e-002 9.5087e-002 8.9565e-003 7.9488e-004 2.7081e-002 1.3693e-002 1.1513e-002 2.1383e-003 1.6339e-006 2.0741e-003 6.0799e-003 1.0118e-002 1.2762e-002 1.3654e-002 1.3269e-002 1.1948e-002 1.0172e-002 8.3431e-003 6.6347e-003 5.1379e-003 3.9072e-003 2.9362e-003 2.1832e-003 1.6070e-003 1.1739e-003 8.5336e-004 6.1685e-004 4.4066e-004 3.0652e-004 1.9991e-004 1.0843e-004 3.7369e-005
          15 2.4895e-009 2.1408e-009 3.1414e-010 6.6426e-009 5.2419e-008 9.8799e-008 1.7593e-005 2.6004e-007 2.0295e-003 1.1558e-003 4.5529e-002 8.1338e-002 8.2164e-002 2.9764e-001 6.4963e-002 1.7445e-001 7.8794e-002 8.4000e-003 5.8301e-002 8.2684e-004 1.6177e-002 7.8180e-006 1.4037e-004 2.9649e-003 3.9302e-003 8.3151e-003 8.9453e-003 1.0235e-002 9.5940e-003 8.7728e-003 7.5607e-003 6.2007e-003 5.0134e-003 3.9361e-003 3.0193e-003 2.3022e-003 1.7389e-003 1.2937e-003 9.5377e-004 7.0000e-004 5.0778e-004 3.5753e-004 2.3508e-004 1.2814e-004 4.4268e-005
          16 8.2679e-010 1.9423e-009 3.7594e-010 4.3561e-009 3.0982e-009 1.5583e-007 2.9152e-006 1.7431e-005 4.8538e-004 3.5343e-004 1.9164e-002 4.4348e-005 1.3835e-001 4.4281e-002 3.5883e-002 1.8847e-002 1.1694e-001 1.6461e-001 6.8449e-002 1.6182e-001 3.6387e-002 6.9395e-002 2.6244e-002 1.4437e-002 2.2006e-002 5.0578e-004 1.7640e-002 8.3046e-004 1.2720e-002 2.3505e-003 8.2976e-003 2.5786e-003 5.0096e-003 2.0530e-003 2.8612e-003 1.4016e-003 1.5682e-003 8.8504e-004 8.2370e-004 5.3965e-004 4.0691e-004 2.9857e-004 1.9244e-004 1.0365e-004 3.5844e-005
