   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 2.5977e-002 1.2072e-001 2.4246e-001 2.7755e-001 2.0053e-001 9.5405e-002 3.0186e-002 6.2495e-003 8.0868e-004 5.9411e-005 1.9009e-006 9.2672e-010 2.2222e-008 2.3526e-008 7.2798e-009 1.0290e-009 4.1540e-009 5.8253e-010 1.1045e-009 1.5033e-009 2.5265e-010 1.0515e-011 8.8307e-011 1.4805e-011
           1 7.0434e-002 1.7549e-001 1.1608e-001 2.0933e-003 8.0720e-002 2.1748e-001 2.0398e-001 1.0035e-001 2.8421e-002 4.6030e-003 3.8776e-004 1.2408e-005 9.0138e-009 1.7965e-008 1.7984e-009 1.3808e-009 8.5532e-010 1.8206e-010 4.0997e-010 2.4318e-010 2.3160e-012 9.2714e-011 7.9189e-011 9.0467e-012
           2 1.0956e-001 1.2821e-001 4.3131e-003 7.5013e-002 1.0937e-001 3.8891e-003 8.2939e-002 2.1977e-001 1.8054e-001 7.0880e-002 1.4207e-002 1.3130e-003 3.4305e-005 1.0302e-007 7.4026e-008 8.7717e-010 7.6697e-010 3.0156e-009 3.8905e-010 6.1247e-010 5.4770e-010 5.2551e-011 2.6927e-012 1.7712e-012
           3 1.3003e-001 5.4995e-002 2.2782e-002 9.4018e-002 2.3564e-003 7.9602e-002 8.0738e-002 1.8229e-003 1.4393e-001 2.2868e-001 1.2704e-001 3.0964e-002 2.9562e-003 4.7720e-005 1.8985e-006 3.0473e-008 5.9089e-008 9.3571e-009 5.5649e-009 3.3725e-009 1.0196e-011 2.4930e-010 1.7468e-010 1.7407e-011
           4 1.3157e-001 9.6715e-003 6.7211e-002 2.9782e-002 3.6060e-002 6.7277e-002 4.3481e-003 1.0453e-001 2.7708e-002 5.2686e-002 2.2719e-001 1.8375e-001 5.3229e-002 4.8814e-003 2.8420e-005 6.1645e-006 2.7803e-007 2.2882e-008 1.7749e-007 1.6771e-008 4.0484e-009 7.0683e-009 2.8589e-009 2.5020e-010
           5 1.1931e-001 5.0239e-004 7.3857e-002 6.2649e-015 6.9754e-002 2.6994e-003 6.8244e-002 2.1058e-002 5.0373e-002 8.2904e-002 4.5748e-003 1.8951e-001 2.3229e-001 7.8407e-002 6.5250e-003 3.3140e-006 5.9807e-006 1.4075e-006 5.4030e-007 9.4038e-009 1.3094e-007 9.2347e-008 3.4828e-008 3.1235e-009
           6 9.9215e-002 1.3008e-002 4.8955e-002 1.7854e-002 4.1673e-002 1.8484e-002 4.7135e-002 1.4095e-002 6.5686e-002 4.0411e-003 9.9948e-002 5.6755e-003 1.3724e-001 2.7221e-001 1.0688e-001 7.9524e-003 7.4244e-006 8.0188e-006 4.0768e-008 6.4246e-007 7.0728e-007 2.9164e-007 7.1806e-008 5.0170e-009
           7 7.7680e-002 3.0091e-002 2.0616e-002 4.0969e-002 7.6964e-003 4.7420e-002 3.7307e-003 5.3745e-002 3.6516e-003 6.2222e-002 8.8094e-003 7.2803e-002 3.5059e-002 8.4252e-002 3.0403e-001 1.3873e-001 8.2254e-003 2.1828e-004 2.8689e-005 2.6673e-006 1.2772e-007 1.8643e-007 2.1632e-008 3.6881e-010
           8 6.0201e-002 4.3716e-002 4.1534e-003 4.7806e-002 6.8229e-004 4.3008e-002 7.3523e-003 3.7633e-002 1.6175e-002 3.5979e-002 2.4506e-002 4.1643e-002 3.2680e-002 6.9240e-002 4.3301e-002 3.2729e-001 1.5925e-001 3.9669e-003 1.3792e-003 1.4143e-006 1.9679e-005 8.0801e-006 1.5398e-006 9.3354e-008
           9 4.6059e-002 5.1834e-002 6.2714e-005 3.9410e-002 1.3086e-002 1.9882e-002 3.0545e-002 6.1618e-003 4.3527e-002 4.1777e-004 5.2726e-002 9.2830e-004 6.2174e-002 6.7717e-003 8.8688e-002 2.3532e-002 3.5750e-001 1.5395e-001 1.1655e-007 2.3430e-003 3.8921e-004 1.6270e-005 1.7548e-007 1.6045e-007
