   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68
           0 9.9767e-001 1.9094e-004 1.9263e-003 1.8672e-004 1.3139e-035 4.0607e-034 2.1834e-032 1.3944e-030 2.5550e-028 4.9858e-017 7.3612e-028 1.7008e-028 9.0537e-026 7.5996e-024 2.0731e-021 4.9147e-009 1.1164e-020 2.7948e-020 1.9122e-019 2.4037e-018 1.2026e-016 2.6802e-006 4.3071e-016 2.9658e-016 6.4893e-016 2.3365e-015 1.7873e-014 4.9007e-008 3.3121e-014 7.4107e-015 1.2651e-013 1.2384e-012 1.9002e-011 1.8782e-007 3.3448e-007 2.9981e-010 3.2607e-010 7.5232e-010 3.1403e-009 4.3422e-008 6.3979e-007 6.4308e-008 2.0312e-008 1.8453e-008 2.6682e-008 5.2603e-008 1.0670e-007 1.1841e-007 6.9081e-008 3.8262e-008 2.5125e-008 1.9051e-008 1.5716e-008 1.3214e-008 1.0529e-008 7.4032e-009 4.3429e-009 2.0071e-009 6.2982e-010 6.0979e-011 5.2883e-011 4.3893e-010 1.1360e-009 2.0969e-009 3.2992e-009 4.6578e-009 6.0988e-009 7.4669e-009 8.5637e-009
           1 7.7462e-004 8.9057e-001 7.9404e-002 2.8007e-002 1.4967e-033 2.5959e-032 7.1247e-031 1.4012e-029 1.5806e-028 6.1901e-016 1.0812e-025 1.4308e-024 3.3810e-023 1.2290e-021 2.0604e-019 4.2424e-007 7.6920e-019 1.3961e-018 6.9324e-018 6.0781e-017 1.9186e-015 3.2519e-005 3.4021e-015 5.1887e-016 3.8719e-016 4.1923e-014 2.4795e-012 3.3386e-005 7.1969e-011 3.1218e-011 7.5631e-011 3.3601e-010 3.1654e-009 2.1953e-005 3.8791e-005 2.6167e-008 2.2143e-008 4.0633e-008 1.3654e-007 1.5329e-006 2.0278e-005 1.7972e-006 4.5502e-007 3.2512e-007 3.6133e-007 5.3262e-007 7.9022e-007 6.2027e-007 2.2225e-007 5.5429e-008 6.8385e-009 1.3853e-009 2.2966e-008 7.3629e-008 1.5516e-007 2.5502e-007 3.4809e-007 4.1634e-007 4.5944e-007 4.8821e-007 5.1657e-007 5.5140e-007 5.8890e-007 6.2884e-007 6.7042e-007 7.0248e-007 7.2411e-007 7.2666e-007 7.0453e-007
           2 1.4474e-003 1.0662e-001 7.3401e-001 1.4023e-001 5.6796e-033 3.6275e-032 6.1727e-034 1.6040e-028 1.8559e-025 7.2498e-014 3.9474e-024 2.0975e-023 2.7908e-022 6.2769e-021 6.5584e-019 1.1248e-006 1.4271e-018 1.2479e-018 1.6282e-018 5.7756e-019 1.8141e-015 8.1384e-005 2.4957e-014 4.3752e-014 2.1932e-013 1.9053e-012 4.5730e-011 4.1812e-004 7.6754e-010 2.2274e-010 3.8834e-010 1.2895e-009 9.2342e-009 4.8892e-005 8.5803e-005 4.3738e-008 2.7068e-008 3.4503e-008 7.3635e-008 4.4916e-007 3.8496e-006 1.6907e-007 1.8412e-009 1.6900e-008 1.2440e-007 5.7566e-007 2.0355e-006 3.4061e-006 2.9241e-006 2.3728e-006 2.2531e-006 2.4490e-006 2.8975e-006 3.5337e-006 4.1895e-006 4.5993e-006 4.5970e-006 4.2571e-006 3.7773e-006 3.3195e-006 2.9672e-006 2.7180e-006 2.5217e-006 2.3628e-006 2.2268e-006 2.0743e-006 1.9095e-006 1.7167e-006 1.4960e-006
           3 7.8834e-005 5.2674e-004 1.7513e-001 6.8025e-001 1.3145e-032 5.4475e-032 3.6329e-029 6.0248e-027 2.3919e-024 6.7624e-013 2.2999e-023 5.1249e-023 1.8724e-022 3.2842e-023 3.9603e-019 1.4647e-006 5.2878e-018 1.9340e-017 1.6269e-016 2.3358e-015 1.2938e-013 3.0098e-003 5.0992e-013 3.9220e-013 9.9941e-013 4.5986e-012 5.6681e-011 3.1303e-004 4.3208e-010 4.1100e-011 6.4545e-012 3.6904e-011 2.1409e-009 3.3193e-005 5.9557e-005 6.6542e-008 8.2319e-008 2.0549e-007 9.0127e-007 1.2854e-005 1.9153e-004 1.9447e-005 6.2164e-006 5.6914e-006 8.2744e-006 1.6390e-005 3.3412e-005 3.7298e-005 2.1954e-005 1.2331e-005 8.2692e-006 6.4629e-006 5.5644e-006 4.9657e-006 4.2993e-006 3.4045e-006 2.3899e-006 1.4849e-006 8.2291e-007 4.0318e-007 1.6357e-007 4.1778e-008 5.7756e-010 2.0107e-008 8.8627e-008 1.9620e-007 3.3217e-007 4.8069e-007 6.1959e-007
           4 2.2119e-005 1.9035e-003 6.2409e-003 1.3261e-001 1.7770e-031 2.0527e-029 1.5593e-027 1.0721e-025 1.8945e-023 3.6290e-012 5.4995e-023 1.4377e-025 2.0913e-021 1.4419e-019 2.8348e-017 5.8615e-005 1.0229e-016 1.5953e-016 6.1453e-016 3.6428e-015 5.7032e-014 5.2232e-004 7.9610e-015 6.6843e-014 9.9640e-013 1.3387e-011 4.0664e-010 4.1309e-003 7.9180e-009 2.5529e-009 4.8372e-009 1.7284e-008 1.3298e-007 7.5987e-004 1.3362e-003 7.4393e-007 5.1483e-007 7.6220e-007 2.0200e-006 1.7331e-005 1.9547e-004 1.4051e-005 2.2663e-006 8.1103e-007 2.3388e-007 1.1018e-008 1.3324e-006 4.7887e-006 6.2754e-006 6.7107e-006 7.6673e-006 9.4870e-006 1.2341e-005 1.6175e-005 2.0296e-005 2.3338e-005 2.4263e-005 2.3257e-005 2.1282e-005 1.9233e-005 1.7640e-005 1.6553e-005 1.5716e-005 1.5056e-005 1.4502e-005 1.3806e-005 1.2990e-005 1.1942e-005 1.0646e-005
           5 6.6890e-006 3.4854e-005 1.7628e-003 1.6823e-002 3.8186e-030 4.0821e-028 2.0015e-026 6.2839e-025 9.2292e-024 4.9254e-013 5.7724e-022 8.5305e-021 1.4468e-019 3.0793e-018 2.4608e-016 3.6130e-004 3.1035e-016 6.7644e-017 1.8379e-016 1.7976e-014 1.8931e-012 5.2129e-002 1.0246e-011 9.3979e-012 2.6641e-011 1.3231e-010 1.7627e-009 1.0468e-002 1.5191e-008 1.9134e-009 9.5497e-010 1.0681e-010 8.8470e-009 2.5706e-004 4.6475e-004 6.2776e-007 8.4191e-007 2.1752e-006 9.6486e-006 1.3737e-004 2.0384e-003 2.0556e-004 6.4699e-005 5.8094e-005 8.2621e-005 1.5988e-004 3.1857e-004 3.4792e-004 1.9971e-004 1.0893e-004 7.0718e-005 5.3370e-005 4.4250e-005 3.7906e-005 3.1367e-005 2.3583e-005 1.5547e-005 8.9028e-006 4.3928e-006 1.7812e-006 4.8662e-007 2.2371e-008 1.1462e-007 6.1090e-007 1.4218e-006 2.4538e-006 3.6166e-006 4.7748e-006 5.7572e-006
           6 5.8081e-007 8.7218e-005 1.2631e-003 1.0948e-005 2.7573e-028 2.4603e-026 1.0218e-024 2.7982e-023 5.7740e-022 1.2530e-013 7.9784e-021 1.0313e-019 1.0928e-018 9.7193e-018 4.3094e-017 2.4666e-005 1.2628e-015 8.4112e-015 7.0179e-014 7.8829e-013 2.8750e-011 5.2131e-001 6.1521e-011 1.8718e-011 7.6331e-012 1.1506e-011 2.4523e-009 3.6723e-002 7.8962e-008 3.0612e-008 6.1140e-008 2.1521e-007 1.5674e-006 8.2619e-003 1.4495e-002 7.2878e-006 4.4443e-006 5.6217e-006 1.2124e-005 7.7863e-005 7.1059e-004 3.6192e-005 1.6435e-006 3.5575e-007 7.3165e-006 4.0111e-005 1.4869e-004 2.5134e-004 2.1426e-004 1.7035e-004 1.5697e-004 1.6454e-004 1.8700e-004 2.1853e-004 2.4786e-004 2.5998e-004 2.4787e-004 2.1855e-004 1.8429e-004 1.5368e-004 1.3021e-004 1.1291e-004 9.9052e-005 8.7667e-005 7.7942e-005 6.8395e-005 5.9212e-005 4.9967e-005 4.0799e-005
           7 1.7604e-006 4.1470e-005 4.9828e-005 1.1393e-003 1.3177e-025 9.4903e-024 3.1669e-022 6.8955e-021 1.0823e-019 3.2656e-015 1.3098e-018 1.2928e-017 1.0671e-016 7.6649e-016 5.0900e-015 1.2780e-005 2.5127e-014 1.3275e-013 6.2946e-013 2.7500e-012 8.9460e-012 1.1077e-002 8.2583e-011 3.1238e-010 1.5075e-009 9.6520e-009 1.4591e-007 9.1164e-001 1.3529e-006 1.8676e-007 1.2286e-007 9.0352e-008 1.2559e-009 2.1292e-003 3.9271e-003 7.6656e-006 1.0852e-005 2.6997e-005 1.1128e-004 1.4513e-003 2.0512e-002 1.9511e-003 5.5332e-004 4.4394e-004 5.5981e-004 9.5386e-004 1.6714e-003 1.6014e-003 7.8126e-004 3.4432e-004 1.6971e-004 8.8806e-005 4.3760e-005 1.6138e-005 1.9084e-006 1.5334e-006 1.2962e-005 3.0337e-005 4.8117e-005 6.3938e-005 7.8391e-005 9.2592e-005 1.0615e-004 1.1913e-004 1.3151e-004 1.4113e-004 1.4776e-004 1.4969e-004 1.4579e-004
           8 3.0958e-007 5.9358e-007 5.3914e-005 5.4233e-004 9.7946e-023 5.9049e-021 1.6489e-019 2.9975e-018 3.9161e-017 3.7694e-015 3.9281e-016 3.2023e-015 2.1707e-014 1.2658e-013 6.4434e-013 1.1188e-006 2.9309e-012 1.2042e-011 4.5120e-011 1.5824e-010 5.4255e-010 1.7355e-002 1.4090e-009 4.3226e-009 1.2251e-008 3.3597e-008 8.7552e-008 1.5641e-003 3.2481e-007 8.3319e-007 2.6573e-006 1.0596e-005 7.4184e-005 3.3954e-001 5.9299e-001 2.3973e-004 1.0907e-004 9.4325e-005 1.1956e-004 3.0489e-004 9.7960e-004 1.0675e-006 7.7274e-005 2.0535e-004 5.1670e-004 1.4422e-003 3.7011e-003 4.8936e-003 3.3684e-003 2.2005e-003 1.7003e-003 1.5195e-003 1.4895e-003 1.5127e-003 1.4963e-003 1.3678e-003 1.1306e-003 8.5557e-004 6.1061e-004 4.2356e-004 2.9199e-004 1.9992e-004 1.3301e-004 8.4504e-005 4.9604e-005 2.5061e-005 9.6264e-006 1.7883e-006 5.5467e-008
           9 1.7403e-008 4.5330e-006 8.3917e-005 5.8103e-005 1.9116e-019 9.1322e-018 2.0269e-016 2.9311e-015 3.0474e-014 6.0444e-014 2.4383e-013 1.5871e-012 8.6089e-012 4.0216e-011 1.6450e-010 1.1433e-008 5.9849e-010 1.9750e-009 5.9270e-009 1.6519e-008 4.2713e-008 2.7855e-003 1.0499e-007 2.4326e-007 5.3827e-007 1.1554e-006 2.4993e-006 2.6181e-002 3.7781e-006 8.5506e-006 1.6977e-005 3.3418e-005 6.8415e-005 1.5560e-003 1.1464e-003 2.2800e-004 5.4751e-004 1.4864e-003 5.6358e-003 6.1430e-002 7.6938e-001 6.2366e-002 1.2869e-002 7.0512e-003 5.6991e-003 5.8015e-003 5.6579e-003 2.6546e-003 3.6795e-004 7.5039e-008 1.2542e-004 3.5424e-004 6.4305e-004 9.8895e-004 1.3470e-003 1.6176e-003 1.7207e-003 1.6682e-003 1.5330e-003 1.3843e-003 1.2634e-003 1.1750e-003 1.1006e-003 1.0351e-003 9.7331e-004 8.9891e-004 8.1494e-004 7.1659e-004 6.0654e-004
