   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87
           0 9.9292e-001 7.0501e-003 2.9240e-005 5.5102e-007 1.7302e-007 9.2075e-009 4.1705e-009 5.9429e-040 8.7728e-029 1.7939e-038 1.6279e-035 5.5386e-033 5.6644e-030 6.0975e-018 1.7559e-028 1.6691e-027 5.0488e-026 7.5509e-024 3.0066e-013 1.4023e-023 2.7375e-024 3.5357e-021 2.9098e-018 7.6578e-010 1.1796e-017 7.0775e-017 1.6029e-015 6.7787e-012 1.4246e-009 1.6661e-013 6.2821e-013 1.3896e-011 3.1779e-010 2.5691e-011 9.9057e-012 4.0230e-012 2.5250e-013 1.1474e-011 3.8353e-011 8.2221e-011 1.4014e-010 2.0505e-010 2.7107e-010 3.3367e-010 3.8782e-010 4.2938e-010 4.5609e-010 4.6750e-010 4.6381e-010 4.4571e-010 4.1552e-010 3.7609e-010 3.3057e-010 2.8230e-010 2.3382e-010 1.8748e-010 1.4499e-010 1.0751e-010 7.5923e-011 5.0387e-011 3.0815e-011 1.6750e-011 7.5015e-012 2.2438e-012 1.4442e-013 3.7160e-013 2.1587e-012 4.8301e-012 7.8297e-012 1.0729e-011 1.3203e-011 1.5072e-011 1.6211e-011 1.6614e-011 1.6323e-011 1.5412e-011 1.4017e-011 1.2265e-011 1.0302e-011 8.2654e-012 6.2818e-012 4.4532e-012 2.8718e-012 1.6005e-012 6.8573e-013 1.5157e-013 1.9053e-015 2.0923e-013
           1 6.8645e-003 9.8035e-001 1.2424e-002 3.5381e-004 6.0307e-006 2.3749e-007 5.3724e-007 6.8533e-037 5.3332e-025 1.2840e-034 1.9543e-033 5.2624e-032 1.5037e-031 6.7940e-018 8.6214e-028 2.6672e-026 1.8812e-024 7.0468e-022 4.2511e-011 5.8698e-021 2.9243e-020 5.4114e-019 9.1712e-017 1.7062e-008 1.0733e-016 1.7558e-016 5.9392e-016 1.1755e-013 3.7665e-011 9.9139e-014 1.2305e-012 6.1879e-011 2.0302e-009 2.6386e-010 2.6412e-010 5.1905e-010 6.0386e-010 4.2013e-010 2.6078e-010 1.4231e-010 5.3031e-011 5.2185e-012 7.8152e-012 6.0123e-011 1.5450e-010 2.7847e-010 4.1735e-010 5.5703e-010 6.8465e-010 7.8890e-010 8.6284e-010 9.0316e-010 9.1008e-010 8.8733e-010 8.3913e-010 7.7154e-010 6.9053e-010 6.0170e-010 5.1120e-010 4.2301e-010 3.4093e-010 2.6745e-010 2.0403e-010 1.5063e-010 1.0729e-010 7.3261e-011 4.7569e-011 2.8930e-011 1.6120e-011 7.8892e-012 3.0886e-012 7.3837e-013 1.1389e-014 2.5769e-013 9.8700e-013 1.8514e-012 2.6260e-012 3.1819e-012 3.4668e-012 3.4826e-012 3.2675e-012 2.8757e-012 2.3752e-012 1.8279e-012 1.2925e-012 8.1563e-013 4.3296e-013 1.6800e-013
           2 2.1015e-004 1.1703e-002 9.7555e-001 1.0272e-002 2.2457e-003 1.6886e-006 1.8103e-005 1.4659e-036 3.3026e-025 1.4466e-036 1.3549e-032 4.6794e-030 4.6037e-027 4.8982e-015 1.4009e-025 1.3765e-024 4.7309e-023 9.7867e-021 4.8140e-010 4.5193e-020 1.1113e-019 6.7928e-019 1.8550e-018 5.2608e-010 1.7107e-016 2.7078e-015 9.6469e-014 5.5766e-010 1.1875e-007 1.8171e-011 9.3278e-011 3.0173e-009 8.6413e-008 9.8979e-009 8.7714e-009 1.6599e-008 1.9790e-008 1.5202e-008 1.1680e-008 9.4527e-009 7.5082e-009 5.7011e-009 4.1448e-009 2.8836e-009 1.8968e-009 1.1554e-009 6.2835e-010 2.8226e-010 8.4263e-011 4.7906e-012 1.7432e-011 9.8419e-011 2.2669e-010 3.8415e-010 5.5488e-010 7.2556e-010 8.8501e-010 1.0235e-009 1.1354e-009 1.2151e-009 1.2609e-009 1.2728e-009 1.2537e-009 1.2038e-009 1.1282e-009 1.0313e-009 9.1964e-010 7.9747e-010 6.7148e-010 5.4705e-010 4.2821e-010 3.1980e-010 2.2436e-010 1.4458e-010 8.1925e-011 3.7039e-011 9.9939e-012 9.0329e-014 6.1150e-012 2.6410e-011 5.9026e-011 1.0176e-010 1.5240e-010 2.0855e-010 2.6789e-010 3.2774e-010 3.8439e-010 4.3088e-010
           3 5.5456e-006 8.7625e-004 9.3172e-003 9.8303e-001 1.6341e-003 4.7452e-003 3.4228e-004 2.0875e-035 3.8773e-023 1.9290e-032 9.6056e-031 1.2175e-028 6.4933e-026 5.6239e-014 1.1990e-024 7.2202e-024 1.3979e-022 1.2180e-020 3.6621e-010 5.4115e-021 9.3931e-020 1.1542e-017 6.0182e-015 1.4650e-006 1.9123e-014 9.8456e-014 2.0353e-012 8.2972e-009 1.7432e-006 2.0822e-010 8.5898e-010 2.2773e-008 5.9386e-007 6.0259e-008 4.3225e-008 6.5441e-008 6.0698e-008 3.2869e-008 1.4897e-008 4.9621e-009 4.3134e-010 7.1057e-010 4.9612e-009 1.2069e-008 2.0855e-008 3.0185e-008 3.9093e-008 4.6876e-008 5.3010e-008 5.7106e-008 5.9063e-008 5.8958e-008 5.7018e-008 5.3611e-008 4.9063e-008 4.3759e-008 3.8038e-008 3.2193e-008 2.6531e-008 2.1232e-008 1.6463e-008 1.2322e-008 8.8524e-009 6.0313e-009 3.8378e-009 2.2159e-009 1.0990e-009 4.0941e-010 7.0280e-011 5.6993e-012 1.4594e-010 4.2936e-010 8.0264e-010 1.2224e-009 1.6541e-009 2.0695e-009 2.4509e-009 2.7836e-009 3.0605e-009 3.2781e-009 3.4377e-009 3.5388e-009 3.5883e-009 3.5882e-009 3.5446e-009 3.4587e-009 3.3269e-009 3.1297e-009
           4 6.1164e-007 1.5348e-005 2.6251e-003 1.2670e-003 9.9089e-001 2.1959e-004 3.5538e-003 3.3040e-033 2.6397e-021 6.7278e-031 1.3047e-029 7.1906e-028 1.4531e-025 7.5022e-014 4.9118e-025 7.3747e-025 4.0263e-022 2.5895e-019 1.7538e-008 2.8698e-018 1.7831e-017 4.1473e-016 9.3574e-014 1.9121e-005 1.6417e-013 5.1441e-013 6.6703e-012 1.6728e-008 3.4321e-006 2.3852e-010 4.6268e-010 3.5344e-009 2.9822e-008 8.3608e-013 7.6614e-009 5.1689e-008 1.2829e-007 1.7803e-007 2.2684e-007 2.8405e-007 3.3336e-007 3.6394e-007 3.7539e-007 3.7031e-007 3.5050e-007 3.1880e-007 2.7907e-007 2.3534e-007 1.9086e-007 1.4817e-007 1.0955e-007 7.6441e-008 4.9616e-008 2.9220e-008 1.4845e-008 5.7930e-009 1.1668e-009 1.3856e-011 1.3983e-009 4.4670e-009 8.4878e-009 1.2876e-008 1.7210e-008 2.1152e-008 2.4514e-008 2.7179e-008 2.9143e-008 3.0381e-008 3.0980e-008 3.1027e-008 3.0571e-008 2.9754e-008 2.8608e-008 2.7241e-008 2.5719e-008 2.4077e-008 2.2387e-008 2.0675e-008 1.8978e-008 1.7321e-008 1.5730e-008 1.4202e-008 1.2762e-008 1.1401e-008 1.0125e-008 8.9266e-009 7.7870e-009 6.6657e-009
           5 2.4082e-007 2.0698e-006 5.2255e-005 4.6882e-003 3.1893e-004 9.9089e-001 4.3457e-004 1.7911e-033 2.4548e-021 1.0938e-030 5.5882e-029 8.0240e-027 5.0152e-024 4.6641e-012 1.1203e-022 8.6664e-022 2.4571e-020 4.3770e-018 2.0659e-007 1.8348e-017 4.4659e-017 3.3730e-016 1.0935e-014 7.7468e-007 4.9547e-015 2.5286e-013 1.1291e-011 7.1568e-008 1.5285e-005 2.4506e-009 1.2957e-008 4.2577e-007 1.2234e-005 1.4019e-006 1.2316e-006 2.2871e-006 2.6499e-006 1.9455e-006 1.3961e-006 1.0257e-006 7.1212e-007 4.4738e-007 2.4678e-007 1.1160e-007 3.3709e-008 2.2460e-009 5.3626e-009 3.1643e-008 7.1159e-008 1.1570e-007 1.5909e-007 1.9707e-007 2.2714e-007 2.4837e-007 2.6051e-007 2.6421e-007 2.6041e-007 2.5018e-007 2.3515e-007 2.1639e-007 1.9529e-007 1.7301e-007 1.5062e-007 1.2853e-007 1.0750e-007 8.7933e-008 7.0247e-008 5.4541e-008 4.0997e-008 2.9626e-008 2.0333e-008 1.3045e-008 7.5717e-009 3.7439e-009 1.3552e-009 1.9457e-010 5.3773e-011 7.2926e-010 2.0296e-009 3.7795e-009 5.8247e-009 8.0249e-009 1.0271e-008 1.2458e-008 1.4508e-008 1.6336e-008 1.7829e-008 1.8761e-008
           6 4.4000e-010 1.6733e-006 2.0513e-008 3.7905e-004 3.4706e-003 5.1513e-004 9.9244e-001 3.4532e-033 7.3495e-022 8.5827e-033 1.8072e-029 1.8947e-027 9.0006e-026 9.9696e-015 1.3308e-023 6.9341e-022 5.6150e-020 2.1892e-017 1.3282e-006 1.8495e-016 9.4607e-016 1.8758e-014 3.6782e-012 7.2547e-004 5.6802e-012 1.5820e-011 1.8396e-010 4.1802e-007 8.5403e-005 5.4852e-009 1.0113e-008 8.1457e-008 8.2762e-007 4.6582e-009 6.8432e-008 5.3487e-007 1.3369e-006 1.8097e-006 2.2192e-006 2.6650e-006 3.0026e-006 3.1574e-006 3.1523e-006 3.0281e-006 2.8106e-006 2.5265e-006 2.2046e-006 1.8707e-006 1.5428e-006 1.2330e-006 9.5242e-007 7.0772e-007 5.0237e-007 3.3716e-007 2.0990e-007 1.1730e-007 5.4947e-008 1.8084e-008 1.8646e-009 1.5474e-009 1.2764e-008 3.1646e-008 5.4994e-008 8.0069e-008 1.0481e-007 1.2760e-007 1.4750e-007 1.6362e-007 1.7578e-007 1.8399e-007 1.8818e-007 1.8896e-007 1.8640e-007 1.8114e-007 1.7364e-007 1.6420e-007 1.5347e-007 1.4174e-007 1.2945e-007 1.1695e-007 1.0456e-007 9.2422e-008 8.0830e-008 6.9851e-008 5.9616e-008 5.0147e-008 4.1420e-008 3.3306e-008
           7 1.1654e-009 1.4921e-007 2.0299e-006 6.6299e-008 1.3363e-003 9.8584e-004 3.1723e-004 4.5933e-030 1.9276e-018 1.7546e-028 4.8777e-030 9.7525e-026 4.5071e-023 2.6979e-011 2.1192e-022 6.5190e-023 5.1916e-020 1.6181e-017 7.3569e-007 4.1590e-017 8.3546e-019 6.1624e-015 4.5925e-012 1.1552e-003 1.5487e-011 7.5772e-011 1.4133e-009 5.0841e-006 1.0618e-003 1.1214e-007 4.1018e-007 9.8189e-006 2.4574e-004 2.3851e-005 1.6231e-005 2.3990e-005 2.2349e-005 1.2703e-005 6.6395e-006 3.2282e-006 1.2138e-006 2.3001e-007 3.0852e-009 2.4998e-007 7.3361e-007 1.2780e-006 1.7690e-006 2.1475e-006 2.3923e-006 2.5042e-006 2.5029e-006 2.4143e-006 2.2647e-006 2.0790e-006 1.8738e-006 1.6625e-006 1.4537e-006 1.2523e-006 1.0635e-006 8.8852e-007 7.2930e-007 5.8686e-007 4.6175e-007 3.5290e-007 2.6056e-007 1.8409e-007 1.2291e-007 7.5783e-008 4.1546e-008 1.8667e-008 5.4663e-009 2.6000e-010 1.3457e-009 7.1189e-009 1.6118e-008 2.7043e-008 3.8823e-008 5.0563e-008 6.1600e-008 7.1465e-008 7.9883e-008 8.6631e-008 9.1736e-008 9.5160e-008 9.7010e-008 9.7297e-008 9.5893e-008 9.2191e-008
           8 3.0396e-009 4.7772e-010 1.9232e-006 2.9749e-006 8.8249e-005 1.9950e-003 9.6833e-006 2.6774e-029 2.4339e-020 5.0268e-027 4.2697e-025 3.0927e-023 5.1134e-021 2.1717e-009 8.2809e-021 2.9363e-020 3.7449e-018 7.2058e-016 2.9273e-005 1.5074e-015 2.2300e-016 2.2543e-014 1.2940e-011 2.7844e-003 2.1495e-011 3.2120e-011 2.9382e-011 5.4786e-007 1.2940e-004 6.5278e-008 5.5385e-007 2.2944e-005 7.0740e-004 8.6777e-005 8.2680e-005 1.6288e-004 1.9876e-004 1.5491e-004 1.1974e-004 9.6662e-005 7.5956e-005 5.6594e-005 4.0052e-005 2.6934e-005 1.7045e-005 9.9918e-006 5.2866e-006 2.3988e-006 8.2394e-007 1.3695e-007 5.1724e-009 1.8353e-007 5.0474e-007 8.6411e-007 1.2012e-006 1.4860e-006 1.7067e-006 1.8602e-006 1.9526e-006 1.9883e-006 1.9753e-006 1.9217e-006 1.8366e-006 1.7230e-006 1.5894e-006 1.4415e-006 1.2870e-006 1.1296e-006 9.7563e-007 8.2934e-007 6.9282e-007 5.6952e-007 4.5959e-007 3.6409e-007 2.8275e-007 2.1463e-007 1.5895e-007 1.1430e-007 7.9342e-008 5.2687e-008 3.2992e-008 1.8981e-008 9.5721e-009 3.7902e-009 8.2661e-010 6.7089e-013 7.4046e-010 2.5097e-009
           9 6.3518e-009 1.1144e-011 7.1324e-007 2.7265e-008 1.3340e-006 5.8720e-004 1.2533e-003 2.8632e-027 5.5710e-022 3.3911e-025 1.9677e-023 7.4426e-022 1.9090e-020 1.0819e-010 6.0670e-019 1.2477e-017 2.9625e-016 2.1790e-014 5.9115e-004 8.0561e-015 3.9157e-014 2.3698e-012 4.3652e-010 7.6161e-002 3.4377e-010 2.0260e-010 8.2342e-011 8.2924e-006 1.8182e-003 3.2406e-007 1.1546e-006 1.7852e-005 3.0467e-004 1.3752e-005 7.3163e-008 1.1627e-005 5.3681e-005 9.3226e-005 1.2848e-004 1.6201e-004 1.8437e-004 1.9091e-004 1.8412e-004 1.6823e-004 1.4654e-004 1.2217e-004 9.7821e-005 7.5460e-005 5.6115e-005 4.0157e-005 2.7605e-005 1.8153e-005 1.1331e-005 6.6265e-006 3.5380e-006 1.6394e-006 5.8374e-007 1.0460e-007 2.4405e-009 1.3110e-007 3.8582e-007 6.9343e-007 1.0056e-006 1.2883e-006 1.5229e-006 1.6985e-006 1.8145e-006 1.8706e-006 1.8748e-006 1.8359e-006 1.7606e-006 1.6612e-006 1.5431e-006 1.4153e-006 1.2839e-006 1.1526e-006 1.0262e-006 9.0649e-007 7.9531e-007 6.9360e-007 6.0177e-007 5.1914e-007 4.4578e-007 3.8062e-007 3.2311e-007 2.7223e-007 2.2688e-007 1.8548e-007
