   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56
           0 3.2063e-001 3.2844e-001 1.9901e-001 9.3630e-002 3.7732e-002 1.3718e-002 4.6573e-003 1.5098e-003 4.7155e-004 1.4229e-004 4.1907e-005 1.2332e-005 3.6999e-006 1.1114e-006 3.1080e-007 7.3319e-008 1.4045e-008 2.8922e-009 1.3599e-009 1.2684e-009 9.4691e-010 2.9785e-010 9.2167e-014 2.0463e-010 3.8165e-010 2.3727e-010 2.7291e-011 3.6289e-011 1.9599e-010 2.6943e-010 1.7729e-010 4.2253e-011 2.1454e-012 6.7062e-011 1.4605e-010 1.5876e-010 1.0225e-010 3.1594e-011 1.3821e-013 1.9997e-011 6.4819e-011 9.8217e-011 9.9792e-011 7.2959e-011 3.6185e-011 8.6173e-012 3.9728e-014 8.9200e-012 2.6590e-011 4.3283e-011 5.2529e-011 5.2552e-011 4.5264e-011 3.4098e-011 2.2107e-011 1.1260e-011 4.3830e-012
           1 3.8454e-001 7.5284e-003 8.9009e-002 1.8201e-001 1.5849e-001 9.6455e-002 4.7923e-002 2.0912e-002 8.3399e-003 3.1157e-003 1.1106e-003 3.8307e-004 1.2896e-004 4.2457e-005 1.3664e-005 4.3193e-006 1.3585e-006 4.2981e-007 1.3491e-007 3.9798e-008 1.0118e-008 2.0441e-009 3.4894e-010 9.3125e-011 7.3922e-011 7.6655e-011 4.7425e-011 8.2247e-012 2.7819e-012 2.3544e-011 3.1594e-011 1.6308e-011 1.0719e-012 4.5292e-012 1.9163e-011 2.6368e-011 1.9222e-011 6.4704e-012 6.0393e-014 3.5423e-012 1.1398e-011 1.6075e-011 1.4350e-011 8.3744e-012 2.5695e-012 4.3267e-014 1.0876e-012 3.9251e-012 6.3942e-012 7.2292e-012 6.3791e-012 4.5775e-012 2.6976e-012 1.2949e-012 4.9854e-013 1.5251e-013 4.2489e-014
           2 2.1193e-001 1.5695e-001 1.3404e-001 3.0231e-004 6.4409e-002 1.3161e-001 1.2606e-001 8.5879e-002 4.7913e-002 2.3413e-002 1.0417e-002 4.3317e-003 1.7148e-003 6.5393e-004 2.4186e-004 8.7260e-005 3.0945e-005 1.0873e-005 3.7898e-006 1.2957e-006 4.2575e-007 1.3271e-007 3.9952e-008 1.2388e-008 4.2569e-009 1.5748e-009 5.0533e-010 8.2647e-011 5.1519e-013 3.6127e-011 4.4173e-011 1.4579e-011 1.8961e-013 1.6762e-011 3.4198e-011 2.8795e-011 9.9649e-012 3.3978e-014 6.4948e-012 1.8601e-011 2.2992e-011 1.6649e-011 6.4140e-012 4.0350e-013 1.3291e-012 6.2234e-012 1.0355e-011 1.0948e-011 8.2657e-012 4.3854e-012 1.3534e-012 6.7826e-014 2.2935e-013 9.3539e-013 1.3319e-012 1.0331e-012 4.8468e-013
           3 6.7576e-002 2.8372e-001 8.3432e-003 1.5085e-001 5.4812e-002 1.9602e-003 5.9962e-002 1.0670e-001 1.0345e-001 7.4390e-002 4.4519e-002 2.3510e-002 1.1352e-002 5.1308e-003 2.2052e-003 9.1174e-004 3.6597e-004 1.4372e-004 5.5481e-005 2.1070e-005 7.8602e-006 2.8810e-006 1.0423e-006 3.7466e-007 1.3367e-007 4.6355e-008 1.4944e-008 4.2147e-009 9.8647e-010 1.9719e-010 4.6368e-011 2.2422e-011 1.7474e-011 9.8370e-012 1.2321e-012 1.9286e-012 1.2216e-011 2.0455e-011 1.7944e-011 8.1892e-012 8.5083e-013 9.7309e-013 5.6993e-012 9.1537e-012 8.3184e-012 4.5431e-012 1.0720e-012 1.5138e-014 1.2424e-012 3.2330e-012 4.5207e-012 4.5398e-012 3.5935e-012 2.3280e-012 1.2463e-012 5.3019e-013 1.8509e-013
           4 1.3377e-002 1.6494e-001 2.0624e-001 2.4554e-002 7.1747e-002 1.0596e-001 1.7931e-002 8.6107e-003 5.9152e-002 9.1181e-002 8.7066e-002 6.4365e-002 4.0396e-002 2.2617e-002 1.1645e-002 5.6275e-003 2.5896e-003 1.1484e-003 4.9551e-004 2.0933e-004 8.6737e-005 3.5226e-005 1.4044e-005 5.5400e-006 2.1886e-006 8.7037e-007 3.4309e-007 1.2864e-007 4.3316e-008 1.2418e-008 3.0252e-009 7.5358e-010 3.1235e-010 2.4932e-010 2.1842e-010 1.2681e-010 2.5562e-011 4.4110e-012 6.4130e-011 1.2298e-010 1.1814e-010 6.2550e-011 1.1607e-011 1.6668e-012 2.5897e-011 5.4082e-011 6.3183e-011 5.0790e-011 2.8819e-011 1.0313e-011 1.2605e-012 3.3018e-013 2.9519e-012 5.1948e-012 5.3131e-012 3.4675e-012 1.5059e-012
           5 1.7345e-003 4.9166e-002 2.3534e-001 9.0505e-002 9.1559e-002 8.8495e-003 9.4788e-002 6.0782e-002 2.9779e-003 1.6484e-002 5.8218e-002 7.9525e-002 7.4141e-002 5.5656e-002 3.6226e-002 2.1269e-002 1.1539e-002 5.8907e-003 2.8735e-003 1.3566e-003 6.2473e-004 2.8144e-004 1.2405e-004 5.3591e-005 2.2812e-005 9.6416e-006 4.0684e-006 1.7124e-006 7.1346e-007 2.9122e-007 1.1534e-007 4.3905e-008 1.5762e-008 5.0962e-009 1.3354e-009 2.1842e-010 6.5849e-012 5.6871e-012 4.4967e-012 1.3986e-012 2.8662e-011 7.3829e-011 9.5923e-011 7.5204e-011 3.1907e-011 2.5132e-012 6.4346e-012 3.4675e-011 6.3356e-011 7.4036e-011 6.3884e-011 4.2283e-011 2.1169e-011 7.4828e-012 1.5913e-012 1.5004e-013 5.0870e-015
           6 1.5190e-004 8.5836e-003 1.0435e-001 2.5507e-001 1.8485e-002 1.2101e-001 4.0282e-003 4.8414e-002 7.9459e-002 2.7302e-002 8.1000e-005 2.3662e-002 5.6205e-002 6.9218e-002 6.2731e-002 4.7419e-002 3.1715e-002 1.9358e-002 1.0987e-002 5.8845e-003 3.0152e-003 1.4959e-003 7.2529e-004 3.4588e-004 1.6282e-004 7.5672e-005 3.4586e-005 1.5434e-005 6.6869e-006 2.8246e-006 1.1899e-006 5.2116e-007 2.4698e-007 1.2650e-007 6.5718e-008 3.0938e-008 1.1259e-008 2.2865e-009 2.2711e-011 4.2748e-010 8.6233e-010 6.3266e-010 1.8116e-010 1.2679e-013 1.4915e-010 3.9342e-010 5.1393e-010 4.5854e-010 3.0327e-010 1.4745e-010 4.6688e-011 5.3667e-012 9.6236e-013 8.7158e-012 1.3397e-011 1.0389e-011 4.8378e-012
           7 6.0623e-006 7.7773e-004 2.1944e-002 1.6359e-001 2.3600e-001 1.2348e-006 1.0862e-001 2.8593e-002 1.3371e-002 6.6468e-002 4.9330e-002 7.5983e-003 3.7543e-003 2.9637e-002 5.3202e-002 5.9766e-002 5.2488e-002 3.9554e-002 2.6844e-002 1.6861e-002 9.9571e-003 5.5786e-003 2.9861e-003 1.5404e-003 7.7489e-004 3.8509e-004 1.9091e-004 9.4590e-005 4.6536e-005 2.2470e-005 1.0526e-005 4.7491e-006 2.0641e-006 8.7338e-007 3.6919e-007 1.6309e-007 7.9760e-008 4.4948e-008 2.8715e-008 1.9271e-008 1.2228e-008 6.5059e-009 2.4089e-009 3.3551e-010 6.9754e-011 7.9304e-010 1.5728e-009 1.8425e-009 1.5473e-009 9.6531e-010 4.2166e-010 9.8210e-011 7.5286e-013 3.0448e-011 7.4916e-011 6.9252e-011 3.4559e-011
           8 6.8237e-008 1.0567e-005 1.6045e-003 3.7068e-002 2.0909e-001 1.9544e-001 1.1843e-002 8.0325e-002 5.4863e-002 4.9401e-004 4.4211e-002 5.7639e-002 2.3054e-002 3.4573e-004 1.0613e-002 3.4346e-002 5.0358e-002 5.2464e-002 4.4780e-002 3.3536e-002 2.2941e-002 1.4694e-002 8.9357e-003 5.1963e-003 2.9029e-003 1.5664e-003 8.2237e-004 4.2360e-004 2.1585e-004 1.0964e-004 5.5883e-005 2.8688e-005 1.4798e-005 7.5828e-006 3.7816e-006 1.7892e-006 7.8438e-007 3.1493e-007 1.1788e-007 4.4503e-008 1.9899e-008 1.2294e-008 1.0171e-008 9.3863e-009 8.2619e-009 6.3889e-009 4.1582e-009 2.1826e-009 8.4630e-010 1.8318e-010 1.3649e-012 5.8317e-011 1.6953e-010 2.3568e-010 2.2363e-010 1.4334e-010 6.2173e-011
           9 1.4628e-007 2.1769e-006 2.9661e-006 2.4152e-003 5.3544e-002 2.4462e-001 1.4951e-001 3.6420e-002 4.7453e-002 7.2202e-002 3.8692e-003 2.1908e-002 5.4233e-002 3.7468e-002 7.3040e-003 1.2188e-003 1.7396e-002 3.6903e-002 4.7092e-002 4.6290e-002 3.8682e-002 2.8967e-002 2.0059e-002 1.3094e-002 8.1564e-003 4.8873e-003 2.8333e-003 1.5953e-003 8.7537e-004 4.7014e-004 2.4883e-004 1.3094e-004 6.9075e-005 3.6688e-005 1.9590e-005 1.0447e-005 5.5166e-006 2.8625e-006 1.4511e-006 7.1535e-007 3.4114e-007 1.5636e-007 6.8500e-008 2.8780e-008 1.1926e-008 5.2550e-009 2.7850e-009 1.9505e-009 1.7391e-009 1.7269e-009 1.6964e-009 1.5440e-009 1.2665e-009 9.2333e-010 5.8287e-010 2.9096e-010 1.1203e-010
