   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97
           0 9.8961e-001 1.0250e-002 1.4071e-004 2.7117e-006 2.8727e-008 1.0250e-053 8.1264e-051 3.0452e-047 3.2425e-037 1.9464e-046 2.1595e-045 3.2852e-044 1.3355e-043 3.2370e-039 1.8605e-029 5.6043e-039 8.2837e-038 1.9805e-036 7.8729e-035 2.7253e-031 4.0248e-023 5.7680e-033 2.4156e-033 5.2730e-032 8.7714e-030 1.9386e-026 5.7204e-017 3.5934e-027 1.1151e-026 6.9683e-026 7.5166e-025 6.1073e-023 6.7893e-013 1.1297e-023 3.5719e-027 7.4700e-023 2.5713e-021 2.1272e-019 6.3804e-010 1.1333e-018 1.0629e-018 3.3278e-018 1.8981e-017 2.7603e-016 1.2954e-009 9.5189e-015 1.1572e-015 1.3854e-015 3.1863e-015 1.4024e-014 7.5780e-013 2.3488e-010 5.5548e-014 1.1581e-014 1.1567e-015 1.4633e-014 7.4650e-013 7.8711e-011 1.3398e-011 3.6842e-012 4.5027e-012 9.1838e-012 2.8005e-011 1.0805e-010 1.8123e-010 9.9802e-011 5.7566e-011 4.6714e-011 4.8026e-011 5.6430e-011 6.7595e-011 7.2105e-011 6.2841e-011 4.6370e-011 3.1939e-011 2.1879e-011 1.5067e-011 1.0185e-011 6.4309e-012 3.4644e-012 1.3038e-012 1.5221e-013 1.2309e-013 1.0825e-012 2.7789e-012 5.0049e-012 7.5920e-012 1.0464e-011 1.3647e-011 1.7025e-011 2.0482e-011 2.3929e-011 2.7008e-011 2.9619e-011 3.1544e-011 3.2605e-011 3.2698e-011 3.1386e-011
           1 1.0378e-002 9.6606e-001 2.3002e-002 5.3895e-004 1.7005e-005 3.9873e-052 1.3707e-049 3.0071e-046 2.9832e-036 1.6227e-045 2.3452e-044 8.5485e-043 6.5257e-041 1.7708e-037 7.7919e-028 4.7187e-038 2.3404e-037 2.4388e-036 4.9720e-035 1.1635e-031 1.7071e-023 3.5202e-033 1.7583e-032 3.5279e-031 1.7910e-029 3.2644e-026 9.6237e-017 6.4621e-027 2.3833e-026 1.9014e-025 2.8563e-024 3.8055e-022 4.9786e-012 1.8237e-022 1.6165e-022 2.6042e-022 2.0054e-022 1.7003e-020 1.2485e-010 3.9699e-019 6.8352e-019 3.0962e-018 2.3090e-017 4.1770e-016 2.2787e-009 1.7489e-014 2.5603e-015 3.7102e-015 1.0536e-014 5.9594e-014 4.4587e-012 1.4903e-009 5.2530e-013 2.5158e-013 2.8767e-013 5.5361e-013 2.5152e-012 7.5550e-011 6.4779e-012 1.6945e-013 2.3432e-014 6.1583e-013 4.2150e-012 2.4450e-011 5.1464e-011 3.4424e-011 2.3557e-011 2.1855e-011 2.4905e-011 3.1674e-011 4.0321e-011 4.5075e-011 4.0739e-011 3.0909e-011 2.1705e-011 1.5018e-011 1.0330e-011 6.8735e-012 4.1723e-012 2.0589e-012 6.1047e-013 9.7702e-015 3.2499e-013 1.4105e-012 3.0414e-012 5.0390e-012 7.2538e-012 9.6178e-012 1.2144e-011 1.4713e-011 1.7214e-011 1.9561e-011 2.1463e-011 2.2859e-011 2.3608e-011 2.3624e-011 2.2894e-011 2.1205e-011
           2 1.4126e-005 2.3627e-002 9.3613e-001 3.8877e-002 1.2792e-003 6.2033e-050 2.7599e-047 6.9764e-044 6.9926e-034 3.6953e-043 4.4951e-042 1.2587e-040 7.3088e-039 1.6020e-035 6.9380e-026 3.8323e-036 1.9316e-035 2.2943e-034 5.6597e-033 1.4270e-029 2.0802e-021 2.5916e-031 1.6642e-031 2.8658e-031 9.5080e-029 1.9557e-025 5.6787e-016 2.9392e-026 6.5031e-026 2.2600e-025 5.7433e-025 4.0028e-023 1.4456e-012 3.3752e-022 1.4683e-021 1.1467e-020 1.4488e-019 7.0025e-018 1.7399e-008 2.5347e-017 1.7117e-017 3.9201e-017 1.6142e-016 1.6235e-015 5.4254e-009 3.5488e-014 2.2898e-015 9.3062e-016 4.5141e-017 8.6667e-015 3.3146e-012 1.3737e-009 1.0419e-012 1.0727e-012 2.4416e-012 9.3850e-012 9.2470e-011 5.3495e-009 7.0698e-010 1.1363e-010 8.9950e-011 1.2623e-010 2.7497e-010 7.9117e-010 1.0457e-009 4.3456e-010 1.7569e-010 9.3941e-011 5.8591e-011 3.6459e-011 1.7728e-011 3.5748e-012 3.7922e-013 7.6376e-012 1.9361e-011 3.2398e-011 4.6479e-011 6.1937e-011 7.8512e-011 9.4620e-011 1.0706e-010 1.1227e-010 1.0894e-010 9.9203e-011 8.6471e-011 7.2835e-011 5.9244e-011 4.6647e-011 3.5409e-011 2.5312e-011 1.6580e-011 9.4632e-012 4.1696e-012 9.9282e-013 1.6559e-015 1.0775e-012 3.8504e-012 7.5779e-012
           3 2.1780e-009 5.8073e-005 4.0493e-002 8.9564e-001 6.1062e-002 2.3811e-048 1.0199e-045 2.6162e-042 2.6495e-032 1.4797e-041 2.0050e-040 6.4221e-039 4.3174e-037 1.0982e-033 4.8267e-024 3.0558e-034 1.8215e-033 2.6735e-032 8.8988e-031 3.5441e-027 5.3314e-019 1.3833e-028 4.5589e-028 3.4253e-027 5.3814e-026 2.9730e-023 7.7617e-014 1.7048e-024 1.4705e-024 1.0624e-024 7.4388e-024 9.0953e-021 1.5808e-010 1.2050e-020 2.4482e-020 1.0887e-019 8.2255e-019 2.3320e-017 4.4306e-008 4.5354e-017 1.3218e-017 6.7131e-018 1.5236e-018 8.3926e-016 9.9155e-009 8.9291e-014 2.1600e-014 4.3423e-014 1.5631e-013 1.0643e-012 9.3036e-011 3.1966e-008 1.2619e-011 6.9409e-012 9.2256e-012 2.1338e-011 1.2539e-010 4.9327e-009 5.2017e-010 4.1648e-011 1.2053e-011 2.3155e-012 2.2835e-012 7.3261e-011 2.5028e-010 2.2778e-010 1.9397e-010 2.0858e-010 2.6386e-010 3.6309e-010 4.9263e-010 5.8246e-010 5.5602e-010 4.4764e-010 3.3719e-010 2.5494e-010 1.9750e-010 1.5557e-010 1.2201e-010 9.2501e-011 6.5363e-011 4.1433e-011 2.2733e-011 1.0310e-011 3.4214e-012 4.9027e-013 5.9369e-014 9.9065e-013 2.4976e-012 4.0391e-012 5.2396e-012 5.8833e-012 5.8282e-012 5.1417e-012 3.9815e-012 2.6093e-012 1.3282e-012 4.0901e-013
           4 7.8279e-010 9.7480e-008 2.2414e-004 6.4034e-002 8.3659e-001 7.0296e-047 3.4510e-044 9.4837e-041 9.6809e-031 5.4697e-040 7.3101e-039 2.2613e-037 1.4479e-035 3.4672e-032 1.5138e-022 8.9715e-033 4.9099e-032 6.5585e-031 1.9895e-029 7.3622e-026 1.1042e-017 2.7865e-027 9.5377e-027 8.1716e-026 1.6476e-024 1.3543e-021 3.7178e-012 1.4208e-022 3.2192e-022 1.7887e-021 2.0871e-020 2.3994e-018 3.0811e-008 1.1178e-018 1.1449e-018 3.0170e-018 1.4594e-017 2.7020e-016 4.1708e-007 3.2314e-016 4.1903e-017 4.7840e-019 4.5087e-016 1.8118e-014 1.3080e-007 1.0633e-012 1.8373e-013 2.8912e-013 8.5156e-013 4.8641e-012 3.6189e-010 1.2069e-007 4.2056e-011 1.9820e-011 2.2364e-011 4.2872e-011 1.9818e-010 6.1897e-009 5.5253e-010 2.0041e-011 1.6824e-014 2.3483e-011 1.9765e-010 1.2372e-009 2.7142e-009 1.8905e-009 1.3558e-009 1.3271e-009 1.6100e-009 2.2033e-009 3.0536e-009 3.7665e-009 3.8234e-009 3.3401e-009 2.7906e-009 2.3944e-009 2.1564e-009 2.0268e-009 1.9541e-009 1.8878e-009 1.7794e-009 1.6009e-009 1.3644e-009 1.1123e-009 8.8179e-010 6.8442e-010 5.1893e-010 3.8478e-010 2.7751e-010 1.8995e-010 1.1996e-010 6.6403e-011 2.8515e-011 6.6334e-012 1.2947e-014 7.1078e-012 2.5126e-011 4.9180e-011
           5 2.3320e-010 1.1425e-007 5.2693e-006 8.6827e-004 9.8455e-002 1.4276e-046 1.5066e-043 6.9825e-040 7.8299e-030 5.8923e-039 1.0514e-037 4.0538e-036 3.0819e-034 8.4712e-031 3.7441e-021 2.4573e-031 1.4809e-030 2.1386e-029 6.8476e-028 2.5848e-024 3.8763e-016 9.5334e-026 3.0088e-025 2.2423e-024 3.7300e-023 2.4365e-020 6.5263e-011 1.9989e-021 3.5803e-021 1.6344e-020 1.6716e-019 1.8380e-017 2.3700e-007 9.0836e-018 1.1067e-017 3.9246e-017 2.9342e-016 1.0008e-014 2.2173e-005 2.9086e-014 1.7471e-014 3.8910e-014 1.7007e-013 2.0048e-012 8.2603e-006 5.8657e-011 6.2974e-012 6.9198e-012 1.5230e-011 6.7552e-011 3.9650e-009 1.2639e-006 3.6075e-010 1.2798e-010 9.8297e-011 9.8391e-011 7.9151e-011 8.6663e-010 7.9292e-010 8.0485e-010 1.5764e-009 4.0875e-009 1.4360e-008 6.0448e-008 1.0696e-007 6.1899e-008 3.7449e-008 3.1697e-008 3.3846e-008 4.1207e-008 5.1107e-008 5.6497e-008 5.1193e-008 3.9523e-008 2.8761e-008 2.1109e-008 1.5901e-008 1.2148e-008 9.1591e-009 6.5508e-009 4.2070e-009 2.2444e-009 8.6313e-010 1.4623e-010 1.4537e-011 3.3419e-010 9.8444e-010 1.8748e-009 2.9616e-009 4.1888e-009 5.4977e-009 6.8396e-009 8.0868e-009 9.1824e-009 1.0039e-008 1.0582e-008 1.0765e-008 1.0438e-008
           6 8.9036e-009 4.5530e-015 9.9189e-007 3.3218e-005 2.5401e-003 5.4166e-046 2.2361e-043 2.2916e-040 1.4882e-030 8.4507e-042 4.1932e-038 5.7892e-036 9.1049e-034 4.0674e-030 1.8698e-020 1.6649e-030 1.2926e-029 2.2615e-028 8.4391e-027 3.6319e-023 5.4834e-015 1.5138e-024 5.3982e-024 4.5635e-023 8.6439e-022 6.4209e-019 1.7417e-009 5.9318e-020 1.1699e-019 5.6688e-019 5.8499e-018 6.1027e-016 7.6969e-006 2.6788e-016 2.7227e-016 7.6455e-016 4.3614e-015 1.1125e-013 2.1533e-004 2.4109e-013 1.0937e-013 1.8911e-013 6.6883e-013 6.7306e-012 2.5645e-005 1.7933e-010 1.8868e-011 2.2006e-011 5.5921e-011 3.1252e-010 2.5346e-008 8.6902e-006 3.5372e-009 2.1921e-009 3.5695e-009 1.0993e-008 9.4076e-008 5.1165e-006 6.6062e-007 1.0280e-007 8.1758e-008 1.1912e-007 2.7705e-007 8.6610e-007 1.2458e-006 5.8279e-007 2.8073e-007 1.9027e-007 1.6361e-007 1.6053e-007 1.5959e-007 1.3938e-007 9.6645e-008 5.3736e-008 2.5303e-008 9.7954e-009 2.3397e-009 7.8310e-012 1.6709e-009 7.0354e-009 1.5688e-008 2.6362e-008 3.7125e-008 4.6568e-008 5.4478e-008 6.1042e-008 6.6272e-008 7.0631e-008 7.4624e-008 7.7736e-008 7.9756e-008 8.0624e-008 7.9544e-008 7.6818e-008 7.2394e-008 6.6454e-008 5.9344e-008 5.0899e-008
           7 9.4634e-009 6.5016e-008 7.3689e-008 2.7627e-007 5.2411e-005 4.7299e-045 1.0752e-042 1.5571e-040 5.0849e-032 6.6083e-039 4.1633e-037 2.1787e-035 1.3234e-033 1.4420e-030 5.4239e-021 2.8064e-033 2.9488e-030 2.0873e-028 1.6651e-026 1.1790e-022 1.8198e-014 6.9757e-024 3.2072e-023 3.2690e-022 7.1261e-021 5.9022e-018 1.6167e-008 5.9628e-019 1.2732e-018 6.6600e-018 7.4368e-017 8.4414e-015 1.0873e-004 4.0610e-015 4.5576e-015 1.4222e-014 9.0547e-014 2.5798e-012 5.2479e-003 6.2201e-012 3.1085e-012 5.8207e-012 2.1735e-011 2.2325e-010 8.4023e-004 5.8232e-009 5.7190e-010 5.9178e-010 1.2684e-009 5.7058e-009 3.5776e-007 1.1633e-004 3.7351e-008 1.6915e-008 1.9841e-008 4.3810e-008 2.7063e-007 1.1850e-005 1.3666e-006 1.6078e-007 9.9848e-008 1.1944e-007 2.4259e-007 7.0808e-007 1.0014e-006 4.7950e-007 2.5130e-007 1.9787e-007 2.0976e-007 2.6701e-007 3.5987e-007 4.4494e-007 4.6233e-007 4.2006e-007 3.6952e-007 3.3684e-007 3.2425e-007 3.2708e-007 3.3947e-007 3.5397e-007 3.6120e-007 3.5313e-007 3.2862e-007 2.9441e-007 2.5879e-007 2.2550e-007 1.9517e-007 1.6893e-007 1.4681e-007 1.2684e-007 1.0849e-007 9.1529e-008 7.5185e-008 6.0086e-008 4.6348e-008 3.4273e-008 2.4112e-008 1.5853e-008
           8 7.3409e-010 2.5808e-008 1.3840e-007 1.6810e-006 4.0418e-006 8.4232e-044 1.5526e-041 1.3549e-039 3.1453e-034 7.5472e-038 3.3085e-036 1.1415e-034 3.5038e-033 2.5660e-031 2.3878e-022 1.4100e-030 3.4149e-029 8.0965e-028 2.5880e-026 5.6479e-023 8.0359e-015 2.9688e-025 1.8370e-024 1.3935e-022 7.6598e-021 1.1383e-017 3.2714e-008 1.7398e-018 5.0596e-018 3.3570e-017 4.5179e-016 5.9487e-014 7.9014e-004 3.2251e-014 3.9888e-014 1.3478e-013 9.1645e-013 2.7581e-011 5.7360e-002 6.9639e-011 3.6205e-011 7.0207e-011 2.7080e-010 2.8723e-009 1.1095e-002 7.7526e-008 7.9122e-009 8.5633e-009 1.9359e-008 9.2758e-008 6.2606e-006 2.0670e-003 7.1113e-007 3.5372e-007 4.5905e-007 1.1254e-006 7.7027e-006 3.6043e-004 4.2976e-005 5.4532e-006 3.5628e-006 4.3242e-006 8.5372e-006 2.3337e-005 3.0418e-005 1.2862e-005 5.5995e-006 3.4974e-006 2.8518e-006 2.7483e-006 2.7969e-006 2.6249e-006 2.0824e-006 1.4516e-006 9.8902e-007 7.1034e-007 5.5177e-007 4.6207e-007 4.1058e-007 3.7833e-007 3.5213e-007 3.2387e-007 2.9209e-007 2.6081e-007 2.3454e-007 2.1427e-007 1.9889e-007 1.8850e-007 1.8288e-007 1.7969e-007 1.7789e-007 1.7688e-007 1.7453e-007 1.7106e-007 1.6578e-007 1.5836e-007 1.4876e-007 1.3541e-007
           9 2.6634e-009 2.5547e-009 2.3016e-011 3.5567e-008 1.8623e-006 3.2041e-042 5.1230e-040 3.8153e-038 6.9769e-035 1.8340e-036 6.7079e-035 1.8829e-033 4.4197e-032 9.2593e-031 4.0067e-024 1.4992e-029 2.3486e-028 3.4295e-027 5.0430e-026 7.3334e-024 6.1865e-016 3.8623e-024 5.8106e-023 8.4565e-022 1.7592e-020 9.5860e-018 2.4526e-008 3.4578e-019 8.2285e-021 3.4625e-018 1.9013e-016 5.3320e-014 8.1176e-004 4.7900e-014 8.5838e-014 3.8659e-013 3.3121e-012 1.2064e-010 2.7092e-001 3.5763e-010 2.1326e-010 4.6538e-010 1.9878e-009 2.3021e-008 9.4319e-002 6.6984e-007 7.2832e-008 8.3066e-008 1.9592e-007 9.7071e-007 6.7236e-005 2.2292e-002 7.7909e-006 3.9365e-006 5.1771e-006 1.2856e-005 8.9241e-005 4.2232e-003 5.0700e-004 6.5698e-005 4.4073e-005 5.5228e-005 1.1310e-004 3.2091e-004 4.3231e-004 1.9037e-004 8.7215e-005 5.7599e-005 4.9733e-005 5.0684e-005 5.4339e-005 5.3430e-005 4.4125e-005 3.1772e-005 2.2123e-005 1.6013e-005 1.2325e-005 1.0037e-005 8.5008e-006 7.3151e-006 6.2312e-006 5.1452e-006 4.0934e-006 3.1754e-006 2.4486e-006 1.8975e-006 1.4829e-006 1.1785e-006 9.5760e-007 7.8899e-007 6.5774e-007 5.5400e-007 4.6665e-007 3.9413e-007 3.3262e-007 2.8008e-007 2.3505e-007 1.9415e-007
