   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 4.0846e-001 3.2622e-001 1.6362e-001 6.6323e-002 2.3786e-002 7.9279e-003 2.5306e-003 7.8607e-004 2.3972e-004 7.2390e-005 2.1866e-005 6.6441e-006 2.0189e-006 6.0555e-007 1.7909e-007 5.4082e-008 1.7906e-008 6.8128e-009 2.7928e-009 1.0263e-009 2.5025e-010 1.5683e-011 8.4625e-012 2.4127e-011 1.0433e-011 1.1988e-013 1.6451e-011 4.4122e-011 5.6805e-011 4.6102e-011 2.3618e-011 5.6154e-012 8.7384e-015 4.4127e-012 1.1731e-011 1.6215e-011 1.6043e-011 1.2522e-011 8.0001e-012 4.2334e-012 1.8377e-012 5.8893e-013 1.5434e-013
           1 3.9438e-001 3.7526e-003 1.5609e-001 1.9459e-001 1.3275e-001 6.8699e-002 3.0387e-002 1.2191e-002 4.5946e-003 1.6658e-003 5.9109e-004 2.0721e-004 7.1829e-005 2.4533e-005 8.2604e-006 2.7717e-006 9.4505e-007 3.3298e-007 1.2137e-007 4.5079e-008 1.6829e-008 6.3806e-009 2.5637e-009 1.1402e-009 5.5019e-010 2.5475e-010 8.8983e-011 1.1923e-011 2.6013e-012 2.7146e-011 4.8965e-011 4.9048e-011 3.1263e-011 1.1008e-011 5.9408e-013 2.4281e-012 1.1179e-011 1.9697e-011 2.3443e-011 2.1539e-011 1.5362e-011 7.0729e-012 2.1592e-012
           2 1.6342e-001 2.8739e-001 6.3056e-002 2.0541e-002 1.1571e-001 1.3757e-001 1.0159e-001 5.8816e-002 2.9333e-002 1.3240e-002 5.5916e-003 2.2675e-003 8.9910e-004 3.5195e-004 1.3653e-004 5.2597e-005 2.0156e-005 7.6691e-006 2.8737e-006 1.0481e-006 3.7082e-007 1.3039e-007 4.8812e-008 2.1417e-008 1.1514e-008 7.0787e-009 4.3614e-009 2.3878e-009 1.0509e-009 3.2689e-010 5.1586e-011 5.9872e-014 9.5834e-012 1.4319e-011 8.6899e-012 2.4806e-012 1.1503e-013 1.8822e-013 4.9548e-013 3.7356e-013 1.3484e-013 2.4937e-014 4.2633e-015
           3 3.1551e-002 2.9213e-001 1.2161e-001 1.3791e-001 3.0343e-003 4.0324e-002 9.8469e-002 1.0349e-001 7.6910e-002 4.6957e-002 2.5191e-002 1.2355e-002 5.6927e-003 2.5128e-003 1.0787e-003 4.5655e-004 1.9293e-004 8.2017e-005 3.5002e-005 1.4829e-005 6.1519e-006 2.4805e-006 9.7665e-007 3.8185e-007 1.5160e-007 6.2136e-008 2.6405e-008 1.1639e-008 5.4154e-009 2.7985e-009 1.7158e-009 1.2734e-009 1.0758e-009 9.3447e-010 7.6478e-010 5.5545e-010 3.4222e-010 1.7000e-010 6.2397e-011 1.3813e-011 8.8348e-013 5.1718e-014 9.0798e-014
           4 2.1409e-003 8.2860e-002 3.3632e-001 2.7242e-002 1.4895e-001 3.5339e-002 4.8026e-003 5.4499e-002 8.6283e-002 8.1704e-002 5.9895e-002 3.7530e-002 2.1156e-002 1.1056e-002 5.4586e-003 2.5833e-003 1.1889e-003 5.3970e-004 2.4425e-004 1.1080e-004 5.0456e-005 2.3075e-005 1.0607e-005 4.8923e-006 2.2457e-006 1.0088e-006 4.3391e-007 1.7516e-007 6.5930e-008 2.3728e-008 8.8855e-009 4.0224e-009 2.4839e-009 2.0022e-009 1.8031e-009 1.6005e-009 1.3216e-009 9.9957e-010 6.9381e-010 4.4185e-010 2.4828e-010 1.0064e-010 2.9406e-011
           5 3.1405e-005 7.4587e-003 1.4273e-001 3.2791e-001 1.9832e-004 1.1736e-001 6.9451e-002 1.7798e-003 2.0702e-002 5.9529e-002 7.3804e-002 6.4857e-002 4.6940e-002 3.0007e-002 1.7591e-002 9.6591e-003 5.0436e-003 2.5395e-003 1.2485e-003 6.0483e-004 2.9037e-004 1.3893e-004 6.6769e-005 3.2513e-005 1.6110e-005 8.0833e-006 4.0536e-006 1.9998e-006 9.5959e-007 4.4703e-007 2.0399e-007 9.2698e-008 4.2646e-008 1.9987e-008 9.4518e-009 4.4111e-009 1.9855e-009 8.5383e-010 3.5717e-010 1.5212e-010 6.6902e-011 2.4695e-011 7.0724e-012
           6 1.2825e-006 1.9638e-004 1.6213e-002 2.0037e-001 2.9704e-001 8.5324e-003 7.6013e-002 8.5443e-002 1.5163e-002 3.7011e-003 3.4064e-002 5.8180e-002 6.1525e-002 5.1062e-002 3.6630e-002 2.3811e-002 1.4384e-002 8.2192e-003 4.5078e-003 2.3990e-003 1.2473e-003 6.3708e-004 3.2211e-004 1.6288e-004 8.3160e-005 4.3024e-005 2.2485e-005 1.1795e-005 6.1860e-006 3.2494e-006 1.7205e-006 9.2333e-007 5.0172e-007 2.7302e-007 1.4608e-007 7.5290e-008 3.6752e-008 1.6837e-008 7.2518e-009 2.9718e-009 1.1562e-009 3.7048e-010 9.9011e-011
           7 1.3622e-008 1.7169e-006 3.4276e-004 2.4840e-002 2.4859e-001 2.6970e-001 2.4158e-002 4.3323e-002 8.4558e-002 3.0311e-002 5.2028e-005 1.5810e-002 4.1023e-002 5.2788e-002 5.0089e-002 3.9991e-002 2.8497e-002 1.8726e-002 1.1603e-002 6.8823e-003 3.9415e-003 2.1929e-003 1.1939e-003 6.4165e-004 3.4312e-004 1.8336e-004 9.8099e-005 5.2654e-005 2.8491e-005 1.5649e-005 8.7711e-006 5.0140e-006 2.9032e-006 1.6845e-006 9.7003e-007 5.5163e-007 3.1010e-007 1.7322e-007 9.6559e-008 5.3285e-008 2.7591e-008 1.0774e-008 3.1115e-009
           8 4.4091e-007 1.3297e-006 2.0864e-006 2.4999e-004 2.9801e-002 2.8647e-001 2.6096e-001 3.2361e-002 2.2963e-002 7.4869e-002 4.0081e-002 3.2123e-003 5.5641e-003 2.6382e-002 4.1863e-002 4.5268e-002 3.9920e-002 3.0899e-002 2.1882e-002 1.4561e-002 9.2421e-003 5.6438e-003 3.3421e-003 1.9359e-003 1.1048e-003 6.2353e-004 3.4874e-004 1.9402e-004 1.0812e-004 6.0844e-005 3.4761e-005 2.0169e-005 1.1839e-005 6.9991e-006 4.1606e-006 2.4917e-006 1.5090e-006 9.2545e-007 5.7129e-007 3.4723e-007 1.9420e-007 7.9439e-008 2.3337e-008
           9 3.8049e-009 7.3425e-008 2.8320e-006 3.5284e-005 8.5786e-006 2.7435e-002 3.1208e-001 2.8162e-001 2.8005e-002 1.1837e-002 6.3502e-002 4.3037e-002 7.8215e-003 1.2185e-003 1.5845e-002 3.1402e-002 3.8511e-002 3.7115e-002 3.0914e-002 2.3419e-002 1.6572e-002 1.1128e-002 7.1851e-003 4.5072e-003 2.7628e-003 1.6601e-003 9.8195e-004 5.7541e-004 3.3608e-004 1.9634e-004 1.1486e-004 6.7370e-005 3.9755e-005 2.3732e-005 1.4405e-005 8.9053e-006 5.5927e-006 3.5437e-006 2.2397e-006 1.3805e-006 7.7783e-007 3.1932e-007 9.3922e-008
