   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46
           0 8.0514e-001 1.8231e-010 1.5082e-008 1.8326e-001 1.0839e-008 5.9181e-007 1.1477e-002 4.2410e-006 1.9851e-008 8.7977e-005 1.2497e-005 9.3094e-006 4.5940e-006 3.3545e-009 3.6486e-007 3.0521e-007 6.0210e-008 6.1093e-010 3.0836e-009 3.3295e-009 1.6531e-009 8.8711e-010 5.7039e-010 2.4550e-010 1.2932e-011 6.1677e-011 1.7512e-010 1.0774e-010 2.0049e-012 7.9621e-011 2.5270e-010 2.8023e-010 1.2814e-010 2.6149e-012 8.8020e-011 3.5398e-010 6.1179e-010 6.9729e-010 5.8410e-010 3.6532e-010 1.5974e-010 3.6617e-011 1.3820e-013 1.4426e-011 3.8578e-011 4.6292e-011 2.6361e-011
           1 1.6169e-001 3.4192e-008 6.0647e-007 4.8524e-001 2.3337e-006 5.0041e-005 3.2226e-001 2.2726e-005 3.5653e-004 2.8499e-002 1.3996e-003 1.9541e-004 1.0313e-005 1.3764e-004 1.0953e-004 3.4182e-005 1.1155e-006 1.8119e-006 2.9301e-006 1.1156e-006 5.6577e-008 7.9152e-008 1.8086e-007 9.8994e-008 1.3199e-008 2.5498e-009 1.6655e-008 1.5881e-008 5.7260e-009 2.4605e-010 7.8467e-010 2.0752e-009 1.5927e-009 4.2656e-010 3.1272e-012 3.8629e-010 8.6047e-010 9.4229e-010 6.6830e-010 3.1544e-010 8.3358e-011 3.3044e-012 1.0673e-011 3.6279e-011 4.6747e-011 3.8635e-011 1.7851e-011
           2 2.7363e-002 1.5936e-006 1.5024e-005 2.3972e-001 9.6528e-005 5.1105e-004 2.6718e-001 8.2017e-004 1.2440e-002 4.0715e-001 6.5257e-003 3.8395e-003 2.2223e-002 9.4906e-003 1.8667e-003 1.1390e-005 2.7532e-004 3.1404e-004 1.1214e-004 7.5693e-006 4.1119e-006 1.1307e-005 6.5895e-006 1.1737e-006 2.2197e-008 6.0294e-007 7.2438e-007 3.5348e-007 5.4546e-008 5.7227e-009 6.8105e-008 9.9945e-008 7.4360e-008 3.0681e-008 4.1691e-009 8.9252e-010 8.6374e-009 1.4752e-008 1.4502e-008 9.8232e-009 4.5724e-009 1.1882e-009 3.2967e-011 2.3414e-010 7.5729e-010 9.5044e-010 5.4902e-010
           3 4.6861e-003 4.8241e-005 3.1930e-004 6.8861e-002 1.1759e-003 3.2363e-003 2.3423e-001 1.2400e-002 3.9018e-002 1.7130e-001 2.2496e-002 1.6169e-001 2.2637e-001 2.2996e-002 1.9330e-003 1.4667e-002 1.0767e-002 2.6135e-003 3.4023e-005 3.3306e-004 4.9577e-004 2.2979e-004 3.0949e-005 2.4436e-006 2.2468e-005 2.2099e-005 8.8805e-006 8.9249e-007 3.4663e-007 1.8189e-006 2.0390e-006 1.1662e-006 3.2134e-007 6.7009e-009 7.3175e-008 2.1165e-007 2.5511e-007 1.9962e-007 1.0918e-007 3.8084e-008 4.7407e-009 1.0425e-009 1.0338e-008 1.9487e-008 2.2544e-008 1.8811e-008 9.0080e-009
           4 8.6894e-004 9.5044e-004 4.2139e-003 1.6840e-002 1.1099e-002 2.3023e-002 1.1138e-001 3.5046e-002 4.2731e-002 1.3772e-001 1.6120e-001 1.5432e-001 9.2973e-003 7.2335e-002 1.2628e-001 6.4489e-002 4.8659e-003 3.3687e-003 1.0215e-002 6.8899e-003 1.6537e-003 1.0254e-005 3.0718e-004 4.8853e-004 2.7719e-004 6.1456e-005 5.0434e-008 1.8070e-005 3.0987e-005 2.1937e-005 7.7395e-006 6.5548e-007 4.6227e-007 2.2437e-006 2.9033e-006 2.1892e-006 1.0621e-006 2.7791e-007 6.7840e-009 6.0817e-008 1.9986e-007 2.8421e-007 2.8414e-007 2.2756e-007 1.5387e-007 8.7500e-008 3.2907e-008
           5 1.8607e-004 1.2642e-002 3.3620e-002 4.2572e-003 5.7552e-002 7.6652e-002 3.3816e-002 8.8732e-002 8.9836e-002 9.7093e-002 1.0576e-002 1.3875e-002 1.9432e-001 8.9793e-002 6.5820e-004 4.5449e-002 8.1829e-002 4.5236e-002 7.5864e-003 4.2824e-004 5.5878e-003 6.0833e-003 2.7563e-003 4.1180e-004 2.0627e-005 2.9116e-004 3.5346e-004 1.9665e-004 4.9306e-005 6.2272e-007 1.0566e-005 2.4165e-005 2.2472e-005 1.2234e-005 3.5758e-006 1.7066e-007 4.5715e-007 1.7047e-006 2.3217e-006 2.0696e-006 1.3745e-006 6.8988e-007 2.4364e-007 4.4391e-008 6.2242e-011 1.0986e-008 1.3001e-008
           6 4.5550e-005 1.0925e-001 1.2707e-001 1.1969e-003 1.1646e-001 7.5710e-002 1.1107e-002 3.0821e-002 1.7773e-003 7.3112e-002 1.0871e-003 2.8644e-004 3.1664e-002 1.1284e-001 1.2369e-001 3.6278e-002 2.7432e-003 4.3603e-002 5.6274e-002 2.8325e-002 4.2390e-003 3.5680e-004 3.8490e-003 4.5087e-003 2.3864e-003 5.3752e-004 1.6597e-006 1.4327e-004 2.7213e-004 2.1709e-004 9.5604e-005 1.7804e-005 1.0314e-007 1.0063e-005 1.8891e-005 1.7903e-005 1.1114e-005 4.4729e-006 8.3397e-007 4.6242e-009 5.5698e-007 1.2610e-006 1.5634e-006 1.4376e-006 1.0797e-006 6.6838e-007 2.6658e-007
           7 1.2176e-005 4.8418e-001 4.7855e-002 3.2645e-004 1.6083e-002 5.8903e-003 4.3156e-003 1.9023e-002 3.2556e-002 1.7934e-002 4.1880e-002 1.9450e-002 3.5032e-003 9.2506e-003 5.8879e-002 9.7728e-002 4.1333e-002 3.7684e-004 1.6999e-002 3.6861e-002 2.7662e-002 9.0262e-003 4.1879e-004 1.0022e-003 2.8624e-003 2.5753e-003 1.1998e-003 2.3634e-004 2.0257e-007 9.9473e-005 1.7631e-004 1.4646e-004 7.3332e-005 1.9321e-005 5.3605e-007 3.4223e-006 1.0388e-005 1.2721e-005 1.0258e-005 6.0706e-006 2.5972e-006 6.6492e-007 2.9367e-008 7.9533e-008 2.9195e-007 3.7493e-007 2.1802e-007
           8 1.9860e-006 1.6400e-001 3.1505e-001 5.0127e-005 3.2604e-002 1.3613e-001 1.1420e-003 5.6132e-002 2.8470e-002 1.4603e-004 8.1386e-002 1.2180e-003 2.7366e-002 1.3944e-002 3.4446e-002 3.4680e-003 5.9545e-002 5.1548e-005 3.2675e-003 1.8226e-002 2.7190e-003 1.5076e-002 1.4093e-004 1.2440e-003 1.5570e-003 1.0609e-004 1.6363e-003 5.8166e-005 2.9201e-004 3.4126e-005 1.4498e-009 1.0600e-004 1.7553e-005 4.4669e-005 3.9269e-006 2.1983e-006 3.2862e-007 2.4118e-006 2.6362e-006 3.5550e-006 2.6302e-006 1.2011e-006 5.7481e-007 2.4172e-007 4.3538e-008 2.3181e-012 4.9732e-009
           9 9.6040e-007 8.1130e-002 6.1433e-002 2.5062e-005 6.0188e-003 9.8129e-004 3.3320e-004 1.7578e-002 3.2078e-002 5.2941e-003 1.5325e-002 7.9445e-002 1.8641e-002 5.3090e-002 3.6419e-002 1.2127e-001 1.5838e-002 1.0101e-001 5.5004e-002 3.1829e-002 8.4648e-002 1.9229e-002 5.0822e-002 2.5094e-002 1.9980e-002 2.3475e-002 9.2173e-003 1.3244e-002 5.9147e-003 5.3056e-003 3.8130e-003 1.8883e-003 1.9377e-003 7.2805e-004 7.3120e-004 3.1618e-004 2.0519e-004 1.3446e-004 4.2833e-005 4.7065e-005 6.0440e-006 1.0161e-005 1.1280e-007 2.9913e-007 2.9939e-007 1.2115e-009 1.7867e-008
