   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 6.0518e-002 2.1611e-001 3.1797e-001 2.5153e-001 1.1644e-001 3.1986e-002 4.9994e-003 3.9049e-004 1.0656e-005 7.2548e-009 2.4892e-008 1.3430e-008 4.7192e-009 1.0173e-009 2.0157e-009 2.7992e-009 9.9810e-010 6.9678e-011
           1 1.2405e-001 1.8820e-001 3.2933e-002 4.9231e-002 2.3594e-001 2.3908e-001 1.0582e-001 2.2648e-002 2.1232e-003 5.4875e-005 1.1417e-008 5.4406e-008 1.6550e-008 7.7827e-009 1.3380e-009 1.8196e-009 2.4373e-009 2.5430e-010
           2 1.5276e-001 7.3502e-002 2.2068e-002 1.3613e-001 2.0324e-002 7.7073e-002 2.5879e-001 1.9567e-001 5.7304e-002 6.2307e-003 1.3380e-004 1.0151e-006 3.9375e-008 1.1086e-009 6.8321e-009 2.4424e-010 4.0984e-010 8.1575e-011
           3 1.4834e-001 9.1144e-003 8.3752e-002 3.6794e-002 4.6485e-002 1.0685e-001 4.7218e-004 1.8178e-001 2.6567e-001 1.0745e-001 1.3060e-002 1.7871e-004 8.4607e-006 7.5015e-008 1.5775e-008 3.4403e-008 9.3967e-009 5.2840e-010
           4 1.2571e-001 1.9510e-003 8.2495e-002 6.6092e-004 8.6974e-002 1.4253e-003 1.0002e-001 3.4914e-002 8.0191e-002 2.9575e-001 1.6795e-001 2.1806e-002 1.0887e-004 2.1987e-005 3.4600e-006 2.7716e-007 1.7809e-013 9.0624e-010
           5 9.7542e-002 1.8574e-002 4.5905e-002 2.7748e-002 3.8874e-002 3.2626e-002 4.9068e-002 3.1109e-002 9.1837e-002 1.3947e-002 2.8591e-001 2.3520e-001 3.1649e-002 1.5164e-005 8.9053e-006 8.9725e-006 4.4427e-006 3.5375e-007
           6 7.0082e-002 3.3703e-002 1.5251e-002 4.6973e-002 3.3933e-003 5.6218e-002 4.5632e-004 6.9118e-002 1.0422e-004 9.9596e-002 1.8362e-003 2.4159e-001 3.1409e-001 4.7576e-002 1.2381e-005 4.5595e-006 1.4914e-006 1.1714e-008
           7 4.5618e-002 3.6428e-002 2.2694e-003 4.0398e-002 1.7556e-003 3.5859e-002 1.1309e-002 3.0320e-002 2.5780e-002 2.7614e-002 5.1033e-002 3.5109e-002 1.5263e-001 4.1271e-001 9.0901e-002 1.0012e-004 8.7763e-005 2.1438e-006
           8 3.1409e-002 3.4028e-002 4.2573e-007 2.8840e-002 8.5004e-003 1.6201e-002 2.3125e-002 5.5331e-003 3.7534e-002 2.1049e-004 5.2801e-002 4.7623e-003 8.9994e-002 4.6614e-002 4.8894e-001 1.2500e-001 5.6508e-003 7.7708e-005
           9 2.5647e-002 3.4956e-002 1.1528e-003 2.1467e-002 1.5920e-002 5.6009e-003 2.9003e-002 4.0798e-005 3.2491e-002 8.4144e-003 2.5270e-002 3.6071e-002 7.8607e-003 1.1353e-001 8.1900e-003 5.5726e-001 2.3256e-002 4.0827e-003
          10 1.9968e-002 3.2776e-002 3.6421e-003 1.3578e-002 2.0089e-002 5.6446e-004 2.5629e-002 4.7619e-003 1.7174e-002 2.2186e-002 3.3023e-003 4.1389e-002 6.3642e-003 3.9909e-002 7.2091e-002 3.4321e-002 5.0792e-001 2.1187e-002
          11 1.5459e-002 2.9477e-002 6.1751e-003 7.6162e-003 2.0785e-002 3.0353e-004 1.8286e-002 1.1477e-002 5.3863e-003 2.6223e-002 8.2066e-004 2.4442e-002 2.5259e-002 1.2333e-003 5.6685e-002 2.0786e-002 2.4498e-001 3.7115e-003
          12 1.1752e-002 2.5272e-002 7.9077e-003 3.7066e-003 1.8700e-002 2.1647e-003 1.0888e-002 1.5133e-002 4.8480e-004 2.1247e-002 7.0053e-003 8.1762e-003 2.8596e-002 5.2102e-003 1.3085e-002 4.8801e-002 1.8622e-002 5.5447e-002
          13 8.6804e-003 2.0526e-002 8.4353e-003 1.5215e-003 1.5077e-002 4.0096e-003 5.4998e-003 1.4880e-002 2.3978e-004 1.3476e-002 1.1660e-002 1.0258e-003 2.0364e-002 1.3799e-002 1.7701e-004 1.6155e-002 8.5078e-002 6.6772e-002
          14 6.1660e-003 1.5678e-002 7.7794e-003 5.0810e-004 1.1094e-002 4.7823e-003 2.3951e-003 1.2151e-002 1.3964e-003 7.1882e-003 1.2003e-002 6.0086e-005 1.1125e-002 1.4971e-002 1.8559e-003 3.6383e-003 8.1012e-004 1.7608e-001
          15 4.0891e-003 1.0953e-002 6.1694e-003 1.3109e-004 7.3959e-003 4.3221e-003 9.1524e-004 8.5273e-003 2.0412e-003 3.3754e-003 9.4140e-003 7.7866e-004 5.1064e-003 1.1364e-002 3.9871e-003 2.3827e-004 5.3937e-003 1.7322e-001
