# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.66471E+00    5.32280E+01   1.74510E+02   1.00270E-07   1.15540E+02   2.03470E+02   1.90270E-07   1.52170E-01
   1  3.45606E+00    6.54720E+01   9.49150E+01   6.13710E-08   7.62900E-06   7.84950E+01   1.13760E-09   9.60720E-01
   2  3.45070E+00    6.87490E+01   8.41540E+01   1.80450E-07   7.30350E-05   7.95910E+01   2.51460E-08   1.04040E+00
   3  3.44490E+00    6.74500E+01   9.76620E+01   1.54570E-08   5.02230E-05   8.41350E+01   2.62940E-02   9.59080E-01
   4  3.43860E+00    7.16990E+01   8.79140E+01   5.10840E-04   7.83260E-04   2.57650E-04   8.33100E+01   1.16780E+00
   5  3.43210E+00    6.64020E+01   9.66580E+01   6.00090E+01   2.20130E-06   4.76460E-09   5.99910E+01   8.49610E-01
   6  3.42520E+00    4.06100E+01   1.03970E+02   2.63790E+02   3.74650E-04   8.59810E-05   1.55890E+02   2.71640E-01
   7  3.41800E+00    4.22470E+01   9.46730E+01   2.85900E+02   3.79120E-07   1.31290E-06   1.45090E+02   2.83690E-01
   8  3.41060E+00    4.52490E+01   8.49390E+01   2.99890E+02   1.17220E-07   3.24740E-08   1.39870E+02   2.89580E-01
   9  3.40330E+00    6.39620E+01   7.58150E+01   2.02680E+02   1.20520E-04   5.06500E+01   8.86100E-09   5.18990E-01
  10  3.39590E+00    5.05570E+01   6.67700E+01   3.19890E+02   1.98670E-03   1.00630E-04   1.11700E+02   3.09640E-01
  11  3.25940E+00    9.88890E+01   4.27300E+01   4.58880E-08   9.62260E+01   8.22580E-06   9.85610E-06   1.16400E+00
  12  3.25860E+00    9.28910E+01   5.27070E+01   8.51870E-06   1.04680E+02   3.16470E-05   1.57550E-07   1.12950E+00
  13  3.25820E+00    8.38030E+01   6.81290E+01   5.45010E-05   1.16480E+02   1.40030E-03   1.35390E-05   1.07120E+00
  14  3.25830E+00    7.36630E+01   8.49860E+01   3.37090E-06   1.28930E+02   2.04990E-03   1.03340E-06   1.01760E+00
  15  3.25920E+00    6.59540E+01   9.73400E+01   1.56540E-10   1.34110E+02   4.60030E-01   1.65480E-05   1.00140E+00
  16  3.26100E+00    6.18920E+01   1.02980E+02   3.04960E-07   1.32910E+02   6.13200E-03   1.36990E-08   1.02160E+00
  17  3.26400E+00    6.01960E+01   1.03610E+02   1.45250E-08   1.28530E+02   6.39540E-05   1.79740E-07   1.06380E+00
  18  3.26840E+00    5.91270E+01   1.01450E+02   1.08560E-07   1.25220E+02   7.03390E-08   2.08600E-08   1.11700E+00
  19  3.27460E+00    5.87290E+01   9.46770E+01   4.92830E-06   1.22030E+02   2.52160E-04   8.95340E-08   1.20390E+00
  20  3.28310E+00    5.85430E+01   8.30020E+01   6.22690E-06   1.18310E+02   2.74610E-04   5.71160E-08   1.32380E+00
  21  3.35190E+00    6.98250E+01   3.29620E+01   8.12960E+00   9.34020E+01   1.12730E-04   1.18890E-07   2.08200E+00
  22  3.25050E+00    6.42730E+01   2.35300E+01   2.50710E-05   1.20480E+02   4.91210E-06   2.19910E-08   1.99270E+00
  23  3.32540E+00    6.28350E+01   1.16590E+01   1.60490E-03   1.17120E+02   4.97660E-08   2.27930E-07   2.44580E+00
  24  3.34510E+00    6.58280E+01   8.82260E-08   1.98080E-04   1.01300E+02   5.63860E-08   1.39040E-09   2.65500E+00
