# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=3) -> e + D2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  3  1.29781E+01    2.04200E-01  -5.00000E-02   4.55510E-01  -1.08880E+00   1.29890E+00  -5.75200E-01
   1 <-  3  1.31772E+01    4.71010E-02  -3.82460E-03   2.60240E-02  -6.24490E-02   7.61310E-02  -3.44860E-02
   2 <-  3  1.33653E+01    1.36610E-01  -2.54490E-02   1.96400E-01  -4.39280E-01   4.94000E-01  -2.04610E-01
   3 <-  3  1.35387E+01    9.56630E-02  -1.04010E-02   8.58490E-02  -1.74180E-01   1.74750E-01  -6.23240E-02
   4 <-  3  1.36943E+01    2.54530E-02  -2.86820E-05   3.11180E-03  -1.29910E-03  -5.14920E-03   5.17350E-03
   5 <-  3  1.38399E+01    2.92220E-02  -1.57770E-03   1.01200E-02  -2.38030E-02   2.80890E-02  -1.20510E-02
   6 <-  3  1.39806E+01    6.24940E-02  -5.05590E-03   3.73450E-02  -7.60070E-02   7.65500E-02  -2.66450E-02
   7 <-  3  1.41140E+01    7.27140E-02  -5.11790E-03   4.38000E-02  -7.90530E-02   6.65560E-02  -1.55890E-02
   8 <-  3  1.42403E+01    7.11260E-11  -3.58000E-21   3.65530E-20  -5.61290E-20   3.31250E-20   2.03080E-21
   9 <-  3  1.42404E+01    6.63150E-02  -2.32540E-03   2.94340E-02  -4.21460E-02   1.93380E-02   6.90210E-03
  10 <-  3  1.42714E+01    3.49340E-15   4.53850E-22  -6.14160E-21   2.66840E-20  -4.44750E-20   2.48630E-20
  11 <-  3  1.43031E+01    2.14680E-12  -1.12950E-23   3.57670E-23  -4.69350E-23   1.80910E-23   9.31020E-24
  12 <-  3  1.43344E+01    2.43860E-16   2.63150E-21  -3.94190E-20   1.74240E-19  -2.91390E-19   1.62780E-19
  13 <-  3  1.43589E+01    5.29220E-02  -1.54940E-04   1.42430E-02  -1.21460E-02  -9.88570E-03   1.67170E-02
  14 <-  3  1.43646E+01    3.24700E-15   3.13900E-22  -4.01440E-21   1.77700E-20  -2.97180E-20   1.65710E-20
  15 <-  3  1.43936E+01    2.56100E-12  -3.83300E-24  -1.16070E-22   7.42350E-22  -1.29920E-21   7.18780E-22
  16 <-  3  1.44219E+01   -1.48520E-15   4.93610E-22  -1.66140E-21   5.37700E-21  -8.10960E-21   4.44180E-21
  17 <-  3  1.44494E+01    3.94950E-11  -3.88630E-21   1.83100E-20  -3.55070E-20   3.47730E-20  -1.24230E-20
  18 <-  3  1.44691E+01    3.68020E-02   9.79870E-04   3.34660E-03   5.49600E-03  -2.18710E-02   1.75790E-02
  19 <-  3  1.44762E+01    7.27850E-11  -1.38970E-20   6.46480E-20  -1.30990E-19   1.34320E-19  -5.05830E-20
  20 <-  3  1.45023E+01    4.19900E-11   1.66290E-20  -4.24080E-20   1.46160E-19  -2.30150E-19   1.33150E-19
  21 <-  3  1.45277E+01    1.31890E-10   2.50790E-19  -6.86810E-19   2.29290E-18  -3.52830E-18   1.99730E-18
  22 <-  3  1.45526E+01    1.84890E-09   6.78910E-18  -6.04640E-18   6.01830E-17  -1.24750E-16   8.30280E-17
  23 <-  3  1.45705E+01    2.15750E-02   1.09160E-03  -1.39650E-03   1.00010E-02  -1.97010E-02   1.28290E-02
  24 <-  3  1.45769E+01    1.92570E-08   9.46270E-16  -1.36750E-15   8.76890E-15  -1.68940E-14   1.08880E-14
  25 <-  3  1.46007E+01    1.72370E-08   9.84000E-16  -1.85900E-15   9.44390E-15  -1.71700E-14   1.07550E-14
  26 <-  3  1.46240E+01    5.00650E-08   1.09390E-14  -2.46130E-14   1.07900E-13  -1.87280E-13   1.14490E-13
  27 <-  3  1.46469E+01    2.89490E-07   5.09650E-13  -1.30930E-12   5.14070E-12  -8.56520E-12   5.11800E-12
  28 <-  3  1.46622E+01    9.14390E-03   6.67800E-04  -1.84480E-03   6.82390E-03  -1.10920E-02   6.53390E-03
  29 <-  3  1.46694E+01    1.61670E-06   2.42800E-11  -6.91750E-11   2.49500E-10  -4.01120E-10   2.34750E-10
  30 <-  3  1.46914E+01    1.10120E-06   2.17950E-11  -6.77020E-11   2.27700E-10  -3.54340E-10   2.03290E-10
  31 <-  3  1.47129E+01    1.08340E-06   1.77910E-10  -5.95940E-10   1.88680E-09  -2.84760E-09   1.60240E-09
  32 <-  3  1.47340E+01    2.88260E-08   8.36810E-09  -2.91840E-08   9.24620E-08  -1.40240E-07   7.93720E-08
  33 <-  3  1.47428E+01    7.03360E-06   1.90160E-04  -6.75860E-04   2.15180E-03  -3.28150E-03   1.86630E-03
  34 <-  3  1.47546E+01    2.93160E-09   2.52570E-08  -9.26070E-08   2.97090E-07  -4.56960E-07   2.61950E-07
  35 <-  3  1.47747E+01    4.39810E-09   2.56190E-08  -1.01150E-07   3.29290E-07  -5.16450E-07   3.01690E-07
  36 <-  3  1.47940E+01   -5.06790E-08   1.36090E-07  -7.19520E-07   2.56340E-06  -4.19380E-06   2.48070E-06
  37 <-  3  1.48073E+01   -1.04900E-07   3.83930E-06  -3.29690E-05   1.31810E-04  -2.22490E-04   1.30690E-04
  38 <-  3  1.48138E+01   -1.79350E-07   4.51950E-07  -5.81470E-06   2.51890E-05  -4.27840E-05   2.45920E-05
  39 <-  3  1.48306E+01    4.02880E-04  -2.44200E-07   8.57540E-07   1.90840E-06  -4.91960E-06   2.45450E-06
  40 <-  3  1.48459E+01    1.45580E-03  -4.60180E-06   2.42080E-05  -4.29560E-05   4.23890E-05  -1.83780E-05
  41 <-  3  1.48593E+01    2.49210E-03  -1.19470E-05   6.78210E-05  -1.22850E-04   1.20850E-04  -4.95760E-05
  42 <-  3  1.48733E+01    2.99170E-03  -1.48690E-05   9.10200E-05  -1.59890E-04   1.49060E-04  -5.59100E-05
  43 <-  3  1.48881E+01    3.39570E-03  -1.62080E-05   1.08090E-04  -1.79760E-04   1.53070E-04  -4.91450E-05
  44 <-  3  1.49032E+01    3.91180E-03  -1.80060E-05   1.32130E-04  -2.04840E-04   1.52770E-04  -3.61290E-05
  45 <-  3  1.49181E+01    4.44380E-03  -1.92630E-05   1.57410E-04  -2.24470E-04   1.37370E-04  -1.23600E-05
  46 <-  3  1.49331E+01    4.91920E-03  -1.92470E-05   1.78260E-04  -2.29860E-04   1.00420E-04   2.35990E-05
  47 <-  3  1.49481E+01    5.35340E-03  -1.81790E-05   1.95410E-04  -2.23130E-04   4.49820E-05   7.00500E-05
  48 <-  3  1.49630E+01    5.76980E-03  -1.63970E-05   2.10720E-04  -2.08090E-04  -2.48530E-05   1.25290E-04
  49 <-  3  1.49780E+01    6.17560E-03  -1.40200E-05   2.24760E-04  -1.85800E-04  -1.08040E-04   1.88910E-04
  50 <-  3  1.49929E+01    6.57110E-03  -1.13220E-05   2.38380E-04  -1.59430E-04  -1.99650E-04   2.58260E-04
  51 <-  3  1.50078E+01    6.93830E-03  -7.81260E-06   2.48450E-04  -1.22400E-04  -3.06390E-04   3.35560E-04
  52 <-  3  1.50225E+01    7.28680E-03  -3.99210E-06   2.57100E-04  -8.06610E-05  -4.20430E-04   4.17130E-04
  53 <-  3  1.50372E+01    7.61830E-03   2.12400E-08   2.64640E-04  -3.52760E-05  -5.40140E-04   5.02060E-04
  54 <-  3  1.50518E+01    7.93730E-03   4.13040E-06   2.71510E-04   1.28430E-05  -6.64530E-04   5.89880E-04
  55 <-  3  1.50663E+01    8.24110E-03   8.24140E-06   2.77750E-04   6.26130E-05  -7.91220E-04   6.79050E-04
  56 <-  3  1.50806E+01    8.53380E-03   1.22170E-05   2.84010E-04   1.12520E-04  -9.18450E-04   7.68760E-04
  57 <-  3  1.50948E+01    8.81230E-03   1.60310E-05   2.90020E-04   1.62440E-04  -1.04520E-03   8.58120E-04
  58 <-  3  1.51089E+01    9.07110E-03   1.94830E-05   2.95960E-04   2.09970E-04  -1.16660E-03   9.44050E-04
  59 <-  3  1.51229E+01    9.32150E-03   2.25850E-05   3.02560E-04   2.55230E-04  -1.28470E-03   1.02820E-03
  60 <-  3  1.51367E+01    9.56640E-03   2.52200E-05   3.10500E-04   2.96670E-04  -1.39750E-03   1.10990E-03
  61 <-  3  1.51504E+01    9.80180E-03   2.72390E-05   3.19910E-04   3.32490E-04  -1.50150E-03   1.18660E-03
  62 <-  3  1.51640E+01    1.00230E-02   2.86100E-05   3.30520E-04   3.62130E-04  -1.59470E-03   1.25690E-03
  63 <-  3  1.51774E+01    1.02350E-02   2.96330E-05   3.41370E-04   3.89880E-04  -1.68430E-03   1.32500E-03
  64 <-  3  1.51906E+01    1.04330E-02   2.99340E-05   3.53680E-04   4.10340E-04  -1.76140E-03   1.38570E-03
  65 <-  3  1.52037E+01    1.06210E-02   2.93980E-05   3.68150E-04   4.21880E-04  -1.82380E-03   1.43800E-03
  66 <-  3  1.52166E+01    1.08010E-02   2.84950E-05   3.83090E-04   4.30520E-04  -1.88080E-03   1.48700E-03
  67 <-  3  1.52294E+01    1.09810E-02   2.68840E-05   4.00530E-04   4.31780E-04  -1.92760E-03   1.53070E-03
  68 <-  3  1.52420E+01    1.11560E-02   2.47390E-05   4.19510E-04   4.27730E-04  -1.96620E-03   1.56990E-03
  69 <-  3  1.52544E+01    1.13210E-02   2.20100E-05   4.39660E-04   4.17520E-04  -1.99390E-03   1.60260E-03
  70 <-  3  1.52668E+01    1.14810E-02   1.79980E-05   4.64150E-04   3.91760E-04  -1.99770E-03   1.62200E-03
  71 <-  3  1.52789E+01    1.15260E-02   2.29940E-05   4.42780E-04   4.85570E-04  -2.15500E-03   1.71390E-03
  72 <-  3  1.52909E+01    1.16510E-02   2.00240E-05   4.59660E-04   4.75550E-04  -2.17500E-03   1.73910E-03
  73 <-  3  1.53028E+01    1.18210E-02   1.17840E-05   5.01170E-04   3.96990E-04  -2.10280E-03   1.71880E-03
  74 <-  3  1.53145E+01    1.19860E-02   2.74350E-06   5.45290E-04   3.08350E-04  -2.01460E-03   1.68940E-03
  75 <-  3  1.53260E+01    1.21450E-02  -6.89500E-06   5.91290E-04   2.12300E-04  -1.91440E-03   1.65320E-03
  76 <-  3  1.53374E+01    1.23010E-02  -1.73070E-05   6.40050E-04   1.06390E-04  -1.79900E-03   1.60860E-03
  77 <-  3  1.53486E+01    1.24450E-02  -2.70700E-05   6.85230E-04   9.42840E-06  -1.69480E-03   1.56900E-03
  78 <-  3  1.53596E+01    1.25840E-02  -3.71660E-05   7.31340E-04  -9.20410E-05  -1.58270E-03   1.52480E-03
  79 <-  3  1.53706E+01    1.27110E-02  -4.71530E-05   7.75940E-04  -1.92270E-04  -1.46960E-03   1.47890E-03
  80 <-  3  1.53813E+01    1.28210E-02  -5.67790E-05   8.17670E-04  -2.88490E-04  -1.35850E-03   1.43230E-03
  81 <-  3  1.53919E+01    1.29230E-02  -6.63170E-05   8.58410E-04  -3.84010E-04  -1.24640E-03   1.38440E-03
  82 <-  3  1.54024E+01    1.30210E-02  -7.55650E-05   8.97640E-04  -4.75830E-04  -1.13880E-03   1.33850E-03
  83 <-  3  1.54127E+01    1.30840E-02  -8.26140E-05   9.25100E-04  -5.40150E-04  -1.06350E-03   1.30640E-03
  84 <-  3  1.54229E+01    1.31360E-02  -8.90790E-05   9.49270E-04  -5.97620E-04  -9.95330E-04   1.27690E-03
  85 <-  3  1.54329E+01    1.31580E-02  -9.28050E-05   9.59890E-04  -6.19910E-04  -9.72180E-04   1.26850E-03
  86 <-  3  1.54428E+01    1.31640E-02  -9.53940E-05   9.64600E-04  -6.28510E-04  -9.64930E-04   1.26690E-03
  87 <-  3  1.54526E+01    1.31540E-02  -9.69720E-05   9.63980E-04  -6.25000E-04  -9.71510E-04   1.27090E-03
  88 <-  3  1.54622E+01    1.31460E-02  -9.88990E-05   9.65170E-04  -6.26850E-04  -9.70600E-04   1.27120E-03
  89 <-  3  1.54717E+01    1.31370E-02  -1.01170E-04   9.67720E-04  -6.34200E-04  -9.60810E-04   1.26630E-03
  90 <-  3  1.54810E+01    1.31270E-02  -1.03780E-04   9.71780E-04  -6.47520E-04  -9.41420E-04   1.25610E-03
  91 <-  3  1.54902E+01    1.31180E-02  -1.06900E-04   9.78280E-04  -6.68670E-04  -9.10610E-04   1.23990E-03
  92 <-  3  1.54993E+01    1.31030E-02  -1.09770E-04   9.83360E-04  -6.87750E-04  -8.80800E-04   1.22330E-03
  93 <-  3  1.55082E+01    1.30800E-02  -1.12460E-04   9.87390E-04  -7.06530E-04  -8.48790E-04   1.20430E-03
  94 <-  3  1.55171E+01    1.30560E-02  -1.15070E-04   9.91080E-04  -7.25030E-04  -8.16690E-04   1.18520E-03
  95 <-  3  1.55258E+01    1.30290E-02  -1.17630E-04   9.94620E-04  -7.44140E-04  -7.82850E-04   1.16470E-03
  96 <-  3  1.55343E+01    1.29990E-02  -1.20170E-04   9.98030E-04  -7.64470E-04  -7.46010E-04   1.14230E-03
  97 <-  3  1.55427E+01    1.29610E-02  -1.22410E-04   9.99890E-04  -7.82230E-04  -7.11060E-04   1.12000E-03
  98 <-  3  1.55510E+01    1.29160E-02  -1.24500E-04   1.00070E-03  -8.00070E-04  -6.73410E-04   1.09530E-03
  99 <-  3  1.55592E+01    1.28440E-02  -1.25910E-04   9.96980E-04  -8.12990E-04  -6.35530E-04   1.06760E-03
  100 <-  3  1.55671E+01    1.27040E-02  -1.25920E-04   9.82880E-04  -8.17850E-04  -5.90170E-04   1.02810E-03
  101 <-  3  1.55747E+01    1.22550E-02  -1.19530E-04   9.21000E-04  -7.79940E-04  -5.22820E-04   9.43140E-04
  DE <-  3  1.55799E+01    1.81180E-01  -7.63890E-02   4.18950E-01  -9.32060E-01   1.06210E+00  -4.51100E-01
