# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=3) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  3  1.07353E+01    2.02110E-01  -7.96490E-01   6.16080E+00  -1.13850E+01   9.40570E+00
   1 <-  3  1.09440E+01    5.94280E-02  -6.75860E-02   5.01750E-01  -9.26170E-01   7.41400E-01
   2 <-  3  1.11449E+01    1.56660E-01  -4.62530E-01   3.33190E+00  -6.12360E+00   4.75410E+00
   3 <-  3  1.13383E+01    9.85620E-02  -1.80720E-01   1.29600E+00  -2.34620E+00   1.78720E+00
   4 <-  3  1.15243E+01    1.57730E-07   8.12650E-06   2.76640E-04   1.24180E-04  -4.38180E-04
   5 <-  3  1.17029E+01    6.93210E-02  -8.77330E-02   6.16690E-01  -1.12700E+00   8.57940E-01
   6 <-  3  1.18744E+01    9.72750E-02  -1.70830E-01   1.21370E+00  -2.17410E+00   1.63600E+00
   7 <-  3  1.20389E+01    8.88370E-02  -1.41190E-01   1.03570E+00  -1.81340E+00   1.36580E+00
   8 <-  3  1.21963E+01    6.89580E-02  -8.39310E-02   6.15840E-01  -1.06020E+00   7.85280E-01
   9 <-  3  1.23466E+01    3.79280E-02  -2.50020E-02   1.97510E-01  -3.23830E-01   2.39870E-01
  10 <-  3  1.24899E+01    9.93370E-03  -1.59010E-03   1.86090E-02  -2.42850E-02   1.74460E-02
  11 <-  3  1.26264E+01    9.43370E-03  -1.62660E-03   9.78760E-03  -2.00710E-02   1.52310E-02
  12 <-  3  1.27561E+01    2.80040E-02  -1.37260E-02   8.90270E-02  -1.63230E-01   1.19840E-01
  13 <-  3  1.28785E+01    3.87690E-02  -2.59980E-02   1.75790E-01  -3.11650E-01   2.28800E-01
  14 <-  3  1.29935E+01    3.37900E-02  -1.99100E-02   1.64960E-01  -2.74770E-01   2.18270E-01
  15 <-  3  1.31008E+01    4.87590E-02  -4.04530E-02   2.82400E-01  -4.84970E-01   3.54150E-01
  16 <-  3  1.32003E+01    5.00730E-02  -4.23670E-02   2.96610E-01  -5.05030E-01   3.66990E-01
  17 <-  3  1.32916E+01    4.84840E-02  -3.95000E-02   2.80130E-01  -4.72140E-01   3.43340E-01
  18 <-  3  1.33744E+01    4.33360E-02  -3.14510E-02   2.33090E-01  -3.85860E-01   2.84690E-01
  19 <-  3  1.34482E+01   -2.03230E-05   4.04420E-02  -3.19190E-01   8.87410E-01  -6.10050E-01
  20 <-  3  1.35126E+01    3.83710E-02  -2.44340E-02   1.78260E-01  -2.94370E-01   2.14580E-01
  21 <-  3  1.35669E+01    3.47020E-02  -1.99190E-02   1.44630E-01  -2.38580E-01   1.73240E-01
  22 <-  3  1.36106E+01    3.03610E-02  -1.52070E-02   1.10100E-01  -1.81430E-01   1.31410E-01
  23 <-  3  1.36433E+01    2.53760E-02  -1.06030E-02   7.66650E-02  -1.26210E-01   9.12650E-02
  24 <-  3  1.36653E+01    1.98600E-02  -6.48620E-03   4.68800E-02  -7.71180E-02   5.57180E-02
  25 <-  3  1.36780E+01    1.44180E-02  -3.41590E-03   2.46920E-02  -4.05960E-02   2.93200E-02
  26 <-  3  1.36845E+01    1.01060E-02  -1.67770E-03   1.21280E-02  -1.99350E-02   1.43950E-02
  27 <-  3  1.36877E+01    7.04550E-03  -8.15250E-04   5.89380E-03  -9.68600E-03   6.99410E-03
  28 <-  3  1.36892E+01    4.79400E-03  -3.77420E-04   2.72850E-03  -4.48370E-03   3.23740E-03
  29 <-  3  1.36899E+01    3.10830E-03  -1.58660E-04   1.14700E-03  -1.88490E-03   1.36090E-03
  30 <-  3  1.36902E+01    1.91330E-03  -6.01170E-05   4.34600E-04  -7.14160E-04   5.15640E-04
  DE <-  3  1.36903E+01    4.73840E-07   1.44590E-01  -8.01990E-01   2.87630E+00  -1.97470E+00
