# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=3) -> e + D2(d3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  3  1.28216E+01    6.98880E-02  -1.06750E-01   9.25770E-01  -1.98140E+00   1.83790E+00
   1 <-  3  1.30220E+01    1.02670E-02  -2.28740E-03   1.98690E-02  -4.32590E-02   3.92080E-02
   2 <-  3  1.32147E+01    4.52420E-02  -4.32960E-02   3.74320E-01  -7.78560E-01   7.05280E-01
   3 <-  3  1.33992E+01    3.68970E-02  -2.81620E-02   2.40740E-01  -4.87820E-01   4.32790E-01
   4 <-  3  1.35760E+01    7.34680E-03  -1.05810E-03   1.17300E-02  -1.84370E-02   1.76370E-02
   5 <-  3  1.37451E+01    1.41760E-02  -4.11910E-03   3.37390E-02  -7.17480E-02   6.34490E-02
   6 <-  3  1.39071E+01    2.87610E-02  -1.65490E-02   1.36440E-01  -2.75790E-01   2.37960E-01
   7 <-  3  1.40622E+01    2.89820E-02  -1.65790E-02   1.46700E-01  -2.79860E-01   2.46300E-01
   8 <-  3  1.42104E+01    2.69720E-02  -1.41790E-02   1.23950E-01  -2.32450E-01   1.99720E-01
   9 <-  3  1.43518E+01    2.10510E-02  -8.55070E-03   7.42460E-02  -1.36980E-01   1.15190E-01
  10 <-  3  1.44861E+01    1.41020E-02  -3.80470E-03   3.22700E-02  -5.91270E-02   4.81640E-02
  11 <-  3  1.46132E+01    5.02610E-03  -4.83890E-04   4.86990E-03  -8.07040E-03   6.68870E-03
  12 <-  3  1.47333E+01    3.78100E-04  -2.87180E-06   2.41230E-05  -6.93520E-05   9.20200E-05
  13 <-  3  1.48465E+01    5.94250E-03  -6.62840E-04   5.50470E-03  -1.02820E-02   8.76390E-03
  14 <-  3  1.49525E+01   -9.87550E-07   6.57040E-04  -3.82300E-03   2.32900E-02  -1.76960E-02
  15 <-  3  1.50512E+01    1.15930E-02  -2.50450E-03   2.23790E-02  -3.98290E-02   3.38760E-02
  16 <-  3  1.51425E+01    1.37570E-02  -3.51080E-03   3.04920E-02  -5.48990E-02   4.58980E-02
  17 <-  3  1.52261E+01    1.51770E-02  -4.25370E-03   3.59840E-02  -6.55270E-02   5.40540E-02
  18 <-  3  1.53017E+01    1.58610E-02  -4.62550E-03   3.82980E-02  -7.03950E-02   5.74990E-02
  19 <-  3  1.53687E+01    1.56720E-02  -4.49860E-03   3.68830E-02  -6.80970E-02   5.53900E-02
  20 <-  3  1.54263E+01    1.14180E-02  -2.39060E-03   2.33450E-02  -4.04710E-02   3.53980E-02
  21 <-  3  1.54733E+01    2.88890E-07   1.38800E-03  -9.70050E-03   4.76130E-02  -3.74440E-02
  22 <-  3  1.55079E+01    1.02040E-02  -1.89450E-03   1.62080E-02  -2.95150E-02   2.44900E-02
  23 <-  3  1.55312E+01    8.60130E-03  -1.34410E-03   1.14070E-02  -2.08420E-02   1.72410E-02
  24 <-  3  1.55482E+01    7.53870E-03  -1.03140E-03   8.70370E-03  -1.59390E-02   1.31570E-02
  25 <-  3  1.55609E+01    6.52280E-03  -7.71480E-04   6.48300E-03  -1.18920E-02   9.80050E-03
  26 <-  3  1.55700E+01    5.44330E-03  -5.36960E-04   4.49890E-03  -8.26260E-03   6.80140E-03
  27 <-  3  1.55760E+01    4.22480E-03  -3.23330E-04   2.70360E-03  -4.96920E-03   4.08720E-03
  28 <-  3  1.55791E+01    2.68150E-03  -1.30230E-04   1.08790E-03  -2.00030E-03   1.64470E-03
  29 <-  3  1.55799E+01    7.61160E-04  -1.04930E-05   8.76250E-05  -1.61140E-04   1.32470E-04
  DE <-  3  1.55799E+01   -3.04770E-06   5.41600E-02  -3.33790E-01   1.06550E+00  -6.95580E-01
