# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  1.54327E+01    5.70180E-01   1.51730E+01   7.19350E-01   2.56070E-09   8.46150E-08   3.62180E+01   5.94850E-01
   1  1.49164E+01    8.45970E-01   1.55250E+01   2.63980E-01   7.69270E-08   2.12650E-06   3.64190E+01   6.31010E-01
   2  1.44293E+01    1.77980E+00   1.39360E+01   1.30120E+00   1.80220E-05   7.60360E-05   3.38380E+01   6.99820E-01
   3  1.39713E+01    8.67930E-01   6.35100E+00   2.34840E+01   2.21810E-06   8.48930E-09   3.17260E+01   4.44000E-01
   4  1.35413E+01    5.36370E+00   7.68940E-09   2.91580E+01   3.74410E-09   1.17420E-09   6.31390E+01   9.29370E-02
   5  1.31391E+01    4.84810E+00   2.50920E-01   1.92450E+01   3.17350E-06   5.23710E-05   2.05030E+01   8.37900E-01
   6  1.30373E+01    6.53130E+00   4.61760E-07   1.08970E+01   3.48590E+00   4.86070E-03   1.77630E+01   1.15930E+00
   7  1.29483E+01    7.27310E+00   2.99680E-07   3.96650E+00   3.28380E+00   8.45700E-03   2.22110E+01   1.87940E+00
   8  1.26331E+01    7.94520E+00   3.33520E-10   1.65390E-06   9.98010E+00   9.86120E+00   8.28190E+00   1.57490E+00
   9  1.25896E+01    8.30160E+00   5.68050E-09   1.07130E-07   2.12720E+00   2.51570E+01   6.66860E-05   1.79400E+00
  10  1.25643E+01    8.50290E+00   3.70670E-06   1.59350E-06   3.13520E+00   2.40930E+01   5.82610E-06   1.91590E+00
  11  1.25605E+01    8.88580E+00   5.84260E-06   5.43730E-06   6.36280E+00   2.00880E+01   3.58970E-06   1.89510E+00
  12  1.27659E+01    9.41570E+00   4.45730E-01   2.34840E-07   9.42920E+00   1.42960E+01   8.56200E-06   1.84760E+00
  13  1.26361E+01    9.72580E+00   1.60670E-08   2.59870E-06   2.27140E+01   7.30190E-03   1.38330E-06   1.49100E+00
  14  1.27288E+01    8.40050E+00   9.32220E-06   1.59830E+01   5.72930E+01   6.05840E-06   1.05090E-10   1.23880E-01
