# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(d3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  8  1.05280E+01    4.26460E-04  -6.47780E-06   6.68740E-05  -1.59050E-04   1.09040E-04
   1 <-  8  1.08066E+01    2.21310E-04  -1.37450E-06   1.35530E-05  -4.13450E-05   4.02960E-05
   2 <-  8  1.10696E+01    6.99700E-03  -1.14690E-03   1.38450E-02  -2.63820E-02   2.66500E-02
   3 <-  8  1.13171E+01    4.04240E-02  -3.88200E-02   3.89240E-01  -8.42310E-01   8.32510E-01
   4 <-  8  1.15497E+01    6.18980E-02  -9.08340E-02   8.98560E-01  -1.95310E+00   1.95730E+00
   5 <-  8  1.17681E+01   -6.57490E-08   8.62740E-05   5.60000E-04   2.33350E-03  -2.28370E-03
   6 <-  8  1.19725E+01    3.58850E-02  -2.97030E-02   2.78130E-01  -6.03640E-01   5.86510E-01
   7 <-  8  1.21632E+01    2.73440E-02  -1.72400E-02   1.57250E-01  -3.47620E-01   3.41540E-01
   8 <-  8  1.23401E+01    5.51950E-03  -7.27560E-04   6.29480E-03  -1.50160E-02   1.56030E-02
   9 <-  8  1.25029E+01    1.12680E-02  -2.77460E-03   2.66570E-02  -5.47060E-02   5.18620E-02
  10 <-  8  1.26515E+01    2.08290E-02  -9.53460E-03   8.58710E-02  -1.82300E-01   1.71240E-01
  11 <-  8  1.27854E+01    2.29820E-02  -1.15430E-02   1.00980E-01  -2.15780E-01   1.99880E-01
  12 <-  8  1.29040E+01    2.02230E-02  -8.87840E-03   7.64380E-02  -1.62970E-01   1.49250E-01
  13 <-  8  1.30062E+01    1.41560E-02  -4.33990E-03   3.84910E-02  -7.99730E-02   7.43970E-02
  14 <-  8  1.30904E+01    9.80290E-03  -2.06790E-03   1.80860E-02  -3.73160E-02   3.41880E-02
  15 <-  8  1.31533E+01    6.05310E-03  -7.84520E-04   6.80770E-03  -1.38870E-02   1.25580E-02
  16 <-  8  1.31920E+01    3.53620E-03  -2.66910E-04   2.31120E-03  -4.65290E-03   4.16730E-03
  17 <-  8  1.32157E+01    2.37480E-03  -1.20150E-04   1.04140E-03  -2.06850E-03   1.83930E-03
  18 <-  8  1.32313E+01    1.59790E-03  -5.43280E-05   4.72200E-04  -9.25320E-04   8.18150E-04
  19 <-  8  1.32403E+01    1.01030E-03  -2.17040E-05   1.89240E-04  -3.66860E-04   3.23160E-04
  20 <-  8  1.32437E+01    3.95450E-04  -3.32450E-06   2.90330E-05  -5.60100E-05   4.92640E-05
  DE <-  8  1.32439E+01    4.58630E-02  -2.74920E-02   3.20080E-01   8.89350E-02  -3.94390E-01
