# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.14170E+00    7.36970E+01   3.05060E+02   3.96020E-08   1.62710E+01   4.85920E+02   7.13910E-08   3.17580E-10
   1  2.85535E+00    4.26950E+01   1.84230E+02   3.91710E-10   2.42720E-04   1.06950E+02   2.07160E-07   1.01970E+00
   2  2.85740E+00    4.61350E+01   1.76160E+02   8.09580E-09   1.34760E-08   1.19800E+02   5.36850E-08   9.93450E-01
   3  2.86000E+00    6.08430E+01   1.57070E+02   1.03270E-07   3.40200E-02   1.01350E+02   2.89070E-05   1.05640E+00
   4  2.86350E+00    7.79600E+01   1.30610E+02   5.80110E-07   1.71380E+01   6.57720E+01   7.54790E-08   1.14640E+00
   5  2.86810E+00    8.70760E+01   1.17850E+02   1.69720E-08   5.77520E+01   2.46890E+01   4.57800E-05   1.11240E+00
   6  2.87440E+00    9.12240E+01   1.12220E+02   1.98870E-08   4.72740E+01   3.43730E+01   5.93830E-08   1.11680E+00
   7  2.88290E+00    9.46810E+01   1.07730E+02   8.21870E-07   7.48590E+01   1.95230E-01   3.60770E-07   1.05390E+00
   8  2.89450E+00    9.09140E+01   1.12030E+02   1.73740E-07   3.54950E+01   4.53660E+01   4.46840E-07   1.12970E+00
   9  2.91000E+00    8.16070E+01   1.25580E+02   2.94360E-06   2.05950E+00   9.21840E+01   2.04300E-07   1.19440E+00
  10  2.93090E+00    7.19060E+01   1.36150E+02   8.00780E-08   1.63800E-03   1.09380E+02   1.93480E-07   1.23310E+00
  11  2.81720E+00    8.03120E+01   7.51770E+01   4.33690E-07   7.65020E+01   6.74710E+01   4.11000E-08   1.54660E+00
  12  2.86940E+00    8.09850E+01   5.67790E+01   1.59450E-06   1.38390E+02   1.04240E-03   1.53570E-07   1.55580E+00
  13  3.05020E+00    8.60040E+01   3.13630E+01   3.02740E-05   9.94050E+01   5.00950E-07   2.46060E-10   1.77960E+00
