# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0) -> e + H2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  0  1.17706E+01    1.41460E-01  -3.63540E-01   2.57090E+00  -4.62290E+00   3.48390E+00
   1 <-  0  1.20611E+01    1.65280E-01  -4.88970E-01   3.55290E+00  -6.23900E+00   4.70350E+00
   2 <-  0  1.23363E+01    1.61830E-01  -4.60620E-01   3.33320E+00  -5.76390E+00   4.28280E+00
   3 <-  0  1.25967E+01    1.37580E-01  -3.28010E-01   2.41580E+00  -4.09730E+00   3.03320E+00
   4 <-  0  1.28427E+01    1.10920E-01  -2.10020E-01   1.57630E+00  -2.62320E+00   1.93610E+00
   5 <-  0  1.30745E+01    8.92160E-02  -1.33940E-01   1.00950E+00  -1.66140E+00   1.21660E+00
   6 <-  0  1.32923E+01    7.03840E-02  -8.22020E-02   6.24100E-01  -1.01610E+00   7.39330E-01
   7 <-  0  1.34962E+01    1.86480E-05   7.72330E-02  -5.93970E-01   1.65430E+00  -1.13680E+00
   8 <-  0  1.36859E+01    4.43350E-02  -3.17960E-02   2.41630E-01  -3.88610E-01   2.77870E-01
   9 <-  0  1.38615E+01    3.14610E-02  -1.57960E-02   1.31050E-01  -2.04550E-01   1.48780E-01
  10 <-  0  1.40224E+01    2.72380E-02  -1.17150E-02   9.15500E-02  -1.44300E-01   1.01960E-01
  11 <-  0  1.41681E+01    2.17710E-02  -7.40050E-03   5.81810E-02  -9.08390E-02   6.35610E-02
  12 <-  0  1.42976E+01    1.61090E-02  -3.99530E-03   3.38240E-02  -5.12910E-02   3.61540E-02
  13 <-  0  1.44100E+01   -6.75810E-08   1.42110E-03  -3.17930E-03   2.01970E-02  -1.19620E-02
  14 <-  0  1.45039E+01    1.03380E-02  -1.61340E-03   1.39420E-02  -2.05800E-02   1.42340E-02
  15 <-  0  1.45776E+01    7.92850E-03  -9.40070E-04   8.39990E-03  -1.21620E-02   8.39360E-03
  16 <-  0  1.46298E+01    5.78570E-03  -4.96590E-04   4.61380E-03  -6.55710E-03   4.53110E-03
  17 <-  0  1.46604E+01    3.84050E-03  -2.17500E-04   2.09180E-03  -2.93010E-03   2.03020E-03
  18 <-  0  1.46740E+01    2.29790E-03  -7.76170E-05   7.61710E-04  -1.05860E-03   7.34910E-04
  19 <-  0  1.46791E+01    1.36490E-03  -2.73490E-05   2.70490E-04  -3.74770E-04   2.60390E-04
  20 <-  0  1.46808E+01    7.74190E-04  -8.79460E-06   8.72720E-05  -1.20770E-04   8.39380E-05
  21 <-  0  1.46814E+01    4.04080E-04  -2.39570E-06   2.37870E-05  -3.29090E-05   2.28740E-05
  DE <-  0  1.46815E+01   -5.87970E-07   1.50560E-03   7.38210E-03   1.27730E-02  -5.24250E-03
