# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(d3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  2  1.31635E+01    6.81920E-02  -9.87530E-02   8.70170E-01  -1.77030E+00   1.61530E+00
   1 <-  2  1.33639E+01    3.66940E-02  -2.80000E-02   2.44900E-01  -4.79020E-01   4.23990E-01
   2 <-  2  1.35566E+01    4.84310E-03  -4.90050E-04   3.90010E-03  -9.49180E-03   8.95490E-03
   3 <-  2  1.37411E+01    3.10210E-02  -1.94920E-02   1.65380E-01  -3.32890E-01   2.93100E-01
   4 <-  2  1.39179E+01    3.97990E-02  -3.15740E-02   2.66170E-01  -5.19610E-01   4.45270E-01
   5 <-  2  1.40870E+01    3.07200E-02  -1.86090E-02   1.69820E-01  -3.11940E-01   2.72620E-01
   6 <-  2  1.42490E+01    2.16860E-02  -9.16000E-03   8.21330E-02  -1.49580E-01   1.27090E-01
   7 <-  2  1.44041E+01    9.67220E-03  -1.80220E-03   1.69380E-02  -2.99090E-02   2.52130E-02
   8 <-  2  1.45523E+01   -1.84710E-08   3.30030E-08   2.07980E-06  -1.21310E-05   1.69880E-05
   9 <-  2  1.46937E+01    8.14250E-03  -1.26820E-03   1.11830E-02  -1.99720E-02   1.72130E-02
  10 <-  2  1.48279E+01    1.47880E-02  -4.13840E-03   3.54970E-02  -6.44100E-02   5.39290E-02
  11 <-  2  1.49551E+01    5.05590E-07   3.33430E-03  -2.49400E-02   1.23440E-01  -9.88580E-02
  12 <-  2  1.50752E+01    2.06030E-02  -7.91800E-03   6.90030E-02  -1.25290E-01   1.05260E-01
  13 <-  2  1.51883E+01    2.29440E-02  -9.74330E-03   8.15020E-02  -1.50950E-01   1.24700E-01
  14 <-  2  1.52943E+01    2.41890E-02  -1.07530E-02   8.70350E-02  -1.63550E-01   1.33330E-01
  15 <-  2  1.53931E+01    2.40470E-02  -1.05620E-02   8.40900E-02  -1.59020E-01   1.28820E-01
  16 <-  2  1.54844E+01    3.61130E-08   3.30670E-03  -2.07720E-02   1.09380E-01  -8.38180E-02
  17 <-  2  1.55680E+01    1.98600E-02  -7.13480E-03   5.86980E-02  -1.09530E-01   9.01350E-02
  18 <-  2  1.56436E+01    1.87660E-02  -6.34140E-03   5.11810E-02  -9.59140E-02   7.82180E-02
  19 <-  2  1.57106E+01    1.73720E-02  -5.41350E-03   4.30530E-02  -8.08470E-02   6.54300E-02
  20 <-  2  1.57682E+01    1.56860E-02  -4.39920E-03   3.46140E-02  -6.50250E-02   5.23040E-02
  21 <-  2  1.58152E+01    1.36010E-02  -3.29870E-03   2.57850E-02  -4.83960E-02   3.87600E-02
  22 <-  2  1.58498E+01    1.10320E-02  -2.16620E-03   1.68990E-02  -3.16570E-02   2.53010E-02
  23 <-  2  1.58731E+01    8.97600E-03  -1.43220E-03   1.11980E-02  -2.09200E-02   1.67220E-02
  24 <-  2  1.58901E+01    7.58700E-03  -1.02230E-03   8.05480E-03  -1.49860E-02   1.20110E-02
  25 <-  2  1.59028E+01    6.28670E-03  -7.01510E-04   5.61200E-03  -1.03730E-02   8.36610E-03
  26 <-  2  1.59119E+01    4.95780E-03  -4.36140E-04   3.58450E-03  -6.55770E-03   5.34920E-03
  27 <-  2  1.59179E+01    3.60410E-03  -2.30470E-04   1.96600E-03  -3.54910E-03   2.94040E-03
  28 <-  2  1.59210E+01    2.16740E-03  -8.33550E-05   7.36150E-04  -1.31320E-03   1.10350E-03
  29 <-  2  1.59218E+01    6.04670E-04  -6.48790E-06   5.79740E-05  -1.03010E-04   8.69730E-05
  DE <-  2  1.59218E+01   -7.74930E-06   1.67640E-02  -7.24570E-02   2.87840E-01  -1.65840E-01
