# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  4.24975E+00    8.65500E+01   3.91300E+01   1.30370E-07   1.12390E-04   3.97400E+01   1.24860E+02   4.44340E-01
   1  4.08586E+00    9.51980E+01   7.56320E+00   1.10620E-07   1.68010E-08   5.66350E-07   1.25880E+02   5.38420E-01
   2  3.92661E+00    8.64230E+01   4.01420E-09   2.83070E-08   2.65970E+01   2.51620E-04   2.00510E+02   4.26370E-01
   3  3.77171E+00    7.74600E+01   2.15790E-08   4.25920E-08   9.59830E+00   3.61220E-04   2.98560E+02   3.82790E-01
   4  3.62102E+00    4.97780E+01   1.06740E-06   2.95040E-09   1.45600E-07   3.54080E+02   1.26420E-08   4.24250E-01
   5  3.74620E+00    7.01920E+01   5.58000E-08   1.94000E-07   1.61640E+00   4.78870E-12   3.53870E+02   3.76900E-01
   6  3.60370E+00    6.14510E+01   1.53750E-07   5.34290E-08   9.63540E-08   2.15150E-05   4.09230E+02   3.67150E-01
   7  3.72110E+00    6.15560E+01   1.80120E-08   1.84360E-08   2.71410E+01   6.47800E-08   3.71560E+02   3.66500E-01
   8  3.58650E+00    5.62230E+01   8.02950E-11   1.59340E-08   9.41600E+00   5.32130E-08   4.32550E+02   3.52950E-01
   9  3.69660E+00    5.35410E+01   5.48580E-08   5.89180E-09   5.21420E+01   6.82660E-05   3.72160E+02   3.63670E-01
  10  3.56970E+00    4.87370E+01   1.01210E-08   2.44750E-08   3.45180E+01   1.75470E-05   4.21720E+02   3.52050E-01
  11  3.67240E+00    4.66900E+01   2.26580E-07   7.01730E-10   7.45690E+01   1.01160E-03   3.56470E+02   3.66360E-01
  12  3.55290E+00    2.95330E+01   9.53300E-08   4.63980E-08   1.73550E-09   4.19850E+02   2.63630E-08   4.35480E-01
  13  3.64840E+00    4.18950E+01   2.19150E-09   8.69090E-06   8.78250E+01   4.93290E-03   3.45620E+02   3.77660E-01
  14  3.53600E+00    2.72170E+01   1.04190E-08   4.90720E-09   1.14980E-07   4.24810E+02   3.42290E-07   4.38770E-01
  15  3.62450E+00    3.86040E+01   3.26220E-08   3.60820E-04   9.42880E+01   6.38780E-08   3.36370E+02   4.01350E-01
  16  3.51900E+00    3.40090E+01   1.50420E-06   2.79830E+01   2.08570E-09   7.43440E+01   3.73340E+02   3.72440E-01
  17  3.60020E+00    3.34150E+01   8.85310E-07   1.96700E+01   7.30090E+01   9.60070E-05   3.52090E+02   4.10790E-01
  18  3.67090E+00    2.68290E+01   1.10990E-07   6.62070E+01   3.24590E+01   7.37900E-08   3.65260E+02   4.01230E-01
  19  3.57530E+00    2.81200E+01   1.19740E-05   4.48250E+01   4.57090E+01   3.76240E-04   3.72970E+02   4.11320E-01
  20  3.63870E+00    3.54770E+01   8.97350E-09   9.37260E-08   7.66190E-10   3.83590E+02   1.86640E-07   4.57530E-01
  21  3.69130E+00    1.85680E+01   3.88040E-07   1.11080E+02   3.12310E-04   3.59380E-04   3.57070E+02   4.23560E-01
  22  3.60520E+00    3.44030E+01   1.85340E-03   1.77290E-08   1.13710E+02   9.46160E-05   2.28920E+02   6.17420E-01
  23  3.65000E+00    7.04450E+00   7.83010E-10   8.88200E-10   3.73430E+02   3.12740E-08   7.89050E-10   5.13130E-01
  24  3.68350E+00    1.90320E+01   8.25720E-10   8.98520E+01   2.50340E+01   4.66660E-04   2.20950E+02   7.35710E-01
  25  3.94330E+00    2.23610E+01   2.57210E+01   3.23330E+01   4.11860E-05   2.16750E+02   1.97870E-07   8.17620E-01
  26  3.83550E+00    1.95220E+01   2.26030E+01   3.85210E+01   1.14500E-09   2.19310E+02   7.04560E-08   8.14190E-01
  27  3.79910E+00    1.83140E+01   1.94690E+01   4.07000E+01   2.76540E-07   2.06240E+02   6.80480E-08   8.14710E-01
