# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(d3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  1  1.33390E+01    7.31240E-02  -1.11720E-01   9.58820E-01  -1.94900E+00   1.73220E+00
   1 <-  1  1.36176E+01    5.00190E-02  -5.10850E-02   4.60580E-01  -8.81880E-01   7.86360E-01
   2 <-  1  1.38806E+01    2.07250E-02  -8.50440E-03   7.90140E-02  -1.41490E-01   1.22260E-01
   3 <-  1  1.41281E+01    3.01390E-03  -1.91190E-04   1.47800E-03  -3.55110E-03   3.44760E-03
   4 <-  1  1.43607E+01    2.09870E-02  -8.59920E-03   7.04410E-02  -1.37320E-01   1.16740E-01
   5 <-  1  1.45792E+01    2.71310E-02  -1.41380E-02   1.24370E-01  -2.28840E-01   1.96930E-01
   6 <-  1  1.47836E+01    3.24560E-02  -1.99300E-02   1.68650E-01  -3.11970E-01   2.60400E-01
   7 <-  1  1.49743E+01    1.83260E-06   4.31510E-03  -5.23670E-03   1.30680E-01  -8.50760E-02
   8 <-  1  1.51511E+01    3.03660E-02  -1.70830E-02   1.45040E-01  -2.66150E-01   2.20650E-01
   9 <-  1  1.53139E+01    2.98400E-02  -1.63380E-02   1.32420E-01  -2.47450E-01   2.00940E-01
  10 <-  1  1.54626E+01   -3.74340E-06   6.53100E-03  -5.15600E-02   2.29700E-01  -1.84680E-01
  11 <-  1  1.55965E+01    2.27940E-02  -9.39360E-03   7.70090E-02  -1.43290E-01   1.17130E-01
  12 <-  1  1.57150E+01    2.08770E-02  -7.82620E-03   6.21150E-02  -1.16750E-01   9.41280E-02
  13 <-  1  1.58173E+01    1.85810E-02  -6.16300E-03   4.78240E-02  -9.03750E-02   7.21320E-02
  14 <-  1  1.59014E+01    1.54410E-02  -4.23640E-03   3.29420E-02  -6.20270E-02   4.95300E-02
  15 <-  1  1.59643E+01    2.48110E-07   1.26190E-03  -9.84240E-03   4.24400E-02  -3.38550E-02
  16 <-  1  1.60030E+01    8.16510E-03  -1.17840E-03   9.59600E-03  -1.77230E-02   1.44270E-02
  17 <-  1  1.60267E+01    6.63200E-03  -7.76410E-04   6.28950E-03  -1.16230E-02   9.43640E-03
  18 <-  1  1.60423E+01    5.20930E-03  -4.78600E-04   3.86430E-03  -7.14300E-03   5.78940E-03
  19 <-  1  1.60513E+01    3.65690E-03  -2.35730E-04   1.89970E-03  -3.51200E-03   2.84370E-03
  20 <-  1  1.60547E+01    1.49430E-03  -3.93550E-05   3.16940E-04  -5.85960E-04   4.74280E-04
  DE <-  1  1.60549E+01    8.86740E-07   2.93990E-03   1.74020E-02   5.54920E-02  -3.05480E-02
