# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(j3Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  1  1.34217E+01    4.85800E-02  -4.06060E-02   2.59600E-01  -4.61040E-01   3.39690E-01
   1 <-  1  1.36962E+01    4.04060E-02  -2.82300E-02   1.70680E-01  -3.13500E-01   2.31070E-01
   2 <-  1  1.39567E+01    1.88970E-02  -6.26780E-03   3.63880E-02  -7.00090E-02   5.26920E-02
   3 <-  1  1.41973E+01    1.03710E-03  -1.17140E-06   1.52850E-04  -2.97420E-04   1.42730E-04
   4 <-  1  1.44256E+01    5.61420E-06  -8.46020E-05   3.09790E-03  -5.40690E-03   7.22960E-03
   5 <-  1  1.46404E+01    2.01940E-02  -6.92920E-03   4.02420E-02  -7.72240E-02   5.84040E-02
   6 <-  1  1.48406E+01    2.34500E-02  -9.32720E-03   5.32920E-02  -1.03820E-01   7.89580E-02
   7 <-  1  1.50266E+01    2.37570E-02  -9.53690E-03   5.41600E-02  -1.06360E-01   8.13780E-02
   8 <-  1  1.51989E+01    2.30190E-02  -8.88370E-03   5.00600E-02  -9.84460E-02   7.50110E-02
   9 <-  1  1.53567E+01    2.00710E-02  -6.73840E-03   3.83030E-02  -7.55520E-02   5.83970E-02
  10 <-  1  1.55008E+01    1.85020E-02  -5.67000E-03   3.20050E-02  -6.28610E-02   4.80140E-02
  11 <-  1  1.56301E+01    1.64000E-02  -4.42500E-03   2.49630E-02  -4.88940E-02   3.71620E-02
  12 <-  1  1.57446E+01    1.40110E-02  -3.22090E-03   1.82940E-02  -3.58420E-02   2.73290E-02
  13 <-  1  1.58432E+01    1.01380E-02  -1.71970E-03   1.03280E-02  -2.05920E-02   1.65640E-02
  14 <-  1  1.59250E+01    6.72960E-08   7.27830E-04  -5.83900E-03   1.50830E-02  -8.93630E-03
  15 <-  1  1.59883E+01   -1.57060E-07  -4.56690E-05   1.10740E-03  -2.71080E-03   3.51380E-03
  16 <-  1  1.60312E+01    6.32460E-03  -6.50360E-04   3.70320E-03  -7.25690E-03   5.47850E-03
  17 <-  1  1.60518E+01    3.37010E-03  -1.84630E-04   1.05210E-03  -2.06280E-03   1.55750E-03
  18 <-  1  1.60548E+01    8.03060E-04  -1.04840E-05   5.97460E-05  -1.17160E-04   8.84630E-05
  DE <-  1  1.60549E+01    6.75450E-06  -2.71430E-04   8.11210E-03  -1.99890E-02   2.74890E-02
