# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  1.54699E+01    5.68710E-01   1.50130E+01   7.86720E-01   2.85980E-10   5.52180E-06   3.62810E+01   5.89360E-01
   1  1.50985E+01    6.48770E-01   1.55540E+01   2.47270E-01   4.85260E-05   2.58530E-05   3.68980E+01   6.10790E-01
   2  1.47418E+01    9.84760E-01   1.53500E+01   3.96810E-01   6.01330E-11   6.60650E-09   3.63920E+01   6.39170E-01
   3  1.43999E+01    1.75560E+00   1.39910E+01   1.19200E+00   1.03550E-09   8.14250E-07   3.41550E+01   6.95730E-01
   4  1.40725E+01    1.05350E+00   6.18280E+00   2.29630E+01   2.86750E-06   5.21450E-07   3.12060E+01   4.44250E-01
   5  1.37592E+01    7.91400E-01   5.06840E+00   2.63080E+01   1.64020E-08   1.33960E-08   3.19920E+01   4.32180E-01
   6  1.34598E+01    1.10490E+01   3.57660E-09   1.29120E-09   1.54360E-10   8.07800E+01   3.15070E-06   5.89820E-02
   7  1.33701E+01    4.32840E+00   1.47670E+00   1.95550E+01   1.25820E-05   2.70890E-06   2.05870E+01   7.91640E-01
   8  1.30991E+01    5.82630E+00   1.51390E-06   1.52010E+01   1.03200E+00   5.35580E-06   1.89200E+01   1.00630E+00
   9  1.30296E+01    6.85640E+00   1.49510E-07   8.42400E+00   5.56870E+00   2.22630E-03   1.67050E+01   1.24470E+00
  10  1.29667E+01    7.37660E+00   9.63090E-02   3.91650E+00   5.50290E-07   7.51400E+00   1.74420E+01   1.89670E+00
  11  1.27387E+01    8.00470E+00   5.58120E-01   2.00950E-05   4.22830E-05   2.68320E+01   2.61480E-02   1.73010E+00
  12  1.26983E+01    8.00900E+00   6.53020E-01   1.48280E-06   1.01360E-03   2.71270E+01   4.14070E-05   1.84730E+00
  13  1.26661E+01    8.26330E+00   1.84810E-01   1.18280E-06   5.81720E-01   2.63550E+01   6.70580E-06   1.96700E+00
  14  1.26433E+01    8.50550E+00   1.36990E-01   1.91180E-06   3.49790E+00   2.30760E+01   2.03730E-06   1.95480E+00
  15  1.26308E+01    8.70830E+00   5.98540E-01   2.15860E-06   7.11600E+00   1.90570E+01   1.56090E-06   1.90860E+00
  16  1.26302E+01    9.17610E+00   6.58350E-01   6.42210E-09   1.10340E+01   1.40200E+01   6.86450E-06   1.85010E+00
  17  1.27717E+01    9.81650E+00   5.77960E-01   1.45910E-05   1.55900E+01   6.67600E+00   2.26960E-06   1.77070E+00
  18  1.26708E+01    9.97910E+00   5.92150E-09   1.39800E-05   2.13060E+01   7.47390E-04   8.41040E-06   1.65070E+00
  19  1.27166E+01    8.40610E+00   1.66860E-08   1.73020E+01   5.71810E+01   6.60800E-07   1.30280E-06   1.20710E-01
  20  1.27833E+01    6.04680E+00   2.72490E-06   3.92530E+01   7.11670E+00   2.16390E-09   4.66870E-07   2.92680E-01
