# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=5) -> e + D2(j3Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  5  1.22641E+01    2.73730E-02  -1.27420E-02   8.23000E-02  -1.39610E-01   9.95690E-02
   1 <-  5  1.24609E+01   -1.48490E-06   1.31050E-02  -5.75820E-02   2.41930E-01  -1.44190E-01
   2 <-  5  1.26526E+01    7.06870E-03  -1.02250E-03   6.55010E-03  -1.49120E-02   1.28190E-02
   3 <-  5  1.28339E+01    3.15770E-02  -1.72060E-02   1.11990E-01  -1.96110E-01   1.43660E-01
   4 <-  5  1.30062E+01    1.51670E-02  -3.86280E-03   2.71760E-02  -4.45270E-02   3.26820E-02
   5 <-  5  1.31718E+01    6.49420E-03  -7.04070E-04   4.23100E-03  -7.49590E-03   5.14220E-03
   6 <-  5  1.33312E+01    1.93920E-02  -6.22560E-03   4.03850E-02  -6.81880E-02   4.77510E-02
   7 <-  5  1.34837E+01    4.24600E-07   4.56700E-03  -3.26250E-02   9.78810E-02  -6.49160E-02
   8 <-  5  1.36290E+01    1.54610E-02  -4.02230E-03   2.62830E-02  -4.51390E-02   3.20220E-02
   9 <-  5  1.37665E+01    8.02780E-03  -1.10660E-03   6.88600E-03  -1.23240E-02   8.60670E-03
  10 <-  5  1.38974E+01   -5.71230E-07   8.61280E-06  -5.14480E-05   1.65110E-04  -9.96290E-05
  11 <-  5  1.40214E+01    5.76280E-03  -5.40740E-04   3.77070E-03  -6.31550E-03   5.03010E-03
  12 <-  5  1.41382E+01    1.04010E-02  -1.81470E-03   1.16350E-02  -2.06790E-02   1.57990E-02
  13 <-  5  1.42481E+01    1.32270E-02  -2.95810E-03   1.82140E-02  -3.32710E-02   2.50790E-02
  14 <-  5  1.43510E+01    1.41890E-02  -3.41650E-03   2.05450E-02  -3.81990E-02   2.86890E-02
  15 <-  5  1.44466E+01    1.34330E-02  -3.07450E-03   1.83260E-02  -3.45270E-02   2.61260E-02
  16 <-  5  1.45349E+01    1.24500E-02  -2.63810E-03   1.54420E-02  -2.94070E-02   2.21450E-02
  17 <-  5  1.46156E+01    1.09180E-02  -2.02450E-03   1.16800E-02  -2.24200E-02   1.68140E-02
  18 <-  5  1.46884E+01    9.14010E-03  -1.41600E-03   8.07910E-03  -1.56050E-02   1.16730E-02
  19 <-  5  1.47531E+01    7.27690E-03  -8.95900E-04   5.07140E-03  -9.84580E-03   7.36210E-03
  20 <-  5  1.48091E+01    5.55330E-03  -5.21070E-04   2.93390E-03  -5.72190E-03   4.28740E-03
  21 <-  5  1.48559E+01    4.05860E-03  -2.78020E-04   1.55900E-03  -3.05330E-03   2.29530E-03
  22 <-  5  1.48929E+01    2.78900E-03  -1.31420E-04   7.37870E-04  -1.45300E-03   1.10520E-03
  23 <-  5  1.49191E+01    1.85820E-03  -5.83510E-05   3.27410E-04  -6.47560E-04   4.96480E-04
  24 <-  5  1.49340E+01    1.10370E-03  -2.05810E-05   1.15290E-04  -2.28650E-04   1.75880E-04
  25 <-  5  1.49384E+01    3.79990E-04  -2.43950E-06   1.36640E-05  -2.71260E-05   2.09040E-05
  26 <-  5  1.49390E+01    1.31770E-04  -2.93350E-07   1.64320E-06  -3.26260E-06   2.51530E-06
  DE <-  5  1.49391E+01   -3.08570E-07   1.53090E-02  -1.31230E-01   3.74190E-01  -2.60660E-01
