# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=5) -> e + D2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  5  1.01137E+01    3.44520E-02  -2.51780E-02   1.76100E-01  -3.77640E-01   3.27070E-01
   1 <-  5  1.03388E+01    1.36530E-01  -3.92400E-01   2.69550E+00  -5.88130E+00   5.06080E+00
   2 <-  5  1.05553E+01    1.51670E-01  -4.80350E-01   3.31470E+00  -7.13020E+00   6.14230E+00
   3 <-  5  1.07635E+01    5.79070E-02  -6.99100E-02   4.69720E-01  -1.05100E+00   9.00230E-01
   4 <-  5  1.09634E+01    9.36740E-02  -1.77870E-01   1.16370E+00  -2.51240E+00   2.06180E+00
   5 <-  5  1.11552E+01    1.30980E-01  -3.44990E-01   2.21580E+00  -4.83370E+00   3.91730E+00
   6 <-  5  1.13391E+01    7.20360E-02  -1.03210E-01   6.52100E-01  -1.41920E+00   1.13150E+00
   7 <-  5  1.15151E+01    8.26820E-03  -1.45840E-03   1.06690E-02  -2.49410E-02   2.36400E-02
   8 <-  5  1.16832E+01    7.08550E-02  -9.88830E-02   6.25320E-01  -1.36350E+00   1.09850E+00
   9 <-  5  1.18434E+01    9.97760E-02  -1.93670E-01   1.20650E+00  -2.60420E+00   2.06060E+00
  10 <-  5  1.19956E+01    9.58310E-02  -1.77520E-01   1.10280E+00  -2.36870E+00   1.87190E+00
  11 <-  5  1.21398E+01    8.04020E-02  -1.23710E-01   7.59190E-01  -1.61950E+00   1.26090E+00
  12 <-  5  1.22757E+01    5.56130E-02  -5.87690E-02   3.57600E-01  -7.61160E-01   5.86830E-01
  13 <-  5  1.24029E+01    2.84110E-02  -1.53370E-02   9.32240E-02  -2.00470E-01   1.54510E-01
  14 <-  5  1.25212E+01    3.75780E-03  -2.89640E-04   1.88160E-03  -4.57360E-03   3.71830E-03
  15 <-  5  1.26298E+01    1.36170E-02  -3.31520E-03   1.93750E-02  -3.62380E-02   2.67110E-02
  16 <-  5  1.27279E+01    2.70410E-02  -1.32540E-02   7.79070E-02  -1.53630E-01   1.14560E-01
  17 <-  5  1.28145E+01    3.50820E-02  -2.23150E-02   1.31040E-01  -2.61010E-01   1.94910E-01
  18 <-  5  1.28881E+01    3.79300E-02  -2.60590E-02   1.53040E-01  -3.05890E-01   2.29080E-01
  19 <-  5  1.29470E+01    3.62140E-02  -2.37430E-02   1.39670E-01  -2.79640E-01   2.10480E-01
  20 <-  5  1.29898E+01    3.08440E-02  -1.72250E-02   1.01620E-01  -2.03680E-01   1.54240E-01
  21 <-  5  1.30162E+01    2.36540E-02  -1.01250E-02   5.97310E-02  -1.19770E-01   9.07950E-02
  22 <-  5  1.30297E+01    1.63400E-02  -4.82850E-03   2.84610E-02  -5.70740E-02   4.32350E-02
  23 <-  5  1.30361E+01    1.24130E-02  -2.78560E-03   1.64130E-02  -3.29160E-02   2.49260E-02
  24 <-  5  1.30406E+01    1.11220E-02  -2.23580E-03   1.31690E-02  -2.64110E-02   1.99960E-02
  25 <-  5  1.30440E+01    9.45970E-03  -1.61720E-03   9.52380E-03  -1.91010E-02   1.44580E-02
  26 <-  5  1.30463E+01    7.63710E-03  -1.05400E-03   6.20600E-03  -1.24470E-02   9.42040E-03
  27 <-  5  1.30478E+01    5.90330E-03  -6.29680E-04   3.70740E-03  -7.43550E-03   5.62720E-03
  28 <-  5  1.30486E+01    4.39040E-03  -3.48280E-04   2.05050E-03  -4.11240E-03   3.11210E-03
  29 <-  5  1.30491E+01    3.12760E-03  -1.76730E-04   1.04050E-03  -2.08680E-03   1.57920E-03
  30 <-  5  1.30493E+01    2.30740E-03  -9.61930E-05   5.66310E-04  -1.13580E-03   8.59500E-04
  DE <-  5  1.30494E+01    3.17530E-07   1.48990E-01  -1.33600E+00   4.47070E+00  -2.99090E+00
