# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
  43 <-  8  1.19830E+01    6.09990E-02   3.68540E-03  -1.91010E-02   4.56890E-02  -4.68450E-02   1.87830E-02
  44 <-  8  1.20218E+01    7.40570E-02   6.03620E-03  -3.18300E-02   7.48120E-02  -7.50700E-02   2.92540E-02
  45 <-  8  1.20582E+01    8.35640E-02   8.18880E-03  -4.35620E-02   1.01460E-01  -1.00710E-01   3.86430E-02
  46 <-  8  1.20916E+01    8.94230E-02   9.76110E-03  -5.22140E-02   1.20930E-01  -1.19210E-01   4.52860E-02
  47 <-  8  1.21216E+01    9.13130E-02   1.04670E-02  -5.62040E-02   1.29710E-01  -1.27340E-01   4.80660E-02
  48 <-  8  1.21474E+01    8.85910E-02   1.00490E-02  -5.41090E-02   1.24600E-01  -1.22020E-01   4.58670E-02
  49 <-  8  1.21679E+01    7.99020E-02   8.28740E-03  -4.47170E-02   1.02830E-01  -1.00580E-01   3.77170E-02
  50 <-  8  1.21819E+01    6.27450E-02   5.14130E-03  -2.77800E-02   6.38210E-02  -6.23360E-02   2.33270E-02
  51 <-  8  1.21887E+01    3.97050E-02   2.06400E-03  -1.11600E-02   2.56280E-02  -2.50160E-02   9.35240E-03
  52 <-  8  1.21914E+01    2.64030E-02   9.13660E-04  -4.94150E-03   1.13450E-02  -1.10720E-02   4.13770E-03
  53 <-  8  1.21926E+01    1.86530E-02   4.56200E-04  -2.46770E-03   5.66520E-03  -5.52800E-03   2.06550E-03
  54 <-  8  1.21933E+01    1.30800E-02   2.24370E-04  -1.21380E-03   2.78640E-03  -2.71880E-03   1.01580E-03
  55 <-  8  1.21936E+01    9.01830E-03   1.06670E-04  -5.77060E-04   1.32470E-03  -1.29250E-03   4.82890E-04
  56 <-  8  1.21937E+01    8.48990E-03   9.45330E-05  -5.11420E-04   1.17400E-03  -1.14550E-03   4.27930E-04
  DE <-  8  1.21938E+01    8.74130E-01   9.30330E-01  -6.26790E+00   1.49660E+01  -1.52730E+01   5.69100E+00
