   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 9.2795e-001 6.7295e-002 4.4199e-003 3.1230e-004 2.4684e-005 2.9583e-006 4.0333e-007 4.2006e-008 2.9231e-009 1.1516e-009 5.8988e-010 3.2539e-010 1.9489e-010
           1 7.0441e-002 7.7933e-001 1.3300e-001 1.5343e-002 1.6561e-003 1.8882e-004 2.8345e-005 5.3922e-006 7.0416e-007 3.2295e-007 1.8908e-007 1.1454e-007 7.2967e-008
           2 1.6030e-003 1.4799e-001 6.2432e-001 1.8589e-001 3.3571e-002 5.4826e-003 8.9034e-004 1.6431e-004 2.1727e-005 1.0055e-005 5.9463e-006 3.6326e-006 2.3291e-006
           3 5.5807e-006 5.3721e-003 2.2710e-001 4.7482e-001 2.1912e-001 5.5492e-002 1.3177e-002 3.1229e-003 4.5497e-004 2.1373e-004 1.2784e-004 7.8655e-005 5.0649e-005
           4 3.6368e-007 8.3496e-006 1.1130e-002 3.0156e-001 3.2406e-001 2.4090e-001 7.9811e-002 2.3762e-002 4.0062e-003 1.9447e-003 1.1980e-003 7.5304e-004 4.9212e-004
           5 3.7826e-008 1.8326e-006 2.0346e-005 2.1666e-002 3.7122e-001 1.6057e-001 2.3569e-001 1.0390e-001 1.9809e-002 9.8244e-003 6.1622e-003 3.9221e-003 2.5847e-003
           6 1.4958e-009 2.7010e-007 7.6761e-007 3.2673e-004 4.7331e-002 4.1895e-001 2.4852e-002 1.4508e-001 4.6364e-002 2.4892e-002 1.6632e-002 1.1040e-002 7.4749e-003
           7 1.2980e-008 6.6192e-008 5.4021e-006 6.1029e-005 2.5879e-003 1.0285e-001 3.7558e-001 2.2754e-002 3.2164e-003 3.5948e-003 3.7965e-003 3.2820e-003 2.6030e-003
           8 3.1837e-009 1.6459e-007 6.7989e-008 1.0959e-005 3.9479e-004 1.3086e-002 1.9910e-001 1.5538e-001 6.0465e-002 3.0149e-002 1.8308e-002 1.1136e-002 7.0351e-003
           9 7.3701e-009 2.2916e-008 5.1704e-007 1.5964e-006 2.6514e-005 2.2539e-003 5.4155e-002 2.5492e-001 5.6769e-003 3.4894e-004 1.1314e-004 5.4944e-004 7.5022e-004
          10 1.4867e-009 3.1426e-008 4.5967e-008 2.3920e-008 8.1557e-007 2.0010e-004 1.3911e-002 1.6389e-001 1.7803e-002 1.7875e-002 1.6675e-002 1.2979e-002 9.5071e-003
          11 5.0060e-009 2.9321e-010 1.2791e-010 1.3735e-007 5.6420e-007 5.7784e-006 2.4078e-003 8.1974e-002 7.2462e-002 4.2462e-002 2.6756e-002 1.5834e-002 9.5616e-003
          12 2.4093e-011 2.2404e-009 7.7397e-009 2.4422e-007 9.6202e-010 4.3776e-006 3.3186e-004 3.1157e-002 1.2119e-001 4.6872e-002 1.8773e-002 7.1748e-003 2.8909e-003
          13 2.1938e-009 8.2043e-013 2.7634e-008 2.2818e-008 3.7158e-007 2.3595e-008 6.4553e-005 1.0213e-002 1.4636e-001 2.9154e-002 3.4292e-003 1.0678e-005 4.1022e-004
          14 1.7834e-009 7.7700e-011 1.3692e-008 2.7000e-008 1.2080e-007 9.0359e-008 2.1132e-006 3.1291e-003 1.7483e-001 3.2494e-003 5.4918e-003 1.1670e-002 1.1604e-002
