   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
          10 7.8551e-003 1.1001e-002 5.8769e-002 8.9223e-002 8.9802e-002 1.2539e-002 2.3599e-002 3.6956e-004 8.5548e-003 1.0420e-001 5.4158e-002 3.3506e-003 3.4947e-003 6.6816e-002 1.0799e-001 2.5550e-001 1.0235e-001 1.5199e-004 8.5389e-005 1.2041e-005 7.8567e-005 6.5978e-005 3.1904e-005 1.4466e-005 5.9871e-006 3.1801e-006 1.8543e-006 1.0034e-006 6.3586e-007 4.3392e-007 2.5082e-007 1.3879e-007 9.5633e-008 7.4475e-008 5.1093e-008 3.0112e-008 1.8293e-008 1.3397e-008 1.1002e-008 8.5105e-009 5.4389e-009 2.3337e-009 6.9289e-010
          11 9.1322e-005 1.1835e-002 9.5520e-002 1.2967e-004 1.3288e-001 1.5166e-002 2.8763e-002 7.4073e-003 1.1867e-003 1.5734e-002 9.7470e-002 3.6181e-002 6.0352e-003 4.8657e-003 5.6948e-002 1.3715e-001 2.7425e-001 7.6731e-002 1.3840e-003 2.0755e-005 6.4270e-009 3.5148e-005 5.1430e-005 3.2118e-005 1.7614e-005 7.4228e-006 3.6641e-006 2.1631e-006 1.0962e-006 6.2717e-007 4.6576e-007 3.0215e-007 1.5483e-007 8.9882e-008 7.3166e-008 6.1117e-008 4.0641e-008 2.2292e-008 1.2424e-008 8.1976e-009 5.6445e-009 2.7370e-009 8.6030e-010
          12 6.9576e-004 2.5209e-002 3.6815e-002 4.3228e-002 4.9923e-002 1.1487e-001 4.6600e-004 3.4174e-002 6.8244e-003 2.4211e-005 2.5805e-002 1.0035e-001 4.1624e-002 2.4000e-003 6.4861e-003 3.7716e-002 1.9433e-001 2.3502e-001 3.9970e-002 3.7722e-003 1.0456e-004 7.7197e-006 2.5492e-005 4.4337e-005 3.6654e-005 2.5319e-005 1.3083e-005 6.8510e-006 3.9849e-006 2.0718e-006 1.1229e-006 7.6110e-007 5.0728e-007 2.8252e-007 1.5860e-007 1.1288e-007 9.1056e-008 6.6429e-008 4.1274e-008 2.3327e-008 1.2464e-008 5.1129e-009 1.5167e-009
          13 9.5806e-004 9.9210e-003 4.9322e-005 5.8942e-002 1.3362e-003 9.6020e-002 6.5597e-002 4.5197e-003 3.9107e-002 5.1415e-003 4.3978e-005 2.4866e-002 9.4923e-002 4.4605e-002 1.6982e-003 1.3929e-002 1.7063e-002 2.8128e-001 2.1755e-001 1.6739e-002 5.0263e-003 5.0312e-004 4.0453e-005 1.7411e-005 2.6879e-005 2.6965e-005 2.3857e-005 1.4856e-005 8.5129e-006 5.2800e-006 2.8839e-006 1.4946e-006 9.4995e-007 6.5664e-007 3.8906e-007 2.0870e-007 1.2971e-007 9.9275e-008 7.7341e-008 5.2747e-008 2.9767e-008 1.1860e-008 3.4335e-009
          14 3.4282e-004 5.5778e-004 8.8025e-003 1.9845e-002 3.7302e-002 1.3438e-002 1.0565e-001 2.2331e-002 1.8353e-002 3.3486e-002 1.9477e-003 5.2090e-005 2.6214e-002 8.8332e-002 4.0926e-002 1.7491e-003 1.9726e-002 5.8099e-003 3.4901e-001 1.9439e-001 5.7439e-003 4.8420e-003 9.4589e-004 1.1593e-004 2.2724e-005 1.7827e-005 1.8843e-005 1.9151e-005 1.4243e-005 9.5609e-006 6.2513e-006 3.6255e-006 2.0513e-006 1.2892e-006 8.2890e-007 4.9262e-007 2.8700e-007 1.8341e-007 1.2767e-007 8.6954e-008 5.1659e-008 2.1519e-008 6.3408e-009
          15 2.6356e-005 4.8982e-004 1.0770e-002 3.8778e-004 4.3082e-002 5.8157e-003 5.2185e-002 8.4885e-002 2.6988e-003 3.0288e-002 2.6081e-002 8.3428e-004 3.8128e-004 2.9572e-002 8.4051e-002 3.9013e-002 1.1991e-003 2.2764e-002 5.2021e-004 4.0150e-001 1.5699e-001 9.5518e-004 3.8270e-003 1.3304e-003 2.6421e-004 5.0387e-005 2.1281e-005 1.5502e-005 1.6459e-005 1.3697e-005 1.0052e-005 7.4926e-006 4.8987e-006 2.8655e-006 1.8026e-006 1.2312e-006 7.9332e-007 4.6499e-007 2.7067e-007 1.6679e-007 1.0001e-007 4.3489e-008 1.3094e-008
          16 1.1882e-005 1.2644e-003 4.0679e-003 3.7438e-003 1.6479e-002 3.2089e-002 2.7022e-003 7.9425e-002 5.1738e-002 7.9999e-004 3.7344e-002 1.9884e-002 3.9902e-004 8.8678e-004 3.1276e-002 7.9926e-002 3.8705e-002 5.8802e-004 2.5648e-002 1.4725e-003 4.4962e-001 1.1730e-001 4.3863e-005 2.4034e-003 1.4886e-003 4.4969e-004 1.0803e-004 3.3912e-005 1.6921e-005 1.4466e-005 1.2230e-005 9.9576e-006 8.0133e-006 5.7171e-006 3.7501e-006 2.5225e-006 1.7331e-006 1.1366e-006 7.0330e-007 4.2223e-007 2.3784e-007 9.9013e-008 2.9358e-008
          17 3.8319e-005 7.5594e-004 2.2865e-004 6.9998e-003 7.3173e-004 3.0874e-002 9.5797e-003 2.3988e-002 8.1714e-002 2.2498e-002 8.4409e-003 3.9116e-002 1.3888e-002 1.1663e-004 1.3352e-003 3.1853e-002 7.5373e-002 3.7930e-002 2.3661e-004 2.8114e-002 1.0325e-002 4.8859e-001 8.2651e-002 1.1972e-003 1.1388e-003 1.3601e-003 6.0485e-004 1.8466e-004 6.0324e-005 2.1758e-005 1.4506e-005 1.1357e-005 8.6700e-006 7.5431e-006 6.2242e-006 4.3448e-006 2.9123e-006 2.0901e-006 1.5167e-006 1.0098e-006 5.7713e-007 2.3479e-007 6.8660e-008
          18 2.5612e-005 1.5450e-004 2.9569e-004 4.1900e-003 1.9566e-003 1.1738e-002 2.7091e-002 3.7660e-006 4.9613e-002 6.5215e-002 5.0956e-003 1.8966e-002 3.6203e-002 8.7872e-003 1.5149e-005 1.9302e-003 3.2454e-002 7.0955e-002 3.6638e-002 5.5812e-005 2.9302e-002 2.6232e-002 5.1362e-001 5.4079e-002 2.7875e-003 3.4015e-004 1.0511e-003 6.7648e-004 2.7281e-004 9.7862e-005 3.4850e-005 1.7737e-005 1.1248e-005 8.2416e-006 7.0488e-006 5.8532e-006 4.4091e-006 3.2405e-006 2.3976e-006 1.6926e-006 1.0391e-006 4.4391e-007 1.3219e-007
          19 6.5038e-006 3.7950e-008 8.1950e-004 9.4348e-004 5.1301e-003 8.0586e-004 2.3425e-002 1.1720e-002 9.3085e-003 6.4269e-002 4.1382e-002 2.8267e-007 2.7804e-002 3.0837e-002 5.2172e-003 4.8890e-007 2.7334e-003 3.3085e-002 6.6997e-002 3.5492e-002 1.0304e-006 2.9176e-002 4.8433e-002 5.2502e-001 3.1533e-002 3.8928e-003 2.0070e-005 6.7669e-004 6.5638e-004 3.4593e-004 1.4818e-004 5.6669e-005 2.5870e-005 1.3855e-005 8.7040e-006 6.7807e-006 5.5573e-006 4.2813e-006 3.1812e-006 2.3034e-006 1.4891e-006 6.6433e-007 2.0133e-007
          20 7.9637e-008 4.9112e-005 6.2665e-004 1.6706e-007 4.1644e-003 9.8639e-004 9.2808e-003 2.2766e-002 8.1261e-004 2.8685e-002 6.3136e-002 1.9851e-002 3.4311e-003 3.3029e-002 2.4671e-002 2.9107e-003 1.9947e-009 3.6003e-003 3.3343e-002 6.3289e-002 3.4570e-002 1.0185e-004 2.8066e-002 7.6870e-002 5.2452e-001 1.5306e-002 4.1798e-003 5.3358e-005 3.3880e-004 5.5228e-004 3.7997e-004 2.0174e-004 8.6390e-005 3.9946e-005 2.0285e-005 1.0825e-005 7.1372e-006 5.5471e-006 4.2066e-006 2.9306e-006 1.8196e-006 8.0168e-007 2.4280e-007
          21 1.1377e-006 7.0854e-005 2.1388e-004 3.1222e-004 1.5976e-003 3.5387e-003 9.0318e-004 1.8219e-002 1.2160e-002 2.8975e-003 4.5651e-002 5.0035e-002 5.8077e-003 1.0941e-002 3.4430e-002 1.8600e-002 1.4669e-003 4.6918e-007 4.4790e-003 3.3286e-002 5.9779e-002 3.3727e-002 3.6670e-004 2.6221e-002 1.1089e-001 5.1381e-001 5.2966e-003 3.6981e-003 2.6498e-004 1.1022e-004 3.9242e-004 3.6784e-004 2.3869e-004 1.2089e-004 6.0302e-005 3.0513e-005 1.5608e-005 9.1225e-006 6.1111e-006 4.1296e-006 2.5000e-006 1.0735e-006 3.2142e-007
          22 2.1933e-006 4.2043e-005 1.5497e-005 5.3350e-004 1.7202e-004 3.5899e-003 4.6294e-004 7.4704e-003 1.8833e-002 2.1838e-003 1.5431e-002 5.2732e-002 3.2177e-002 2.2822e-004 1.8954e-002 3.2605e-002 1.3174e-002 6.2675e-004 6.1005e-006 5.3558e-003 3.2979e-002 5.6340e-002 3.2789e-002 7.6812e-004 2.3816e-002 1.4907e-001 4.9459e-001 6.7796e-004 2.7201e-003 4.8506e-004 9.2868e-006 2.2964e-004 3.0759e-004 2.5108e-004 1.5023e-004 8.3728e-005 4.5622e-005 2.3830e-005 1.2990e-005 7.6660e-006 4.3781e-006 1.8293e-006 5.4189e-007
          23 1.5949e-006 1.1307e-005 1.2846e-005 3.9028e-004 4.9825e-005 1.9246e-003 2.4155e-003 9.8531e-004 1.4510e-002 1.1538e-002 5.9461e-004 3.0517e-002 4.8848e-002 1.5891e-002 1.4771e-003 2.5168e-002 2.8576e-002 8.7342e-003 2.0905e-004 3.1759e-005 6.3069e-003 3.2660e-002 5.3111e-002 3.1779e-002 1.2785e-003 2.1006e-002 1.9000e-001 4.6854e-001 2.5508e-004 1.5869e-003 5.9735e-004 1.0862e-005 1.0161e-004 2.1849e-004 2.3296e-004 1.6568e-004 1.0427e-004 6.3337e-005 3.5648e-005 1.9167e-005 9.9114e-006 3.9424e-006 1.1511e-006
