   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71
           0 9.9806e-001 1.8520e-003 8.2878e-005 4.6153e-008 5.9659e-008 3.8747e-008 2.9662e-033 2.4583e-030 4.5348e-017 2.7780e-027 9.8418e-027 2.9628e-025 2.4232e-023 2.1074e-011 1.6108e-021 2.4725e-022 1.1191e-020 5.2627e-018 2.2462e-009 5.7702e-016 1.3846e-015 2.0983e-014 1.9343e-012 5.3988e-009 8.7329e-012 1.6894e-011 1.7056e-010 1.5478e-009 6.9440e-010 3.3667e-010 2.8410e-010 2.0567e-010 1.0382e-010 3.2610e-011 1.9688e-012 7.2161e-012 4.2038e-011 9.7747e-011 1.6446e-010 2.3279e-010 2.9426e-010 3.4231e-010 3.7326e-010 3.8561e-010 3.7985e-010 3.5813e-010 3.2359e-010 2.8013e-010 2.3157e-010 1.8193e-010 1.3454e-010 9.2389e-011 5.7167e-011 3.0128e-011 1.1779e-011 2.0115e-012 2.7604e-013 5.6529e-012 1.6986e-011 3.2977e-011 5.2350e-011 7.3811e-011 9.6231e-011 1.1857e-010 1.4002e-010 1.5972e-010 1.7735e-010 1.9230e-010 2.0432e-010 2.1314e-010 2.1785e-010 2.1695e-010
           1 1.8205e-003 9.9605e-001 1.3827e-003 7.3731e-004 2.7410e-006 2.2546e-006 5.0240e-032 5.2077e-030 1.7690e-017 4.4951e-027 1.5845e-025 1.4789e-023 3.1180e-021 5.8481e-009 6.6005e-019 1.2818e-018 1.9810e-017 1.1463e-015 2.1863e-007 3.8006e-014 3.5005e-014 2.1329e-013 7.1376e-012 1.2199e-008 7.8561e-012 2.9879e-013 5.9762e-011 1.7660e-009 1.6353e-009 1.8705e-009 3.2994e-009 4.9254e-009 5.8315e-009 6.2429e-009 6.4740e-009 6.5234e-009 6.3494e-009 5.9757e-009 5.4638e-009 4.8724e-009 4.2399e-009 3.6028e-009 2.9937e-009 2.4327e-009 1.9320e-009 1.4978e-009 1.1306e-009 8.2802e-010 5.8477e-010 3.9517e-010 2.5220e-010 1.4914e-010 7.8499e-011 3.3916e-011 9.5867e-012 4.4045e-013 2.2052e-012 1.1320e-011 2.4901e-011 4.0661e-011 5.6913e-011 7.2357e-011 8.6141e-011 9.7691e-011 1.0674e-010 1.1305e-010 1.1682e-010 1.1804e-010 1.1693e-010 1.1373e-010 1.0832e-010 1.0048e-010
           2 1.1351e-004 1.4025e-003 9.9512e-001 8.4645e-004 2.3012e-003 2.0795e-004 1.3138e-030 5.2633e-030 5.0599e-015 5.3438e-025 6.6786e-024 4.0978e-022 6.2933e-020 9.5696e-008 9.9036e-018 1.4038e-017 1.4960e-016 5.2698e-015 6.4049e-007 7.8787e-014 1.0032e-014 1.3121e-013 6.9551e-011 2.7532e-007 6.5582e-010 2.0252e-009 2.9119e-008 3.2646e-007 1.7790e-007 1.1836e-007 1.4310e-007 1.5995e-007 1.4764e-007 1.2587e-007 1.0530e-007 8.6062e-008 6.7799e-008 5.1122e-008 3.6723e-008 2.4909e-008 1.5656e-008 8.8271e-009 4.1827e-009 1.4042e-009 1.5536e-010 1.0606e-010 9.4985e-010 2.4153e-009 4.2663e-009 6.3075e-009 8.3763e-009 1.0369e-008 1.2188e-008 1.3772e-008 1.5092e-008 1.6122e-008 1.6848e-008 1.7289e-008 1.7460e-008 1.7377e-008 1.7088e-008 1.6607e-008 1.5972e-008 1.5212e-008 1.4359e-008 1.3427e-008 1.2458e-008 1.1457e-008 1.0446e-008 9.4390e-009 8.4212e-009 7.3720e-009
           3 6.5408e-007 6.8903e-004 5.6193e-004 9.7731e-001 1.8814e-002 1.4853e-003 2.0811e-028 1.6487e-025 2.7714e-012 1.6404e-022 5.0071e-022 1.3398e-020 1.0758e-018 1.0618e-006 9.1548e-017 6.3163e-017 2.0718e-016 2.6695e-017 1.1571e-006 4.8455e-013 1.9810e-012 3.5558e-011 3.4885e-009 9.8654e-006 1.6192e-008 3.2069e-008 3.3505e-007 3.1458e-006 1.4736e-006 7.8727e-007 7.7115e-007 7.0029e-007 5.1669e-007 3.4103e-007 2.1005e-007 1.1618e-007 5.2863e-008 1.6000e-008 1.0177e-009 2.8293e-009 1.6519e-008 3.7618e-008 6.2344e-008 8.7683e-008 1.1134e-007 1.3173e-007 1.4780e-007 1.5909e-007 1.6537e-007 1.6694e-007 1.6419e-007 1.5808e-007 1.4905e-007 1.3786e-007 1.2528e-007 1.1184e-007 9.8045e-008 8.4462e-008 7.1440e-008 5.9263e-008 4.8187e-008 3.8296e-008 2.9665e-008 2.2300e-008 1.6169e-008 1.1190e-008 7.2897e-009 4.3525e-009 2.2696e-009 9.2653e-010 2.0849e-010 1.7341e-014
           4 3.5771e-007 2.9756e-008 2.8432e-003 1.5536e-002 9.3264e-001 4.7227e-002 3.5609e-028 2.8707e-026 4.8083e-014 1.4014e-023 4.5516e-022 3.7404e-020 7.1438e-018 1.2729e-005 1.4130e-015 2.6421e-015 4.0568e-014 2.4163e-012 4.8009e-004 8.6229e-011 9.0969e-011 7.0010e-010 3.5425e-008 7.8609e-005 9.1127e-008 1.0102e-007 5.7445e-007 3.3920e-006 9.4250e-007 1.5202e-007 4.2923e-009 6.6538e-008 2.9237e-007 5.8351e-007 8.8723e-007 1.1660e-006 1.3857e-006 1.5282e-006 1.5933e-006 1.5893e-006 1.5256e-006 1.4149e-006 1.2728e-006 1.1128e-006 9.4631e-007 7.8282e-007 6.2919e-007 4.9042e-007 3.6913e-007 2.6701e-007 1.8401e-007 1.1951e-007 7.1430e-008 3.7731e-008 1.6129e-008 4.3026e-009 1.0201e-010 1.5642e-009 6.9758e-009 1.4887e-008 2.4145e-008 3.3821e-008 4.3247e-008 5.1927e-008 5.9564e-008 6.5910e-008 7.0958e-008 7.4625e-008 7.6953e-008 7.7991e-008 7.7547e-008 7.5249e-008
           5 2.0220e-007 8.6538e-008 1.6093e-006 5.4456e-003 3.9297e-002 8.6771e-001 3.5840e-026 1.8367e-023 2.2800e-010 1.2325e-020 2.6094e-020 4.8676e-019 2.6052e-017 1.7556e-005 1.2284e-015 1.8259e-016 2.7099e-015 1.2154e-012 4.6249e-004 1.1117e-010 2.2467e-010 2.9464e-009 2.4283e-007 6.5432e-004 1.0160e-006 1.8945e-006 1.9223e-005 1.7922e-004 8.4044e-005 4.5603e-005 4.6154e-005 4.4096e-005 3.5079e-005 2.5857e-005 1.8722e-005 1.3213e-005 8.9189e-006 5.6734e-006 3.3428e-006 1.7671e-006 7.8187e-007 2.4259e-007 2.3393e-008 1.8861e-008 1.4549e-007 3.3975e-007 5.5557e-007 7.6183e-007 9.3831e-007 1.0748e-006 1.1669e-006 1.2183e-006 1.2311e-006 1.2114e-006 1.1663e-006 1.1012e-006 1.0215e-006 9.3344e-007 8.4104e-007 7.4781e-007 6.5727e-007 5.7089e-007 4.9031e-007 4.1638e-007 3.4969e-007 2.9001e-007 2.3765e-007 1.9201e-007 1.5274e-007 1.1937e-007 9.1134e-008 6.7443e-008
           6 3.7589e-009 1.4706e-006 8.1476e-006 1.0238e-004 6.6353e-003 7.4249e-002 9.1358e-026 1.0805e-022 2.1122e-009 1.2923e-019 4.3792e-019 1.2941e-017 1.2094e-015 1.4203e-003 1.3476e-013 1.5390e-013 1.5129e-012 5.8758e-011 8.8410e-003 1.3465e-009 8.5384e-010 3.3414e-009 5.3837e-008 5.1038e-005 9.2748e-010 1.9237e-007 6.9494e-006 1.0563e-004 7.0203e-005 5.8379e-005 8.3388e-005 1.0673e-004 1.1156e-004 1.0754e-004 1.0206e-004 9.5426e-005 8.7179e-005 7.7765e-005 6.7958e-005 5.8342e-005 4.9181e-005 4.0703e-005 3.3099e-005 2.6431e-005 2.0707e-005 1.5897e-005 1.1929e-005 8.7251e-006 6.1890e-006 4.2340e-006 2.7676e-006 1.7084e-006 9.7147e-007 4.8775e-007 1.9696e-007 4.8239e-008 5.7560e-010 2.1095e-008 8.4250e-008 1.7067e-007 2.6650e-007 3.6174e-007 4.5004e-007 5.2734e-007 5.9178e-007 6.4200e-007 6.7896e-007 7.0269e-007 7.1429e-007 7.1472e-007 7.0269e-007 6.7520e-007
           7 2.9600e-009 2.1410e-007 1.0306e-007 1.0608e-005 2.8887e-004 8.6379e-003 3.9493e-025 1.2206e-022 3.2736e-010 5.0109e-021 1.4427e-019 2.0651e-017 4.2660e-015 7.3497e-003 7.9591e-013 1.3332e-012 1.8085e-011 9.5839e-010 1.7843e-001 3.1019e-008 3.0477e-008 2.2540e-007 1.1365e-005 2.5482e-002 3.0440e-005 3.7234e-005 2.5270e-004 1.7983e-003 6.4811e-004 2.2433e-004 1.3303e-004 6.4175e-005 1.7454e-005 7.6026e-007 3.1981e-006 1.5366e-005 3.1317e-005 4.7206e-005 6.0894e-005 7.1445e-005 7.8501e-005 8.2163e-005 8.2899e-005 8.1236e-005 7.7711e-005 7.2845e-005 6.7073e-005 6.0796e-005 5.4286e-005 4.7831e-005 4.1604e-005 3.5827e-005 3.0514e-005 2.5724e-005 2.1481e-005 1.7759e-005 1.4529e-005 1.1767e-005 9.4279e-006 7.4665e-006 5.8445e-006 4.5125e-006 3.4314e-006 2.5636e-006 1.8763e-006 1.3377e-006 9.2430e-007 6.1243e-007 3.8344e-007 2.2137e-007 1.1247e-007 4.5730e-008
           8 2.2451e-009 6.8548e-010 1.8247e-006 8.1880e-006 6.2337e-007 4.2663e-004 5.9092e-024 8.0892e-022 3.3211e-011 3.0930e-020 2.0567e-018 8.7482e-017 5.0915e-015 2.0755e-003 8.1232e-014 1.5538e-013 1.4991e-011 1.8719e-009 4.9790e-001 1.0209e-007 1.4434e-007 1.4132e-006 9.0386e-005 2.2177e-001 3.0209e-004 4.6150e-004 3.9422e-003 3.3131e-002 1.4180e-002 6.7296e-003 6.0064e-003 5.1050e-003 3.6217e-003 2.3828e-003 1.5429e-003 9.7583e-004 5.9096e-004 3.3686e-004 1.7679e-004 8.1807e-005 3.0147e-005 6.4709e-006 1.5140e-008 3.4153e-006 1.1797e-005 2.2030e-005 3.2186e-005 4.1168e-005 4.8382e-005 5.3643e-005 5.6951e-005 5.8595e-005 5.8733e-005 5.7646e-005 5.5633e-005 5.2905e-005 4.9655e-005 4.6111e-005 4.2414e-005 3.8678e-005 3.5034e-005 3.1520e-005 2.8195e-005 2.5085e-005 2.2215e-005 1.9568e-005 1.7169e-005 1.4989e-005 1.3021e-005 1.1251e-005 9.6342e-006 8.1263e-006
           9 1.0195e-009 2.1222e-008 1.2009e-006 1.9518e-007 1.0040e-005 3.2026e-005 3.3290e-022 3.0982e-020 1.0207e-012 1.4470e-018 4.3662e-017 1.0199e-015 2.1475e-014 2.2634e-004 1.5787e-013 4.1598e-012 7.9523e-011 2.8566e-009 2.7308e-001 2.4919e-008 1.2707e-009 4.7162e-007 8.6834e-005 2.7971e-001 5.2394e-004 1.1814e-003 1.3268e-002 1.2905e-001 6.2282e-002 3.4908e-002 3.6216e-002 3.5399e-002 2.8919e-002 2.2087e-002 1.6806e-002 1.2722e-002 9.4817e-003 6.9394e-003 4.9965e-003 3.5440e-003 2.4713e-003 1.6909e-003 1.1332e-003 7.4083e-004 4.6960e-004 2.8607e-004 1.6504e-004 8.8034e-005 4.1474e-005 1.5640e-005 3.4879e-006 1.6380e-008 1.7260e-006 6.2364e-006 1.1970e-005 1.7913e-005 2.3434e-005 2.8208e-005 3.2076e-005 3.4995e-005 3.7042e-005 3.8272e-005 3.8803e-005 3.8739e-005 3.8197e-005 3.7237e-005 3.5993e-005 3.4496e-005 3.2813e-005 3.0986e-005 2.8955e-005 2.6608e-005
