   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71
          10 6.1107e-028 2.9470e-026 1.4066e-024 2.6292e-024 1.5649e-022 1.3360e-022 1.4823e-008 2.2409e-006 6.8342e-004 2.8992e-005 3.6502e-006 1.3722e-002 9.7248e-001 4.5789e-001 1.3408e-002 2.7255e-005 1.6752e-004 1.2527e-004 7.5468e-011 3.1035e-005 2.2630e-006 3.8939e-007 1.9624e-011 5.0964e-011 7.1039e-009 1.8011e-008 4.0605e-009 1.7042e-011 1.9173e-008 1.4523e-008 1.5712e-008 2.7565e-008 9.7853e-010 1.8143e-008 1.1073e-010 4.9866e-009 1.7441e-010 1.8359e-010 1.4240e-010 6.8516e-010 6.8683e-010 1.6469e-009 2.8902e-009 4.2361e-010 4.9427e-009 6.3540e-010 2.2941e-009 3.3003e-009 1.9923e-011 1.7135e-009 1.3241e-009 2.2538e-013 5.2170e-010 2.7236e-010 5.6400e-012 9.9439e-011 4.0863e-013 1.5430e-010 1.8946e-010 5.0916e-014 3.2327e-010 7.2521e-010 3.8547e-010 1.3152e-016 4.3756e-010 1.0306e-009 8.1653e-010 1.6586e-010 5.3160e-011 5.4752e-010 8.8760e-010 6.5312e-010
          11 2.9239e-027 9.1741e-026 5.9159e-024 1.3023e-023 3.9842e-022 3.3535e-021 9.2287e-008 6.8742e-007 5.4454e-003 1.1201e-005 5.6696e-005 2.1933e-005 1.3507e-002 4.7245e-001 9.7369e-001 1.2089e-002 3.9794e-007 3.4494e-004 1.9599e-007 2.1466e-004 5.6538e-005 3.3897e-006 6.4952e-007 2.4886e-010 2.3369e-007 1.2061e-008 1.9550e-010 1.0377e-008 3.5004e-008 2.2941e-008 4.9684e-008 8.7218e-009 2.6116e-008 4.2583e-009 4.6222e-009 6.2247e-009 1.4865e-010 6.6789e-009 5.3209e-009 2.1168e-009 9.4827e-009 2.0871e-010 4.8262e-009 2.9944e-009 6.5556e-011 1.4854e-009 8.5640e-010 1.2917e-010 1.7595e-011 4.7821e-010 1.1395e-009 5.7012e-010 5.4326e-011 1.3988e-009 1.7881e-009 3.4376e-010 2.4440e-010 1.3839e-009 1.2495e-009 2.4955e-010 5.0283e-011 4.5382e-010 5.3603e-010 2.6614e-010 4.9638e-011 3.9477e-014 1.8821e-011 4.4141e-011 7.5692e-011 1.1983e-010 1.5525e-010 1.3947e-010
          12 4.2972e-026 8.9373e-025 7.1590e-023 2.2193e-022 2.8528e-021 7.3404e-020 5.1567e-008 9.1973e-009 3.1276e-004 1.4070e-007 2.0179e-005 9.5437e-005 9.5758e-005 1.2165e-006 1.2036e-002 9.7684e-001 9.7309e-003 9.8410e-005 1.8630e-007 6.6548e-004 3.3248e-004 8.0823e-005 5.2091e-006 2.3452e-008 1.0961e-006 1.0882e-006 1.5943e-007 2.0307e-008 1.2134e-010 1.0768e-008 2.7841e-009 4.1486e-008 1.6984e-009 1.5274e-008 2.8564e-009 6.8459e-010 4.8066e-009 1.1936e-009 4.3697e-009 4.8831e-009 1.0419e-009 5.3290e-009 1.2929e-010 1.6683e-009 8.3291e-010 2.8585e-016 8.2350e-011 1.3739e-010 3.3803e-010 1.9167e-010 8.9822e-011 9.8586e-010 7.6888e-010 4.0931e-014 7.6744e-010 1.0753e-009 2.2290e-010 8.2289e-011 4.9485e-010 3.8986e-010 6.9701e-011 4.6556e-012 4.3282e-011 3.5689e-011 1.9357e-011 2.2323e-011 4.5138e-011 6.2934e-011 3.5913e-011 1.7371e-013 4.9104e-011 1.7496e-010
          13 1.2300e-024 1.8258e-023 1.6283e-021 7.5973e-021 4.0262e-020 2.0597e-018 1.3409e-007 5.6730e-007 1.8800e-003 4.0429e-007 1.1284e-006 4.3532e-005 1.8161e-004 1.6389e-002 1.9643e-004 9.6222e-003 9.8124e-001 6.5033e-003 3.0610e-006 4.3201e-004 1.1460e-003 5.1249e-004 1.0886e-004 1.0634e-007 5.3375e-006 4.3236e-006 2.6399e-006 2.9072e-009 5.4208e-007 1.7115e-008 4.7849e-009 1.1612e-008 7.5761e-008 6.5580e-009 4.0753e-008 5.7372e-009 2.2176e-010 3.7992e-009 1.1708e-008 4.9914e-010 2.2852e-008 1.8939e-009 1.2962e-008 7.6544e-009 8.4785e-010 3.5449e-009 3.2541e-010 3.8706e-013 1.0190e-010 3.3643e-011 1.8254e-009 2.1915e-009 2.2388e-013 2.9786e-009 3.9130e-009 3.8136e-010 1.1271e-009 3.0071e-009 1.3005e-009 1.7586e-013 5.6825e-010 6.4122e-010 1.4716e-010 1.1122e-013 7.4260e-012 1.1305e-011 9.1355e-011 7.0067e-011 2.5417e-012 2.3821e-010 6.5435e-010 7.0031e-010
          14 1.8450e-022 2.2022e-021 1.9185e-019 1.3565e-018 3.4351e-018 2.4469e-016 1.9218e-009 4.3298e-010 3.8298e-004 2.0755e-007 6.2254e-008 6.8204e-006 7.2044e-005 5.6749e-003 3.2088e-004 4.0919e-004 6.4842e-003 9.8554e-001 4.5741e-005 3.1551e-003 1.2460e-003 1.9060e-003 7.2165e-004 2.0829e-007 1.2296e-004 1.1632e-006 1.1348e-005 1.2926e-006 4.4447e-006 8.0938e-007 1.7309e-007 7.9870e-008 5.1081e-009 1.2486e-008 4.5660e-010 1.3614e-008 1.3432e-008 1.8188e-010 1.4913e-008 7.0828e-009 3.8327e-009 8.0217e-009 5.3672e-011 2.0734e-009 1.8135e-009 5.4108e-010 5.2944e-011 1.8013e-009 2.1349e-009 3.6782e-011 1.5051e-009 2.0306e-009 1.9352e-010 3.8762e-010 8.8232e-010 3.5345e-010 1.6238e-011 1.9336e-011 6.8040e-011 1.5271e-010 2.6818e-010 2.3735e-010 3.9107e-011 6.9319e-011 4.4310e-010 6.3178e-010 3.4605e-010 2.4427e-011 8.8566e-011 3.5100e-010 4.1988e-010 2.4902e-010
          15 3.7254e-010 4.2523e-009 3.5511e-007 2.9097e-006 6.0042e-006 4.3927e-004 1.9824e-008 4.1914e-008 4.5512e-007 2.2527e-007 3.7006e-008 9.3937e-008 1.5486e-004 1.2273e-002 3.0339e-007 6.9287e-003 3.8553e-002 6.0102e-001 1.0504e-004 3.1974e-001 1.8243e-002 6.2324e-003 7.4315e-004 2.3533e-006 3.4527e-003 2.5294e-004 1.3602e-003 2.1113e-004 2.1985e-005 2.6886e-004 3.9695e-004 1.0001e-006 3.0284e-004 1.0682e-004 1.1039e-004 1.5516e-004 3.7654e-005 1.4105e-004 2.4170e-005 1.0675e-004 3.5269e-005 5.9807e-005 5.8186e-005 1.5759e-005 7.5738e-005 1.3659e-006 4.9404e-005 3.2468e-005 4.8375e-006 4.7677e-005 1.5114e-005 7.3845e-006 3.7167e-005 1.3104e-005 3.1429e-006 2.7690e-005 1.9114e-005 1.1359e-007 1.2913e-005 2.3043e-005 8.2071e-006 4.1955e-007 1.2398e-005 1.8158e-005 7.5275e-006 9.3822e-011 6.5277e-006 1.4272e-005 1.0990e-005 2.4265e-006 4.2387e-007 5.8578e-006
          16 6.6599e-022 7.3546e-021 5.4606e-019 5.7751e-018 9.1528e-018 6.1922e-016 5.7274e-008 9.4869e-008 6.5136e-004 4.1335e-008 1.8183e-007 7.8967e-014 1.6705e-005 3.2367e-003 1.3362e-004 5.6776e-004 7.0911e-004 3.3839e-003 4.5094e-005 9.8792e-001 4.8790e-004 2.7854e-003 2.8972e-003 4.1189e-008 9.4284e-004 1.0559e-004 4.1479e-006 2.0766e-005 1.0694e-005 1.0314e-005 3.5258e-007 1.6366e-006 2.8155e-007 2.5851e-008 3.6199e-009 5.5155e-009 2.0883e-008 4.1417e-009 6.6716e-009 4.1319e-009 3.8750e-008 5.4996e-010 2.3505e-008 5.3043e-009 3.0341e-009 2.5168e-009 1.7476e-010 6.7394e-010 3.3947e-010 2.0072e-009 6.8367e-009 1.1367e-009 2.5207e-009 6.2601e-009 1.2232e-009 6.2364e-010 2.0168e-009 5.3880e-010 1.6405e-011 8.9255e-011 9.0088e-012 1.3176e-010 5.0334e-012 3.4574e-010 1.1091e-009 8.2338e-010 3.4389e-011 4.8805e-010 1.5851e-009 1.5224e-009 4.8077e-010 2.3346e-012
          17 1.2359e-021 1.4521e-020 8.1222e-019 1.2614e-017 1.6936e-017 7.5585e-016 1.3969e-009 2.5030e-008 5.5992e-004 1.2473e-008 8.4764e-008 5.0093e-008 1.1465e-006 1.8765e-003 4.1355e-005 2.3184e-004 9.3444e-004 1.2431e-003 1.5091e-008 8.2881e-004 9.8530e-001 4.4712e-004 5.5027e-003 2.1633e-006 4.2237e-003 1.0723e-003 2.3146e-005 8.6824e-005 5.6407e-007 4.6646e-005 1.0673e-005 7.1184e-007 4.7023e-006 3.2725e-007 1.1782e-007 2.7566e-008 4.3659e-008 1.5262e-008 1.2526e-009 4.7470e-009 9.8696e-009 4.3426e-008 1.1503e-010 2.1007e-008 3.6377e-009 1.4249e-009 7.9951e-010 4.6421e-010 2.3971e-009 5.3169e-010 3.4646e-009 8.7464e-009 1.1028e-009 2.6561e-009 5.5418e-009 9.9703e-010 3.0648e-010 8.3993e-010 1.3472e-010 1.4376e-012 3.6865e-011 4.0335e-010 3.7668e-010 3.6360e-012 8.9128e-010 1.9404e-009 1.1670e-009 3.6407e-011 5.8291e-010 1.6888e-009 1.5032e-009 4.7945e-010
          18 6.6118e-021 9.3502e-020 3.5718e-018 8.0195e-017 1.1472e-016 2.6213e-015 1.1071e-008 2.0071e-008 8.1271e-005 2.0982e-008 2.6324e-008 1.3034e-007 2.2176e-007 2.8471e-004 5.1457e-006 8.1308e-005 4.1467e-004 1.5348e-003 5.6988e-007 2.0791e-003 2.4363e-005 9.7296e-001 6.2504e-003 3.5038e-005 9.8529e-003 5.5570e-003 7.2250e-004 2.4269e-004 6.1328e-005 7.3839e-005 8.2092e-005 2.2429e-006 1.0168e-005 8.2371e-006 1.1047e-007 5.9717e-007 3.6266e-007 4.8603e-008 6.0100e-010 1.4855e-009 2.5696e-009 1.5062e-008 2.6459e-008 1.8271e-009 1.3045e-009 3.4167e-009 4.5700e-009 5.9897e-010 3.1240e-009 6.2939e-009 4.1321e-010 2.0277e-009 3.0165e-009 6.9191e-010 8.7678e-012 2.4925e-011 1.9392e-010 8.4007e-010 1.2317e-009 3.7629e-010 1.1359e-010 1.1541e-009 1.2611e-009 3.0952e-010 2.6347e-011 3.5269e-010 3.6821e-010 1.3269e-010 1.4381e-011 4.3947e-013 2.1845e-012 6.3609e-012
          19 6.6805e-020 1.2609e-018 3.0679e-017 9.8505e-016 1.7015e-015 1.7916e-014 5.3942e-009 5.8729e-008 5.3317e-004 4.5706e-008 3.6689e-008 2.8863e-007 2.0383e-007 1.2926e-003 8.9370e-007 1.7797e-005 1.6318e-004 7.2683e-004 1.1306e-006 2.4031e-003 3.4396e-003 2.1034e-003 9.4314e-001 9.3250e-004 2.3474e-002 1.6244e-002 5.6625e-003 2.9083e-004 9.7660e-004 3.1888e-005 2.7670e-004 6.6096e-005 7.7562e-006 2.9197e-005 9.2263e-006 1.9003e-007 1.9897e-006 7.2273e-007 7.2827e-008 1.5161e-008 4.1229e-009 1.2098e-009 2.1681e-008 4.6634e-008 3.2505e-009 2.5080e-009 4.1296e-009 7.4492e-009 4.2191e-009 1.4646e-009 1.1991e-008 3.7863e-009 1.3272e-009 5.7928e-009 2.2537e-009 1.2364e-010 2.4783e-014 3.0971e-011 6.9685e-010 2.5305e-009 2.4250e-009 2.3908e-010 8.4347e-010 2.9201e-009 2.1732e-009 3.0840e-010 1.3225e-010 6.3916e-010 5.1313e-010 1.6140e-010 2.9235e-011 2.1791e-011
