   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 5.4991e-002 2.0304e-001 3.1116e-001 2.5862e-001 1.2726e-001 3.7752e-002 6.5333e-003 5.9428e-004 2.1448e-005 8.2299e-008 9.2813e-009 7.8482e-009 5.6867e-009 7.6476e-012 1.3786e-009 3.9440e-011 2.6243e-010 2.9768e-010 4.4283e-011
           1 1.1802e-001 1.9086e-001 4.2177e-002 3.6212e-002 2.1927e-001 2.4410e-001 1.1806e-001 2.8148e-002 3.0939e-003 1.1229e-004 9.1096e-008 9.8616e-008 1.3927e-008 9.6617e-009 2.0320e-010 4.4860e-009 8.5463e-010 5.5492e-012 2.0020e-011
           2 1.5068e-001 8.1110e-002 1.6149e-002 1.3524e-001 2.9261e-002 5.8876e-002 2.4518e-001 2.0649e-001 6.7923e-002 8.7820e-003 2.8323e-004 4.5839e-007 3.6492e-007 9.4163e-011 1.3879e-008 5.0448e-013 4.3907e-009 2.4956e-009 2.6132e-010
           3 1.5052e-001 1.2036e-002 8.0025e-002 4.3697e-002 3.8084e-002 1.1254e-001 1.9732e-004 1.5766e-001 2.6580e-001 1.2135e-001 1.7686e-002 4.0415e-004 1.1992e-005 4.4527e-007 5.5887e-008 4.7657e-008 6.3875e-009 1.3401e-010 1.7816e-010
           4 1.3094e-001 1.3030e-003 8.5549e-002 1.4626e-004 8.8008e-002 3.3355e-003 9.4730e-002 4.4064e-002 6.1862e-002 2.8208e-001 1.7990e-001 2.7722e-002 2.5201e-004 6.7096e-005 2.9354e-007 1.3237e-007 1.7987e-007 7.3223e-008 7.6077e-009
           5 1.0468e-001 1.9093e-002 4.9592e-002 2.7882e-002 4.2390e-002 3.1650e-002 5.3390e-002 2.7886e-002 9.6615e-002 8.9905e-003 2.6689e-001 2.3637e-001 3.4408e-002 8.4999e-007 1.5334e-004 1.7665e-005 8.9601e-007 3.1514e-010 3.6189e-009
           6 7.9359e-002 3.9906e-002 1.5907e-002 5.4050e-002 2.9377e-003 6.3015e-002 1.8423e-004 7.5550e-002 2.7649e-006 1.0491e-001 1.1529e-003 2.4305e-001 2.8694e-001 3.1799e-002 1.0985e-003 7.2862e-005 6.6228e-005 1.9753e-005 1.9420e-006
           7 5.8240e-002 5.2950e-002 1.1036e-003 5.2675e-002 5.9026e-003 4.0391e-002 2.3241e-002 2.7817e-002 4.4993e-002 1.9365e-002 7.6969e-002 1.4811e-002 2.3270e-001 3.2688e-001 1.6212e-002 5.3963e-003 2.3085e-004 1.7128e-007 1.3405e-006
           8 4.1915e-002 5.7010e-002 1.8195e-003 3.5016e-002 2.5036e-002 9.7933e-003 4.5758e-002 4.0468e-006 5.3130e-002 9.1653e-003 4.8198e-002 4.1757e-002 2.6739e-002 2.5569e-001 3.3771e-001 1.1188e-004 6.9135e-003 2.3951e-003 2.3225e-004
           9 2.9854e-002 5.4583e-002 9.6389e-003 1.6572e-002 3.6591e-002 1.3039e-005 3.7178e-002 1.4841e-002 1.7340e-002 4.2823e-002 5.6294e-004 5.9677e-002 1.7238e-002 2.4535e-002 3.3485e-001 2.6845e-001 2.6602e-002 6.8326e-005 5.5176e-005
          10 2.1181e-002 4.8621e-002 1.8212e-002 4.8041e-003 3.5665e-002 6.7416e-003 1.6690e-002 3.1750e-002 7.1783e-005 3.7574e-002 1.6615e-002 1.2890e-002 5.2895e-002 5.2596e-003 7.9769e-003 4.7645e-001 8.5314e-002 6.4822e-002 6.9110e-003
          11 1.5036e-002 4.1334e-002 2.4469e-002 2.8238e-004 2.7229e-002 1.7038e-002 3.0469e-003 3.1861e-002 7.5586e-003 1.3391e-002 3.4402e-002 1.2562e-003 2.6550e-002 3.8999e-002 7.6864e-004 3.7744e-003 5.5591e-001 1.8968e-002 2.2130e-005
          12 1.0709e-002 3.4064e-002 2.7653e-002 6.5298e-004 1.7188e-002 2.3224e-002 1.0790e-004 2.1047e-002 1.9468e-002 6.4028e-004 2.7818e-002 1.6800e-002 1.8727e-003 3.1256e-002 2.7235e-002 8.1224e-004 9.9049e-002 2.1458e-001 3.7472e-002
          13 7.6676e-003 2.7486e-002 2.8162e-002 3.2796e-003 9.0076e-003 2.3904e-002 3.5640e-003 9.5741e-003 2.3849e-002 2.3318e-003 1.2236e-002 2.5650e-002 3.2831e-003 8.7061e-003 2.7472e-002 2.3874e-002 2.7323e-002 2.2641e-001 8.7305e-003
          14 5.5215e-003 2.1847e-002 2.6756e-002 6.2748e-003 3.7364e-003 2.0791e-002 8.3982e-003 2.5283e-003 2.0666e-002 9.1131e-003 2.1953e-003 2.1222e-002 1.3229e-002 3.9069e-005 1.2968e-002 1.9127e-002 4.4646e-002 1.5380e-001 6.6917e-004
          15 3.9951e-003 1.7155e-002 2.4161e-002 8.6071e-003 1.0386e-003 1.6103e-002 1.1767e-002 9.4444e-005 1.4271e-002 1.3883e-002 5.6788e-005 1.1873e-002 1.7723e-002 3.2955e-003 2.3010e-003 1.2606e-002 5.5313e-003 1.8299e-001 1.1758e-002
          16 2.8963e-003 1.3305e-002 2.0931e-002 9.8714e-003 8.5375e-005 1.1432e-002 1.2907e-002 4.3592e-004 8.2163e-003 1.4771e-002 2.1180e-003 4.5258e-003 1.5580e-002 8.4449e-003 6.4678e-005 4.2068e-003 1.1342e-002 2.1457e-002 7.9778e-002
          17 2.0918e-003 1.0154e-002 1.7432e-002 1.0030e-002 5.8419e-005 7.5690e-003 1.2184e-002 1.6934e-003 3.9893e-003 1.2853e-002 4.6763e-003 9.3963e-004 1.0689e-002 1.0541e-002 1.9847e-003 5.0125e-004 3.3721e-003 3.6776e-002 9.6850e-002
          18 1.4875e-003 7.5450e-003 1.3867e-002 9.2111e-003 3.4767e-004 4.7195e-003 1.0290e-002 2.7010e-003 1.6132e-003 9.7654e-003 5.9589e-003 1.2309e-005 6.1537e-003 9.6024e-003 3.9121e-003 5.2710e-005 1.0871e-003 3.5916e-004 1.6882e-001
          19 1.0260e-003 5.3828e-003 1.0414e-002 7.6658e-003 5.8771e-004 2.7950e-003 7.8968e-003 3.0017e-003 5.2922e-004 6.7057e-003 5.7590e-003 1.7606e-004 3.1122e-003 7.2536e-003 4.4298e-003 5.8689e-004 1.5187e-004 2.3537e-003 1.6608e-001
          20 6.3610e-004 3.4185e-003 6.8569e-003 5.4111e-003 5.9727e-004 1.4985e-003 5.2099e-003 2.4852e-003 1.3104e-004 4.0062e-003 4.3375e-003 4.0710e-004 1.3721e-003 4.5475e-003 3.5570e-003 8.7323e-004 8.9802e-008 7.6199e-005 1.9101e-001
          21 3.0593e-004 1.6677e-003 3.4172e-003 2.8070e-003 3.7177e-004 6.4889e-004 2.5852e-003 1.3971e-003 2.4529e-005 1.8561e-003 2.3047e-003 3.2920e-004 5.0191e-004 2.1519e-003 1.9352e-003 6.1384e-004 1.9850e-005 3.8428e-005 1.6173e-001
          22 1.8213e-005 9.9709e-005 2.0559e-004 1.7087e-004 2.3795e-005 3.7330e-005 1.5520e-004 8.6937e-005 9.6795e-007 1.0902e-004 1.4102e-004 2.2388e-005 2.7174e-005 1.2705e-004 1.1902e-004 4.0340e-005 1.9472e-006 1.8975e-006 4.1719e-002
