   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84
           0 9.9523e-001 4.7120e-003 6.1557e-005 1.2944e-006 1.6853e-048 2.3798e-035 6.5243e-045 3.5623e-043 3.8208e-041 4.8953e-039 1.6853e-036 2.1046e-025 2.7173e-035 5.1163e-035 4.1843e-035 1.0982e-032 9.6867e-030 9.3337e-019 1.3723e-028 5.1493e-028 5.0160e-027 8.3106e-026 5.1129e-024 1.1752e-010 1.9482e-023 1.1986e-023 1.3848e-023 2.8459e-025 4.5882e-021 7.1805e-010 2.0507e-019 1.9756e-019 7.6583e-019 5.0655e-018 7.4626e-017 2.4530e-009 1.0106e-014 5.2752e-016 5.7709e-016 1.1640e-015 3.8425e-015 8.1964e-014 6.9886e-011 6.8519e-016 5.4810e-015 4.7137e-014 3.5097e-013 5.3869e-012 6.4622e-010 7.1157e-011 1.3046e-011 1.3070e-011 2.3113e-011 6.3913e-011 2.4269e-010 3.8152e-010 1.6850e-010 7.9694e-011 5.3812e-011 4.5154e-011 4.1840e-011 3.7665e-011 2.7903e-011 1.4552e-011 4.6200e-012 4.2110e-013 4.0674e-013 3.2360e-012 8.5666e-012 1.6602e-011 2.7388e-011 4.0103e-011 5.3108e-011 6.4929e-011 7.4512e-011 8.1107e-011 8.5374e-011 8.8566e-011 9.0707e-011 9.2375e-011 9.3788e-011 9.4113e-011 9.3452e-011 9.0430e-011 8.4713e-011
           1 4.7731e-003 9.8477e-001 1.0225e-002 2.2758e-004 2.4975e-044 7.2947e-032 6.7240e-042 4.3833e-041 1.0236e-039 5.0995e-038 1.3361e-035 1.8298e-024 3.1384e-034 1.6805e-033 2.9694e-032 9.2113e-031 1.2070e-028 6.8756e-018 4.8398e-028 4.9736e-028 5.9337e-028 3.5650e-027 2.9972e-024 1.2916e-010 4.0877e-023 7.7235e-023 4.0758e-022 3.5600e-021 8.5635e-020 4.3255e-009 6.7438e-019 1.4610e-019 7.4061e-020 2.8470e-020 1.0928e-017 9.3321e-010 4.3029e-015 4.3867e-016 8.1590e-016 2.7245e-015 1.6144e-014 8.5378e-013 1.0137e-009 1.3888e-013 4.0678e-014 1.4205e-014 4.4496e-015 1.1270e-012 2.5171e-010 3.4038e-011 9.5674e-012 1.2854e-011 2.8330e-011 9.3320e-011 4.0610e-010 7.0384e-010 3.4663e-010 1.8612e-010 1.4371e-010 1.3928e-010 1.5170e-010 1.6540e-010 1.5654e-010 1.1640e-010 6.9194e-011 3.4993e-011 1.4800e-011 4.1758e-012 1.3387e-013 1.6784e-012 8.8869e-012 2.1565e-011 3.8290e-011 5.6909e-011 7.5244e-011 9.1251e-011 1.0460e-010 1.1630e-010 1.2616e-010 1.3484e-010 1.4267e-010 1.4834e-010 1.5192e-010 1.5102e-010 1.4481e-010
           2 7.5953e-007 1.0517e-002 9.7253e-001 1.6361e-002 1.7508e-042 6.3949e-030 7.0270e-040 7.1157e-039 2.3981e-037 1.3467e-035 2.6920e-033 2.9014e-022 3.4718e-032 9.1632e-032 8.7948e-031 1.8804e-029 2.3262e-027 1.4255e-016 1.2557e-026 2.7245e-026 1.9183e-025 2.6045e-024 1.4211e-022 3.1602e-009 5.1305e-022 3.3034e-022 5.4246e-022 7.1488e-022 3.6786e-021 1.7744e-009 6.2019e-019 6.6380e-019 2.2706e-018 1.1623e-017 1.1534e-016 2.2688e-009 8.4192e-015 1.3788e-016 3.7832e-021 5.7323e-016 1.3247e-014 1.7066e-012 2.4389e-009 6.1921e-013 4.6404e-013 8.0410e-013 2.2873e-012 1.5548e-011 1.0397e-009 8.4397e-011 5.2650e-012 7.5661e-013 3.0878e-013 1.2665e-011 1.3138e-010 3.5482e-010 2.5975e-010 2.0281e-010 2.1667e-010 2.8033e-010 3.9923e-010 5.6414e-010 6.9483e-010 6.8858e-010 5.7506e-010 4.4944e-010 3.5176e-010 2.8126e-010 2.2820e-010 1.8364e-010 1.4151e-010 1.0008e-010 6.2124e-011 3.1805e-011 1.1487e-011 1.5243e-012 5.4742e-013 6.3959e-012 1.7188e-011 3.1490e-011 4.8373e-011 6.6504e-011 8.4892e-011 1.0101e-010 1.1240e-010
           3 1.2301e-008 3.8066e-006 1.7170e-002 9.5896e-001 7.9044e-041 2.5272e-028 2.5710e-038 2.3493e-037 8.1221e-036 5.2397e-034 1.2949e-031 1.5527e-020 2.1195e-030 6.8878e-030 7.4362e-029 1.5522e-027 1.6097e-025 8.8967e-015 6.5569e-025 1.0508e-024 5.8279e-024 7.0572e-023 4.0247e-021 9.6717e-008 1.8188e-020 1.8248e-020 6.5615e-020 4.6057e-019 1.0216e-017 5.2792e-007 8.6605e-017 2.6098e-017 3.7214e-017 9.3089e-017 4.8062e-016 5.3647e-009 1.8121e-014 1.3092e-016 4.5671e-018 2.6377e-016 1.7362e-015 2.5853e-014 1.2859e-011 4.7844e-015 3.8483e-014 1.9392e-013 1.1693e-012 1.5241e-011 1.6246e-009 1.6829e-010 2.5283e-011 1.9803e-011 2.5757e-011 4.8307e-011 1.1500e-010 1.1000e-010 2.0075e-011 6.6868e-013 2.3709e-012 1.4564e-011 4.2376e-011 9.3044e-011 1.5642e-010 1.9763e-010 2.0256e-010 1.8969e-010 1.7511e-010 1.6371e-010 1.5507e-010 1.4669e-010 1.3520e-010 1.1815e-010 9.6160e-011 7.2402e-011 4.9988e-011 3.1143e-011 1.7209e-011 7.9936e-012 2.6168e-012 2.7663e-013 2.1088e-013 1.7925e-012 4.4492e-012 7.5370e-012 1.0349e-011
           4 1.3876e-009 8.3604e-008 1.7401e-005 2.4376e-002 2.8759e-039 1.0574e-026 1.1330e-036 1.0206e-035 3.0080e-034 1.5497e-032 3.1432e-030 3.5478e-019 4.6421e-029 1.5362e-028 1.8712e-027 4.6737e-026 5.8557e-024 3.4614e-013 2.7797e-023 4.8274e-023 2.6348e-022 2.8434e-021 1.3376e-019 2.9046e-006 4.8162e-019 3.9234e-019 1.2291e-018 8.3691e-018 2.0401e-016 1.1873e-005 2.1527e-015 9.0802e-016 2.0321e-015 9.0708e-015 9.9651e-014 2.6984e-006 1.0828e-011 4.8388e-013 4.8744e-013 1.0055e-012 4.0930e-012 1.6672e-010 1.9020e-007 2.4613e-011 8.8720e-012 8.6470e-012 1.6731e-011 9.9818e-011 7.4120e-009 6.7930e-010 8.5167e-011 6.9622e-011 1.1268e-010 3.0200e-010 1.1319e-009 1.7562e-009 7.5343e-010 3.3297e-010 1.9723e-010 1.3103e-010 7.9701e-011 3.0039e-011 4.8612e-013 2.1398e-011 8.6168e-011 1.6831e-010 2.5739e-010 3.5527e-010 4.6547e-010 5.8580e-010 7.0197e-010 7.8805e-010 8.2154e-010 7.9850e-010 7.2708e-010 6.2142e-010 5.0467e-010 3.9320e-010 2.9103e-010 2.0299e-010 1.3017e-010 7.2490e-011 3.1498e-011 7.4729e-012 4.4400e-016
           5 2.4799e-008 6.5289e-010 3.7223e-007 7.6352e-005 5.2287e-039 3.4465e-028 4.5131e-037 6.3438e-035 5.1085e-033 4.3787e-031 1.0722e-028 1.2092e-017 1.4852e-027 3.8394e-027 3.3750e-026 6.3551e-025 6.8954e-023 4.0361e-012 3.3502e-022 6.7950e-022 4.6556e-021 6.4322e-020 3.7919e-018 8.9750e-005 1.6225e-017 1.4507e-017 4.5225e-017 2.7682e-016 5.5709e-015 2.8071e-004 4.6139e-014 1.5160e-014 2.7325e-014 1.0459e-013 1.0649e-012 2.8810e-005 1.1621e-010 5.6182e-012 6.5365e-012 1.6474e-011 8.6006e-011 4.6838e-009 5.7433e-006 9.5550e-010 4.8464e-010 6.6024e-010 1.7063e-009 1.2396e-008 9.8161e-007 9.0657e-008 1.0747e-008 7.6164e-009 1.0328e-008 2.3497e-008 7.8414e-008 1.1445e-007 4.7572e-008 2.1666e-008 1.4622e-008 1.2781e-008 1.2927e-008 1.3454e-008 1.2492e-008 9.3997e-009 5.9082e-009 3.4011e-009 1.8910e-009 1.0105e-009 4.8979e-010 1.8581e-010 3.3426e-011 2.2160e-012 6.3220e-011 1.7912e-010 3.1279e-010 4.3364e-010 5.2790e-010 5.9723e-010 6.4158e-010 6.6701e-010 6.7817e-010 6.7217e-010 6.5297e-010 6.1434e-010 5.5792e-010
           6 5.5969e-009 2.3206e-008 1.1426e-013 1.7986e-006 2.6221e-036 4.2445e-030 3.0369e-034 1.6423e-032 5.8971e-031 1.6328e-029 3.9893e-028 4.1755e-019 4.9681e-027 9.3675e-026 1.6435e-024 3.5637e-023 2.9259e-021 1.3915e-010 7.7585e-021 7.2274e-021 2.4474e-020 2.3431e-019 1.4533e-017 3.8788e-004 8.4727e-017 1.1177e-016 5.0648e-016 4.2859e-015 1.1182e-013 6.3748e-003 1.1179e-012 4.1063e-013 7.6427e-013 2.8009e-012 2.5616e-011 6.0868e-004 2.4000e-009 9.7361e-011 9.4888e-011 2.0354e-010 9.3016e-010 4.5898e-008 5.5297e-005 8.7960e-009 4.3354e-009 5.9045e-009 1.5581e-008 1.1707e-007 9.5261e-006 8.9160e-007 1.0968e-007 8.0226e-008 1.1134e-007 2.5699e-007 8.6381e-007 1.2644e-006 5.2648e-007 2.4029e-007 1.6306e-007 1.4435e-007 1.4947e-007 1.6151e-007 1.5843e-007 1.2889e-007 9.0512e-008 6.0946e-008 4.2261e-008 3.0924e-008 2.3848e-008 1.9096e-008 1.5512e-008 1.2480e-008 9.8131e-009 7.5467e-009 5.6985e-009 4.2456e-009 3.1767e-009 2.4272e-009 1.8954e-009 1.5243e-009 1.2639e-009 1.0704e-009 9.2568e-010 8.0356e-010 6.9432e-010
           7 4.0026e-011 5.7192e-009 2.3529e-008 1.6686e-010 1.0531e-034 1.0319e-031 1.2004e-032 6.3378e-031 2.1762e-029 5.5517e-028 1.0769e-026 2.2138e-020 1.7770e-025 2.4008e-024 2.8844e-023 3.1246e-022 3.6820e-021 3.4934e-012 2.0501e-020 2.1075e-019 2.0762e-018 2.6112e-017 1.0725e-015 2.0151e-002 2.6146e-015 1.1200e-015 1.4891e-015 4.3230e-015 7.4617e-014 5.0289e-003 1.0996e-012 8.2314e-013 3.0574e-012 1.9915e-011 2.8589e-010 9.1353e-003 3.7474e-008 1.9171e-009 2.1460e-009 4.8626e-009 2.1819e-008 9.9453e-007 1.1679e-003 1.6784e-007 7.0457e-008 8.0150e-008 1.7538e-007 1.0958e-006 7.8691e-005 6.9460e-006 7.2599e-007 4.5574e-007 5.5060e-007 1.1263e-006 3.4471e-006 4.7447e-006 1.8657e-006 8.1567e-007 5.4766e-007 4.9877e-007 5.5280e-007 6.6245e-007 7.4221e-007 7.0797e-007 5.9759e-007 4.9375e-007 4.2573e-007 3.8961e-007 3.7556e-007 3.7373e-007 3.7337e-007 3.6407e-007 3.4071e-007 3.0559e-007 2.6319e-007 2.1806e-007 1.7630e-007 1.4103e-007 1.1142e-007 8.7400e-008 6.8037e-008 5.2020e-008 3.9048e-008 2.8317e-008 1.9762e-008
           8 3.7569e-009 6.4279e-011 1.2458e-009 4.7408e-010 6.3013e-032 1.6153e-030 6.1517e-030 2.7751e-028 8.1075e-027 1.7480e-025 2.8604e-024 3.0685e-023 3.8525e-023 4.2781e-022 4.1184e-021 3.4281e-020 2.5372e-019 7.7882e-013 1.7458e-018 1.0719e-017 6.1254e-017 3.3285e-016 1.8651e-015 1.6876e-004 7.2111e-015 3.9250e-014 2.1531e-013 1.4651e-012 2.3834e-011 9.0931e-001 1.1712e-010 1.5602e-011 6.3656e-012 1.4639e-012 5.9055e-013 1.3085e-005 1.8638e-010 3.3663e-010 1.7390e-009 1.0328e-008 9.1913e-008 7.0017e-006 9.0890e-003 1.7492e-006 9.8741e-007 1.3935e-006 3.5285e-006 2.4040e-005 1.7815e-003 1.5848e-004 1.6569e-005 1.0126e-005 1.1674e-005 2.2441e-005 6.4035e-005 8.2534e-005 2.9587e-005 1.1278e-005 6.3284e-006 4.6140e-006 3.9330e-006 3.5113e-006 2.8671e-006 1.9601e-006 1.1737e-006 6.9335e-007 4.4242e-007 3.1835e-007 2.6121e-007 2.4131e-007 2.4293e-007 2.5551e-007 2.7126e-007 2.8582e-007 2.9618e-007 2.9988e-007 2.9903e-007 2.9697e-007 2.9276e-007 2.8772e-007 2.8211e-007 2.7339e-007 2.6214e-007 2.4504e-007 2.2208e-007
           9 9.9696e-010 6.4782e-009 1.0133e-010 2.7401e-009 6.1881e-029 1.6468e-027 5.2265e-027 2.0395e-025 5.1485e-024 9.5630e-023 1.3462e-021 3.9591e-021 1.5550e-020 1.4770e-019 1.2117e-018 8.5639e-018 5.3982e-017 1.2155e-014 3.0229e-016 1.5426e-015 7.1728e-015 3.0768e-014 1.2190e-013 1.9555e-004 4.7257e-013 1.6691e-012 5.6574e-012 1.8526e-011 5.9830e-011 1.7017e-004 1.8202e-010 5.9778e-010 2.0724e-009 8.5624e-009 6.3400e-008 9.7706e-001 3.5131e-006 5.6515e-008 1.0383e-008 1.0522e-013 3.1488e-008 2.0181e-006 2.1082e-003 9.1919e-008 3.7171e-008 6.1815e-007 4.6558e-006 6.2662e-005 6.5852e-003 6.7525e-004 9.8972e-005 7.8113e-005 1.0920e-004 2.4321e-004 7.7443e-004 1.0777e-003 4.2088e-004 1.7761e-004 1.1130e-004 9.1358e-005 8.8176e-005 8.9218e-005 8.2147e-005 6.2649e-005 4.1015e-005 2.5523e-005 1.6173e-005 1.0670e-005 7.3023e-006 5.0987e-006 3.5445e-006 2.3956e-006 1.5559e-006 9.7454e-007 5.9403e-007 3.5803e-007 2.2103e-007 1.4518e-007 1.0386e-007 8.2846e-008 7.3902e-008 7.2112e-008 7.5280e-008 8.0712e-008 8.6240e-008
