   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
           0 8.9436e-001 8.2811e-013 4.5760e-010 1.0368e-001 1.8622e-009 6.4082e-009 1.9409e-003 1.3503e-007 1.5582e-007 2.1076e-006 8.7527e-008 6.7025e-007 1.3225e-006 4.3409e-008 8.6526e-009 1.5004e-008 4.8655e-010 2.0996e-009 1.8722e-009 3.2405e-012 8.4507e-010 6.5892e-010 2.0389e-011 1.4672e-009 3.0591e-009 2.3661e-009 5.9571e-010 2.2933e-011 7.3399e-010 1.3060e-009 1.0261e-009 3.7960e-010 2.3580e-011 4.1020e-011 1.2692e-010 8.8138e-011 6.2512e-012 4.3933e-011 2.3084e-010 4.4456e-010 5.3920e-010 4.6327e-010 2.7901e-010 9.8783e-011 6.2398e-012 2.0038e-011 1.0313e-010 1.9711e-010 2.5405e-010 2.4888e-010 1.7299e-010
           1 9.4235e-002 4.3661e-010 1.6679e-008 7.0826e-001 2.3842e-008 2.4658e-006 1.9293e-001 4.1637e-006 4.7445e-006 4.2109e-003 7.2160e-005 8.1533e-005 8.1605e-005 3.0224e-012 6.2294e-006 6.2743e-006 1.4961e-006 6.5735e-008 3.4096e-008 6.0114e-008 1.7293e-008 5.9236e-012 5.5227e-009 8.0151e-009 3.9280e-009 4.0218e-010 3.0280e-010 1.4659e-009 1.6564e-009 8.8029e-010 1.7637e-010 9.7472e-013 7.3235e-011 7.0963e-011 6.0541e-012 3.5847e-011 1.8391e-010 3.2095e-010 3.2871e-010 2.1345e-010 7.4270e-011 3.0027e-012 2.1134e-011 8.7779e-011 1.4698e-010 1.6608e-010 1.4534e-010 1.0362e-010 6.1595e-011 3.0612e-011 1.2097e-011
           2 1.0072e-002 1.3984e-008 2.0830e-007 1.5613e-001 2.4993e-006 3.0276e-005 5.6473e-001 1.3554e-005 1.1541e-003 2.6123e-001 1.6415e-003 1.1162e-006 2.1352e-003 1.5457e-003 9.6514e-004 2.8086e-004 4.8828e-006 1.6176e-005 2.1521e-005 7.3686e-006 4.3430e-007 2.4063e-007 5.4099e-007 2.2002e-007 9.2800e-009 2.2204e-008 4.5662e-008 2.2883e-008 2.0274e-009 1.7226e-009 6.6019e-009 5.9949e-009 2.3454e-009 2.0152e-010 1.3691e-010 5.7934e-010 5.8870e-010 2.8658e-010 5.0575e-011 2.2081e-012 4.9855e-011 8.8631e-011 8.6759e-011 6.1885e-011 3.6405e-011 1.9675e-011 1.1067e-011 7.1867e-012 5.4423e-012 4.2915e-012 2.7937e-012
           3 1.1558e-003 4.6208e-007 4.9506e-006 2.6731e-002 2.8900e-005 1.2045e-004 1.8196e-001 8.8737e-004 6.9134e-003 4.8867e-001 3.5940e-004 4.9779e-002 2.0260e-001 3.1593e-002 3.1289e-003 5.8533e-004 2.8094e-003 1.9738e-003 5.5384e-004 2.1479e-005 2.7426e-005 5.0688e-005 2.3149e-005 2.6450e-006 3.5375e-007 2.0337e-006 1.5285e-006 3.6608e-007 8.7055e-011 1.4292e-007 2.2110e-007 1.3426e-007 3.1602e-008 1.9584e-011 1.6488e-008 3.2452e-008 2.9273e-008 1.5438e-008 4.0078e-009 4.1875e-011 1.2766e-009 3.5625e-009 4.4522e-009 3.7234e-009 2.2602e-009 9.5518e-010 2.1553e-010 1.3498e-012 7.0860e-011 1.8359e-010 1.8759e-010
           4 1.5198e-004 8.4308e-006 7.1283e-005 4.1707e-003 3.3388e-004 1.1829e-003 4.7155e-002 3.0902e-003 6.3418e-003 1.4536e-001 5.0004e-002 2.0864e-001 3.0861e-001 7.3917e-005 6.8810e-002 1.0377e-001 4.0523e-002 4.7966e-003 3.8326e-004 3.0116e-003 2.4793e-003 7.9555e-004 5.1192e-005 3.0997e-005 8.8662e-005 5.7129e-005 1.3191e-005 2.1304e-008 3.3161e-006 5.1392e-006 2.9635e-006 6.3852e-007 1.9739e-009 3.3648e-007 5.9229e-007 4.7568e-007 2.1032e-007 3.4662e-008 2.5658e-009 4.5218e-008 8.5071e-008 8.9644e-008 6.6071e-008 3.5205e-008 1.2213e-008 1.5771e-009 2.7586e-010 3.0424e-009 5.7794e-009 6.5141e-009 4.7714e-009
           5 2.3333e-005 1.1473e-004 7.5821e-004 6.9731e-004 2.7439e-003 7.2658e-003 8.5374e-003 1.6348e-002 3.4535e-002 7.2065e-002 3.3754e-002 1.5900e-002 1.1439e-001 2.4692e-001 2.3195e-001 5.3769e-002 6.9549e-003 5.8329e-002 6.1095e-002 2.4484e-002 2.5292e-003 5.1360e-004 2.7169e-003 2.3539e-003 8.6397e-004 8.5232e-005 1.9690e-005 1.0165e-004 9.2861e-005 3.7433e-005 4.3535e-006 9.1496e-007 6.3085e-006 7.5404e-006 4.5287e-006 1.3383e-006 4.5465e-008 2.3522e-007 7.4837e-007 9.1166e-007 6.9522e-007 3.5352e-007 1.0183e-007 4.4532e-009 1.6676e-008 6.5718e-008 1.0171e-007 1.0837e-007 9.1897e-008 6.4696e-008 3.5254e-008
           6 3.5988e-052 4.3839e-037 5.8666e-034 1.3351e-046 6.5526e-032 7.2096e-030 1.3297e-037 5.1573e-028 2.6438e-026 1.9876e-028 6.6813e-025 1.7495e-023 2.0296e-023 7.2136e-022 7.8486e-021 5.2749e-020 5.5378e-019 6.4402e-018 4.6606e-017 6.3213e-016 4.4640e-015 3.6024e-014 3.1906e-013 2.4620e-012 1.8503e-011 1.2863e-010 8.9367e-010 5.1874e-009 3.1291e-008 1.6128e-007 7.6926e-007 3.5688e-006 1.5793e-005 6.0671e-005 2.2239e-004 7.3994e-004 2.2717e-003 6.2362e-003 1.5558e-002 3.4681e-002 6.8110e-002 1.1652e-001 1.6994e-001 2.0407e-001 1.9191e-001 1.2937e-001 5.1934e-002 7.3584e-003 4.2981e-005 2.9574e-004 3.8188e-005
           7 1.8043e-052 5.1538e-035 6.1049e-032 2.2660e-044 6.4349e-030 6.5755e-028 1.5230e-035 4.3798e-026 2.0911e-024 1.6873e-026 5.0368e-023 1.2136e-021 1.4200e-021 4.6301e-020 4.7586e-019 3.0873e-018 3.0635e-017 3.3152e-016 2.3093e-015 2.8197e-014 1.9106e-013 1.4459e-012 1.1758e-011 8.3899e-011 5.7818e-010 3.6800e-009 2.2985e-008 1.2230e-007 6.5493e-007 3.0496e-006 1.3087e-005 5.3389e-005 2.0281e-004 6.7813e-004 2.0939e-003 5.7814e-003 1.4237e-002 3.0657e-002 5.6797e-002 8.7421e-002 1.0582e-001 8.9950e-002 3.8576e-002 1.3567e-004 4.7589e-002 1.7039e-001 2.2184e-001 1.1532e-001 9.1443e-003 2.9977e-003 4.9781e-005
           8 1.1011e-050 2.8185e-033 2.9581e-030 1.7547e-042 2.9434e-028 2.7953e-026 8.1054e-034 1.7349e-024 7.7193e-023 6.6745e-025 1.7724e-021 3.9340e-020 4.6389e-020 1.3897e-018 1.3498e-017 8.4521e-017 7.9303e-016 7.9926e-015 5.3553e-014 5.9014e-013 3.8320e-012 2.7194e-011 2.0323e-010 1.3411e-009 8.4790e-009 4.9417e-008 2.7801e-007 1.3538e-006 6.4510e-006 2.7067e-005 1.0405e-004 3.7225e-004 1.2141e-003 3.4956e-003 9.0154e-003 2.0328e-002 3.9330e-002 6.3481e-002 8.1043e-002 7.4069e-002 3.7443e-002 2.2382e-003 1.7204e-002 6.9228e-002 6.2843e-002 1.5466e-003 8.6696e-002 2.6639e-001 1.4894e-001 5.8994e-005 8.5783e-003
           9 1.1024e-048 9.7599e-032 9.0873e-029 8.5689e-041 8.5398e-027 7.5440e-025 2.7285e-032 4.3664e-023 1.8123e-021 1.6759e-023 3.9677e-020 8.1227e-019 9.6443e-019 2.6590e-017 2.4424e-016 1.4760e-015 1.3102e-014 1.2312e-013 7.9305e-013 7.9098e-012 4.9164e-011 3.2716e-010 2.2497e-009 1.3735e-008 7.9728e-008 4.2567e-007 2.1614e-006 9.6165e-006 4.0871e-005 1.5411e-004 5.2825e-004 1.6518e-003 4.6164e-003 1.1302e-002 2.4021e-002 4.3144e-002 6.2990e-002 7.0032e-002 5.1152e-002 1.5264e-002 8.1625e-004 3.1380e-002 5.8117e-002 2.4023e-002 3.5512e-003 5.9356e-002 2.8754e-002 4.8685e-002 3.1336e-001 9.4448e-002 3.0984e-002
