   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26
           0 8.6928e-001 1.2615e-001 4.5122e-003 4.7280e-005 1.2719e-007 1.6884e-009 3.1119e-011 4.6271e-009 1.8077e-009 2.9985e-011 1.4766e-012 1.9209e-009 1.4630e-009 1.7843e-011 1.5500e-010 8.1464e-011 8.4559e-012 9.5866e-012 5.4735e-011 1.2196e-010 1.3690e-010 9.5160e-011 4.7887e-011 2.8110e-011 2.2832e-011 1.6660e-011 1.0921e-011
           1 1.1506e-001 6.3369e-001 2.3653e-001 1.4499e-002 2.2689e-004 9.1629e-007 7.3308e-009 2.9732e-009 1.2434e-008 2.6628e-008 1.3521e-010 8.8650e-010 3.4388e-009 2.6038e-009 4.0979e-010 2.6936e-009 1.1221e-009 3.2467e-011 5.1740e-011 4.1516e-011 2.7004e-012 1.7429e-012 3.5663e-012 3.1998e-012 3.3385e-012 2.8871e-012 2.1089e-012
           2 1.3601e-002 1.9524e-001 4.3221e-001 3.2742e-001 3.0831e-002 6.8435e-004 3.8489e-006 1.0747e-008 1.3569e-009 1.6009e-009 2.2704e-008 4.9208e-010 1.1555e-013 2.3858e-009 1.8996e-011 2.6819e-009 1.7340e-009 1.3969e-010 1.6354e-011 1.9347e-011 1.5580e-015 6.7997e-012 7.6273e-012 5.9625e-012 5.7826e-012 4.7741e-012 3.3898e-012
           3 1.7545e-003 3.6867e-002 2.4171e-001 2.6818e-001 3.9558e-001 5.4215e-002 1.6886e-003 1.4218e-005 1.7424e-007 3.1031e-010 2.6624e-010 5.4564e-009 1.9878e-009 3.5282e-010 5.1989e-010 1.0002e-009 1.8610e-009 3.9514e-010 3.5943e-012 1.7999e-012 1.7574e-012 9.2407e-012 8.2722e-012 6.0706e-012 5.6838e-012 4.5862e-012 3.2106e-012
           4 2.4976e-004 6.5230e-003 6.5320e-002 2.5653e-001 1.4267e-001 4.3912e-001 8.5787e-002 3.7308e-003 5.0895e-005 9.4337e-007 2.3100e-008 1.6215e-009 7.5718e-009 1.4351e-008 2.0289e-010 3.1760e-009 5.2174e-010 2.9298e-009 8.0760e-010 6.2233e-014 1.0786e-010 1.0059e-010 4.9157e-011 2.7514e-011 2.1339e-011 1.4929e-011 9.4750e-012
           5 4.3139e-005 1.2028e-003 1.5070e-002 9.4514e-002 2.4388e-001 5.5892e-002 4.5429e-001 1.2711e-001 7.8193e-003 1.8234e-004 6.1514e-006 4.4327e-007 9.3656e-009 5.8106e-009 2.5273e-008 7.9558e-010 2.2185e-009 7.8336e-010 1.5723e-009 1.6556e-010 3.8026e-011 1.1127e-010 7.3621e-011 4.6697e-011 3.9406e-011 2.9358e-011 1.9448e-011
           6 8.0490e-006 2.4695e-004 3.4477e-003 2.7591e-002 1.1976e-001 2.0773e-001 8.7256e-003 4.3522e-001 1.8005e-001 1.6440e-002 7.1294e-004 4.7287e-005 4.6758e-006 1.2584e-007 3.8354e-008 4.8953e-008 8.2856e-010 1.7510e-009 1.5256e-009 2.0760e-009 3.4104e-010 1.3963e-012 1.2577e-011 1.7200e-011 2.1003e-011 1.9645e-011 1.4928e-011
           7 1.4907e-006 5.5017e-005 8.5134e-004 7.7072e-003 4.3364e-002 1.3518e-001 1.5184e-001 2.8543e-003 3.7101e-001 2.4650e-001 3.6918e-002 3.2760e-003 3.9010e-004 4.2625e-005 8.3202e-007 1.6099e-007 5.4887e-009 8.2538e-009 4.1278e-009 3.9496e-010 2.2487e-011 9.1572e-011 5.7937e-011 3.5433e-011 2.9011e-011 2.1076e-011 1.3708e-011
           8 3.4463e-007 1.3532e-005 2.2672e-004 2.2263e-003 1.4410e-002 5.9552e-002 1.3223e-001 8.1301e-002 4.2731e-002 2.4061e-001 3.1570e-001 9.0452e-002 1.7021e-002 3.1845e-003 3.5500e-004 2.6914e-006 2.0737e-006 2.0462e-010 4.1907e-011 1.5820e-008 2.9716e-008 1.6876e-008 6.6322e-009 3.3304e-009 2.3833e-009 1.5640e-009 9.4815e-010
           9 1.1542e-007 4.0243e-006 6.8041e-005 7.0880e-004 4.9843e-003 2.3827e-002 7.1665e-002 1.0339e-001 1.6339e-002 1.2191e-001 6.1391e-002 3.0677e-001 1.9621e-001 7.2251e-002 1.8501e-002 1.9322e-003 8.0580e-007 9.9723e-006 1.2815e-006 6.8274e-008 5.1018e-009 1.7286e-008 1.1120e-008 6.9532e-009 5.8153e-009 4.3077e-009 2.8442e-009
          10 5.2167e-008 1.6538e-006 2.7402e-005 2.9370e-004 2.1699e-003 1.1343e-002 4.0202e-002 8.3428e-002 6.1712e-002 4.9606e-003 1.7221e-001 6.7828e-003 1.5039e-001 2.5509e-001 1.5919e-001 4.8322e-002 3.8005e-003 6.0365e-005 1.5047e-005 7.6778e-006 2.3293e-006 5.9145e-007 1.5726e-007 6.5084e-008 4.0376e-008 2.3643e-008 1.3209e-008
          11 2.2886e-008 7.7530e-007 1.2818e-005 1.3756e-004 1.0481e-003 5.8645e-003 2.3266e-002 6.0301e-002 7.9620e-002 1.5648e-002 6.8347e-002 9.6945e-002 1.0266e-001 2.0816e-002 2.1488e-001 2.2839e-001 7.8385e-002 3.1321e-003 5.5945e-004 5.5971e-006 3.4314e-006 4.1947e-006 2.1920e-006 1.2670e-006 1.0071e-006 7.1894e-007 4.6309e-007
          12 7.7400e-009 3.6163e-007 6.1886e-006 6.5560e-005 5.0962e-004 2.9941e-003 1.2919e-002 3.8866e-002 7.0628e-002 4.9038e-002 2.1701e-003 1.2866e-001 5.9909e-003 1.4090e-001 3.4706e-003 1.5144e-001 2.9016e-001 1.0021e-001 3.9467e-004 1.2045e-003 2.6051e-004 4.7900e-005 1.0483e-005 3.8891e-006 2.2077e-006 1.1968e-006 6.3006e-007
          13 1.9646e-009 1.7087e-007 3.0694e-006 3.2322e-005 2.5576e-004 1.5502e-003 7.1284e-003 2.3848e-002 5.3005e-002 6.1540e-002 1.1081e-002 4.7052e-002 9.1807e-002 2.1423e-002 8.8354e-002 3.6364e-002 1.0121e-001 3.5183e-001 9.9211e-002 2.6180e-003 2.5988e-004 3.5190e-004 1.6778e-004 9.1862e-005 7.0102e-005 4.8467e-005 3.0526e-005
          14 4.4802e-010 8.4898e-008 1.5486e-006 1.6532e-005 1.3331e-004 8.2428e-004 3.9703e-003 1.4359e-002 3.6607e-002 5.6603e-002 3.3081e-002 2.8399e-003 9.3813e-002 1.6182e-002 7.1636e-002 2.5543e-002 6.2987e-002 7.7885e-002 4.2609e-001 5.6784e-002 1.6531e-002 2.3388e-003 3.8771e-004 1.1723e-004 5.4577e-005 2.4196e-005 1.0661e-005
          15 1.9116e-010 4.5898e-008 7.9230e-007 8.7157e-006 7.1531e-005 4.4947e-004 2.2357e-003 8.5581e-003 2.4061e-002 4.4684e-002 4.2350e-002 3.9144e-003 4.0912e-002 6.6281e-002 4.5484e-003 7.3256e-002 5.5939e-004 6.4422e-002 8.9512e-002 4.9329e-001 1.9550e-003 1.1709e-002 5.7238e-003 3.0607e-003 2.2757e-003 1.5358e-003 9.4948e-004
          16 2.3543e-010 2.7588e-008 4.2022e-007 4.7727e-006 3.9669e-005 2.5326e-004 1.2878e-003 5.1339e-003 1.5487e-002 3.2603e-002 4.0314e-002 1.5410e-002 7.8554e-003 6.6932e-002 1.0493e-002 3.7057e-002 3.5741e-002 5.6679e-003 4.5591e-002 1.6347e-001 4.3428e-001 4.8607e-002 4.8783e-003 8.7930e-004 1.9640e-004 2.2898e-005 7.8342e-008
          17 3.7884e-010 1.7874e-008 2.3239e-007 2.6921e-006 2.2519e-005 1.4601e-004 7.5426e-004 3.0947e-003 9.8148e-003 2.2561e-002 3.2940e-002 2.1402e-002 2.9940e-005 4.0088e-002 3.3369e-002 4.4425e-003 4.3902e-002 6.0328e-003 1.5071e-002 1.6395e-002 3.5928e-001 1.3259e-001 7.3757e-002 3.7355e-002 2.6071e-002 1.6577e-002 9.7844e-003
          18 4.9913e-010 1.1892e-008 1.3333e-007 1.5486e-006 1.2975e-005 8.5244e-005 4.4554e-004 1.8657e-003 6.1255e-003 1.4964e-002 2.4369e-002 2.0794e-002 1.7321e-003 1.7806e-002 3.7155e-002 7.3344e-004 2.4836e-002 1.9973e-002 2.1963e-004 1.6261e-002 1.7901e-003 5.5827e-001 1.5125e-002 7.1469e-006 2.2245e-003 3.9185e-003 3.6867e-003
          19 5.0422e-010 7.6861e-009 7.6935e-008 8.8494e-007 7.4087e-006 4.9146e-005 2.5912e-004 1.1006e-003 3.6983e-003 9.4109e-003 1.6466e-002 1.6413e-002 3.6351e-003 6.4909e-003 2.7961e-002 5.2775e-003 9.2427e-003 1.9924e-002 2.1396e-003 3.7640e-003 1.3772e-002 1.2129e-001 2.9501e-001 1.3209e-001 7.1632e-002 3.5086e-002 1.6681e-002
          20 4.1935e-010 4.8599e-009 4.5112e-008 5.1175e-007 4.2786e-006 2.8562e-005 1.5152e-004 6.4970e-004 2.2156e-003 5.7865e-003 1.0596e-002 1.1567e-002 3.8288e-003 2.2062e-003 1.7899e-002 7.0266e-003 2.7631e-003 1.3836e-002 4.3137e-003 3.6612e-004 4.3239e-003 2.7325e-002 4.1831e-001 2.5120e-003 3.9504e-002 4.5160e-002 3.2783e-002
