   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 1.6636e-003 9.9341e-001 2.2889e-003 2.5728e-003 5.0572e-005 8.0273e-006 3.4008e-007 1.8909e-006 3.0440e-007 7.0060e-008 2.3673e-007 1.0580e-007 1.2085e-008 1.2018e-010
           1 1.6710e-002 3.9591e-003 2.7100e-001 6.9548e-001 1.2080e-002 2.3742e-004 2.2767e-004 2.1645e-004 2.8152e-006 3.5176e-005 2.9245e-005 4.2022e-006 1.3822e-007 1.3087e-006
           2 1.5225e-001 1.7029e-004 1.9229e-001 5.6926e-002 4.5591e-001 1.3888e-001 9.8942e-007 2.1663e-003 2.6178e-005 7.3939e-004 2.9530e-004 3.7524e-006 3.5349e-005 4.6145e-005
           3 2.1898e-001 3.8221e-004 3.8169e-002 5.6085e-002 2.2712e-002 3.9350e-001 2.3540e-001 3.2455e-002 3.8748e-005 1.3706e-003 1.3979e-004 7.8459e-005 1.9783e-004 1.1736e-004
           4 2.8733e-001 5.9862e-004 1.3144e-003 5.9330e-003 7.5005e-002 2.2148e-004 2.0741e-001 3.0122e-001 1.0770e-001 1.1156e-002 2.2298e-005 8.7128e-004 4.4347e-004 8.7964e-005
           5 2.3189e-001 8.3969e-004 9.0330e-002 9.7430e-003 2.7168e-002 5.0947e-002 1.4214e-002 8.2413e-002 2.4188e-001 1.7715e-001 6.0439e-002 1.0158e-002 5.5329e-004 1.7536e-005
           6 8.4024e-002 5.4876e-004 2.2011e-001 6.4644e-002 1.0577e-002 2.5915e-002 3.3867e-002 3.3625e-002 1.5377e-002 1.3937e-001 1.7824e-001 1.1260e-001 4.8188e-002 1.5367e-002
           7 6.2320e-003 9.9756e-005 1.5917e-001 8.1204e-002 1.5018e-001 1.8047e-002 3.6321e-002 1.6843e-002 4.3592e-002 1.4164e-004 4.6863e-002 1.0638e-001 1.0095e-001 5.6927e-002
           8 5.7114e-004 1.9049e-007 2.4589e-002 2.6449e-002 1.9718e-001 1.8062e-001 1.9278e-002 4.2625e-002 5.7015e-003 4.1370e-002 1.1987e-002 2.9946e-003 2.6557e-002 3.1183e-002
           9 1.3707e-004 2.5472e-006 2.6575e-004 2.7918e-004 4.8080e-002 1.7010e-001 2.3839e-001 1.6945e-002 5.1004e-002 1.6909e-004 2.7983e-002 2.4284e-002 4.8120e-003 5.1524e-007
          10 1.2089e-004 2.9676e-007 3.6863e-004 4.4085e-004 2.1326e-005 2.0125e-002 1.9949e-001 2.6495e-001 1.2140e-002 5.7900e-002 2.8377e-003 1.0259e-002 1.9747e-002 1.1468e-002
          11 1.3154e-007 7.4179e-009 2.1368e-004 4.1204e-005 5.3884e-004 9.8104e-004 1.3338e-002 1.9687e-001 3.0081e-001 3.6428e-003 5.9733e-002 1.4495e-002 9.7170e-005 3.6856e-003
          12 2.0211e-005 2.1615e-007 6.7826e-007 1.9332e-005 3.4295e-004 2.5397e-006 1.4376e-003 7.8092e-003 2.1372e-001 3.1135e-001 4.4059e-004 4.8179e-002 2.9543e-002 6.3368e-003
          13 9.0989e-006 5.4373e-008 3.2862e-005 3.3953e-005 7.7556e-006 2.5132e-004 2.3511e-004 8.5656e-004 6.5561e-003 2.4407e-001 2.9063e-001 2.0103e-002 1.7328e-002 2.3274e-002
