   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97
           0 9.9877e-001 4.2124e-004 6.9933e-004 1.0141e-004 8.4844e-006 2.1449e-051 1.0222e-048 2.0067e-045 1.7897e-035 4.5456e-045 2.8822e-046 2.5955e-042 8.6350e-040 5.4464e-036 2.5665e-026 2.7254e-036 2.3662e-035 4.2701e-034 1.5008e-032 5.4105e-029 8.0570e-021 1.5911e-030 2.9612e-030 6.0282e-030 1.0231e-029 2.9348e-025 9.5056e-016 1.0687e-025 5.2176e-025 5.0786e-024 9.3482e-023 1.6083e-020 2.2642e-010 1.1004e-020 1.6654e-020 6.6788e-020 5.2185e-019 1.7399e-017 3.7396e-008 4.6597e-017 2.4343e-017 4.4172e-017 1.4423e-016 1.1081e-015 2.7846e-009 1.6267e-014 4.2538e-016 3.7004e-017 3.7783e-015 7.5324e-014 1.3096e-011 5.0310e-009 3.0739e-012 2.7659e-012 5.9303e-012 2.2451e-011 2.2464e-010 1.3319e-008 1.7911e-009 3.0542e-010 2.6159e-010 4.0444e-010 9.8668e-010 3.1999e-009 4.7261e-009 2.2735e-009 1.1292e-009 7.8916e-010 6.9981e-010 7.0877e-010 7.2888e-010 6.6090e-010 4.7916e-010 2.8235e-010 1.4461e-010 6.4586e-011 2.1631e-011 2.4642e-012 2.0483e-012 1.9853e-011 5.5665e-011 1.0560e-010 1.6167e-010 2.1679e-010 2.6886e-010 3.1808e-010 3.6391e-010 4.0838e-010 4.5440e-010 4.9893e-010 5.4021e-010 5.7725e-010 6.0328e-010 6.1858e-010 6.2072e-010 6.0849e-010 5.8204e-010 5.3581e-010
           1 2.1018e-004 9.5385e-001 2.1973e-002 2.0283e-002 3.4758e-003 1.6634e-049 3.0343e-047 1.3365e-045 7.6270e-036 4.3349e-043 3.0816e-041 2.4277e-039 2.8797e-037 1.0422e-033 4.6963e-024 3.4589e-034 2.0708e-033 2.5005e-032 5.1425e-031 7.0451e-028 9.6671e-020 7.8104e-032 1.2160e-028 5.0016e-027 2.4575e-025 3.6286e-022 1.0449e-012 5.7178e-023 1.7311e-022 1.1875e-021 1.6194e-020 2.0906e-018 2.7463e-008 1.0595e-018 1.1452e-018 3.0657e-018 1.4137e-017 2.1611e-016 2.7221e-007 1.2796e-016 6.6391e-018 4.6246e-016 6.9373e-015 1.7943e-013 1.1793e-006 9.4917e-012 1.6625e-012 2.8144e-012 9.2676e-012 6.0998e-011 5.3772e-009 1.8584e-006 7.6314e-010 4.5521e-010 6.8178e-010 1.8591e-009 1.3643e-008 6.5564e-007 7.8713e-008 9.8974e-009 6.1223e-009 6.6607e-009 1.1038e-008 2.3797e-008 2.3626e-008 6.3536e-009 1.1095e-009 4.6619e-011 2.3162e-010 1.5658e-009 4.6510e-009 9.3473e-009 1.3617e-008 1.5948e-008 1.7109e-008 1.8274e-008 2.0019e-008 2.2509e-008 2.5660e-008 2.9099e-008 3.2088e-008 3.3773e-008 3.3776e-008 3.2517e-008 3.0757e-008 2.8924e-008 2.7124e-008 2.5558e-008 2.4326e-008 2.3186e-008 2.2062e-008 2.0923e-008 1.9564e-008 1.8070e-008 1.6421e-008 1.4647e-008 1.2801e-008 1.0820e-008
           2 9.8617e-004 4.2115e-002 6.9826e-001 1.8009e-001 7.3176e-002 3.6849e-049 6.6648e-047 2.6495e-042 3.6569e-032 4.5410e-041 1.1543e-039 5.2252e-038 4.0020e-036 9.3964e-033 4.0452e-023 1.8551e-033 4.9850e-033 7.3409e-033 6.8875e-031 2.2103e-026 3.5762e-018 2.5487e-027 1.7948e-026 2.4902e-025 6.8293e-024 6.6532e-021 1.8458e-011 7.3982e-022 1.6151e-021 7.9046e-021 7.3452e-020 5.8313e-018 6.6463e-008 1.4337e-018 3.5134e-019 2.0872e-019 3.2950e-017 3.5095e-015 1.1034e-005 2.0267e-014 1.9619e-014 6.2506e-014 3.6285e-013 5.4139e-012 2.6157e-005 1.9428e-010 2.5075e-011 3.2760e-011 8.5466e-011 4.5161e-010 3.2065e-008 1.0629e-005 3.6405e-009 1.7077e-009 1.9485e-009 3.8338e-009 1.8498e-008 6.0394e-007 5.5696e-008 2.3828e-009 1.8436e-011 1.6892e-009 1.7192e-008 1.1683e-007 2.6947e-007 1.9718e-007 1.4901e-007 1.5344e-007 1.9537e-007 2.7991e-007 4.0512e-007 5.2075e-007 5.5037e-007 5.0075e-007 4.3605e-007 3.9026e-007 3.6688e-007 3.6033e-007 3.6358e-007 3.6843e-007 3.6544e-007 3.4749e-007 3.1479e-007 2.7479e-007 2.3555e-007 2.0029e-007 1.6926e-007 1.4308e-007 1.2143e-007 1.0239e-007 8.5359e-008 7.0038e-008 5.5760e-008 4.2966e-008 3.1705e-008 2.2167e-008 1.4482e-008 8.6049e-009
           3 2.2059e-005 2.4262e-003 2.7327e-001 4.9874e-001 1.7565e-001 5.3438e-048 9.0390e-045 4.4659e-041 4.9393e-031 3.3166e-040 4.3602e-039 9.7234e-038 2.6515e-036 3.2219e-034 5.1861e-025 9.3367e-034 3.2112e-032 1.1614e-030 6.8006e-029 3.9181e-025 5.9881e-017 1.9421e-026 7.4013e-026 5.9770e-025 9.4410e-024 4.8174e-021 1.2391e-011 2.1426e-022 6.9402e-023 2.5708e-022 3.5280e-020 1.2900e-017 2.0507e-007 1.3585e-017 2.7417e-017 1.3567e-016 1.2502e-015 4.7914e-014 1.0927e-004 1.4586e-013 8.6854e-014 1.8311e-013 7.2596e-013 7.4198e-012 2.6413e-005 1.7818e-010 1.4542e-011 1.0723e-011 1.2397e-011 1.4522e-011 5.7881e-011 8.2607e-008 3.2544e-010 6.3760e-010 2.0089e-009 9.6008e-009 1.1243e-007 7.2456e-006 1.0134e-006 1.8903e-007 1.7496e-007 2.8993e-007 7.5414e-007 2.5895e-006 4.0092e-006 2.0403e-006 1.0884e-006 8.2615e-007 8.0508e-007 9.0845e-007 1.0581e-006 1.1106e-006 9.6342e-007 7.1701e-007 5.0642e-007 3.6348e-007 2.7002e-007 2.0538e-007 1.5599e-007 1.1415e-007 7.6834e-008 4.4888e-008 2.0967e-008 6.4579e-009 4.4387e-010 1.0857e-009 6.7426e-009 1.6189e-008 2.8817e-008 4.4056e-008 6.1311e-008 8.0105e-008 9.8976e-008 1.1717e-007 1.3344e-007 1.4654e-007 1.5540e-007 1.5709e-007
           4 1.4968e-005 1.1029e-003 9.3344e-004 2.7574e-001 4.6094e-001 1.4694e-046 1.0041e-043 2.4410e-040 2.2806e-030 7.3991e-040 1.3318e-039 5.8232e-038 3.3662e-035 2.1667e-031 1.0149e-021 9.8337e-032 7.2964e-031 1.0716e-029 2.8802e-028 7.1053e-025 1.0311e-016 1.0749e-026 2.0595e-027 1.2479e-025 1.4438e-023 2.8049e-020 8.2127e-011 4.9799e-021 1.5958e-020 1.1256e-019 1.5572e-018 2.0301e-016 2.6732e-006 1.0412e-016 1.1491e-016 3.2029e-016 1.6025e-015 2.9460e-014 4.4073e-005 3.1284e-014 1.8938e-015 6.0118e-015 2.1574e-013 7.0599e-012 5.0529e-005 4.1406e-010 7.6577e-011 1.3384e-010 4.4985e-010 3.0045e-009 2.6805e-007 9.2840e-005 3.8476e-008 2.3231e-008 3.5288e-008 9.7885e-008 7.3358e-007 3.5876e-005 4.3535e-006 5.6598e-007 3.6578e-007 4.2156e-007 7.5429e-007 1.7921e-006 1.9889e-006 6.5025e-007 1.7887e-007 4.8605e-008 5.0295e-009 6.6339e-009 6.7193e-008 1.9922e-007 3.5511e-007 4.7311e-007 5.5614e-007 6.3634e-007 7.3579e-007 8.6419e-007 1.0215e-006 1.1945e-006 1.3522e-006 1.4560e-006 1.4853e-006 1.4547e-006 1.3966e-006 1.3303e-006 1.2610e-006 1.1987e-006 1.1488e-006 1.1005e-006 1.0505e-006 9.9772e-007 9.3257e-007 8.5948e-007 7.7792e-007 6.8982e-007 5.9826e-007 5.0094e-007
           5 2.5866e-007 2.3398e-005 4.2896e-003 2.0554e-002 2.4643e-001 2.0452e-045 7.3239e-043 7.2129e-040 4.8986e-030 4.3574e-041 4.0906e-038 4.8934e-036 5.4892e-034 1.5080e-030 6.5426e-021 3.0673e-031 7.6699e-031 7.8483e-031 1.1801e-028 2.8457e-024 4.5503e-016 2.6547e-025 1.5073e-024 1.6654e-023 3.5775e-022 2.6708e-019 7.2014e-010 2.1981e-020 3.3420e-020 1.0059e-019 4.1634e-019 2.8275e-018 1.4879e-009 8.6127e-018 6.2678e-017 5.3521e-016 6.8312e-015 3.2933e-013 8.1946e-004 1.2015e-012 8.3665e-013 2.0423e-012 9.3870e-012 1.1264e-010 4.6175e-004 3.2640e-009 3.3818e-010 3.4880e-010 6.9646e-010 2.6705e-009 1.2519e-007 3.7700e-005 7.7683e-009 1.2294e-009 1.0150e-011 3.8033e-009 1.2831e-007 1.2055e-005 1.9613e-006 4.9292e-007 5.6434e-007 1.0970e-006 3.2319e-006 1.2199e-005 2.0214e-005 1.1046e-005 6.3646e-006 5.2090e-006 5.4574e-006 6.6050e-006 8.2386e-006 9.2571e-006 8.6187e-006 6.9237e-006 5.3223e-006 4.2010e-006 3.4773e-006 2.9985e-006 2.6442e-006 2.3255e-006 1.9824e-006 1.5984e-006 1.2057e-006 8.5518e-007 5.7531e-007 3.6489e-007 2.1300e-007 1.0978e-007 4.4689e-008 9.6565e-009 8.0047e-011 1.2327e-008 4.2932e-008 8.7900e-008 1.4256e-007 2.0119e-007 2.5770e-007 3.0149e-007
           6 1.0043e-006 5.2303e-005 3.2585e-004 2.0301e-003 3.7111e-002 1.4534e-044 2.5941e-042 1.7706e-041 2.0922e-030 3.3706e-038 1.4675e-036 6.4967e-035 3.5348e-033 3.8246e-030 1.4614e-020 6.2635e-032 2.0780e-030 1.5307e-028 9.7421e-027 4.8890e-023 7.3828e-015 1.8079e-024 4.3139e-024 1.6034e-023 4.2020e-023 2.3554e-020 9.5637e-011 2.2700e-020 1.2667e-019 1.1808e-018 1.9300e-017 2.8205e-015 3.8004e-005 1.5855e-015 1.9127e-015 5.9169e-015 3.4190e-014 7.9307e-013 1.4009e-003 1.3357e-012 3.5943e-013 1.9630e-013 7.6627e-016 1.1670e-011 1.4976e-004 1.3637e-009 3.3994e-010 7.0204e-010 2.6230e-009 1.8833e-008 1.7700e-006 6.1816e-004 2.6424e-007 1.6453e-007 2.5633e-007 7.2692e-007 5.5613e-006 2.7590e-004 3.3748e-005 4.4893e-006 2.9832e-006 3.5604e-006 6.6655e-006 1.6739e-005 1.9741e-005 7.1190e-006 2.3619e-006 9.5437e-007 3.7302e-007 7.6369e-008 1.0639e-008 2.7451e-007 8.1021e-007 1.3683e-006 1.8467e-006 2.3106e-006 2.8417e-006 3.4905e-006 4.2677e-006 5.1235e-006 5.9244e-006 6.4914e-006 6.7196e-006 6.6644e-006 6.4691e-006 6.2228e-006 5.9518e-006 5.7047e-006 5.5098e-006 5.3177e-006 5.1134e-006 4.8917e-006 4.6060e-006 4.2772e-006 3.9022e-006 3.4896e-006 3.0538e-006 2.5816e-006
           7 6.3638e-008 3.0430e-007 1.3784e-004 2.1562e-003 2.7737e-005 4.9288e-043 8.4175e-041 7.6267e-039 5.2105e-031 3.0688e-037 1.2137e-035 3.5277e-034 7.6007e-033 2.3940e-031 4.3239e-021 7.7364e-030 1.2476e-028 2.4172e-027 6.6916e-026 1.3540e-022 1.9266e-014 9.8435e-025 7.4792e-025 9.5408e-023 4.5799e-021 5.2923e-018 1.4762e-008 5.8124e-019 1.1137e-018 4.3171e-018 2.7811e-017 1.1527e-015 1.0211e-005 3.4773e-017 1.9570e-016 3.8258e-015 6.2760e-014 3.3518e-012 8.5453e-003 1.2753e-011 8.9888e-012 2.1839e-011 9.8852e-011 1.1594e-009 4.6496e-003 3.2629e-008 3.2622e-009 3.2218e-009 6.0933e-009 2.1743e-008 9.1668e-007 2.6866e-004 4.6866e-008 4.0990e-009 1.8313e-009 7.2575e-008 1.6433e-006 1.3641e-004 2.1130e-005 4.8087e-006 5.0997e-006 9.3023e-006 2.5938e-005 9.3525e-005 1.4962e-004 7.8637e-005 4.3339e-005 3.3896e-005 3.3951e-005 3.9317e-005 4.6970e-005 5.0581e-005 4.5105e-005 3.4632e-005 2.5371e-005 1.9022e-005 1.4900e-005 1.2101e-005 9.9893e-006 8.1554e-006 6.3781e-006 4.6385e-006 3.0770e-006 1.8439e-006 9.7788e-007 4.2599e-007 1.2088e-007 5.1431e-009 3.3118e-008 1.7517e-007 4.0862e-007 7.1512e-007 1.0676e-006 1.4428e-006 1.8123e-006 2.1452e-006 2.4130e-006 2.5558e-006
           8 1.2985e-007 7.0510e-006 8.1090e-005 3.2426e-005 2.3556e-003 3.1452e-041 4.6118e-039 3.1388e-037 8.8319e-033 1.3839e-035 4.6108e-034 1.1782e-032 2.5364e-031 7.0803e-030 1.5606e-021 6.0299e-029 8.3045e-028 9.8017e-027 9.1211e-026 1.2121e-023 3.3543e-015 2.4557e-023 2.2229e-022 2.5327e-021 4.4046e-020 2.0931e-017 5.2990e-008 7.2511e-019 8.5820e-020 2.0350e-018 1.1902e-016 2.8261e-014 4.0885e-004 2.0061e-014 2.7030e-014 8.6889e-014 4.9700e-013 1.0980e-011 1.8723e-002 1.6895e-011 3.8465e-012 1.2862e-012 1.5322e-012 2.6175e-010 2.6029e-003 2.2610e-008 4.8666e-009 9.0584e-009 3.1030e-008 2.0582e-007 1.7923e-005 6.1694e-003 2.4786e-006 1.4266e-006 2.0458e-006 5.3078e-006 3.6855e-005 1.6991e-003 1.9921e-004 2.3415e-005 1.3399e-005 1.3310e-005 1.9757e-005 3.7324e-005 3.1828e-005 6.4008e-006 4.1377e-007 2.2609e-007 2.1266e-006 6.5904e-006 1.4780e-005 2.5354e-005 3.3073e-005 3.5486e-005 3.5332e-005 3.5330e-005 3.6458e-005 3.8782e-005 4.1958e-005 4.5249e-005 4.7510e-005 4.7642e-005 4.5401e-005 4.1634e-005 3.7483e-005 3.3505e-005 2.9819e-005 2.6621e-005 2.3955e-005 2.1533e-005 1.9272e-005 1.7135e-005 1.4965e-005 1.2854e-005 1.0807e-005 8.8674e-006 7.0840e-006 5.4421e-006
           9 6.1634e-008 7.1592e-007 9.1194e-008 1.4869e-004 6.0004e-004 3.7700e-039 4.8834e-037 2.9345e-035 1.8779e-032 1.1313e-033 3.2869e-032 7.2607e-031 1.3229e-029 1.9701e-028 9.1092e-023 2.6467e-027 3.0358e-026 3.1324e-025 2.9729e-024 7.0141e-023 1.8717e-015 1.6360e-022 1.2280e-021 8.1794e-021 4.6083e-020 3.8828e-019 4.5564e-009 4.5315e-018 2.6489e-017 2.0135e-016 2.3074e-015 2.0253e-013 2.3503e-003 5.4715e-014 2.0019e-014 1.9566e-015 1.6335e-013 2.2037e-011 6.7144e-002 1.1411e-010 8.9809e-011 2.2166e-010 9.6410e-010 1.0447e-008 3.8506e-002 2.6240e-007 2.2525e-008 1.8062e-008 2.5094e-008 5.2343e-008 5.5436e-007 8.6184e-005 3.2831e-008 2.1246e-007 8.6441e-007 4.4796e-006 5.3262e-005 3.3994e-003 4.7077e-004 8.4567e-005 7.4350e-005 1.1595e-004 2.8221e-004 9.0827e-004 1.3303e-003 6.3322e-004 3.1075e-004 2.1504e-004 1.8982e-004 1.9293e-004 2.0135e-004 1.8810e-004 1.4360e-004 9.2315e-005 5.4825e-005 3.1862e-005 1.8108e-005 9.5857e-006 4.2159e-006 1.1164e-006 7.0728e-009 7.0314e-007 2.7652e-006 5.5749e-006 8.6721e-006 1.1819e-005 1.4857e-005 1.7797e-005 2.0750e-005 2.3579e-005 2.6192e-005 2.8544e-005 3.0296e-005 3.1456e-005 3.1899e-005 3.1561e-005 3.0447e-005 2.8254e-005
