   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99         100         101         102         103         104         105         106         107         108         109         110         111
           0 9.9827e-001 1.7166e-003 1.8081e-005 1.5298e-008 2.7545e-008 6.0951e-010 5.0265e-009 7.2802e-010 7.8391e-013 2.6594e-048 1.9336e-034 2.6788e-044 3.4781e-043 3.7613e-041 1.0340e-038 2.4430e-026 2.6472e-036 3.1808e-036 1.2255e-036 3.3457e-032 2.1475e-020 1.7062e-029 1.0189e-028 3.7611e-027 5.2676e-025 2.0178e-013 3.3462e-023 8.4967e-023 1.4265e-021 1.2393e-019 1.8973e-009 1.7441e-018 3.6256e-018 4.3341e-017 5.8346e-015 1.0633e-009 7.4013e-015 1.8651e-014 2.6966e-013 3.0426e-010 1.3300e-011 3.4858e-012 1.2372e-011 4.2160e-011 2.7769e-011 1.5637e-011 1.3007e-011 1.1424e-011 9.6408e-012 8.2884e-012 7.5557e-012 7.2824e-012 7.3387e-012 7.6479e-012 8.1441e-012 8.7375e-012 9.3310e-012 9.8366e-012 1.0183e-011 1.0302e-011 1.0115e-011 9.5849e-012 8.7096e-012 7.5304e-012 6.1321e-012 4.6196e-012 3.1143e-012 1.7610e-012 7.0864e-013 9.9649e-014 5.9357e-014 6.8645e-013 2.0493e-012 4.1854e-012 7.0856e-012 1.0713e-011 1.4986e-011 1.9822e-011 2.5085e-011 3.0663e-011 3.6382e-011 4.2131e-011 4.7756e-011 5.3100e-011 5.8037e-011 6.2477e-011 6.6352e-011 6.9560e-011 7.2133e-011 7.3999e-011 7.5140e-011 7.5624e-011 7.5420e-011 7.4606e-011 7.3198e-011 7.1247e-011 6.8890e-011 6.6120e-011 6.3044e-011 5.9739e-011 5.6244e-011 5.2626e-011 4.8961e-011 4.5264e-011 4.1601e-011 3.8003e-011 3.4509e-011 3.1135e-011 2.7885e-011 2.4732e-011 2.1563e-011 1.8221e-011
           1 1.6926e-003 9.9525e-001 2.9671e-003 9.4537e-005 1.3611e-009 1.5038e-007 5.3801e-008 2.5164e-009 1.3549e-009 4.5197e-048 1.6268e-034 1.9214e-044 1.4721e-043 1.4944e-041 6.6321e-039 3.0626e-026 4.7004e-036 3.3772e-035 2.1249e-033 4.9310e-031 1.4816e-019 9.1303e-029 3.2196e-028 8.4541e-027 9.2218e-025 3.1100e-013 4.7911e-023 1.0228e-022 1.4665e-021 1.0977e-019 1.5621e-009 1.3381e-018 2.4193e-018 2.5296e-017 3.0096e-015 5.3184e-010 3.4404e-015 8.0809e-015 1.1485e-013 1.3441e-010 6.0046e-012 1.8208e-012 8.0599e-012 3.3985e-011 2.8504e-011 2.2700e-011 2.7467e-011 3.4829e-011 4.1498e-011 4.8382e-011 5.6524e-011 6.5548e-011 7.4803e-011 8.3791e-011 9.2045e-011 9.8889e-011 1.0371e-010 1.0617e-010 1.0626e-010 1.0400e-010 9.9333e-011 9.2433e-011 8.3664e-011 7.3519e-011 6.2615e-011 5.1493e-011 4.0589e-011 3.0375e-011 2.1253e-011 1.3539e-011 7.4771e-012 3.1878e-012 7.1263e-013 6.6866e-015 9.6755e-013 3.4374e-012 7.2139e-012 1.2085e-011 1.7813e-011 2.4185e-011 3.0960e-011 3.7965e-011 4.5011e-011 5.1921e-011 5.8556e-011 6.4824e-011 7.0662e-011 7.5974e-011 8.0804e-011 8.5086e-011 8.8798e-011 9.2016e-011 9.4690e-011 9.6894e-011 9.8615e-011 9.9874e-011 1.0081e-010 1.0136e-010 1.0161e-010 1.0161e-010 1.0137e-010 1.0091e-010 1.0030e-010 9.9505e-011 9.8572e-011 9.7498e-011 9.6307e-011 9.4967e-011 9.3401e-011 9.1383e-011 8.8217e-011 8.2666e-011
           2 4.1440e-005 2.8762e-003 9.9363e-001 3.0140e-003 4.3375e-004 3.3745e-009 4.1292e-009 2.1503e-007 3.6440e-008 1.2601e-046 1.0946e-032 1.5513e-042 2.1047e-041 2.2928e-039 6.5025e-037 1.6662e-024 1.9194e-034 4.0458e-034 4.6618e-033 3.5491e-032 8.2472e-021 1.5965e-029 1.8287e-028 6.1006e-027 5.4955e-025 1.3379e-013 1.4961e-023 5.3743e-024 6.4641e-023 6.3540e-020 1.8357e-009 2.7422e-018 1.2072e-017 2.5540e-016 5.4683e-014 1.1158e-008 1.0262e-013 3.6241e-013 7.0191e-012 9.6422e-009 4.4584e-010 1.4351e-010 5.9390e-010 2.2067e-009 1.5405e-009 8.9292e-010 7.1540e-010 5.5560e-010 3.7021e-010 2.1531e-010 1.0706e-010 3.9945e-011 6.9892e-012 3.8601e-013 1.1799e-011 3.3347e-011 5.8248e-011 8.1363e-011 9.9529e-011 1.1124e-010 1.1606e-010 1.1458e-010 1.0807e-010 9.8100e-011 8.6331e-011 7.4109e-011 6.2355e-011 5.1763e-011 4.2728e-011 3.5381e-011 2.9740e-011 2.5652e-011 2.2977e-011 2.1544e-011 2.1198e-011 2.1885e-011 2.3553e-011 2.6228e-011 2.9891e-011 3.4569e-011 4.0203e-011 4.6772e-011 5.4157e-011 6.2183e-011 7.0650e-011 7.9350e-011 8.8060e-011 9.6481e-011 1.0447e-010 1.1173e-010 1.1804e-010 1.2333e-010 1.2739e-010 1.3018e-010 1.3164e-010 1.3173e-010 1.3065e-010 1.2833e-010 1.2497e-010 1.2070e-010 1.1562e-010 1.0989e-010 1.0369e-010 9.7111e-011 9.0318e-011 8.3423e-011 7.6553e-011 6.9781e-011 6.3147e-011 5.6614e-011 4.9928e-011 4.2715e-011
           3 8.5376e-007 1.5826e-004 2.8769e-003 9.9460e-001 8.5927e-004 1.4938e-003 7.2017e-006 3.7711e-006 1.6908e-007 5.4455e-045 2.2538e-031 2.6857e-041 1.6784e-040 7.4779e-039 4.5111e-037 2.7375e-027 2.0629e-035 1.8307e-033 1.8202e-031 4.3757e-029 1.2172e-017 7.0897e-027 2.0116e-026 4.0446e-025 3.2596e-023 8.9854e-012 1.2104e-021 1.7761e-021 1.6564e-020 7.3718e-019 7.6324e-009 4.5235e-018 2.8096e-018 2.0123e-018 9.9023e-016 3.5749e-010 7.7934e-015 5.0648e-014 1.4179e-012 2.4062e-009 1.1792e-010 4.7127e-011 2.3442e-010 9.9424e-010 7.9001e-010 5.4342e-010 5.2400e-010 4.9669e-010 4.1479e-010 3.1581e-010 2.2164e-010 1.3733e-010 6.8476e-011 2.1284e-011 6.3776e-013 9.6176e-012 4.9053e-011 1.1717e-010 2.1007e-010 3.2212e-010 4.4553e-010 5.7124e-010 6.8996e-010 7.9306e-010 8.7416e-010 9.2838e-010 9.5140e-010 9.4190e-010 9.0110e-010 8.3191e-010 7.4058e-010 6.3307e-010 5.1733e-010 4.0036e-010 2.8870e-010 1.8929e-010 1.0739e-010 4.7158e-011 1.1007e-011 5.4213e-014 1.3972e-011 5.1213e-011 1.0923e-010 1.8462e-010 2.7334e-010 3.7120e-010 4.7404e-010 5.7744e-010 6.7821e-010 7.7266e-010 8.5781e-010 9.3207e-010 9.9316e-010 1.0406e-009 1.0733e-009 1.0914e-009 1.0963e-009 1.0878e-009 1.0677e-009 1.0374e-009 9.9796e-010 9.5109e-010 8.9861e-010 8.4141e-010 7.8123e-010 7.1923e-010 6.5669e-010 5.9443e-010 5.3298e-010 4.7226e-010 4.1050e-010 3.4518e-010
           4 4.1289e-008 2.4725e-006 4.9896e-004 8.5427e-004 9.9473e-001 1.0302e-003 2.7137e-003 1.5777e-004 9.6895e-006 4.3258e-044 1.2259e-030 1.2999e-040 3.8514e-040 1.6773e-039 3.0005e-036 3.2824e-023 5.7427e-033 4.3206e-032 2.0673e-030 3.1635e-028 6.8740e-017 3.5651e-026 7.1707e-026 9.9082e-025 4.9678e-023 9.1938e-012 8.8818e-022 2.5143e-022 1.5197e-021 1.4123e-018 3.7797e-008 5.2525e-017 2.0345e-016 3.8895e-015 7.7130e-013 1.5472e-007 1.3696e-012 4.6589e-012 8.8157e-011 1.1984e-007 5.5286e-009 1.7697e-009 7.3068e-009 2.7103e-008 1.8862e-008 1.0832e-008 8.5002e-009 6.3343e-009 3.8907e-009 1.9127e-009 6.3936e-010 5.3142e-011 9.9150e-011 6.8142e-010 1.6692e-009 2.9080e-009 4.2337e-009 5.4961e-009 6.5818e-009 7.4099e-009 7.9177e-009 8.0810e-009 7.9118e-009 7.4519e-009 6.7697e-009 5.9354e-009 5.0117e-009 4.0650e-009 3.1534e-009 2.3221e-009 1.6069e-009 1.0249e-009 5.8309e-010 2.7569e-010 8.9993e-011 8.3842e-012 9.6082e-012 7.1496e-011 1.7276e-010 2.9447e-010 4.2025e-010 5.3787e-010 6.3808e-010 7.1472e-010 7.6484e-010 7.8826e-010 7.8669e-010 7.6264e-010 7.2071e-010 6.6455e-010 5.9836e-010 5.2666e-010 4.5266e-010 3.7973e-010 3.1024e-010 2.4615e-010 1.8906e-010 1.3956e-010 9.8113e-011 6.4702e-011 3.8962e-011 2.0362e-011 8.2068e-012 1.7027e-012 2.6197e-014 2.3479e-012 7.8658e-012 1.5820e-011 2.5479e-011 3.6060e-011 4.6417e-011 5.4602e-011
           5 4.1865e-008 5.7661e-007 2.3465e-006 1.4346e-003 8.1527e-004 9.8535e-001 9.3904e-003 2.3714e-003 6.1277e-004 1.1384e-043 6.0149e-031 2.1775e-041 1.1588e-039 4.4012e-037 2.2788e-034 8.2122e-022 1.0830e-031 3.9265e-031 1.0696e-029 9.5378e-028 1.3888e-016 5.7367e-026 4.5191e-026 5.0689e-026 1.8180e-023 1.9002e-011 4.5144e-021 1.9891e-020 4.5163e-019 4.7337e-017 7.7632e-007 7.5386e-016 1.6977e-015 2.1196e-014 2.8699e-012 5.1993e-007 3.4961e-012 7.9414e-012 9.4165e-011 8.2484e-008 3.2483e-009 4.4908e-010 4.3971e-010 4.0675e-011 6.2507e-010 2.8017e-009 7.1961e-009 1.3497e-008 1.9824e-008 2.5439e-008 3.0278e-008 3.3873e-008 3.5838e-008 3.6103e-008 3.4802e-008 3.2123e-008 2.8379e-008 2.3991e-008 1.9398e-008 1.4948e-008 1.0880e-008 7.3824e-009 4.5689e-009 2.4766e-009 1.0773e-009 2.8990e-010 6.5332e-012 1.0899e-010 4.7889e-010 1.0073e-009 1.6032e-009 2.1936e-009 2.7294e-009 3.1783e-009 3.5176e-009 3.7458e-009 3.8648e-009 3.8912e-009 3.8349e-009 3.7159e-009 3.5460e-009 3.3437e-009 3.1192e-009 2.8819e-009 2.6404e-009 2.4020e-009 2.1717e-009 1.9515e-009 1.7454e-009 1.5527e-009 1.3737e-009 1.2091e-009 1.0574e-009 9.1863e-010 7.9159e-010 6.7561e-010 5.7078e-010 4.7582e-010 3.9060e-010 3.1471e-010 2.4765e-010 1.8918e-010 1.3909e-010 9.7070e-011 6.2953e-011 3.6497e-011 1.7454e-011 5.5147e-012 3.1423e-013 1.3696e-012 7.8637e-012 1.8005e-011
           6 3.8145e-009 1.8606e-007 1.4295e-006 2.4469e-007 3.1505e-003 7.7138e-003 9.6423e-001 2.2427e-002 1.3012e-003 7.2067e-042 2.8196e-028 3.3600e-038 2.3214e-037 1.4716e-035 2.5758e-033 4.6787e-021 4.6595e-031 5.1936e-031 1.0984e-030 3.4766e-028 2.7661e-016 2.1440e-025 1.0253e-024 2.7905e-023 2.7952e-021 8.6359e-010 1.2456e-019 2.1696e-019 2.4113e-018 1.3022e-016 1.5078e-006 1.0140e-015 9.1535e-016 2.4144e-015 1.1885e-014 1.6707e-008 8.9810e-013 8.6157e-012 2.9311e-010 5.4935e-007 2.7608e-008 1.1991e-008 6.3048e-008 2.7581e-007 2.2446e-007 1.5815e-007 1.5556e-007 1.5028e-007 1.2853e-007 1.0161e-007 7.6189e-008 5.3432e-008 3.4201e-008 1.9256e-008 8.8257e-009 2.6467e-009 1.4789e-010 5.3704e-010 2.9305e-009 6.4892e-009 1.0478e-008 1.4309e-008 1.7562e-008 1.9993e-008 2.1528e-008 2.2194e-008 2.2059e-008 2.1254e-008 1.9937e-008 1.8252e-008 1.6366e-008 1.4389e-008 1.2433e-008 1.0560e-008 8.8050e-009 7.2098e-009 5.7862e-009 4.5473e-009 3.4828e-009 2.5888e-009 1.8507e-009 1.2581e-009 7.9613e-010 4.5162e-010 2.1265e-010 6.7404e-011 4.5490e-012 1.3301e-011 8.3333e-011 2.0472e-010 3.6773e-010 5.6322e-010 7.8182e-010 1.0151e-009 1.2543e-009 1.4911e-009 1.7199e-009 1.9325e-009 2.1245e-009 2.2915e-009 2.4292e-009 2.5351e-009 2.6087e-009 2.6475e-009 2.6528e-009 2.6254e-009 2.5674e-009 2.4804e-009 2.3657e-009 2.2221e-009 2.0398e-009 1.8029e-009
           7 2.6202e-009 8.0921e-009 5.8646e-007 1.3669e-007 5.5652e-006 4.3316e-003 1.8307e-002 9.3571e-001 3.9707e-002 4.0998e-046 7.4903e-029 1.4066e-038 3.6781e-037 5.6342e-035 2.1830e-032 7.2679e-020 9.4541e-030 3.4679e-029 1.0352e-027 1.1064e-025 1.9575e-014 9.2216e-024 1.4087e-023 1.4800e-022 5.4312e-021 7.7972e-010 6.0063e-020 1.2673e-021 7.2252e-019 2.1269e-016 4.5683e-006 5.3948e-015 1.6115e-014 2.4703e-013 3.9768e-011 7.5385e-006 5.7280e-011 1.5646e-010 2.3331e-009 2.5897e-006 1.1169e-007 2.6288e-008 7.6269e-008 2.0355e-007 9.3426e-008 2.3793e-008 2.7888e-009 2.1517e-009 1.9532e-008 4.8876e-008 8.4245e-008 1.2009e-007 1.5151e-007 1.7530e-007 1.8992e-007 1.9474e-007 1.9030e-007 1.7829e-007 1.6103e-007 1.4067e-007 1.1884e-007 9.7046e-008 7.6516e-008 5.8116e-008 4.2388e-008 2.9480e-008 1.9286e-008 1.1611e-008 6.1707e-009 2.6402e-009 6.9297e-010 1.1169e-011 3.1043e-010 1.3452e-009 2.9037e-009 4.8094e-009 6.9100e-009 9.0928e-009 1.1249e-008 1.3308e-008 1.5189e-008 1.6854e-008 1.8253e-008 1.9348e-008 2.0119e-008 2.0561e-008 2.0682e-008 2.0481e-008 2.0001e-008 1.9253e-008 1.8269e-008 1.7102e-008 1.5778e-008 1.4349e-008 1.2852e-008 1.1326e-008 9.8220e-009 8.3625e-009 6.9824e-009 5.7056e-009 4.5472e-009 3.5204e-009 2.6330e-009 1.8853e-009 1.2759e-009 7.9883e-010 4.4517e-010 2.0351e-010 6.0912e-011 3.1270e-012 1.3949e-011 7.1401e-011
           8 9.6986e-009 3.7297e-009 2.9504e-008 2.2901e-006 5.8678e-006 6.3963e-005 5.1654e-003 3.3097e-002 8.9924e-001 6.4722e-040 1.5843e-026 1.6614e-036 6.2067e-036 1.9425e-034 1.1467e-032 2.6274e-021 1.1791e-033 9.7923e-030 1.0741e-027 2.5623e-025 7.0505e-014 4.0884e-023 1.1530e-022 2.3378e-021 1.9346e-019 5.4806e-008 7.5505e-018 1.2015e-017 1.2708e-016 6.8835e-015 8.2162e-005 5.8523e-014 6.8681e-014 4.0358e-013 1.9438e-011 2.3816e-006 2.8546e-012 6.7836e-012 9.4967e-010 2.5617e-006 1.3859e-007 7.4003e-008 4.3688e-007 2.0314e-006 1.7334e-006 1.2838e-006 1.3190e-006 1.3260e-006 1.1809e-006 9.7639e-007 7.7243e-007 5.8035e-007 4.0870e-007 2.6582e-007 1.5563e-007 7.7721e-008 2.9180e-008 5.2737e-009 2.1353e-010 8.1877e-009 2.4022e-008 4.3426e-008 6.3127e-008 8.0878e-008 9.5428e-008 1.0623e-007 1.1305e-007 1.1609e-007 1.1575e-007 1.1249e-007 1.0698e-007 9.9686e-008 9.1207e-008 8.1935e-008 7.2126e-008 6.2205e-008 5.2425e-008 4.3111e-008 3.4406e-008 2.6523e-008 1.9560e-008 1.3635e-008 8.7879e-009 5.0341e-009 2.3626e-009 7.2366e-010 3.6008e-011 1.9421e-010 1.0744e-009 2.5411e-009 4.4519e-009 6.6689e-009 9.0539e-009 1.1487e-008 1.3853e-008 1.6056e-008 1.8038e-008 1.9726e-008 2.1094e-008 2.2126e-008 2.2809e-008 2.3154e-008 2.3189e-008 2.2925e-008 2.2403e-008 2.1655e-008 2.0722e-008 1.9635e-008 1.8415e-008 1.7062e-008 1.5505e-008 1.3622e-008
           9 5.7853e-011 1.1911e-009 1.4856e-009 1.9417e-007 6.9432e-007 9.8179e-006 1.7658e-004 5.8967e-003 5.1802e-002 5.1176e-039 2.2310e-025 2.6989e-035 1.9186e-034 1.2342e-032 2.3200e-030 4.8210e-018 5.2327e-028 1.0359e-027 1.6580e-026 8.6442e-025 8.0741e-014 2.4806e-023 1.4209e-024 3.4438e-022 1.2361e-019 5.8924e-008 1.0602e-017 2.9754e-017 5.0614e-016 4.2696e-014 6.3834e-004 5.7129e-013 1.1177e-012 1.2515e-011 1.5726e-009 2.8105e-004 1.8521e-009 4.2867e-009 5.5819e-008 5.6856e-005 2.3951e-006 5.2014e-007 1.4367e-006 3.7798e-006 1.7623e-006 5.0403e-007 1.1203e-007 1.1084e-010 1.0561e-007 3.4561e-007 6.4148e-007 9.3292e-007 1.1755e-006 1.3451e-006 1.4347e-006 1.4454e-006 1.3869e-006 1.2762e-006 1.1327e-006 9.7297e-007 8.0861e-007 6.4959e-007 5.0342e-007 3.7502e-007 2.6717e-007 1.8017e-007 1.1282e-007 6.3492e-008 3.0033e-008 1.0048e-008 1.0995e-009 7.7469e-010 6.8350e-009 1.7278e-008 3.0297e-008 4.4375e-008 5.8208e-008 7.0881e-008 8.1594e-008 8.9936e-008 9.5548e-008 9.8461e-008 9.8717e-008 9.6494e-008 9.2123e-008 8.6020e-008 7.8625e-008 7.0325e-008 6.1599e-008 5.2762e-008 4.4128e-008 3.5992e-008 2.8519e-008 2.1868e-008 1.6116e-008 1.1301e-008 7.4298e-009 4.4532e-009 2.3106e-009 9.1854e-010 1.8266e-010 5.0622e-012 2.8762e-010 9.3591e-010 1.8621e-009 2.9859e-009 4.2364e-009 5.5498e-009 6.8646e-009 8.1087e-009 9.1494e-009 9.7476e-009
