   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 9.9781e-001 2.1830e-003 5.3921e-006 1.5051e-006 1.2030e-007 6.1793e-008 3.6191e-008 2.1622e-009 3.2197e-009 1.8536e-010 1.0678e-009 1.3332e-009 4.6991e-010 8.2452e-011
           1 2.1869e-003 9.8955e-001 8.0325e-003 1.9420e-004 3.2364e-005 1.1512e-008 1.2102e-006 8.2648e-009 4.3072e-008 5.1426e-008 2.5781e-008 4.0288e-009 2.5264e-011 7.2983e-010
           2 2.9372e-006 8.2575e-003 9.5860e-001 3.0827e-002 2.1761e-003 1.1773e-004 1.6487e-005 1.3178e-006 2.1545e-006 4.7747e-007 1.6623e-008 2.3479e-007 2.1577e-007 9.5383e-008
           3 9.4757e-007 2.5082e-006 3.3256e-002 8.7405e-001 8.5487e-002 7.0822e-003 4.1389e-005 7.0121e-005 6.7759e-006 3.5979e-007 2.6093e-006 1.4342e-006 3.3327e-007 4.1858e-008
           4 3.0465e-009 2.3910e-006 8.7000e-005 9.2668e-002 7.5410e-001 1.4213e-001 1.0929e-002 1.4766e-006 5.5753e-005 2.6636e-005 3.9689e-006 2.9639e-008 6.7601e-007 5.3091e-007
           5 6.9257e-009 2.2010e-006 9.9817e-006 2.1957e-003 1.4634e-001 6.2963e-001 2.0571e-001 1.5964e-002 6.5368e-005 2.0455e-005 3.2932e-005 1.8079e-005 4.3906e-006 7.0198e-007
           6 9.2354e-034 8.7954e-032 1.1704e-034 4.5914e-030 4.9697e-027 4.6794e-026 3.4769e-026 2.9016e-025 5.8495e-024 7.8385e-022 3.0010e-018 2.7683e-014 7.1733e-010 5.5812e-004
           7 8.7633e-031 3.5552e-029 1.8249e-028 4.7066e-028 2.5239e-024 3.2325e-023 5.7515e-023 1.2474e-022 8.0321e-022 6.7320e-020 1.5481e-016 8.9334e-013 1.2767e-008 7.3907e-004
           8 1.7370e-017 2.7362e-016 9.9737e-015 7.4334e-014 3.1339e-011 5.1340e-010 1.3614e-009 7.3830e-010 5.9790e-011 4.8160e-013 5.1805e-015 1.0868e-011 1.1156e-007 1.8351e-003
           9 1.0842e-027 1.1416e-026 7.7261e-025 6.1064e-024 1.6940e-021 3.0108e-020 8.8137e-020 2.5632e-020 2.4107e-020 2.8677e-018 3.8603e-015 1.3842e-011 1.0848e-007 1.3570e-003
          10 4.1066e-027 2.9166e-028 5.7595e-024 4.3533e-023 3.5635e-021 9.2488e-020 3.7741e-019 9.7382e-021 1.9106e-018 7.9800e-017 6.2123e-014 1.3754e-010 5.9053e-007 2.2116e-003
