   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11
           0 9.8047e-001 1.9065e-002 4.4957e-004 1.5289e-005 4.3494e-007 6.5474e-008 7.7179e-009 8.9716e-011 1.2189e-011 1.4235e-013 3.4047e-012 4.4201e-012
           1 1.9448e-002 9.3395e-001 4.4598e-002 1.8894e-003 1.0419e-004 6.7280e-006 7.9773e-007 6.5368e-008 4.2819e-008 2.2227e-008 1.2143e-008 6.3533e-009
           2 8.0241e-005 4.6584e-002 8.6871e-001 7.8644e-002 5.4450e-003 4.6909e-004 5.2546e-005 4.1538e-006 2.7479e-006 1.4493e-006 8.0371e-007 4.2542e-007
           3 5.1835e-008 3.9676e-004 8.4825e-002 7.7478e-001 1.2390e-001 1.3674e-002 1.7818e-003 1.4744e-004 9.8183e-005 5.2043e-005 2.8952e-005 1.5355e-005
           4 3.3323e-047 1.8344e-049 3.7267e-042 9.2278e-040 2.0473e-037 4.9007e-031 2.7676e-021 3.5018e-005 6.5243e-003 2.1242e-001 4.6978e-001 4.1342e-002
           5 1.7236e-035 1.2856e-032 1.5741e-029 1.5655e-027 7.0919e-027 2.3517e-027 5.7129e-020 1.1553e-004 1.3906e-002 2.6924e-001 2.0871e-001 1.0394e-001
           6 2.6557e-044 3.5225e-042 1.6943e-039 7.4811e-038 1.4450e-035 4.2125e-029 1.5117e-019 8.8849e-005 7.0119e-003 5.5493e-002 3.0227e-002 9.6125e-002
           7 1.9770e-042 8.3782e-041 1.1429e-038 1.2534e-038 1.1721e-033 1.6710e-027 3.8217e-018 1.6292e-004 1.1470e-002 1.1487e-001 7.5171e-002 2.9200e-003
           8 1.5074e-040 2.8572e-039 1.3620e-037 2.3234e-035 5.1338e-032 4.2850e-026 6.2459e-017 2.8359e-004 1.4409e-002 5.8163e-002 4.8436e-002 7.6642e-002
           9 1.1533e-038 7.0691e-038 2.3528e-037 2.8418e-033 1.8470e-030 8.0829e-025 7.4695e-016 4.5429e-004 1.8403e-002 7.6306e-002 8.7720e-003 3.3261e-002
          10 1.8973e-036 3.0250e-039 6.1180e-034 6.2232e-031 9.8976e-029 1.1576e-023 6.7690e-015 6.6610e-004 2.1860e-002 4.4672e-002 5.4941e-002 5.0192e-002
          11 1.4374e-025 4.8010e-025 1.4856e-022 5.9058e-020 2.8448e-018 5.3698e-018 2.2611e-014 1.0136e-003 3.0338e-002 5.5781e-002 4.0283e-002 6.0014e-003
          12 6.5760e-036 3.3325e-034 3.1692e-032 5.1148e-030 8.2991e-030 1.3442e-022 5.0159e-014 9.3684e-004 2.5194e-002 4.7155e-002 7.3342e-007 6.5773e-002
          13 1.1952e-035 3.8375e-033 1.2296e-031 3.3837e-030 3.4037e-027 1.2973e-021 3.0515e-013 1.2604e-003 2.8195e-002 2.8161e-002 5.0463e-002 3.1750e-002
          14 1.9536e-033 6.9906e-032 8.1805e-031 1.4688e-030 7.2392e-026 1.0805e-020 1.5982e-012 1.6547e-003 3.0841e-002 2.5255e-002 2.2238e-003 8.3172e-002
          15 1.3056e-031 1.5400e-030 2.8728e-030 1.0022e-027 1.3828e-024 7.7967e-020 7.1953e-012 2.0887e-003 3.2770e-002 1.4487e-002 3.9162e-002 2.0283e-002
          16 2.5759e-029 9.4987e-029 2.6082e-028 2.2176e-025 6.9435e-023 5.2929e-019 2.8780e-011 2.5894e-003 3.4508e-002 1.0968e-002 4.1389e-003 8.4499e-002
          17 1.6485e-018 3.2141e-018 5.0407e-017 1.3310e-014 2.2285e-012 4.8457e-011 1.2195e-011 3.5054e-003 4.3803e-002 1.0997e-002 9.5893e-003 3.8516e-002
          18 1.3487e-028 4.6370e-029 1.0481e-026 9.2595e-025 3.8410e-023 2.5714e-018 1.0200e-010 3.1313e-003 3.5469e-002 5.4276e-003 2.6792e-002 1.3703e-002
          19 1.7307e-028 2.1756e-028 3.8759e-026 7.8473e-025 2.9325e-023 1.3828e-017 3.2773e-010 3.7334e-003 3.5986e-002 3.1094e-003 4.0174e-003 7.4451e-002
          20 2.9472e-028 8.8410e-027 2.6886e-025 5.9124e-025 1.1712e-021 6.6383e-017 9.5576e-010 4.3711e-003 3.6040e-002 9.7218e-004 1.5834e-002 1.0065e-002
          21 5.3482e-028 2.3873e-025 2.4230e-024 4.8500e-024 2.0596e-020 3.0210e-016 2.5573e-009 5.0335e-003 3.5581e-002 1.8413e-004 2.5533e-003 5.9242e-002
          22 9.5378e-025 1.7415e-023 5.1255e-023 1.9740e-021 8.5428e-019 1.6025e-015 6.3424e-009 5.7424e-003 3.4788e-002 3.2225e-005 7.8185e-003 8.2057e-003
          23 4.4668e-011 4.0300e-010 4.9884e-010 6.5662e-008 1.4518e-005 1.1061e-003 7.8236e-003 1.0364e-002 3.8827e-002 1.3356e-004 6.5631e-003 5.3893e-005
          24 1.5171e-023 6.3460e-023 6.8896e-024 1.4986e-020 1.4505e-018 2.5603e-015 1.4544e-008 6.4485e-003 3.3471e-002 4.6968e-004 1.0497e-003 4.3156e-002
          25 3.1426e-023 2.7194e-023 9.3685e-023 1.4484e-020 1.2650e-019 1.2226e-014 3.1375e-008 7.1958e-003 3.2015e-002 1.3159e-003 2.8774e-003 7.4078e-003
