   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31
           0 1.0000e+000 9.1271e-008 3.4621e-007 1.4438e-007 4.7137e-008 1.3321e-011 2.8877e-010 1.3262e-008 1.6254e-009 4.4807e-010 6.3012e-012 3.6031e-011 1.5520e-010 3.4893e-010 1.2760e-011 1.3639e-010 1.5217e-010 5.3083e-012 5.2357e-011 9.5573e-011 3.5367e-011 2.4398e-014 2.4256e-011 4.7814e-011 4.2434e-011 2.1672e-011 6.4864e-012 6.4661e-013 7.8251e-014 4.8684e-013 2.0105e-013 6.2939e-014
           1 9.0154e-008 1.0000e+000 1.2132e-007 1.0275e-006 1.6065e-007 1.8269e-008 2.0327e-010 8.3820e-009 2.6329e-008 7.4651e-009 8.1293e-011 8.0338e-010 7.7492e-010 9.6031e-010 2.9409e-009 4.3643e-010 3.5664e-010 7.7359e-010 1.1531e-010 8.5735e-011 2.9647e-010 1.5993e-010 7.0089e-012 3.6131e-011 1.0962e-010 1.1409e-010 7.2135e-011 3.1338e-011 9.7285e-012 2.1790e-012 2.4271e-013 6.5260e-014
           2 3.3631e-007 1.2458e-007 1.0000e+000 1.3926e-008 7.1304e-007 7.0230e-007 3.2755e-011 5.4895e-009 7.8088e-009 1.9474e-008 4.0247e-009 6.1737e-010 4.4460e-009 1.1439e-009 7.4789e-010 1.3019e-009 1.1952e-010 4.2260e-013 8.9757e-011 4.5115e-010 3.9260e-010 4.5159e-011 7.0151e-011 3.2081e-010 4.0717e-010 2.7995e-010 1.2483e-010 3.4360e-011 4.3959e-012 1.4319e-014 8.2551e-014 3.1246e-014
           3 1.6291e-007 9.9870e-007 1.2934e-008 9.9999e-001 1.8193e-006 2.9059e-007 2.1744e-006 4.2037e-010 5.6010e-008 6.1496e-009 5.2272e-009 3.2702e-009 7.7271e-009 9.9451e-009 2.3349e-010 2.0512e-009 7.0253e-010 1.0872e-010 1.8783e-010 8.1698e-011 8.1713e-010 9.5664e-010 4.2197e-010 5.8408e-011 2.1687e-012 2.9740e-011 3.3728e-011 2.1197e-011 9.9354e-012 3.8535e-012 7.0621e-013 2.0404e-013
           4 2.5664e-008 1.9380e-007 6.7837e-007 1.8463e-006 9.9994e-001 4.3393e-005 1.0133e-005 3.8312e-006 2.4930e-007 1.5483e-007 3.9694e-008 8.7061e-011 5.1743e-009 3.8724e-009 1.8519e-008 6.7069e-009 2.7888e-010 1.9887e-010 8.7058e-010 1.4525e-009 1.2025e-009 4.1535e-010 1.9255e-011 3.0055e-011 5.9065e-011 2.1687e-011 4.3683e-014 1.1285e-011 2.5890e-011 2.4753e-011 6.9930e-012 2.1176e-012
           5 1.0369e-008 2.3707e-009 7.8010e-007 3.1264e-007 4.4236e-005 9.9966e-001 2.5844e-004 3.4615e-005 2.0003e-006 1.2607e-006 2.3946e-008 6.9258e-008 1.0553e-007 2.9420e-009 7.9851e-009 5.9284e-009 8.0292e-009 1.0148e-009 6.6445e-010 1.4512e-009 2.8062e-010 7.6513e-010 3.5115e-009 3.8892e-009 2.0433e-009 4.7961e-010 1.6612e-011 3.4621e-011 8.5519e-011 7.2651e-011 1.8972e-011 5.6928e-012
           6 2.0047e-008 2.0988e-008 7.0395e-009 2.1746e-006 9.7944e-006 2.6447e-004 9.9897e-001 6.8953e-004 5.9200e-005 5.5071e-007 1.6260e-006 2.6874e-008 3.3062e-008 1.8628e-007 3.2773e-009 2.6469e-009 1.2533e-009 5.2777e-010 4.6802e-012 1.3912e-009 5.7941e-009 3.5906e-009 6.7064e-011 1.3335e-009 3.0318e-009 2.5539e-009 1.3550e-009 5.3744e-010 1.8120e-010 5.5925e-011 9.1347e-012 2.6062e-012
           7 1.1004e-009 1.0863e-008 7.0913e-009 1.2293e-009 3.3401e-006 3.0448e-005 7.1004e-004 9.9771e-001 1.4525e-003 9.4245e-005 5.5635e-009 1.8394e-006 2.3436e-007 1.1741e-009 2.5459e-007 3.3653e-008 6.0601e-010 3.5709e-009 1.0949e-010 5.1699e-009 4.1662e-010 3.9960e-009 8.1517e-009 3.6053e-009 1.9944e-010 3.1477e-010 8.4204e-010 7.6105e-010 4.5676e-010 2.1392e-010 4.3643e-011 1.2767e-011
           8 6.1990e-010 2.3306e-010 1.5190e-008 2.8695e-008 3.3706e-007 1.0988e-006 4.5175e-005 1.5028e-003 9.9565e-001 2.6714e-003 1.2971e-004 7.5492e-007 1.3427e-006 5.2575e-007 6.7295e-008 1.6860e-007 5.2042e-008 1.8279e-008 1.8573e-008 8.7609e-011 7.9625e-009 3.4770e-009 3.3239e-010 3.2226e-009 2.4240e-009 5.7830e-010 2.7334e-011 7.9517e-012 1.5012e-011 6.6447e-012 1.0341e-012 2.8971e-013
           9 2.1849e-009 6.2911e-009 1.3558e-009 2.7777e-009 7.8528e-008 1.3529e-006 6.5684e-009 5.8703e-005 2.7736e-003 9.9246e-001 4.5225e-003 1.7655e-004 2.6442e-006 6.5260e-007 8.0736e-007 2.5434e-007 5.4772e-008 4.5211e-008 5.0414e-008 5.0595e-008 5.0836e-009 2.9113e-009 3.4803e-009 1.9917e-010 1.4342e-010 9.9676e-011 1.0663e-012 6.4677e-011 8.0723e-011 4.5787e-011 9.3769e-012 2.7326e-012
          10 3.0343e-011 1.0179e-008 6.1349e-009 3.7498e-009 1.2345e-007 1.3941e-008 1.4690e-006 1.2675e-006 5.8753e-005 4.7065e-003 9.8774e-001 7.2461e-003 2.4047e-004 4.4986e-006 1.0171e-007 9.1425e-007 4.0019e-007 2.8651e-009 1.9944e-008 7.5745e-008 6.3442e-008 1.5907e-008 1.6086e-009 1.1256e-010 8.7897e-012 3.0530e-010 7.8969e-010 9.5158e-010 7.3153e-010 4.0200e-010 8.8081e-011 2.5956e-011
          11 1.7641e-009 2.3020e-011 1.8598e-008 1.0321e-008 6.8720e-009 2.2437e-007 2.9860e-007 1.3053e-006 5.3590e-006 4.9499e-005 7.5537e-003 9.8070e-001 1.1342e-002 3.4408e-004 5.6421e-006 4.7545e-008 6.1956e-007 7.1840e-007 3.2744e-008 3.9949e-009 2.5382e-008 9.4623e-008 4.8878e-008 8.4791e-009 1.6140e-009 1.3971e-009 1.2892e-009 5.6281e-010 8.3084e-011 4.2275e-014 3.6797e-012 1.3322e-012
          12 3.6923e-010 2.0782e-009 4.3651e-010 1.7104e-008 9.7326e-010 2.6864e-008 1.4510e-007 7.6873e-007 4.6443e-007 1.2242e-005 3.0379e-005 1.1840e-002 9.7008e-001 1.7491e-002 5.3398e-004 4.3773e-006 8.7618e-007 4.7731e-007 6.2082e-007 1.9503e-007 4.9358e-008 4.4881e-009 4.0390e-008 3.8244e-008 2.8127e-008 2.0380e-008 1.2910e-008 6.4338e-009 2.5827e-009 8.7224e-010 1.4577e-010 4.1638e-011
          13 2.0283e-010 3.6268e-010 1.2505e-009 2.4023e-009 5.7572e-009 3.3648e-009 4.4859e-008 3.1963e-009 1.1899e-006 1.3314e-010 1.9814e-005 8.9483e-006 1.8288e-002 9.5374e-001 2.7011e-002 9.2807e-004 5.4992e-007 3.5400e-006 2.0340e-007 7.4946e-007 1.6061e-007 1.9173e-007 2.2895e-008 1.6950e-008 2.9108e-008 1.4621e-008 1.0401e-008 1.1377e-008 1.1055e-008 7.6004e-009 1.8797e-009 5.6144e-010
          14 3.5211e-010 5.5532e-011 2.0775e-011 1.3518e-010 5.1381e-009 1.5641e-012 3.2270e-008 4.5441e-008 4.9258e-008 1.1971e-006 6.2165e-007 2.6370e-005 9.2372e-007 2.8326e-002 9.2711e-001 4.2604e-002 1.9035e-003 9.3790e-006 1.2978e-005 2.1770e-007 3.5496e-007 2.6914e-007 3.2572e-007 5.5993e-008 7.2935e-010 7.3062e-011 6.3307e-010 3.3424e-009 6.3500e-009 5.8993e-009 1.6443e-009 4.9709e-010
          15 4.2124e-012 5.3781e-013 9.3813e-010 6.2641e-011 5.6628e-009 2.0028e-009 1.3058e-008 9.6886e-008 1.4428e-010 2.7828e-007 5.9376e-007 3.2768e-006 2.9811e-005 5.2374e-005 4.4980e-002 8.7986e-001 7.0060e-002 4.7801e-003 1.6508e-004 5.7494e-005 1.5517e-006 5.4777e-008 7.5526e-008 6.4157e-007 1.5697e-007 8.8784e-009 6.6667e-009 9.4795e-009 4.6627e-009 9.4996e-010 6.8289e-011 1.6715e-011
          16 1.4690e-010 2.4964e-010 2.9595e-011 1.1270e-011 5.8080e-009 8.0862e-011 1.9887e-009 4.9647e-008 6.7044e-008 6.5701e-008 5.2971e-007 1.0989e-007 7.8862e-006 2.5619e-005 3.1781e-004 7.4980e-002 7.8450e-001 1.2249e-001 1.5421e-002 1.7286e-003 4.6748e-004 4.9402e-005 5.5120e-006 1.1028e-006 3.6651e-007 2.8263e-009 1.0656e-007 1.6602e-007 7.6959e-008 2.1318e-008 2.9159e-009 8.1088e-010
          17 1.7142e-010 3.4087e-010 7.3681e-010 2.3103e-010 1.5234e-009 5.3330e-009 5.9606e-009 1.4956e-009 9.3292e-008 4.4931e-009 2.3893e-007 2.6714e-007 2.3212e-007 1.2268e-005 8.4218e-006 1.5353e-003 1.2774e-001 5.2479e-001 2.1881e-001 7.0567e-002 2.5212e-002 1.2858e-002 6.7131e-003 4.4807e-003 3.3036e-003 2.3576e-003 1.2814e-003 2.5700e-004 3.8631e-006 2.1922e-006 1.4052e-007 3.4424e-008
          18 4.3761e-012 8.8474e-012 2.5474e-011 7.2711e-012 2.9521e-011 1.6966e-010 1.4372e-010 1.0692e-011 2.3986e-009 3.1158e-010 5.5478e-009 7.7267e-009 3.1215e-009 2.8031e-007 3.3196e-007 2.2939e-005 2.4679e-003 1.4578e-002 2.3460e-003 2.3536e-005 2.3466e-003 9.9978e-003 3.1725e-002 8.1426e-002 1.6754e-001 2.7223e-001 2.7756e-001 1.2661e-001 1.0201e-002 3.5885e-004 1.5672e-005 3.8897e-006
          19 6.0691e-012 1.2600e-011 5.8610e-011 1.4615e-011 2.0067e-011 3.4395e-010 1.6179e-010 4.5829e-012 3.3460e-009 1.3594e-009 6.3541e-009 1.4388e-008 7.7685e-010 3.2388e-007 7.5878e-007 1.1271e-005 2.0546e-003 2.1716e-002 4.1710e-005 7.9942e-003 2.2182e-002 4.4473e-002 7.8996e-002 1.0708e-001 8.5184e-002 1.2276e-002 5.4959e-002 3.0821e-001 2.4443e-001 8.2903e-003 6.6914e-004 1.7582e-004
          20 1.0858e-011 2.2886e-011 1.4764e-010 3.4040e-011 1.4872e-011 8.0072e-010 2.2226e-010 7.0737e-011 5.9965e-009 4.3988e-009 9.6748e-009 3.3266e-008 2.4707e-011 5.2132e-007 1.7455e-006 8.8103e-006 2.5815e-003 3.9385e-002 5.2771e-003 3.0100e-002 4.7990e-002 6.0303e-002 6.2160e-002 3.6020e-002 1.7688e-003 2.6197e-002 6.6808e-002 1.7058e-005 2.8858e-001 3.3157e-001 1.8721e-006 1.2059e-005
          21 1.0103e-011 2.1457e-011 1.7017e-010 3.7528e-011 5.0155e-012 8.8057e-010 1.6204e-010 1.3189e-010 5.5905e-009 5.6695e-009 7.9993e-009 3.7005e-008 2.2402e-010 4.6020e-007 1.8678e-006 4.4982e-006 1.9407e-003 3.6734e-002 1.2047e-002 3.5544e-002 3.9957e-002 3.3495e-002 1.8488e-002 1.4227e-003 8.2527e-003 2.9606e-002 5.8306e-003 3.1737e-002 1.8422e-002 3.1113e-001 2.9675e-001 4.7933e-002
          22 4.4488e-012 9.4782e-012 8.3435e-011 1.8015e-011 9.0603e-013 4.2196e-010 6.1141e-011 7.6521e-011 2.4660e-009 2.9108e-009 3.3001e-009 1.7894e-008 2.7959e-010 1.9833e-007 8.7988e-007 1.4122e-006 7.7119e-004 1.6192e-002 7.4188e-003 1.6876e-002 1.5637e-002 9.9541e-003 3.0138e-003 2.4921e-004 7.2540e-003 9.3930e-003 1.5049e-005 1.5989e-002 7.6839e-005 4.1851e-002 6.0775e-001 2.5849e-002
