   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51
           0 4.2846e-001 3.0848e-001 1.6083e-001 6.7426e-002 2.3813e-002 7.6249e-003 2.3546e-003 7.2025e-004 2.1677e-004 6.2215e-005 1.6274e-005 3.7852e-006 8.5314e-007 2.5014e-007 1.1886e-007 6.7525e-008 2.8551e-008 5.4211e-009 7.3911e-014 1.2381e-009 1.3499e-009 4.1305e-010 3.7842e-012 8.9075e-011 1.5842e-010 1.1539e-010 6.1335e-011 3.7855e-011 3.5220e-011 3.7440e-011 2.9779e-011 1.0856e-011 3.4833e-014 1.7425e-011 5.8308e-011 9.4423e-011 9.9737e-011 7.2157e-011 3.2231e-011 4.7717e-012 1.7053e-012 1.7936e-011 3.9032e-011 5.2028e-011 5.1826e-011 4.1139e-011 2.6433e-011 1.3532e-011 5.2552e-012 1.4082e-012 2.3192e-013 2.8966e-014
           1 4.9322e-001 6.5660e-002 1.3185e-001 1.3035e-001 9.7508e-002 5.1135e-002 2.0058e-002 6.6671e-003 2.2153e-003 8.3231e-004 3.3772e-004 1.2485e-004 3.5628e-005 6.7706e-006 6.9777e-007 3.5387e-008 2.0658e-008 9.4511e-008 1.9648e-007 2.0415e-007 1.1123e-007 2.1603e-008 1.1296e-009 2.3371e-008 3.6353e-008 2.5425e-008 8.0765e-009 2.0438e-010 1.9669e-009 5.8274e-009 6.8794e-009 5.1252e-009 2.6141e-009 8.2634e-010 7.7910e-011 4.6434e-011 3.2532e-010 6.4748e-010 8.8494e-010 9.9001e-010 9.5600e-010 8.0403e-010 5.7948e-010 3.4221e-010 1.4883e-010 3.3803e-011 4.5186e-016 2.2538e-011 6.2686e-011 8.3960e-011 6.6110e-011 2.9237e-011
           2 7.0123e-002 5.7196e-001 4.1007e-002 1.1496e-001 7.1629e-002 5.4422e-002 4.0899e-002 2.2640e-002 8.6919e-003 2.4929e-003 6.6901e-004 2.4148e-004 1.3189e-004 7.9769e-005 3.8108e-005 1.0876e-005 8.9417e-007 1.9172e-007 7.1134e-007 3.4964e-007 8.6417e-009 1.1500e-007 3.1404e-007 3.1996e-007 1.7862e-007 4.6158e-008 1.0317e-010 2.2072e-008 5.8384e-008 7.1411e-008 5.5729e-008 2.7673e-008 6.2408e-009 4.4249e-011 5.7798e-009 1.4622e-008 1.9454e-008 1.8184e-008 1.2823e-008 6.7054e-009 2.2552e-009 2.3168e-010 1.3497e-010 9.9243e-010 1.9625e-009 2.5789e-009 2.7218e-009 2.4755e-009 1.9908e-009 1.3935e-009 7.6581e-010 2.8879e-010
           3 6.7496e-003 5.0398e-002 5.0311e-001 2.1860e-005 1.1594e-001 1.1868e-001 8.1255e-002 5.6382e-002 3.6493e-002 1.9238e-002 7.8943e-003 2.5925e-003 7.5663e-004 2.4487e-004 1.1090e-004 6.6196e-005 3.8815e-005 1.7377e-005 4.6831e-006 3.5837e-007 1.0987e-007 4.4130e-007 3.3178e-007 7.5326e-008 4.2896e-009 1.0740e-007 2.0939e-007 2.0484e-007 1.1967e-007 3.5047e-008 6.1799e-010 1.1173e-008 3.4866e-008 4.6890e-008 4.1776e-008 2.7043e-008 1.2318e-008 3.0830e-009 3.3382e-011 1.1626e-009 3.9259e-009 6.4360e-009 7.7636e-009 7.7594e-009 6.7371e-009 5.1837e-009 3.5568e-009 2.1723e-009 1.1734e-009 5.5303e-010 2.1653e-010 6.7055e-011
           4 2.0667e-004 4.0613e-005 1.4932e-001 4.2042e-001 3.9978e-002 5.3999e-002 1.0848e-001 8.2950e-002 5.6567e-002 3.9712e-002 2.5650e-002 1.3754e-002 5.8995e-003 2.0355e-003 6.0326e-004 1.8631e-004 8.0034e-005 5.0237e-005 3.5050e-005 2.1021e-005 9.2068e-006 2.3192e-006 9.4355e-008 2.1855e-007 6.1380e-007 5.2849e-007 1.9717e-007 7.9295e-009 4.7219e-008 1.6729e-007 2.2364e-007 1.8666e-007 1.0579e-007 3.6469e-008 3.4411e-009 2.8473e-009 1.8568e-008 3.5276e-008 4.4048e-008 4.2701e-008 3.3730e-008 2.1640e-008 1.0660e-008 3.3472e-009 2.4769e-010 3.8384e-010 2.1177e-009 3.9275e-009 4.8352e-009 4.4536e-009 2.8861e-009 1.1737e-009
           5 1.0824e-003 1.8616e-003 8.0080e-003 2.2704e-001 2.8040e-001 1.1337e-001 1.0833e-002 8.9219e-002 9.2111e-002 6.4718e-002 4.4206e-002 3.0301e-002 1.9174e-002 1.0411e-002 4.6648e-003 1.7166e-003 5.4220e-004 1.6766e-004 6.4210e-005 3.6134e-005 2.6538e-005 1.9624e-005 1.2028e-005 5.2560e-006 1.2464e-006 2.5854e-008 2.0227e-007 5.0209e-007 4.7868e-007 2.5668e-007 6.3313e-008 3.2537e-013 4.2113e-008 1.1580e-007 1.6041e-007 1.5411e-007 1.0978e-007 5.5780e-008 1.6193e-008 4.8976e-010 4.4075e-009 1.7210e-008 2.9047e-008 3.4715e-008 3.3680e-008 2.8108e-008 2.0785e-008 1.3835e-008 8.3458e-009 4.5122e-009 2.0310e-009 6.8808e-010
           6 3.1028e-006 1.2742e-003 4.4750e-003 2.9220e-002 2.9634e-001 1.5924e-001 1.6822e-001 6.1187e-004 5.3679e-002 8.6238e-002 6.9356e-002 4.7828e-002 3.3046e-002 2.2601e-002 1.4274e-002 7.8238e-003 3.6066e-003 1.3966e-003 4.6730e-004 1.4679e-004 5.2446e-005 2.7207e-005 2.0493e-005 1.7158e-005 1.2679e-005 7.3182e-006 2.9671e-006 6.4158e-007 5.0038e-009 1.7272e-007 4.3848e-007 4.9680e-007 3.5437e-007 1.5383e-007 2.3702e-008 4.8158e-009 5.8914e-008 1.2179e-007 1.5042e-007 1.3753e-007 9.9485e-008 5.7336e-008 2.4940e-008 6.6236e-009 2.5821e-010 1.2376e-009 5.1440e-009 8.8457e-009 1.0598e-008 9.7054e-009 6.3070e-009 2.5730e-009
           7 1.1099e-004 2.0795e-004 9.8942e-004 9.2486e-003 5.9598e-002 3.3044e-001 7.6946e-002 1.8566e-001 1.6974e-002 2.3407e-002 7.2031e-002 7.1898e-002 5.2676e-002 3.6239e-002 2.5180e-002 1.7131e-002 1.0722e-002 5.9145e-003 2.8175e-003 1.1492e-003 4.0500e-004 1.3103e-004 4.5914e-005 2.2053e-005 1.5472e-005 1.3103e-005 1.0887e-005 7.8840e-006 4.5976e-006 1.9307e-006 4.2777e-007 1.5389e-009 1.5248e-007 3.8273e-007 4.4915e-007 3.5252e-007 1.9619e-007 6.9439e-008 7.7444e-009 4.0783e-009 3.3143e-008 6.9227e-008 9.4787e-008 1.0250e-007 9.3578e-008 7.4197e-008 5.1702e-008 3.1758e-008 1.7170e-008 8.0961e-009 3.1781e-009 9.8702e-010
           8 1.2105e-005 2.9154e-005 2.8023e-004 7.9059e-004 1.3686e-002 9.3261e-002 3.5101e-001 3.2892e-002 1.7343e-001 4.1685e-002 5.6503e-003 5.1916e-002 6.7457e-002 5.4892e-002 3.8612e-002 2.6866e-002 1.8819e-002 1.2727e-002 7.9439e-003 4.4276e-003 2.1547e-003 9.0766e-004 3.3495e-004 1.1348e-004 3.9570e-005 1.7372e-005 1.1249e-005 9.8045e-006 9.1182e-006 7.6682e-006 5.3788e-006 2.9846e-006 1.1977e-006 2.5929e-007 8.7916e-010 1.0126e-007 2.8203e-007 3.8466e-007 3.6806e-007 2.6787e-007 1.4629e-007 5.2697e-008 6.7143e-009 1.9653e-009 1.9788e-008 4.1964e-008 5.7146e-008 6.1356e-008 5.5474e-008 4.2179e-008 2.4426e-008 9.4416e-009
           9 5.4022e-006 7.5186e-005 1.7849e-009 4.1886e-004 4.6004e-004 1.6882e-002 1.2223e-001 3.6417e-001 1.4499e-002 1.4747e-001 6.1690e-002 8.9721e-005 3.3325e-002 5.8896e-002 5.4876e-002 4.0677e-002 2.8548e-002 2.0114e-002 1.4094e-002 9.4823e-003 5.8932e-003 3.2894e-003 1.6271e-003 7.1057e-004 2.7489e-004 9.6756e-005 3.3972e-005 1.4412e-005 8.8416e-006 7.4631e-006 7.0555e-006 6.4058e-006 5.1902e-006 3.5986e-006 2.0324e-006 8.4717e-007 1.9418e-007 1.2478e-009 7.0825e-008 2.0808e-007 2.9709e-007 3.0640e-007 2.5557e-007 1.7914e-007 1.0556e-007 5.0342e-008 1.7366e-008 2.9445e-009 1.0647e-011 1.3970e-009 2.0791e-009 1.1215e-009
