   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
          12 2.9030e-008 3.0075e-008 2.6875e-008 4.4097e-007 5.3925e-007 2.1833e-008 4.9237e-006 3.4811e-005 1.1232e-004 5.6351e-004 6.7852e-003 9.6900e-002 7.5428e-001 1.4053e-001 7.1411e-004 3.0026e-005 2.4076e-005 1.1787e-005 4.3247e-006 8.4546e-007 1.1378e-007 1.3237e-008 1.4457e-007 2.1145e-007 2.0277e-007 1.6553e-007 1.1801e-007 7.2061e-008 3.9199e-008 2.0692e-008 1.0652e-008
          13 7.3329e-009 3.0499e-008 4.7871e-009 1.3444e-007 5.0977e-007 2.9060e-007 5.4081e-007 8.8268e-006 4.4653e-005 1.3848e-004 8.0175e-004 9.5429e-003 1.1371e-001 7.0540e-001 1.6901e-001 1.2715e-003 2.3908e-005 2.1570e-005 1.1762e-005 6.3776e-006 1.2919e-006 4.5381e-007 8.8284e-008 6.3294e-009 7.5786e-008 9.6919e-008 7.4893e-008 4.5694e-008 2.4631e-008 1.2926e-008 6.6332e-009
          14 1.3271e-011 1.1662e-008 1.9460e-008 9.2055e-009 2.8658e-007 5.6271e-007 3.7364e-008 2.0477e-006 1.4435e-005 5.4890e-005 1.7533e-004 1.1808e-003 1.3303e-002 1.3160e-001 6.4899e-001 2.0242e-001 2.1999e-003 2.0026e-005 1.7752e-005 1.1808e-005 7.0194e-006 2.3159e-006 1.0569e-006 3.6589e-007 5.5436e-008 6.2085e-010 3.1236e-009 4.9031e-009 3.6051e-009 2.1526e-009 1.1726e-009
          15 2.5771e-009 2.6196e-009 1.4227e-008 6.3507e-010 1.1589e-007 4.2287e-007 3.8549e-007 1.1524e-007 4.6683e-006 2.1273e-005 6.8882e-005 2.3969e-004 1.7969e-003 1.8367e-002 1.5025e-001 5.8360e-001 2.4183e-001 3.7729e-003 1.8638e-005 1.3486e-005 1.1128e-005 7.7272e-006 2.6950e-006 1.6267e-006 9.8423e-007 4.2321e-007 1.4568e-007 4.7906e-008 1.7199e-008 7.1183e-009 3.2048e-009
          16 3.1172e-009 5.7198e-010 9.0930e-009 3.8480e-009 2.9144e-008 2.3920e-007 4.4658e-007 1.3165e-007 8.7951e-007 8.4514e-006 2.7848e-005 8.4393e-005 3.4882e-004 2.7975e-003 2.5103e-002 1.6897e-001 5.0741e-001 2.8860e-001 6.5620e-003 2.9053e-005 5.7053e-006 1.0864e-005 8.3619e-006 3.2583e-006 1.7961e-006 1.1012e-006 6.0244e-007 2.9745e-007 1.4152e-007 6.9343e-008 3.4308e-008
          17 1.7185e-009 1.2128e-010 7.7319e-009 7.7379e-009 1.6629e-009 1.2448e-007 3.4702e-007 3.3961e-007 7.9592e-009 2.5662e-006 1.3045e-005 3.6417e-005 1.1132e-004 5.4928e-004 4.4271e-003 3.4006e-002 1.8638e-001 4.1791e-001 3.4417e-001 1.2273e-002 1.0209e-004 6.1516e-007 4.3358e-006 8.9356e-006 4.4159e-006 2.3230e-006 1.3442e-006 7.1912e-007 3.5898e-007 1.8022e-007 9.0251e-008
          18 7.1322e-010 2.4993e-012 6.5347e-009 1.2852e-008 1.7603e-009 5.3003e-008 2.4549e-007 3.2002e-007 8.7494e-008 4.5166e-007 5.6056e-006 1.8352e-005 4.6426e-005 1.6095e-004 9.2509e-004 7.0395e-003 4.5506e-002 2.0040e-001 3.1049e-001 4.0972e-001 2.5276e-002 3.7848e-004 1.9386e-007 3.5071e-007 3.7034e-006 2.9742e-006 2.0138e-006 1.2198e-006 6.5921e-007 3.4575e-007 1.7718e-007
          19 3.4456e-010 2.4688e-010 4.0286e-009 1.5163e-008 6.8265e-009 1.4481e-008 1.5526e-007 2.6512e-007 1.7137e-007 2.4375e-008 1.8139e-006 9.0829e-006 2.4020e-005 6.2736e-005 2.6802e-004 1.6847e-003 1.1369e-002 5.9859e-002 2.0858e-001 1.8661e-001 4.7791e-001 5.2404e-002 1.1872e-003 4.7836e-006 1.0155e-006 3.9541e-007 6.6284e-007 4.8276e-007 2.9335e-007 1.6563e-007 8.8498e-008
          20 2.4971e-010 7.5515e-010 1.5592e-009 1.2834e-008 9.0550e-009 1.3635e-009 8.3703e-008 2.1915e-007 1.9855e-007 9.6054e-009 4.7037e-007 4.1188e-006 1.3330e-005 3.1426e-005 9.7795e-005 5.0148e-004 3.1625e-003 1.8278e-002 7.7519e-002 2.0005e-001 7.0921e-002 5.2234e-001 1.0410e-001 2.8565e-003 9.2228e-005 5.9195e-007 1.1299e-006 3.9673e-007 1.1889e-007 3.9914e-008 1.5301e-008
          21 2.3621e-010 1.1916e-009 2.7974e-010 8.5673e-009 8.7449e-009 2.3152e-010 3.9276e-008 1.7227e-007 2.0252e-007 5.2237e-008 1.0759e-007 1.8403e-006 7.3617e-006 1.8337e-005 4.5236e-005 1.8671e-004 1.0689e-003 6.1796e-003 2.8774e-002 9.8085e-002 1.6042e-001 5.3312e-003 5.1686e-001 1.7879e-001 3.4865e-003 7.3672e-004 4.6171e-005 2.2846e-006 3.6402e-008 1.4327e-008 2.7723e-008
          22 2.3869e-010 1.4112e-009 1.1306e-012 4.9337e-009 7.5788e-009 1.9130e-009 1.6649e-008 1.2782e-007 1.9354e-007 9.1337e-008 1.8145e-008 8.6356e-007 4.1583e-006 1.1467e-005 2.6178e-005 8.6131e-005 4.3284e-004 2.4277e-003 1.1814e-002 4.4601e-002 1.1142e-001 9.3166e-002 1.0591e-002 4.7197e-001 2.5049e-001 3.0024e-004 1.5687e-003 5.4233e-004 1.7892e-004 6.9219e-005 2.9907e-005
          23 2.3134e-010 1.4153e-009 1.8485e-010 2.4987e-009 6.2324e-009 3.2750e-009 6.2589e-009 8.8957e-008 1.7240e-007 1.1617e-007 2.6329e-010 4.1863e-007 2.4263e-006 7.3450e-006 1.7104e-005 4.6647e-005 2.0047e-004 1.0734e-003 5.3595e-003 2.1116e-002 6.2739e-002 1.0081e-001 2.8226e-002 4.3966e-002 4.5070e-001 2.7460e-001 8.6066e-003 3.7193e-008 1.5630e-004 1.3761e-004 8.2543e-005
          24 2.0607e-010 1.2543e-009 4.5245e-010 1.1014e-009 4.8991e-009 3.7393e-009 1.9779e-009 5.7990e-008 1.4199e-007 1.2299e-007 3.9600e-009 2.0071e-007 1.4495e-006 4.7315e-006 1.1544e-005 2.7846e-005 1.0303e-004 5.1482e-004 2.6062e-003 1.0557e-002 3.3636e-002 7.1920e-002 6.1114e-002 9.1439e-004 5.0986e-002 5.1212e-001 1.9037e-001 4.5293e-002 1.0192e-002 3.0741e-003 1.1458e-003
          25 1.6650e-010 1.0013e-009 6.0959e-010 4.1645e-010 3.6639e-009 3.4757e-009 4.7599e-010 3.5671e-008 1.0805e-007 1.1298e-007 1.2706e-008 9.1943e-008 8.7262e-007 3.0371e-006 7.6963e-006 1.7407e-005 5.7166e-005 2.6281e-004 1.3272e-003 5.5102e-003 1.8121e-002 4.4296e-002 5.8163e-002 1.9149e-002 4.2855e-003 2.2691e-002 6.6491e-001 2.9978e-002 3.3596e-002 1.7334e-002 8.3903e-003
          26 1.2005e-010 7.1630e-010 5.9887e-010 1.3266e-010 2.5456e-009 2.7607e-009 6.7636e-011 2.0654e-008 7.4974e-008 9.0145e-008 1.8098e-008 3.9339e-008 5.1294e-007 1.8914e-006 4.9018e-006 1.0800e-005 3.2618e-005 1.3865e-004 6.8836e-004 2.9164e-003 9.7786e-003 2.5464e-002 4.1235e-002 2.6945e-002 9.9195e-004 1.0649e-002 6.1705e-004 7.5505e-001 2.8795e-002 6.6206e-004 4.6923e-005
          27 7.3538e-011 4.3780e-010 4.4413e-010 3.5484e-011 1.5421e-009 1.8140e-009 1.6888e-012 1.0825e-008 4.5029e-008 5.9559e-008 1.6396e-008 1.5436e-008 2.7593e-007 1.0676e-006 2.7985e-006 6.1234e-006 1.7539e-005 7.0325e-005 3.4153e-004 1.4666e-003 4.9823e-003 1.3376e-002 2.4039e-002 2.0958e-002 4.1846e-003 1.3034e-003 9.1800e-003 8.6781e-002 5.7842e-001 1.1014e-001 3.2865e-002
          28 3.3233e-011 1.9798e-010 2.2242e-010 8.1801e-012 6.9691e-010 8.5564e-010 9.8887e-013 4.4767e-009 2.0195e-008 2.8177e-008 9.0765e-009 5.1616e-009 1.1640e-007 4.6461e-007 1.2241e-006 2.6777e-006 7.4570e-006 2.8923e-005 1.3817e-004 5.9742e-004 2.0446e-003 5.5655e-003 1.0489e-002 1.0362e-002 3.1861e-003 4.7247e-005 2.6371e-003 2.9960e-003 3.0181e-001 4.1517e-001 6.4838e-002
          29 8.7720e-012 5.2295e-011 6.0982e-011 1.5608e-012 1.8419e-010 2.2971e-010 7.4977e-013 1.1428e-009 5.3198e-009 7.5722e-009 2.5792e-009 1.2008e-009 2.9963e-008 1.2112e-007 3.1966e-007 6.9961e-007 1.9284e-006 7.3874e-006 3.5048e-005 1.5189e-004 5.2129e-004 1.4257e-003 2.7306e-003 2.8120e-003 9.7988e-004 1.1621e-007 5.3720e-004 9.8398e-004 3.1922e-003 2.8926e-001 6.3121e-001
