   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46
           0 9.6247e-001 7.0214e-012 7.5208e-010 3.7520e-002 2.0869e-008 1.2393e-008 8.5219e-007 3.8244e-008 1.9260e-007 4.8886e-006 8.0978e-008 1.0381e-010 1.3201e-009 1.4621e-009 4.4717e-009 7.7171e-010 1.1868e-009 4.1337e-009 2.7160e-009 2.9695e-010 1.5307e-010 4.1438e-010 5.9623e-011 1.9588e-010 1.0046e-009 1.3980e-009 9.1310e-010 2.1324e-010 9.0627e-012 2.9081e-010 5.9857e-010 6.2239e-010 4.0904e-010 1.6739e-010 3.1866e-011 3.2656e-014 6.7181e-012 7.2710e-012 5.8679e-013 5.1695e-012 3.0276e-011 6.7049e-011 9.7956e-011 1.0957e-010 9.9346e-011 7.2144e-011 3.1991e-011
           1 3.4996e-002 1.5163e-009 7.2476e-008 8.9503e-001 6.5246e-008 2.8857e-006 6.9804e-002 3.4042e-005 1.8219e-005 7.4696e-005 2.5188e-006 1.7238e-005 2.1640e-005 2.8504e-006 8.7702e-008 1.2423e-008 7.1381e-009 6.2342e-010 3.9083e-009 8.1379e-010 8.2086e-010 4.9258e-009 6.8280e-009 4.8055e-009 1.6516e-009 6.1298e-011 4.0885e-010 1.4447e-009 1.8989e-009 1.4576e-009 6.4558e-010 9.7947e-011 1.6393e-011 1.8032e-010 2.8802e-010 2.2610e-010 8.3399e-011 1.6136e-012 4.3579e-011 1.6877e-010 2.9161e-010 3.4783e-010 3.2542e-010 2.5086e-010 1.6304e-010 8.8157e-011 3.1572e-011
           2 2.3179e-003 4.0165e-008 5.9525e-007 5.9980e-002 7.9260e-006 1.1846e-004 8.4470e-001 8.3326e-005 8.2701e-004 8.3664e-002 5.2846e-003 2.1129e-003 7.5840e-004 1.3709e-006 7.8271e-005 5.4578e-005 8.8666e-006 1.1319e-010 8.5118e-007 3.4482e-007 4.0620e-009 2.1662e-007 2.4373e-007 7.5405e-008 7.2431e-012 4.0217e-008 7.2400e-008 5.1607e-008 1.5779e-008 2.5031e-010 4.5637e-009 1.2264e-008 1.3547e-008 9.2091e-009 3.9638e-009 8.1769e-010 7.5964e-018 3.9070e-010 9.3535e-010 1.1602e-009 1.0541e-009 7.7976e-010 4.9188e-010 2.6847e-010 1.2710e-010 5.1129e-011 1.4483e-011
           3 1.9014e-004 1.0636e-006 1.1478e-005 6.6249e-003 6.7841e-005 3.0066e-004 6.9273e-002 2.5143e-003 2.3381e-002 7.9492e-001 1.4510e-002 6.2380e-003 4.6617e-002 2.5307e-002 8.3957e-003 1.2562e-003 5.3253e-006 2.0935e-004 1.4275e-004 2.4663e-005 2.3579e-007 6.8763e-006 5.0711e-006 7.1761e-007 2.0181e-007 1.2432e-006 1.2909e-006 5.6504e-007 5.7869e-008 3.6931e-008 2.0054e-007 2.6724e-007 1.9675e-007 8.4524e-008 1.3694e-008 1.2434e-009 2.0515e-008 4.0314e-008 4.5487e-008 3.7042e-008 2.3096e-008 1.0803e-008 3.3537e-009 3.9539e-010 4.7302e-011 4.4005e-010 4.0123e-010
           4 2.0740e-005 1.8271e-005 1.5011e-004 7.0684e-004 6.8510e-004 2.3725e-003 1.4150e-002 6.1192e-003 1.4202e-002 3.2725e-002 9.1614e-002 3.0630e-001 4.1355e-001 4.5557e-002 2.7144e-003 2.9442e-002 2.7162e-002 1.0248e-002 1.4291e-003 1.2517e-005 3.6980e-004 3.0900e-004 8.2720e-005 9.5594e-007 1.3249e-005 2.1460e-005 1.1032e-005 1.4952e-006 3.4393e-007 2.6018e-006 3.3451e-006 2.1472e-006 6.8213e-007 2.8476e-008 1.1790e-007 4.1501e-007 5.4828e-007 4.6250e-007 2.7520e-007 1.1002e-007 2.0943e-008 9.8060e-011 1.4445e-008 3.4203e-008 4.3615e-008 3.8572e-008 1.9106e-008
           5 3.2963e-006 2.0928e-004 1.3315e-003 1.1796e-004 4.6396e-003 1.1835e-002 1.0663e-003 2.5464e-002 5.0083e-002 3.0099e-002 4.1335e-002 2.2586e-002 5.6838e-002 2.4828e-001 2.8587e-001 1.4594e-001 1.4911e-002 4.9003e-003 2.2881e-002 2.0726e-002 8.4561e-003 1.3037e-003 6.2718e-006 3.8913e-004 4.2789e-004 1.7972e-004 2.1024e-005 3.9098e-006 2.6178e-005 2.8387e-005 1.4344e-005 2.7624e-006 5.1915e-008 2.1821e-006 4.0514e-006 3.8554e-006 2.3738e-006 9.0875e-007 1.3214e-007 1.5841e-008 2.2011e-007 4.3816e-007 5.2807e-007 4.8516e-007 3.6765e-007 2.3019e-007 9.2608e-008
           6 4.1779e-007 1.7237e-003 8.2310e-003 1.6099e-005 2.1510e-002 4.0570e-002 5.8951e-004 6.0161e-002 7.0064e-002 1.2624e-003 7.2685e-002 3.1463e-002 1.7338e-003 4.6988e-003 2.4263e-002 1.7298e-001 2.4412e-001 1.5263e-001 4.1536e-002 4.1932e-004 9.3973e-003 1.8444e-002 1.3947e-002 5.5334e-003 8.8368e-004 4.2162e-006 3.1278e-004 4.1281e-004 2.3619e-004 6.1289e-005 1.1067e-006 1.1468e-005 2.7721e-005 2.6312e-005 1.4398e-005 4.0827e-006 1.2729e-007 7.9963e-007 2.6713e-006 3.6315e-006 3.3292e-006 2.3275e-006 1.2848e-006 5.4876e-007 1.6814e-007 3.0301e-008 2.0715e-009
           7 9.2054e-008 1.0080e-002 3.4435e-002 2.9240e-006 6.3515e-002 8.1615e-002 2.3441e-005 7.7351e-002 4.8802e-002 2.0061e-004 1.3593e-002 4.8174e-003 3.6871e-002 1.2395e-003 8.3937e-003 1.4998e-003 2.6759e-002 1.3025e-001 1.9978e-001 1.5306e-001 5.8684e-002 6.1243e-003 2.1383e-003 1.2226e-002 1.4504e-002 9.1447e-003 3.3162e-003 4.8288e-004 1.0068e-005 2.6069e-004 3.6541e-004 2.4920e-004 9.4867e-005 1.2996e-005 1.2918e-006 1.5754e-005 2.5257e-005 2.2701e-005 1.3866e-005 5.6593e-006 1.1503e-006 1.1515e-011 5.5558e-007 1.3759e-006 1.7471e-006 1.5223e-006 7.4408e-007
           8 4.8809e-008 4.2067e-002 9.2270e-002 1.9482e-006 1.0458e-001 7.3222e-002 9.3225e-007 2.6957e-002 6.5315e-004 4.5743e-003 7.1455e-003 2.6075e-002 4.8809e-009 3.3507e-002 2.3611e-002 3.9485e-006 8.1348e-003 4.0682e-004 2.5113e-002 1.0980e-001 1.6648e-001 1.3789e-001 6.5889e-002 1.3600e-002 1.2846e-005 6.3540e-003 1.1916e-002 1.0587e-002 5.8666e-003 1.9745e-003 2.5834e-004 1.4642e-005 2.1094e-004 3.1066e-004 2.4548e-004 1.2433e-004 3.6290e-005 2.3264e-006 3.0649e-006 1.3569e-005 1.9840e-005 1.9103e-005 1.4225e-005 8.6552e-006 4.4013e-006 1.8575e-006 5.4265e-007
           9 1.4137e-008 1.2255e-001 1.3996e-001 1.6813e-008 6.6215e-002 7.0198e-003 5.0126e-005 6.1964e-003 3.3420e-002 1.5300e-004 3.9075e-002 8.0112e-003 1.2480e-002 6.0146e-003 8.3109e-003 2.9427e-002 7.2685e-003 1.8261e-003 6.5155e-003 6.3664e-005 2.7939e-002 9.5657e-002 1.4042e-001 1.2193e-001 6.5738e-002 1.8756e-002 7.4215e-004 2.6054e-003 8.4055e-003 9.9344e-003 7.3242e-003 3.6893e-003 1.1725e-003 1.3998e-004 1.5299e-005 1.6287e-004 2.5276e-004 2.2694e-004 1.4362e-004 6.5109e-005 1.8386e-005 1.3983e-006 1.0593e-006 5.5455e-006 8.4947e-006 8.0158e-006 4.0612e-006
