   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84
           0 9.8641e-001 1.3248e-002 3.3109e-004 9.5548e-006 1.2950e-045 5.4083e-033 6.6947e-043 9.6124e-042 4.8460e-040 4.1424e-038 1.2281e-035 1.5495e-024 2.1920e-034 6.9754e-034 6.3552e-033 8.6980e-032 3.3495e-030 8.3360e-020 1.1902e-031 2.2192e-029 5.3901e-028 1.2736e-026 8.9953e-025 2.0921e-011 3.3598e-024 1.5577e-024 2.4038e-025 3.4042e-023 5.3868e-021 6.1620e-010 1.5742e-019 1.2943e-019 4.6425e-019 2.9436e-018 4.2394e-017 1.3817e-009 5.6894e-015 2.9799e-016 3.3205e-016 6.9877e-016 2.5303e-015 6.8984e-014 6.6283e-011 2.8421e-015 4.2146e-016 1.1256e-014 1.0414e-013 1.7415e-012 2.1567e-010 2.4003e-011 4.4880e-012 4.5343e-012 8.0249e-012 2.2087e-011 8.3196e-011 1.2965e-010 5.6519e-011 2.6199e-011 1.7212e-011 1.3921e-011 1.2268e-011 1.0281e-011 6.8131e-012 2.8846e-012 5.1250e-013 2.3063e-014 8.0159e-013 2.4716e-012 4.9989e-012 8.4870e-012 1.2908e-011 1.7859e-011 2.2653e-011 2.6740e-011 2.9775e-011 3.1549e-011 3.2399e-011 3.2838e-011 3.2888e-011 3.2770e-011 3.2559e-011 3.1971e-011 3.1057e-011 2.9391e-011 2.6921e-011
           1 1.3585e-002 9.5822e-001 2.6876e-002 1.2682e-003 1.6953e-043 5.4631e-031 5.4714e-041 4.5213e-040 1.3543e-038 7.9107e-037 2.0206e-034 2.5986e-023 4.0503e-033 1.8627e-032 3.1107e-031 1.0353e-029 1.6835e-027 1.0964e-016 1.0148e-026 2.1966e-026 1.4622e-025 1.8681e-024 9.9472e-023 2.2388e-009 3.7967e-022 2.9998e-022 8.1934e-022 4.3705e-021 7.7197e-020 3.6447e-009 5.8056e-019 1.8638e-019 3.6513e-019 1.6886e-018 2.2168e-017 7.5294e-010 3.1431e-015 1.8952e-016 2.5492e-016 6.6744e-016 3.1137e-015 1.1894e-013 1.2718e-010 1.0162e-014 1.3105e-016 7.2802e-015 1.1840e-013 2.5870e-012 3.6695e-010 4.3248e-011 9.3659e-012 1.0763e-011 2.1371e-011 6.5251e-011 2.6841e-010 4.4705e-010 2.1047e-010 1.0697e-010 7.7562e-011 6.9754e-011 6.9212e-011 6.6819e-011 5.3455e-011 3.0748e-011 1.1531e-011 1.8879e-012 1.7636e-013 4.3617e-012 1.4094e-011 3.0178e-011 5.3266e-011 8.2210e-011 1.1379e-010 1.4464e-010 1.7200e-010 1.9354e-010 2.1019e-010 2.2466e-010 2.3681e-010 2.4797e-010 2.5870e-010 2.6660e-010 2.7176e-010 2.6986e-010 2.5925e-010
           2 1.5166e-006 2.8518e-002 9.3165e-001 3.6631e-002 8.6275e-042 3.3437e-029 3.8240e-039 4.2674e-038 1.6013e-036 1.0164e-034 2.3156e-032 2.6442e-021 3.3793e-031 9.7114e-031 9.3584e-030 1.7839e-028 1.7454e-026 9.5291e-016 6.9789e-026 1.1438e-025 6.7283e-025 8.8987e-024 5.6803e-022 1.4484e-008 2.9517e-021 3.5304e-021 1.5887e-020 1.4854e-019 4.7315e-018 3.1786e-007 6.2878e-017 3.2880e-017 9.1622e-017 5.1926e-016 7.4542e-015 2.6104e-007 1.0936e-012 6.8249e-014 9.9223e-014 3.0442e-013 1.8912e-012 1.1983e-010 1.5164e-007 2.7719e-011 1.5438e-011 2.2159e-011 5.7210e-011 3.8774e-010 2.7767e-008 2.3979e-009 2.1449e-010 9.5200e-011 5.8540e-011 2.6631e-011 4.8836e-012 2.0843e-010 3.5223e-010 4.3308e-010 6.0456e-010 9.3755e-010 1.5325e-009 2.4283e-009 3.3141e-009 3.6270e-009 3.3565e-009 2.9296e-009 2.5887e-009 2.3716e-009 2.2488e-009 2.1731e-009 2.0882e-009 1.9441e-009 1.7262e-009 1.4596e-009 1.1758e-009 9.0202e-010 6.6615e-010 4.7745e-010 3.2858e-010 2.1536e-010 1.3114e-010 7.0215e-011 2.9890e-011 7.3208e-012 3.7043e-014
           3 7.9626e-007 5.4872e-006 4.0972e-002 9.1214e-001 1.3281e-040 4.6573e-028 5.0518e-038 5.3470e-037 2.1242e-035 1.5780e-033 4.5413e-031 5.8668e-020 8.8316e-030 3.4844e-029 4.6538e-028 1.2125e-026 1.5588e-024 9.3171e-014 7.6414e-024 1.3945e-023 8.1396e-023 9.4739e-022 4.7595e-020 1.0539e-006 1.7643e-019 1.3798e-019 3.7420e-019 1.9359e-018 3.1019e-017 1.2996e-006 1.8511e-016 3.7675e-017 3.3960e-017 4.8833e-017 1.3888e-016 1.4752e-009 5.6048e-015 5.2927e-016 2.7623e-015 2.6316e-014 4.0139e-013 5.2678e-011 7.7498e-008 2.2557e-011 2.1635e-011 5.1307e-011 2.1516e-010 2.3786e-009 2.4445e-007 2.5362e-008 4.0780e-009 3.7547e-009 6.3348e-009 1.7236e-008 6.5982e-008 1.0590e-007 4.8728e-008 2.4825e-008 1.8727e-008 1.8310e-008 2.0802e-008 2.4502e-008 2.6050e-008 2.2884e-008 1.7314e-008 1.2525e-008 9.2869e-009 7.2141e-009 5.8482e-009 4.8590e-009 4.0264e-009 3.2328e-009 2.4667e-009 1.7754e-009 1.1953e-009 7.4284e-010 4.2180e-010 2.1119e-010 8.3170e-011 1.7973e-011 5.4650e-014 1.9120e-011 6.7313e-011 1.3569e-010 2.1177e-010
           4 8.7935e-008 9.4071e-006 1.5455e-004 4.9591e-002 2.4298e-039 9.9676e-027 1.1542e-036 1.2498e-035 4.3698e-034 2.5955e-032 5.7840e-030 6.6926e-019 8.9101e-029 2.9731e-028 3.6574e-027 9.5535e-026 1.3213e-023 8.2543e-013 7.3362e-023 1.5717e-022 1.1040e-021 1.5787e-020 9.9453e-019 2.4576e-005 4.7358e-018 4.9056e-018 1.8314e-017 1.3717e-016 3.3933e-015 1.9268e-004 3.4021e-014 1.3045e-014 2.5940e-014 1.0216e-013 9.9259e-013 2.4290e-005 9.5959e-011 3.8322e-012 3.4423e-012 6.2378e-012 2.1481e-011 6.8326e-010 7.2223e-007 6.6586e-011 1.0651e-011 9.3209e-013 7.0086e-012 2.8479e-010 4.0076e-008 4.4929e-009 7.6273e-010 6.1528e-010 7.7621e-010 1.3322e-009 2.6890e-009 1.9758e-009 1.4339e-010 6.4796e-011 5.2741e-010 1.5572e-009 3.6760e-009 7.4816e-009 1.2348e-008 1.5835e-008 1.6899e-008 1.6863e-008 1.6957e-008 1.7650e-008 1.9039e-008 2.1013e-008 2.3205e-008 2.5031e-008 2.6017e-008 2.6099e-008 2.5391e-008 2.4049e-008 2.2519e-008 2.1175e-008 1.9985e-008 1.9042e-008 1.8337e-008 1.7675e-008 1.7060e-008 1.6227e-008 1.5096e-008
           5 2.9457e-010 1.6021e-008 1.2166e-005 3.3668e-004 1.5825e-039 7.1207e-028 1.7111e-038 1.4505e-035 1.8262e-033 2.3016e-031 8.2358e-029 1.1019e-017 1.6681e-027 6.1736e-027 7.3108e-026 1.6549e-024 1.8646e-022 1.0664e-011 8.2834e-022 1.4435e-021 8.5870e-021 1.0934e-019 6.4508e-018 1.5709e-004 3.0070e-017 3.1611e-017 1.2322e-016 9.8590e-016 2.6577e-014 1.6047e-003 2.9582e-013 1.2836e-013 2.9481e-013 1.3718e-012 1.6157e-011 4.7801e-004 1.9504e-009 1.0073e-010 1.2219e-010 3.1611e-010 1.6772e-009 9.2092e-008 1.1301e-004 1.8778e-008 9.4073e-009 1.2447e-008 3.0548e-008 2.0489e-007 1.5039e-005 1.3303e-006 1.3562e-007 7.9193e-008 8.4918e-008 1.4739e-007 3.7225e-007 4.2632e-007 1.2900e-007 3.8001e-008 1.4894e-008 6.5006e-009 2.4686e-009 4.2384e-010 6.6756e-011 1.0201e-009 2.2056e-009 3.0123e-009 3.4812e-009 3.7748e-009 3.9811e-009 4.1016e-009 4.0711e-009 3.8141e-009 3.3271e-009 2.6941e-009 2.0140e-009 1.3725e-009 8.4214e-010 4.4609e-010 1.7756e-010 3.2023e-011 3.9188e-012 9.2670e-011 2.9783e-010 6.0650e-010 9.8028e-010
           6 3.1019e-009 2.5228e-007 6.3251e-006 2.8084e-006 1.0584e-038 1.7092e-030 1.9246e-036 1.6140e-034 9.5457e-033 4.9017e-031 3.7512e-029 1.1499e-018 2.1334e-029 5.0664e-027 2.0914e-025 9.8139e-024 1.7817e-021 1.1711e-010 1.0755e-020 2.2294e-020 1.4127e-019 1.7541e-018 9.4533e-017 2.1769e-003 3.8599e-016 3.4808e-016 1.1596e-015 7.9942e-015 1.8860e-013 1.0599e-002 1.8734e-012 7.4106e-013 1.5862e-012 7.0356e-012 8.0813e-011 2.3833e-003 9.7349e-009 5.1335e-010 6.5032e-010 1.7954e-009 1.0373e-008 6.3203e-007 7.9647e-004 1.4552e-007 8.3630e-008 1.2884e-007 3.7341e-007 2.9972e-006 2.5169e-004 2.3823e-005 2.9878e-006 2.1902e-006 3.0046e-006 6.7881e-006 2.2248e-005 3.1843e-005 1.2886e-005 5.6744e-006 3.7072e-006 3.1603e-006 3.1563e-006 3.2966e-006 3.1320e-006 2.4702e-006 1.6807e-006 1.0946e-006 7.3192e-007 5.1384e-007 3.7721e-007 2.8424e-007 2.1381e-007 1.5586e-007 1.0784e-007 7.0127e-008 4.2319e-008 2.3235e-008 1.1341e-008 4.5925e-009 1.2226e-009 5.2196e-011 2.7327e-010 1.3616e-009 2.9447e-009 4.6742e-009 6.2058e-009
           7 4.0455e-009 6.5375e-008 1.0580e-007 1.7162e-005 4.0418e-037 7.2944e-031 5.6504e-035 3.7131e-033 1.6050e-031 5.2534e-030 1.3432e-028 6.9555e-023 2.9090e-027 5.5363e-026 9.9820e-025 1.8895e-023 8.0934e-022 1.8970e-011 1.2730e-025 9.6376e-021 2.3208e-019 6.1016e-018 5.3901e-016 1.4703e-002 3.0938e-015 3.5164e-015 1.3568e-014 1.0126e-013 2.4497e-012 1.3680e-001 2.3904e-011 8.9839e-012 1.7811e-011 7.1792e-011 7.3905e-010 1.9682e-002 7.9073e-008 3.6869e-009 4.1306e-009 1.0138e-008 5.2605e-008 2.9211e-006 3.6120e-003 6.2421e-007 3.3995e-007 5.0730e-007 1.4553e-006 1.1801e-005 1.0093e-003 9.6674e-005 1.2678e-005 9.8566e-006 1.4497e-005 3.5362e-005 1.2488e-004 1.9007e-004 8.2940e-005 4.0129e-005 2.9036e-005 2.7527e-005 3.0639e-005 3.5692e-005 3.7850e-005 3.3433e-005 2.5653e-005 1.9003e-005 1.4580e-005 1.1857e-005 1.0195e-005 9.1170e-006 8.2711e-006 7.4160e-006 6.4706e-006 5.4885e-006 4.5355e-006 3.6601e-006 2.9271e-006 2.3529e-006 1.8984e-006 1.5457e-006 1.2700e-006 1.0425e-006 8.5488e-007 6.8931e-007 5.4364e-007
           8 2.5060e-009 4.6857e-008 9.0961e-007 2.5254e-006 3.4668e-035 7.9069e-032 4.1294e-033 2.2824e-031 8.2186e-030 2.2053e-028 4.5388e-027 2.5071e-021 7.6889e-026 1.0998e-024 1.3855e-023 1.5470e-022 1.6572e-021 1.0898e-013 1.3941e-020 1.3168e-019 1.2282e-018 1.3195e-017 3.3887e-016 3.8623e-003 1.0821e-016 4.7922e-016 1.0500e-014 1.8295e-013 7.5731e-012 5.3862e-001 1.0733e-010 5.2851e-011 1.2774e-010 5.9534e-010 6.8042e-009 1.9314e-001 7.8225e-007 3.8127e-008 4.3566e-008 1.0656e-007 5.3884e-007 2.8534e-005 3.4794e-002 5.6971e-006 2.8473e-006 3.8429e-006 9.8713e-006 7.1360e-005 5.6302e-003 5.1898e-004 6.1145e-005 4.3068e-005 5.8181e-005 1.3255e-004 4.4606e-004 6.5944e-004 2.8066e-004 1.3343e-004 9.6037e-005 9.1636e-005 1.0367e-004 1.2368e-004 1.3510e-004 1.2355e-004 9.8639e-005 7.6389e-005 6.1514e-005 5.2667e-005 4.7790e-005 4.5202e-005 4.3452e-005 4.1345e-005 3.8337e-005 3.4617e-005 3.0521e-005 2.6345e-005 2.2594e-005 1.9535e-005 1.7009e-005 1.4995e-005 1.3392e-005 1.1999e-005 1.0785e-005 9.5734e-006 8.3363e-006
           9 1.9827e-009 2.7959e-008 5.0457e-008 2.7956e-007 1.7486e-032 1.0466e-030 1.7208e-030 7.8342e-029 2.3130e-027 5.0488e-026 8.3791e-025 4.1244e-025 1.1471e-023 1.2981e-022 1.2775e-021 1.0920e-020 8.4435e-020 5.5481e-014 5.7695e-019 3.7033e-018 2.2058e-017 1.2537e-016 7.4065e-016 7.8736e-005 2.9411e-015 1.6777e-014 9.4141e-014 6.2108e-013 8.4256e-012 2.3414e-001 1.9679e-011 5.0357e-013 3.8146e-011 5.1695e-010 1.0860e-008 4.4167e-001 1.8765e-006 1.2297e-007 1.7630e-007 5.1671e-007 3.0306e-006 1.8164e-004 2.2724e-001 4.0235e-005 2.1912e-005 3.1671e-005 8.5601e-005 6.3924e-004 5.1025e-002 4.7139e-003 5.5210e-004 3.7944e-004 4.9158e-004 1.0593e-003 3.3559e-003 4.7070e-003 1.8742e-003 8.1889e-004 5.3837e-004 4.6916e-004 4.8659e-004 5.3572e-004 5.4413e-004 4.6580e-004 3.5020e-004 2.5706e-004 1.9769e-004 1.6296e-004 1.4352e-004 1.3279e-004 1.2579e-004 1.1875e-004 1.0993e-004 9.9645e-005 8.8645e-005 7.7565e-005 6.7716e-005 5.9829e-005 5.3414e-005 4.8431e-005 4.4606e-005 4.1308e-005 3.8456e-005 3.5404e-005 3.1995e-005
