   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 4.9880e-001 3.1451e-001 1.2711e-001 4.2238e-002 1.2561e-002 3.5042e-003 9.4214e-004 2.4606e-004 6.2599e-005 1.5749e-005 4.0188e-006 1.0424e-006 2.6068e-007 5.7549e-008 1.0850e-008 2.2094e-009 8.7026e-010 6.1634e-010 3.6147e-010 8.2385e-011 3.3165e-012 8.8896e-011 1.3215e-010 7.1953e-011 7.1064e-012 1.0581e-011 5.2436e-011 7.0905e-011 4.8909e-011 1.4873e-011 1.8787e-014 1.0088e-011 2.9601e-011 4.1090e-011 3.8110e-011 2.5369e-011 1.1566e-011 2.7494e-012 1.6799e-014 9.1614e-013 2.1029e-012 1.5448e-012 5.4753e-013
           1 3.7127e-001 4.3612e-002 2.2726e-001 1.9287e-001 1.0081e-001 4.1687e-002 1.5125e-002 5.0665e-003 1.6042e-003 4.8768e-004 1.4513e-004 4.2912e-005 1.2527e-005 3.5190e-006 9.3935e-007 2.4943e-007 7.3619e-008 2.5647e-008 9.1018e-009 2.3024e-009 1.6309e-010 5.9367e-011 1.7047e-010 5.5948e-011 5.4265e-012 1.0703e-010 1.7553e-010 1.1560e-010 2.2003e-011 5.3630e-012 6.3854e-011 1.2129e-010 1.2365e-010 7.8503e-011 2.7156e-011 1.4577e-012 5.3596e-012 2.3444e-011 3.8240e-011 4.0873e-011 3.1448e-011 1.4965e-011 4.6142e-012
           2 1.1328e-001 3.5970e-001 1.2976e-002 8.3190e-002 1.6617e-001 1.3375e-001 7.4622e-002 3.4264e-002 1.3973e-002 5.2527e-003 1.8689e-003 6.4365e-004 2.1694e-004 7.1279e-005 2.2714e-005 7.1164e-006 2.2689e-006 7.5181e-007 2.4884e-007 7.3910e-008 1.7159e-008 2.8171e-009 4.4509e-010 2.6800e-010 4.4948e-010 5.5283e-010 3.5055e-010 6.8467e-011 1.2508e-011 1.5728e-010 2.6980e-010 2.2746e-010 1.0018e-010 1.1366e-011 8.0614e-012 5.3300e-011 9.0286e-011 9.2516e-011 6.8163e-011 3.8114e-011 1.6325e-011 4.9825e-012 1.2659e-012
           3 1.5850e-002 2.3380e-001 2.3401e-001 8.1692e-002 1.0628e-002 1.0078e-001 1.2828e-001 9.5121e-002 5.4188e-002 2.6368e-002 1.1571e-002 4.7447e-003 1.8578e-003 7.0143e-004 2.5709e-004 9.2538e-005 3.3126e-005 1.1808e-005 4.1281e-006 1.3903e-006 4.5341e-007 1.4980e-007 5.3402e-008 2.0642e-008 7.7261e-009 2.2332e-009 3.1207e-010 3.1074e-013 6.0843e-011 4.5033e-011 1.8768e-012 1.8450e-011 5.9319e-011 6.3563e-011 3.1456e-011 3.3598e-012 4.1897e-012 2.5642e-011 4.5539e-011 4.9915e-011 3.8370e-011 1.8106e-011 5.5571e-012
           4 3.3955e-041 1.2367e-038 5.3540e-037 1.1166e-035 3.4719e-034 1.6194e-032 2.0346e-030 4.5643e-029 3.3162e-027 1.3518e-025 1.0383e-023 2.0265e-022 8.7659e-021 2.0550e-019 5.8491e-018 1.4466e-016 2.3876e-015 5.1134e-014 6.2803e-013 9.4861e-012 8.6597e-011 1.0136e-009 9.1324e-009 7.3932e-008 5.4435e-007 3.3761e-006 1.9857e-005 9.9529e-005 4.4184e-004 1.7353e-003 5.9666e-003 1.7753e-002 4.5092e-002 9.6652e-002 1.6977e-001 2.3438e-001 2.3619e-001 1.4952e-001 4.0374e-002 3.7342e-004 1.1330e-003 1.2875e-004 1.4612e-005
           5 7.4616e-038 8.5166e-036 1.6964e-034 1.7788e-033 4.1196e-032 1.7361e-030 1.8634e-028 4.0338e-027 2.6568e-025 1.0121e-023 6.9489e-022 1.3088e-020 5.1342e-019 1.1261e-017 2.9141e-016 6.5149e-015 9.9758e-014 1.8799e-012 2.1494e-011 2.8524e-010 2.4451e-009 2.4917e-008 1.9973e-007 1.4242e-006 9.0801e-006 4.9173e-005 2.4247e-004 1.0179e-003 3.6958e-003 1.1471e-002 2.9820e-002 6.3082e-002 1.0379e-001 1.2067e-001 7.8094e-002 7.5963e-003 4.0814e-002 2.1549e-001 2.5784e-001 5.7947e-002 4.6995e-003 1.6846e-004 2.0165e-004
           6 7.1588e-025 4.2480e-023 2.9079e-022 1.1810e-022 1.1369e-022 1.2639e-024 4.0522e-023 9.7656e-023 4.5662e-023 5.7670e-022 1.4972e-020 3.0630e-019 1.0976e-017 2.2934e-016 5.5240e-015 1.1451e-013 1.6561e-012 2.8387e-011 3.0712e-010 3.7041e-009 3.0179e-008 2.7752e-007 2.0355e-006 1.3180e-005 7.5378e-005 3.6691e-004 1.5835e-003 5.7804e-003 1.7866e-002 4.5787e-002 9.4131e-002 1.4708e-001 1.5683e-001 8.5026e-002 2.7817e-003 6.3115e-002 1.9881e-001 1.2020e-001 5.5134e-007 3.1751e-002 1.9182e-003 7.1328e-004 5.6372e-004
           7 8.7511e-035 4.2176e-033 1.5371e-032 3.8426e-032 2.8010e-030 8.5889e-029 7.8845e-027 1.6485e-025 9.8375e-024 3.5033e-022 2.1544e-020 3.9141e-019 1.3948e-017 2.8636e-016 6.7492e-015 1.3669e-013 1.9423e-012 3.2342e-011 3.4391e-010 4.0287e-009 3.2294e-008 2.8780e-007 2.0537e-006 1.2905e-005 7.1368e-005 3.3588e-004 1.3908e-003 4.8564e-003 1.4252e-002 3.4314e-002 6.5210e-002 9.1561e-002 8.2388e-002 3.0326e-002 8.3729e-004 5.5380e-002 7.8776e-002 9.0879e-004 1.6731e-001 3.1748e-001 9.8362e-003 1.8703e-002 5.1206e-003
           8 1.9422e-034 2.9848e-033 3.3855e-032 3.8307e-030 9.4161e-029 2.7855e-027 2.1791e-025 4.3717e-024 2.3653e-022 7.8704e-021 4.3404e-019 7.6006e-018 2.4635e-016 4.7347e-015 1.0174e-013 1.8693e-012 2.4646e-011 3.6390e-010 3.5935e-009 3.7301e-008 2.7837e-007 2.1769e-006 1.3823e-005 7.6492e-005 3.6692e-004 1.4913e-003 5.1731e-003 1.4855e-002 3.4555e-002 6.2337e-002 8.0718e-002 6.3134e-002 1.5926e-002 4.4207e-003 5.2483e-002 5.0026e-002 1.1139e-006 5.7854e-002 1.0179e-002 2.0736e-001 2.3226e-001 4.4867e-002 5.3449e-003
           9 2.3341e-033 1.4924e-034 4.3430e-030 1.5091e-028 2.6243e-027 6.6355e-026 4.4179e-024 8.4887e-023 4.1564e-021 1.2910e-019 6.3873e-018 1.0769e-016 3.1759e-015 5.7114e-014 1.1194e-012 1.8672e-011 2.2826e-010 2.9962e-009 2.7418e-008 2.5291e-007 1.7481e-006 1.2023e-005 6.7826e-005 3.2976e-004 1.3687e-003 4.7626e-003 1.3733e-002 3.1831e-002 5.6763e-002 7.1781e-002 5.3617e-002 1.1843e-002 5.0976e-003 4.5701e-002 3.9305e-002 4.5955e-006 4.4726e-002 2.1744e-002 2.0460e-002 2.4782e-004 3.2877e-001 2.3352e-004 6.2430e-003
          10 2.7561e-032 1.3809e-030 2.7236e-028 5.1899e-027 5.8485e-026 1.2011e-024 6.8348e-023 1.2538e-021 5.5531e-020 1.6098e-018 7.1568e-017 1.1609e-015 3.1202e-014 5.2526e-013 9.4050e-012 1.4271e-010 1.6178e-009 1.8957e-008 1.6057e-007 1.3216e-006 8.4264e-006 5.1141e-005 2.5619e-004 1.0927e-003 3.9152e-003 1.1565e-002 2.7419e-002 5.0024e-002 6.4884e-002 5.0316e-002 1.2551e-002 3.2397e-003 3.8015e-002 3.6663e-002 2.8931e-004 3.2924e-002 2.5794e-002 9.5132e-003 3.7142e-002 1.7671e-003 4.8993e-002 1.0597e-001 4.5587e-002
          11 6.2957e-032 4.5646e-028 2.9012e-026 2.7839e-025 1.2518e-024 1.7222e-023 8.7290e-022 1.5205e-020 6.0781e-019 1.6433e-017 6.5703e-016 1.0242e-014 2.5112e-013 3.9566e-012 6.4781e-011 8.9542e-010 9.4093e-009 9.8728e-008 7.7275e-007 5.6914e-006 3.3320e-005 1.7880e-004 7.9368e-004 2.9594e-003 9.1025e-003 2.2537e-002 4.3056e-002 5.9203e-002 5.0265e-002 1.6148e-002 9.4699e-004 2.9839e-002 3.7134e-002 2.3108e-003 2.1846e-002 3.0783e-002 1.1735e-003 3.6219e-002 1.5742e-004 4.4155e-002 1.3014e-002 8.9136e-002 2.0132e-002
