   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84
           0 9.8929e-001 1.0540e-002 1.6896e-004 4.6914e-006 2.2479e-046 8.8554e-034 1.1007e-043 1.7849e-042 1.0856e-040 1.1100e-038 3.7663e-036 4.9574e-025 7.2516e-035 2.2887e-034 1.7695e-033 1.2779e-032 5.6518e-032 5.1573e-020 2.0911e-029 1.5144e-028 2.0335e-027 4.1444e-026 2.9911e-024 7.3435e-011 1.3192e-023 9.6104e-024 1.5155e-023 4.9243e-024 1.9623e-021 4.0417e-010 1.2716e-019 1.4376e-019 6.2419e-019 4.5572e-018 7.3950e-017 2.6540e-009 1.1095e-014 6.5090e-016 8.2206e-016 2.0137e-015 8.9885e-015 3.4903e-013 3.8115e-010 3.6507e-014 3.7069e-015 1.9145e-015 8.9876e-014 2.3667e-012 3.5289e-010 4.2208e-011 9.3838e-012 1.0960e-011 2.2098e-011 6.8761e-011 2.8942e-010 4.9331e-010 2.4035e-010 1.2889e-010 1.0067e-010 1.0005e-010 1.1339e-010 1.3073e-010 1.3342e-010 1.1000e-010 7.5834e-011 4.8050e-011 2.9565e-011 1.7633e-011 9.6978e-012 4.3454e-012 1.0952e-012 1.2036e-016 1.1051e-012 4.1169e-012 8.4789e-012 1.3489e-011 1.8652e-011 2.3871e-011 2.8959e-011 3.3957e-011 3.8914e-011 4.3427e-011 4.7421e-011 5.0014e-011 5.0656e-011
           1 1.0702e-002 9.6457e-001 2.4060e-002 6.3873e-004 8.3890e-044 2.8349e-031 2.9520e-041 2.7037e-040 8.8737e-039 5.3811e-037 1.2971e-034 1.5692e-023 2.2071e-033 7.9595e-033 9.9885e-032 2.4571e-030 2.9251e-028 1.6780e-017 1.2716e-027 1.9211e-027 8.4029e-027 6.3151e-026 1.6049e-024 2.2804e-011 1.8045e-024 3.7669e-026 1.3865e-024 2.6091e-023 4.6235e-022 8.5019e-012 1.2017e-022 3.2364e-021 4.3771e-020 5.5628e-019 1.2782e-017 5.6794e-010 2.4434e-015 1.7124e-016 2.4721e-016 6.6921e-016 3.2058e-015 1.2941e-013 1.4172e-010 1.3311e-014 1.0136e-015 1.8423e-015 5.4214e-014 1.3353e-012 1.9550e-010 2.3244e-011 5.1003e-012 5.8873e-012 1.1717e-011 3.5910e-011 1.4872e-010 2.4982e-010 1.1938e-010 6.2314e-011 4.7104e-011 4.5049e-011 4.8841e-011 5.3523e-011 5.1515e-011 3.9594e-011 2.4983e-011 1.4076e-011 7.3412e-012 3.3873e-012 1.1530e-012 1.2298e-013 1.2809e-013 1.0889e-012 2.8003e-012 4.9288e-012 7.1196e-012 9.0479e-012 1.0599e-011 1.1842e-011 1.2751e-011 1.3394e-011 1.3812e-011 1.3891e-011 1.3661e-011 1.2949e-011 1.1766e-011
           2 1.0063e-005 2.4833e-002 9.3188e-001 4.1554e-002 5.1251e-042 1.8210e-029 1.9730e-039 1.9874e-038 6.9988e-037 4.3302e-035 9.9934e-033 1.1626e-021 1.5378e-031 4.8621e-031 5.3847e-030 1.2255e-028 1.4648e-026 8.6601e-016 7.1168e-026 1.3620e-025 8.6985e-025 1.1380e-023 6.5008e-022 1.5262e-008 2.7390e-021 2.4118e-021 7.2432e-021 4.0592e-020 6.8442e-019 2.9030e-008 4.1272e-018 7.9412e-019 5.8829e-019 4.5423e-019 7.2553e-021 2.0726e-011 9.6825e-017 2.2062e-018 7.0334e-018 2.6961e-016 5.9059e-015 8.6624e-013 1.2850e-009 3.7310e-013 3.3881e-013 7.2774e-013 2.6575e-012 2.4590e-011 2.1713e-009 2.0747e-010 2.5238e-011 1.6219e-011 1.7100e-011 2.4572e-011 3.9444e-011 1.9981e-011 2.8885e-014 5.7570e-012 1.9672e-011 4.6004e-011 9.6256e-011 1.8051e-010 2.7899e-010 3.3695e-010 3.3850e-010 3.1674e-010 2.9691e-010 2.8588e-010 2.8259e-010 2.8261e-010 2.7915e-010 2.6538e-010 2.3907e-010 2.0372e-010 1.6417e-010 1.2488e-010 9.0431e-011 6.2601e-011 4.0693e-011 2.4303e-011 1.2613e-011 4.9424e-012 9.0888e-013 6.0459e-014 1.7492e-012
           3 1.0566e-008 5.4275e-005 4.3690e-002 8.8792e-001 2.0535e-040 7.2131e-028 7.7180e-038 7.5275e-037 2.6003e-035 1.6175e-033 3.8511e-031 4.5734e-020 6.2263e-030 2.0773e-029 2.3991e-028 5.5461e-027 6.5062e-025 3.7820e-014 3.0020e-024 5.3365e-024 3.1524e-023 3.8729e-022 2.1486e-020 5.0536e-007 9.2273e-020 8.7956e-020 3.0687e-019 2.1704e-018 5.1038e-017 2.8161e-006 4.8846e-016 1.7944e-016 3.4365e-016 1.3154e-015 1.2613e-014 3.1121e-007 1.2338e-012 5.1773e-014 5.1663e-014 1.1261e-013 5.2186e-013 2.6246e-011 3.1804e-008 5.1832e-012 2.6689e-012 3.8438e-012 1.0797e-011 8.6232e-011 7.2857e-009 6.9267e-010 8.8057e-011 6.4993e-011 8.8303e-011 1.9279e-010 5.9555e-010 7.9461e-010 2.8605e-010 1.0264e-010 4.8590e-011 2.4917e-011 1.0385e-011 1.3682e-012 1.5419e-012 1.2610e-011 2.8115e-011 4.2591e-011 5.5742e-011 6.8934e-011 8.3132e-011 9.8109e-011 1.1184e-010 1.2090e-010 1.2269e-010 1.1728e-010 1.0613e-010 9.1187e-011 7.5463e-011 6.0932e-011 4.7803e-011 3.6487e-011 2.6909e-011 1.8783e-011 1.2194e-011 7.0349e-012 3.4069e-012
           4 2.9018e-010 2.2778e-007 2.0082e-004 6.9234e-002 2.0590e-039 9.2550e-027 1.1443e-036 1.4525e-035 5.9405e-034 4.0791e-032 1.0199e-029 1.2250e-018 1.6816e-028 5.6472e-028 6.5553e-027 1.5296e-025 1.8195e-023 1.0641e-012 8.5221e-023 1.5317e-022 9.0675e-022 1.1034e-020 5.9947e-019 1.3926e-005 2.5008e-018 2.3108e-018 7.8581e-018 5.4872e-017 1.2987e-015 7.2761e-005 1.2807e-014 4.9711e-015 1.0305e-014 4.3593e-014 4.6920e-013 1.2877e-005 5.1930e-011 2.4638e-012 2.7488e-012 6.5489e-012 3.2064e-011 1.6310e-009 1.9679e-006 3.1008e-010 1.4635e-010 1.8527e-010 4.4447e-010 2.9994e-009 2.2589e-007 2.0381e-008 2.2696e-009 1.5280e-009 2.0025e-009 4.4951e-009 1.5100e-008 2.2431e-008 9.6502e-009 4.6666e-009 3.4206e-009 3.3110e-009 3.7692e-009 4.4753e-009 4.8024e-009 4.2495e-009 3.2222e-009 2.3166e-009 1.6864e-009 1.2658e-009 9.7139e-010 7.4389e-010 5.4837e-010 3.7285e-010 2.2378e-010 1.1173e-010 4.0198e-011 5.9657e-012 9.8282e-013 1.5776e-011 4.2775e-011 7.6512e-011 1.1346e-010 1.4967e-010 1.8255e-010 2.0684e-010 2.1872e-010
           5 1.2839e-008 2.2254e-009 1.7079e-006 6.3998e-004 1.2399e-039 1.1660e-027 4.2145e-039 5.8469e-036 1.0191e-033 1.5656e-031 6.6557e-029 9.6027e-018 1.5950e-027 6.9788e-027 9.7438e-026 2.5756e-024 3.3251e-022 1.9913e-011 1.6421e-021 3.0578e-021 1.8576e-020 2.3083e-019 1.2763e-017 2.9851e-004 5.3979e-017 5.0273e-017 1.7093e-016 1.1820e-015 2.7436e-014 1.5126e-003 2.6315e-013 9.8847e-014 1.9814e-013 8.1390e-013 8.5811e-012 2.3371e-004 9.4225e-010 4.5041e-011 5.1491e-011 1.2785e-010 6.6276e-010 3.6184e-008 4.4453e-005 7.4625e-009 3.8455e-009 5.3236e-009 1.3911e-008 1.0119e-007 7.9580e-006 7.3061e-007 8.4274e-008 5.7253e-008 7.3569e-008 1.5769e-007 4.9818e-007 6.9798e-007 2.7784e-007 1.2151e-007 8.0035e-008 6.9909e-008 7.2658e-008 8.0080e-008 8.1284e-008 6.9364e-008 5.1799e-008 3.7584e-008 2.8397e-008 2.2831e-008 1.9449e-008 1.7244e-008 1.5494e-008 1.3725e-008 1.1788e-008 9.7929e-009 7.8765e-009 6.1398e-009 4.7022e-009 3.5838e-009 2.7104e-009 2.0426e-009 1.5310e-009 1.1277e-009 8.1425e-010 5.6582e-010 3.7598e-010
           6 1.4488e-008 1.1344e-008 3.0269e-008 8.8983e-006 5.1973e-039 2.0762e-029 8.1801e-037 8.0356e-035 5.3390e-033 3.2518e-031 3.6680e-029 1.9614e-018 1.8550e-029 1.6136e-027 1.0341e-025 6.0815e-024 1.3255e-021 9.3294e-011 9.4920e-021 2.3261e-020 1.7363e-019 2.5234e-018 1.5729e-016 3.8466e-003 7.2970e-016 7.3045e-016 2.6274e-015 1.8980e-014 4.5514e-013 2.5466e-002 4.4637e-012 1.6974e-012 3.4111e-012 1.3917e-011 1.4455e-010 3.8653e-003 1.5533e-008 7.2341e-010 8.0419e-010 1.9431e-009 9.8339e-009 5.2697e-007 6.4521e-004 1.0741e-007 5.5142e-008 7.6678e-008 2.0289e-007 1.5051e-006 1.2046e-004 1.1164e-005 1.3272e-006 9.3251e-007 1.2406e-006 2.7497e-006 8.9368e-006 1.2779e-005 5.1972e-006 2.3220e-006 1.5552e-006 1.3728e-006 1.4329e-006 1.5771e-006 1.5911e-006 1.3445e-006 9.9111e-007 7.0831e-007 5.2669e-007 4.1705e-007 3.5068e-007 3.0800e-007 2.7551e-007 2.4448e-007 2.1185e-007 1.7904e-007 1.4788e-007 1.1965e-007 9.6251e-008 7.8094e-008 6.3827e-008 5.2852e-008 4.4357e-008 3.7371e-008 3.1621e-008 2.6459e-008 2.1775e-008
           7 2.8225e-009 1.2325e-008 1.1863e-008 1.2099e-007 8.7224e-038 4.1987e-031 1.3240e-035 9.5351e-034 4.5596e-032 1.6892e-030 5.5095e-029 6.4397e-020 9.1671e-028 2.2564e-026 4.9575e-025 1.2134e-023 8.5308e-022 3.1643e-011 6.5812e-022 1.2398e-021 8.1441e-020 3.0563e-018 3.4264e-016 1.0249e-002 2.3950e-015 3.2495e-015 1.4771e-014 1.2846e-013 3.5804e-012 2.1664e-001 3.9758e-011 1.6776e-011 3.6793e-011 1.6151e-010 1.7816e-009 4.9681e-002 2.0081e-007 9.6918e-009 1.1035e-008 2.7010e-008 1.3708e-007 7.3022e-006 8.9189e-003 1.4692e-006 7.4069e-007 1.0084e-006 2.6092e-006 1.8942e-005 1.4949e-003 1.3766e-004 1.6102e-005 1.1168e-005 1.4724e-005 3.2460e-005 1.0527e-004 1.5051e-004 6.1284e-005 2.7462e-005 1.8472e-005 1.6388e-005 1.7193e-005 1.9014e-005 1.9267e-005 1.6343e-005 1.2089e-005 8.6673e-006 6.4646e-006 5.1351e-006 4.3338e-006 3.8239e-006 3.4410e-006 3.0771e-006 2.6927e-006 2.3038e-006 1.9318e-006 1.5919e-006 1.3084e-006 1.0884e-006 9.1510e-007 7.8200e-007 6.7937e-007 5.9406e-007 5.2285e-007 4.5578e-007 3.9093e-007
           8 1.7991e-009 9.2189e-009 4.4761e-009 1.5774e-008 4.6475e-036 2.4354e-033 5.9526e-034 3.5460e-032 1.3808e-030 4.0272e-029 9.0732e-028 1.7761e-021 1.6779e-026 2.6691e-025 3.7926e-024 4.9487e-023 7.7305e-022 1.8171e-012 3.7607e-021 5.0708e-020 5.9855e-019 8.5441e-018 3.5149e-016 6.0133e-003 5.7956e-016 6.9149e-018 1.7779e-015 6.2629e-014 3.6731e-012 3.0579e-001 6.6649e-011 4.0187e-011 1.1593e-010 6.3334e-010 8.3643e-009 2.6622e-001 1.0971e-006 6.0301e-008 7.6879e-008 2.0772e-007 1.1494e-006 6.6002e-005 8.1898e-002 1.4161e-005 7.5325e-006 1.0708e-005 2.8642e-005 2.1286e-004 1.6985e-002 1.5702e-003 1.8479e-004 1.2807e-004 1.6777e-004 3.6599e-004 1.1727e-003 1.6591e-003 6.6670e-004 2.9394e-004 1.9443e-004 1.6976e-004 1.7553e-004 1.9168e-004 1.9215e-004 1.6150e-004 1.1853e-004 8.4424e-005 6.2631e-005 4.9537e-005 4.1663e-005 3.6656e-005 3.2904e-005 2.9358e-005 2.5633e-005 2.1882e-005 1.8306e-005 1.5049e-005 1.2339e-005 1.0240e-005 8.5918e-006 7.3299e-006 6.3613e-006 5.5612e-006 4.8985e-006 4.2785e-006 3.6814e-006
           9 2.1124e-009 2.4604e-010 9.8207e-009 1.2249e-012 2.2738e-033 7.8409e-032 2.2838e-031 1.0639e-029 3.2238e-028 7.2488e-027 1.2441e-025 5.7465e-024 1.7694e-024 2.0917e-023 2.1642e-022 1.9607e-021 1.6312e-020 6.4197e-014 1.1835e-019 8.3686e-019 5.6046e-018 3.7668e-017 3.4090e-016 5.6929e-004 5.3499e-016 5.4080e-015 4.0161e-014 3.6023e-013 7.6065e-012 3.3160e-001 4.5339e-011 5.2455e-012 2.6595e-014 7.0450e-011 3.1096e-009 1.7972e-001 7.9883e-007 6.9183e-008 1.2367e-007 4.3584e-007 2.9967e-006 2.0656e-004 2.6631e-001 5.1843e-005 3.1611e-005 5.0677e-005 1.5078e-004 1.2313e-003 1.0431e-001 9.9084e-003 1.2542e-003 9.2775e-004 1.2859e-003 2.9419e-003 9.7790e-003 1.4183e-002 5.8459e-003 2.6431e-003 1.7849e-003 1.5827e-003 1.6542e-003 1.8182e-003 1.8282e-003 1.5369e-003 1.1255e-003 7.9797e-004 5.8815e-004 4.6143e-004 3.8446e-004 3.3477e-004 2.9720e-004 2.6212e-004 2.2618e-004 1.9077e-004 1.5767e-004 1.2803e-004 1.0370e-004 8.5018e-005 7.0475e-005 5.9414e-005 5.0966e-005 4.4055e-005 3.8385e-005 3.3181e-005 2.8278e-005
