   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 9.9908e-001 9.1888e-004 2.5758e-007 3.8423e-008 1.1531e-009 9.9876e-009 1.6097e-009 1.3478e-011 1.3050e-010 7.9033e-010 1.1474e-010 9.2350e-010 4.3643e-010
           1 9.1829e-004 9.9662e-001 2.4655e-003 2.7241e-007 4.3953e-007 1.9429e-010 4.1106e-009 3.5005e-008 3.2424e-010 8.7911e-009 1.5098e-010 6.9588e-010 2.0929e-010
           2 1.0017e-006 2.4577e-003 9.9286e-001 4.6796e-003 5.6110e-007 1.7922e-007 5.0202e-007 4.6793e-009 1.1029e-007 2.1359e-008 1.1523e-010 5.0712e-010 1.6339e-010
           3 1.2338e-008 8.3951e-006 4.6255e-003 9.8742e-001 7.9402e-003 1.0613e-006 3.8321e-006 1.5587e-006 2.1990e-007 1.0413e-008 5.7888e-010 3.9656e-009 1.7323e-009
           4 4.2497e-009 7.4269e-008 4.7006e-005 7.7952e-003 9.7603e-001 1.5911e-002 1.4862e-004 5.8515e-005 3.6409e-006 8.9801e-007 8.2380e-012 3.0854e-009 2.6450e-009
           5 3.0086e-010 6.6538e-008 2.8714e-007 9.5489e-005 1.5827e-002 9.3856e-001 4.2275e-002 2.6311e-003 5.8786e-004 7.1973e-006 6.9296e-007 3.9332e-006 1.4280e-006
           6 2.4911e-009 4.5302e-008 2.9079e-007 9.7477e-006 1.5582e-004 4.4336e-002 7.8671e-001 1.3821e-001 2.6479e-002 3.9738e-003 1.3577e-005 3.1010e-005 4.2550e-006
           7 1.2450e-009 1.2992e-008 9.8365e-008 3.1302e-007 2.9502e-005 1.1042e-003 1.5577e-001 4.5385e-001 2.8864e-001 9.3352e-002 1.0068e-004 1.6748e-003 9.5900e-004
           8 1.2037e-011 6.9331e-012 7.6901e-009 8.9654e-008 1.0912e-005 3.8431e-005 1.4585e-002 3.2096e-001 1.6529e-001 3.6749e-001 9.6463e-003 6.1219e-002 2.2659e-002
           9 9.5888e-010 6.8403e-010 4.1429e-009 1.9944e-007 1.6924e-006 2.0838e-005 4.5787e-004 7.4521e-002 3.0354e-001 5.6819e-002 8.0325e-002 2.9568e-001 7.0808e-002
          10 1.3509e-009 5.3556e-013 1.7106e-008 1.0714e-007 1.7415e-008 1.6982e-005 3.9606e-006 9.1292e-003 1.5499e-001 1.6302e-001 1.2762e-001 1.1049e-001 6.1394e-005
          11 9.1293e-010 4.8084e-010 1.8187e-008 2.6811e-008 8.5513e-008 6.9850e-006 4.0026e-006 5.7107e-004 4.6203e-002 1.6367e-001 1.4886e-001 6.2809e-003 8.6176e-002
          12 4.5501e-010 6.0677e-010 1.1888e-008 2.1143e-009 1.0899e-007 1.6332e-006 9.8917e-006 9.2285e-006 1.0802e-002 7.8955e-002 4.3338e-001 3.0821e-004 9.8190e-003
          13 2.0323e-010 3.2706e-010 6.0163e-009 1.6221e-010 6.1862e-008 2.3492e-007 8.9643e-006 8.5491e-007 2.3806e-003 3.3021e-002 1.7083e-001 4.1492e-001 1.8634e-005
          14 8.9215e-011 1.2589e-010 2.6999e-009 9.1067e-010 2.7393e-008 2.1025e-008 5.2306e-006 9.6353e-007 5.8204e-004 1.3095e-002 1.6867e-002 6.5590e-002 5.8685e-001
          15 4.4605e-011 5.1039e-011 1.3262e-009 9.6223e-010 1.3009e-008 7.6759e-010 2.9128e-006 4.2322e-007 1.9123e-004 5.9757e-003 3.8618e-003 5.2984e-003 1.9929e-001
          16 2.2797e-011 2.1565e-011 6.6186e-010 6.9711e-010 6.3070e-009 1.3809e-010 1.5542e-006 1.6242e-007 7.3334e-005 2.8547e-003 1.5423e-003 2.3546e-003 1.1634e-002
