   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 5.6628e-002 2.0685e-001 3.1295e-001 2.5640e-001 1.2419e-001 3.6218e-002 6.1516e-003 5.4995e-004 2.0190e-005 1.1913e-007 5.8252e-009 3.7517e-009 1.9344e-009 1.3068e-010 1.0795e-009 1.8515e-010 1.5025e-012 2.8979e-012
           1 1.1759e-001 1.8819e-001 3.9910e-002 3.8405e-002 2.2230e-001 2.4463e-001 1.1771e-001 2.8088e-002 3.1380e-003 1.2298e-004 3.2237e-007 3.4706e-008 1.5488e-009 6.5452e-009 2.9935e-011 1.6022e-009 6.5315e-010 4.1926e-011
           2 1.4611e-001 7.9430e-002 1.5593e-002 1.3341e-001 2.9788e-002 5.7208e-002 2.4516e-001 2.1125e-001 7.1783e-002 9.8710e-003 3.8804e-004 1.2996e-007 1.1321e-007 5.8245e-011 2.0669e-008 1.3987e-009 6.4596e-010 1.5350e-010
           3 1.4302e-001 1.3020e-002 7.4802e-002 4.5712e-002 3.3168e-002 1.1345e-001 1.0898e-003 1.4571e-001 2.7103e-001 1.3530e-001 2.2801e-002 8.5598e-004 3.3683e-007 1.7263e-008 1.0969e-008 7.0747e-008 1.9625e-008 9.7360e-010
