   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44
           0 3.9660e-001 3.2940e-001 1.6838e-001 6.8916e-002 2.4774e-002 8.2155e-003 2.5955e-003 7.9478e-004 2.3700e-004 6.8979e-005 1.9868e-005 5.8126e-006 1.7536e-006 5.3070e-007 1.4951e-007 3.6012e-008 7.3369e-009 1.6899e-009 8.3872e-010 7.8305e-010 6.4275e-010 2.8346e-010 1.8345e-011 6.3474e-011 2.5858e-010 3.3459e-010 2.2698e-010 7.0090e-011 4.7123e-013 3.4240e-011 9.8309e-011 1.2306e-010 9.4624e-011 4.3797e-011 7.3960e-012 1.2110e-012 1.7710e-011 3.9161e-011 5.1456e-011 5.0242e-011 3.9274e-011 2.5273e-011 1.3446e-011 5.6768e-012 1.6495e-012
           1 3.8848e-001 1.2600e-003 1.4910e-001 1.9834e-001 1.3844e-001 7.2224e-002 3.1986e-002 1.2794e-002 4.7805e-003 1.7032e-003 5.8780e-004 1.9893e-004 6.6422e-005 2.1857e-005 7.0714e-006 2.2622e-006 7.2861e-007 2.4091e-007 8.1340e-008 2.6611e-008 7.6308e-009 1.6571e-009 2.1657e-010 1.1357e-011 1.0504e-012 6.7607e-012 1.9195e-011 1.9903e-011 6.6169e-012 2.5368e-013 1.3124e-011 3.3827e-011 4.3160e-011 3.4358e-011 1.6322e-011 2.6750e-012 6.6339e-013 8.3394e-012 1.8792e-011 2.5806e-011 2.6860e-011 2.2866e-011 1.6211e-011 8.9182e-012 3.0507e-012
           2 1.6906e-001 2.4828e-001 8.2277e-002 1.2435e-002 1.1170e-001 1.4478e-001 1.1020e-001 6.4416e-002 3.2221e-002 1.4551e-002 6.1185e-003 2.4496e-003 9.4974e-004 3.6014e-004 1.3384e-004 4.8713e-005 1.7450e-005 6.2437e-006 2.2691e-006 8.3836e-007 3.0579e-007 1.0420e-007 3.1278e-008 8.0908e-009 2.0226e-009 7.2562e-010 5.1053e-010 4.8367e-010 3.8027e-010 1.8302e-010 2.7300e-011 9.7962e-012 8.9026e-011 1.5633e-010 1.4928e-010 8.6466e-011 2.3962e-011 3.6518e-014 1.5011e-011 4.5425e-011 6.7582e-011 7.0895e-011 5.7378e-011 3.4193e-011 1.2133e-011
           3 4.0223e-002 2.8592e-001 6.7855e-002 1.5524e-001 1.3469e-002 2.7202e-002 9.6581e-002 1.1362e-001 8.8485e-002 5.5085e-002 2.9790e-002 1.4658e-002 6.7574e-003 2.9741e-003 1.2643e-003 5.2329e-004 2.1253e-004 8.5355e-005 3.4065e-005 1.3501e-005 5.2858e-006 2.0363e-006 7.7524e-007 2.9635e-007 1.1613e-007 4.7012e-008 1.9197e-008 7.4517e-009 2.5208e-009 6.6206e-010 1.1330e-010 9.4760e-012 8.1577e-013 3.4187e-012 1.5180e-011 3.1399e-011 3.8816e-011 3.1974e-011 1.7405e-011 5.1239e-012 1.6622e-013 1.0672e-012 3.3882e-012 3.5944e-012 1.6141e-012
           4 5.2644e-003 1.1367e-001 2.9322e-001 1.0853e-003 1.3297e-001 6.5001e-002 3.0026e-007 3.9700e-002 8.5830e-002 9.1990e-002 7.1682e-002 4.6309e-002 2.6469e-002 1.3921e-002 6.9056e-003 3.2787e-003 1.5042e-003 6.7289e-004 2.9634e-004 1.2940e-004 5.6106e-005 2.4051e-005 1.0148e-005 4.2275e-006 1.7632e-006 7.5140e-007 3.3110e-007 1.4893e-007 6.5637e-008 2.6715e-008 9.4171e-009 2.7112e-009 6.2698e-010 1.4348e-010 6.8761e-011 9.0012e-011 1.4311e-010 1.8106e-010 1.7037e-010 1.1828e-010 5.8417e-011 1.8073e-011 2.2150e-012 1.2014e-014 1.9990e-013
           5 3.3315e-004 2.0086e-002 1.9201e-001 2.3227e-001 1.9270e-002 7.2138e-002 9.6049e-002 1.6501e-002 6.2871e-003 4.7535e-002 7.6067e-002 7.5465e-002 5.8298e-002 3.8585e-002 2.3037e-002 1.2786e-002 6.7216e-003 3.3936e-003 1.6647e-003 8.0045e-004 3.7909e-004 1.7710e-004 8.1718e-005 3.7399e-005 1.7100e-005 7.8638e-006 3.6403e-006 1.6834e-006 7.6745e-007 3.4105e-007 1.4767e-007 6.3404e-008 2.8010e-008 1.3284e-008 6.8937e-009 3.8083e-009 2.0941e-009 1.0529e-009 4.3831e-010 1.2858e-010 1.6041e-011 7.8706e-013 1.1735e-011 1.4711e-011 6.8077e-012
           6 6.4428e-006 1.4367e-003 4.3777e-002 2.5475e-001 1.5688e-001 6.1374e-002 2.4017e-002 9.2582e-002 4.3683e-002 6.8625e-004 1.7397e-002 5.0846e-002 6.6613e-002 6.2007e-002 4.7476e-002 3.2018e-002 1.9762e-002 1.1444e-002 6.3253e-003 3.3775e-003 1.7565e-003 8.9507e-004 4.4930e-004 2.2329e-004 1.1029e-004 5.4239e-005 2.6561e-005 1.2951e-005 6.2975e-006 3.0650e-006 1.5000e-006 7.4020e-007 3.6773e-007 1.8277e-007 9.0069e-008 4.3644e-008 2.0721e-008 9.6769e-009 4.5006e-009 2.1234e-009 1.0341e-009 5.2204e-010 2.6585e-010 1.2200e-010 3.8754e-011
           7 8.1200e-009 2.1853e-005 3.2821e-003 7.1829e-002 2.9773e-001 9.6982e-002 9.2548e-002 2.7145e-003 6.9711e-002 6.1088e-002 1.1212e-002 2.4894e-003 2.7022e-002 5.0422e-002 5.7392e-002 5.0846e-002 3.8626e-002 2.6416e-002 1.6751e-002 1.0058e-002 5.8064e-003 3.2529e-003 1.7788e-003 9.5417e-004 5.0508e-004 2.6549e-004 1.3914e-004 7.2714e-005 3.7806e-005 1.9523e-005 1.0035e-005 5.1690e-006 2.6921e-006 1.4266e-006 7.6845e-007 4.1700e-007 2.2486e-007 1.1895e-007 6.1307e-008 3.0851e-008 1.5321e-008 7.6109e-009 3.7613e-009 1.6874e-009 5.3108e-010
           8 4.3353e-008 2.1500e-007 2.6816e-005 5.1475e-003 9.8802e-002 3.2736e-001 5.9898e-002 1.0474e-001 7.8060e-004 4.4424e-002 6.4460e-002 2.5034e-002 3.4522e-004 1.0632e-002 3.3050e-002 4.7248e-002 4.8671e-002 4.1523e-002 3.1285e-002 2.1618e-002 1.4045e-002 8.7167e-003 5.2202e-003 3.0408e-003 1.7359e-003 9.7762e-004 5.4548e-004 3.0200e-004 1.6598e-004 9.0719e-005 4.9496e-005 2.7093e-005 1.4933e-005 8.2924e-006 4.6251e-006 2.5793e-006 1.4339e-006 7.9519e-007 4.4216e-007 2.4832e-007 1.4155e-007 8.1487e-008 4.5912e-008 2.2574e-008 7.4198e-009
           9 3.4379e-008 6.2911e-008 2.0161e-006 5.8185e-006 5.9150e-003 1.1972e-001 3.5341e-001 4.2133e-002 1.0231e-001 6.8695e-003 2.5212e-002 5.8344e-002 3.4929e-002 4.8573e-003 2.3764e-003 1.8796e-002 3.5294e-002 4.2502e-002 4.0606e-002 3.3582e-002 2.5169e-002 1.7574e-002 1.1647e-002 7.4222e-003 4.5914e-003 2.7765e-003 1.6504e-003 9.6880e-004 5.6372e-004 3.2608e-004 1.8791e-004 1.0807e-004 6.2152e-005 3.5809e-005 2.0707e-005 1.2034e-005 7.0344e-006 4.1384e-006 2.4511e-006 1.4611e-006 8.7430e-007 5.2037e-007 2.9870e-007 1.4805e-007 4.8781e-008
