# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.14389E+00    7.07640E+01   3.08830E+02   7.31420E-06   3.31740E+01   4.68490E+02   6.07230E-06   6.67670E-04
   1  2.93785E+00    9.21880E+01   2.07530E+02   4.16430E-08   2.69670E+02   2.67540E+02   3.79020E-08   2.01200E-02
   2  2.93580E+00    2.76810E+01   2.24910E+02   9.39910E-08   3.92290E-04   1.29230E+02   9.66550E-10   8.08120E-01
   3  2.93400E+00    3.31060E+01   2.18450E+02   2.21290E-08   6.81840E-04   1.27250E+02   4.39300E-09   8.19380E-01
   4  2.93250E+00    4.20450E+01   2.06180E+02   1.48220E-07   5.41220E-04   1.19000E+02   6.36600E-09   8.36950E-01
   5  2.93150E+00    5.55010E+01   1.85920E+02   9.67740E-07   1.96880E+01   8.05280E+01   6.78840E-08   8.87900E-01
   6  2.93100E+00    6.71270E+01   1.66850E+02   5.21310E-05   7.54420E+01   1.66580E+01   3.07540E-07   8.86460E-01
   7  2.93130E+00    7.34260E+01   1.57780E+02   1.32760E-05   8.15990E+01   1.03810E+01   5.87100E-07   9.02900E-01
   8  2.93220E+00    7.75270E+01   1.50460E+02   4.78570E-05   7.52890E+01   1.67650E+01   1.05640E-04   9.22240E-01
   9  2.93430E+00    8.17970E+01   1.43360E+02   9.34160E-09   8.75730E+01   6.84000E-02   3.00120E-05   8.99580E-01
  10  2.93760E+00    8.47030E+01   1.38240E+02   3.19820E-08   8.26710E+01   7.37150E-04   1.85870E-07   9.05580E-01
  11  2.94230E+00    8.20160E+01   1.41370E+02   5.41770E-07   8.95890E+01   2.34560E-04   1.88040E-11   8.98940E-01
  12  2.94880E+00    7.76760E+01   1.47630E+02   1.14500E-07   7.23280E+01   2.26320E+01   1.57570E-04   9.28830E-01
  13  2.95750E+00    7.37930E+01   1.51140E+02   1.20900E-08   8.61570E+00   8.62140E+01   1.27890E-07   1.05740E+00
  14  2.86080E+00    8.08470E+01   1.05900E+02   8.61400E-09   2.71130E-04   1.16460E+02   1.71650E-07   1.40600E+00
  15  2.88250E+00    7.59250E+01   1.08290E+02   1.15740E-08   1.36010E+01   1.09900E+02   3.37930E-07   1.42280E+00
  16  2.90840E+00    7.40300E+01   1.02720E+02   1.07060E-05   6.12930E+01   6.37950E+01   9.95540E-06   1.39610E+00
  17  2.93970E+00    7.55090E+01   8.65330E+01   8.66950E-07   1.19950E+02   1.76160E+00   1.47530E-08   1.38540E+00
  18  2.89080E+00    8.58030E+01   2.68030E+01   2.89320E-03   1.36530E+02   2.80680E-05   7.57160E-06   1.77970E+00
