# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  4.23322E+00    8.75730E+01   3.80680E+01   4.94630E-07   1.82280E-04   5.76870E+01   1.13180E+02   4.33030E-01
   1  4.11623E+00    9.45720E+01   1.52110E+01   3.03570E-05   1.39480E-05   5.53220E-06   1.23380E+02   5.30630E-01
   2  4.00166E+00    9.23050E+01   2.11280E-05   1.05230E+01   4.72590E-08   7.91220E-05   1.52080E+02   5.06520E-01
   3  3.88938E+00    8.56360E+01   3.49430E-06   2.63990E-08   2.62090E+01   2.31530E-03   2.12780E+02   4.15050E-01
   4  3.77927E+00    7.95000E+01   3.00380E-08   4.13240E-08   1.09750E+01   2.97730E-04   2.82240E+02   3.88090E-01
   5  3.67130E+00    5.57690E+01   4.53750E-07   1.07150E-08   4.41100E-09   3.29430E+02   2.50650E-07   4.23130E-01
   6  3.76100E+00    7.36630E+01   1.20100E-07   6.71980E-07   3.05390E-01   2.01680E-07   3.34110E+02   3.80250E-01
   7  3.65710E+00    6.66870E+01   1.87540E-07   8.78460E-07   9.77470E-09   1.43080E-07   3.75840E+02   3.72660E-01
   8  3.74300E+00    6.86360E+01   1.52420E-08   1.55640E+00   1.72750E-08   4.38590E-08   3.65450E+02   3.72560E-01
   9  3.64320E+00    6.31700E+01   9.33270E-05   1.15360E-05   2.08340E-05   2.26310E-08   4.03620E+02   3.63570E-01
  10  3.72510E+00    6.18770E+01   4.62690E-08   3.07500E-09   2.68090E+01   1.33980E-04   3.70100E+02   3.67000E-01
  11  3.62930E+00    9.96130E+00   4.76950E-09   1.50810E-08   3.93870E+02   2.99430E-07   6.11630E-08   4.98280E-01
  12  3.70750E+00    5.82510E+01   2.09720E-07   5.20460E-05   5.01170E-08   9.26320E+01   3.15800E+02   3.66060E-01
  13  3.61550E+00    5.24160E+01   3.43760E-08   1.13930E-07   3.30880E+01   1.62710E-04   4.10500E+02   3.55480E-01
  14  3.69010E+00    4.01830E+01   4.62070E-08   3.88870E-08   1.08760E-09   3.89400E+02   5.49220E-09   4.32510E-01
  15  3.60190E+00    4.74850E+01   2.81460E-08   7.48190E-09   5.02400E+01   1.78800E-04   3.98200E+02   3.56270E-01
  16  3.67290E+00    4.62600E+01   1.75080E-06   2.23950E-05   7.64710E+01   1.19710E-02   3.53580E+02   3.67710E-01
  17  3.58850E+00    3.18830E+01   1.21130E-11   1.45700E-08   5.69600E-08   4.10790E+02   6.45130E-08   4.35550E-01
  18  3.65580E+00    4.27710E+01   1.14560E-09   2.20590E-09   8.61380E+01   7.84530E-05   3.46610E+02   3.74770E-01
  19  3.57500E+00    4.05370E+01   1.02280E-07   8.14190E-06   7.19580E+01   2.72540E-03   3.81680E+02   3.66850E-01
  20  3.63880E+00    4.01160E+01   3.09410E-06   7.66580E-05   9.20560E+01   6.11940E-08   3.40580E+02   3.88170E-01
  21  3.56150E+00    3.82430E+01   1.88490E-08   2.23140E-06   7.78650E+01   4.46880E-03   3.74220E+02   3.80550E-01
  22  3.62180E+00    3.22630E+01   1.00910E-04   6.18030E-08   6.95110E-06   4.02070E+02   2.51380E-11   4.43040E-01
  23  3.67670E+00    3.31090E+01   1.98210E-11   3.40800E+01   6.57250E+01   2.06220E-05   3.41900E+02   4.03940E-01
  24  3.60450E+00    3.38380E+01   2.30320E-09   1.81700E+01   7.49880E+01   1.96850E-04   3.49950E+02   4.10560E-01
  25  3.65580E+00    3.73390E+01   1.83600E-05   5.97180E-10   1.06540E+02   3.41610E-05   2.89000E+02   4.72090E-01
  26  3.58690E+00    3.07390E+01   1.98350E-07   2.75120E-09   1.70040E-08   4.06750E+02   7.14320E-08   4.47760E-01
  27  3.63460E+00    2.56050E+01   2.98720E-09   6.74920E+01   2.85850E+01   7.83480E-05   3.73380E+02   4.04310E-01
  28  3.67700E+00    2.15630E+01   1.01240E-06   9.71450E+01   2.89760E+00   3.42380E-04   3.80490E+02   3.98450E-01
  29  3.61290E+00    3.42440E+01   2.35250E-06   1.63070E-09   1.05340E-10   3.88830E+02   5.49710E-09   4.56380E-01
  30  3.65160E+00    1.81170E+01   1.57530E-05   1.07530E+02   4.03280E-03   3.01670E-04   3.72310E+02   4.11010E-01
  31  3.68480E+00    1.57290E+01   4.21450E-05   1.19450E+02   1.18510E-05   8.22190E-04   3.38750E+02   4.46250E-01
  32  3.71250E+00    1.45570E+01   2.33800E-10   1.24950E+02   9.53750E-04   5.12570E-04   2.96420E+02   5.15970E-01
  33  3.73460E+00    3.14340E+01   1.26960E+01   5.48150E+00   4.69390E-07   2.87140E+02   1.94250E-08   6.64410E-01
  34  3.75100E+00    2.13370E+01   2.58130E-07   9.30820E+01   1.15270E+01   1.68430E-04   2.12370E+02   7.89220E-01
  35  3.94400E+00    2.75200E+01   6.94930E+00   6.91770E+01   4.23750E-08   2.00340E-04   1.74610E+02   1.09600E+00
  36  3.91520E+00    2.76140E+01   2.04930E+01   4.45290E-09   9.20740E+01   5.88050E-05   1.29960E+02   1.10220E+00
  37  3.87880E+00    2.25850E+01   8.70540E+00   7.69420E+01   1.35360E-04   5.06370E-05   1.69900E+02   1.12600E+00
  38  3.81330E+00    1.83190E+01   2.14900E+01   4.29030E+01   4.33950E-05   2.09660E+02   1.29190E-07   8.15330E-01
